"DrivingDistanceAllDrives_RANKTHISWEEK_2007","DrivingDistanceAllDrives_RANKLASTWEEK_2007","DrivingDistanceAllDrives_PLAYERNAME_2007","DrivingDistanceAllDrives_ROUNDS_2007","DrivingDistanceAllDrives_ALLDRIVES_2007","DrivingDistanceAllDrives_TOTALDISTANCE_2007","DrivingDistanceAllDrives_OFDRIVES_2007","stat_name","year"
1,1,"John Daly",59,302.1,207854,688,"DrivingDistanceAllDrives",2007
2,2,"Bubba Watson",80,301.4,277296,920,"DrivingDistanceAllDrives",2007
3,3,"JB Holmes",71,300.8,269853,897,"DrivingDistanceAllDrives",2007
4,4,"Robert Garrigus",95,296.3,356694,1204,"DrivingDistanceAllDrives",2007
5,5,"Brett Wetterich",88,294.3,288729,981,"DrivingDistanceAllDrives",2007
6,6,"Tag Ridings",52,293.7,184432,628,"DrivingDistanceAllDrives",2007
7,7,"Harrison Frazar",88,292.4,299162,1023,"DrivingDistanceAllDrives",2007
8,8,"Adam Scott",69,292.1,222025,760,"DrivingDistanceAllDrives",2007
9,9,"Henrik Stenson",52,292,147147,504,"DrivingDistanceAllDrives",2007
10,10,"Charles Howell III",89,291.9,268505,920,"DrivingDistanceAllDrives",2007
11,11,"Jeff Overton",60,291.7,219916,754,"DrivingDistanceAllDrives",2007
12,12,"Nick Watney",87,291.6,284616,976,"DrivingDistanceAllDrives",2007
13,13,"Tiger Woods",63,291.4,175444,602,"DrivingDistanceAllDrives",2007
14,14,"Chris Couch",76,291.3,297078,1020,"DrivingDistanceAllDrives",2007
15,15,"Scott Gutschewski",67,291,236279,812,"DrivingDistanceAllDrives",2007
15,15,"Charley Hoffman",97,291,337027,1158,"DrivingDistanceAllDrives",2007
17,17,"Bill Haas",93,290.8,332683,1144,"DrivingDistanceAllDrives",2007
18,18,"Boo Weekley",101,290.7,316910,1090,"DrivingDistanceAllDrives",2007
19,19,"Anthony Kim",93,290.6,322858,1111,"DrivingDistanceAllDrives",2007
20,20,"Mathias Gronberg",95,290.5,356674,1228,"DrivingDistanceAllDrives",2007
21,21,"Bubba Dickerson",51,290.2,174133,600,"DrivingDistanceAllDrives",2007
22,22,"Geoff Ogilvy",84,290,261027,900,"DrivingDistanceAllDrives",2007
22,22,"Vijay Singh",102,290,332919,1148,"DrivingDistanceAllDrives",2007
24,24,"Matt Hendrix",63,289.8,222565,768,"DrivingDistanceAllDrives",2007
24,24,"Charles Warren",101,289.8,376453,1299,"DrivingDistanceAllDrives",2007
26,26,"Jason Gore",86,289.6,315714,1090,"DrivingDistanceAllDrives",2007
27,27,"Steve Allan",63,289.5,221792,766,"DrivingDistanceAllDrives",2007
28,28,"Phil Mickelson",73,289.2,210572,728,"DrivingDistanceAllDrives",2007
29,29,"Ernie Els",59,289.1,178108,616,"DrivingDistanceAllDrives",2007
30,30,"Kevin Stadler",95,288.6,315177,1092,"DrivingDistanceAllDrives",2007
31,31,"Robert Allenby",90,288.5,303456,1052,"DrivingDistanceAllDrives",2007
32,32,"Troy Matteson",87,288.2,305780,1061,"DrivingDistanceAllDrives",2007
33,33,"Craig Barlow",52,287.8,176983,615,"DrivingDistanceAllDrives",2007
34,34,"Steve Marino",106,287.7,366795,1275,"DrivingDistanceAllDrives",2007
35,35,"DJ Trahan",99,287.3,360513,1255,"DrivingDistanceAllDrives",2007
36,36,"Lucas Glover",98,287.2,313321,1091,"DrivingDistanceAllDrives",2007
37,37,"Davis Love III",66,287.1,213896,745,"DrivingDistanceAllDrives",2007
38,38,"Daniel Chopra",106,286.9,380997,1328,"DrivingDistanceAllDrives",2007
38,38,"Kenny Perry",83,286.9,298926,1042,"DrivingDistanceAllDrives",2007
40,40,"Brendon de Jonge",76,286.7,264303,922,"DrivingDistanceAllDrives",2007
41,41,"Retief Goosen",50,286.6,136404,476,"DrivingDistanceAllDrives",2007
42,42,"Paul Stankowski",52,286.5,167896,586,"DrivingDistanceAllDrives",2007
43,43,"Andrew Buckle",77,286.3,269169,940,"DrivingDistanceAllDrives",2007
43,43,"John Merrick",92,286.3,324670,1134,"DrivingDistanceAllDrives",2007
43,43,"Greg Owen",81,286.3,281675,984,"DrivingDistanceAllDrives",2007
46,46,"Mathew Goggin",97,286.1,346424,1211,"DrivingDistanceAllDrives",2007
46,46,"Jarrod Lyle",77,286.1,267784,936,"DrivingDistanceAllDrives",2007
46,46,"Sean OHair",98,286.1,333001,1164,"DrivingDistanceAllDrives",2007
46,46,"John Rollins",102,286.1,336166,1175,"DrivingDistanceAllDrives",2007
50,50,"Hunter Mahan",91,285.8,287496,1006,"DrivingDistanceAllDrives",2007
50,50,"George McNeill",95,285.8,317770,1112,"DrivingDistanceAllDrives",2007
50,50,"Camilo Villegas",82,285.8,273781,958,"DrivingDistanceAllDrives",2007
53,53,"Stuart Appleby",74,285.6,232442,814,"DrivingDistanceAllDrives",2007
54,54,"Chris Tidland",59,285.5,203270,712,"DrivingDistanceAllDrives",2007
55,55,"Ted Purdy",102,285.4,347344,1217,"DrivingDistanceAllDrives",2007
56,56,"Stewart Cink",91,285.3,287332,1007,"DrivingDistanceAllDrives",2007
56,56,"Ryan Palmer",91,285.3,326054,1143,"DrivingDistanceAllDrives",2007
56,56,"Jason Schultz",63,285.3,211672,742,"DrivingDistanceAllDrives",2007
59,59,"Padraig Harrington",64,285.2,183669,644,"DrivingDistanceAllDrives",2007
59,59,"Steve Lowery",74,285.2,276626,970,"DrivingDistanceAllDrives",2007
61,61,"JP Hayes",89,285,317813,1115,"DrivingDistanceAllDrives",2007
62,62,"Joe Ogilvie",102,284.8,344651,1210,"DrivingDistanceAllDrives",2007
62,62,"Rod Pampling",92,284.8,295918,1039,"DrivingDistanceAllDrives",2007
64,64,"Bo Van Pelt",104,284.7,384673,1351,"DrivingDistanceAllDrives",2007
65,65,"Justin Rose",63,284.5,155358,546,"DrivingDistanceAllDrives",2007
66,66,"Mark Calcavecchia",93,284.4,289823,1019,"DrivingDistanceAllDrives",2007
66,66,"Peter Lonard",85,284.4,300935,1058,"DrivingDistanceAllDrives",2007
68,68,"JJ Henry",86,284.3,270389,951,"DrivingDistanceAllDrives",2007
68,68,"Pat Perez",84,284.3,257306,905,"DrivingDistanceAllDrives",2007
70,70,"Aaron Baddeley",83,284.2,263751,928,"DrivingDistanceAllDrives",2007
71,71,"Will Ma Kenzie",100,284.1,360805,1270,"DrivingDistanceAllDrives",2007
72,72,"Rich Beem",89,284,278328,980,"DrivingDistanceAllDrives",2007
72,72,"Jonathan Byrd",73,284,245336,864,"DrivingDistanceAllDrives",2007
72,72,"John Senden",97,284,333960,1176,"DrivingDistanceAllDrives",2007
75,75,"Kyle Reifers",71,283.8,250860,884,"DrivingDistanceAllDrives",2007
75,75,"Kevin Sutherland",85,283.8,273622,964,"DrivingDistanceAllDrives",2007
77,77,"Carl Pettersson",111,283.7,366196,1291,"DrivingDistanceAllDrives",2007
78,78,"Rory Sabbatini",81,283.6,250987,885,"DrivingDistanceAllDrives",2007
79,79,"Sergio Garcia",68,283.5,217195,766,"DrivingDistanceAllDrives",2007
79,79,"Mike Weir",82,283.5,238120,840,"DrivingDistanceAllDrives",2007
81,81,"Jay Williamson",50,283.2,190278,672,"DrivingDistanceAllDrives",2007
82,82,"Brian Bateman",55,282.9,174815,618,"DrivingDistanceAllDrives",2007
82,82,"Michael Putnam",96,282.9,316510,1119,"DrivingDistanceAllDrives",2007
82,82,"Michael Sim",52,282.9,198566,702,"DrivingDistanceAllDrives",2007
85,85,"Jeff Brehaut",59,282.8,193450,684,"DrivingDistanceAllDrives",2007
86,86,"Bryce Molder",56,282.3,193916,687,"DrivingDistanceAllDrives",2007
86,86,"Jim Rutledge",59,282.3,182387,646,"DrivingDistanceAllDrives",2007
88,88,"Cameron Beckman",96,282.2,335290,1188,"DrivingDistanceAllDrives",2007
88,88,"Brett Quigley",79,282.2,248607,881,"DrivingDistanceAllDrives",2007
90,90,"Chris Stroud",66,282,221624,786,"DrivingDistanceAllDrives",2007
91,91,"Michael Allen",74,281.9,251422,892,"DrivingDistanceAllDrives",2007
91,91,"Todd Hamilton",76,281.9,228379,810,"DrivingDistanceAllDrives",2007
93,93,"Trevor Immelman",74,281.7,212969,756,"DrivingDistanceAllDrives",2007
94,94,"DJ Brigman",67,281.6,212874,756,"DrivingDistanceAllDrives",2007
94,94,"Jeff Gove",103,281.6,369520,1312,"DrivingDistanceAllDrives",2007
94,94,"Ryan Moore",92,281.6,294305,1045,"DrivingDistanceAllDrives",2007
97,97,"Briny Baird",115,281.5,412665,1466,"DrivingDistanceAllDrives",2007
97,97,"Tom Johnson",74,281.5,247144,878,"DrivingDistanceAllDrives",2007
99,99,"Vaughn Taylor",91,281.4,282561,1004,"DrivingDistanceAllDrives",2007
100,100,"Eric Axley",107,281.3,369959,1315,"DrivingDistanceAllDrives",2007
100,100,"Tim Herron",98,281.3,321491,1143,"DrivingDistanceAllDrives",2007
100,100,"Steve Wheatcroft",73,281.3,240256,854,"DrivingDistanceAllDrives",2007
103,103,"Alex Cejka",80,281.2,289937,1031,"DrivingDistanceAllDrives",2007
104,104,"Marco Dawson",73,281.1,255282,908,"DrivingDistanceAllDrives",2007
105,105,"Woody Austin",95,280.9,329261,1172,"DrivingDistanceAllDrives",2007
105,105,"KJ Choi",87,280.9,267180,951,"DrivingDistanceAllDrives",2007
105,105,"Mark Hensby",81,280.9,281759,1003,"DrivingDistanceAllDrives",2007
108,108,"Billy Andrade",88,280.6,308686,1100,"DrivingDistanceAllDrives",2007
109,109,"Ken Duke",112,280.4,372898,1330,"DrivingDistanceAllDrives",2007
109,109,"Darron Stiles",65,280.4,208090,742,"DrivingDistanceAllDrives",2007
111,111,"Tommy Armour III",81,280.3,270473,965,"DrivingDistanceAllDrives",2007
111,111,"Parker McLachlin",83,280.3,286512,1022,"DrivingDistanceAllDrives",2007
113,113,"Jason Bohn",57,280.2,206524,737,"DrivingDistanceAllDrives",2007
114,114,"David Branshaw",83,280.1,293023,1046,"DrivingDistanceAllDrives",2007
115,115,"Jason Dufner",100,280,340462,1216,"DrivingDistanceAllDrives",2007
116,116,"Kevin Na",84,279.9,305412,1091,"DrivingDistanceAllDrives",2007
117,117,"Rich Barcelo",80,279.8,274245,980,"DrivingDistanceAllDrives",2007
117,117,"Duffy Waldorf",69,279.8,231417,827,"DrivingDistanceAllDrives",2007
119,119,"Tim Petrovic",106,279.6,370425,1325,"DrivingDistanceAllDrives",2007
120,120,"Ryan Armour",107,279.5,366993,1313,"DrivingDistanceAllDrives",2007
120,120,"Daisuke Maruyama",86,279.5,296803,1062,"DrivingDistanceAllDrives",2007
120,120,"Arron Oberholser",69,279.5,206307,738,"DrivingDistanceAllDrives",2007
123,123,"Johnson Wagner",97,279.4,335822,1202,"DrivingDistanceAllDrives",2007
124,124,"Jeff Maggert",79,279.3,304761,1091,"DrivingDistanceAllDrives",2007
125,125,"Joe Durant",88,279.2,286788,1027,"DrivingDistanceAllDrives",2007
125,125,"Frank Lickliter II",95,279.2,331433,1187,"DrivingDistanceAllDrives",2007
127,127,"Cliff Kresge",107,278.9,389095,1395,"DrivingDistanceAllDrives",2007
127,127,"Shaun Micheel",91,278.9,272720,978,"DrivingDistanceAllDrives",2007
129,129,"Chad Campbell",96,278.8,285253,1023,"DrivingDistanceAllDrives",2007
130,130,"David Toms",80,278.6,246574,885,"DrivingDistanceAllDrives",2007
130,130,"Jaco Van Zyl",51,278.6,171621,616,"DrivingDistanceAllDrives",2007
132,132,"Jesper Parnevik",88,278.5,291287,1046,"DrivingDistanceAllDrives",2007
133,133,"Charlie Wi",90,278.4,322351,1158,"DrivingDistanceAllDrives",2007
134,134,"Bob Heintz",85,278.1,278675,1002,"DrivingDistanceAllDrives",2007
134,134,"Brandt Snedeker",105,278.1,333432,1199,"DrivingDistanceAllDrives",2007
134,134,"Bob Tway",103,278.1,341805,1229,"DrivingDistanceAllDrives",2007
137,137,"Kent Jones",97,277.9,341793,1230,"DrivingDistanceAllDrives",2007
137,137,"Steve Stricker",81,277.9,252079,907,"DrivingDistanceAllDrives",2007
139,139,"Steve Flesch",100,277.8,349486,1258,"DrivingDistanceAllDrives",2007
139,139,"Freddie Jacobson",70,277.8,265542,956,"DrivingDistanceAllDrives",2007
139,139,"Lee Janzen",66,277.8,202267,728,"DrivingDistanceAllDrives",2007
142,142,"Tom Lehman",62,277.6,189029,681,"DrivingDistanceAllDrives",2007
142,142,"Mark Wilson",87,277.6,281177,1013,"DrivingDistanceAllDrives",2007
144,144,"Brian Davis",101,277.5,341928,1232,"DrivingDistanceAllDrives",2007
144,144,"Zach Johnson",76,277.5,231978,836,"DrivingDistanceAllDrives",2007
146,146,"Tripp Isenhour",86,277.4,282966,1020,"DrivingDistanceAllDrives",2007
147,147,"Stephen Ames",81,277.1,241323,871,"DrivingDistanceAllDrives",2007
148,148,"Bart Bryant",87,277,286926,1036,"DrivingDistanceAllDrives",2007
148,148,"John Mallinger",96,277,335387,1211,"DrivingDistanceAllDrives",2007
148,148,"Billy Mayfair",98,277,319937,1155,"DrivingDistanceAllDrives",2007
151,151,"Jerry Kelly",101,276.9,291035,1051,"DrivingDistanceAllDrives",2007
152,152,"Ian Poulter",63,276.8,150866,545,"DrivingDistanceAllDrives",2007
153,153,"Chris DiMarco",79,276.2,242499,878,"DrivingDistanceAllDrives",2007
154,154,"Paul Gow",70,276.1,220357,798,"DrivingDistanceAllDrives",2007
154,154,"Nathan Green",103,276.1,333806,1209,"DrivingDistanceAllDrives",2007
154,154,"Justin Leonard",95,276.1,317197,1149,"DrivingDistanceAllDrives",2007
154,154,"Joey Sindelar",75,276.1,257368,932,"DrivingDistanceAllDrives",2007
158,158,"Luke Donald",69,275.7,194078,704,"DrivingDistanceAllDrives",2007
159,159,"Robert Gamez",88,275.6,292675,1062,"DrivingDistanceAllDrives",2007
159,159,"Jeff Quinney",95,275.6,331505,1203,"DrivingDistanceAllDrives",2007
161,161,"Ryuji Imada",104,275.5,342477,1243,"DrivingDistanceAllDrives",2007
161,161,"Tom Pernice Jr",104,275.5,323999,1176,"DrivingDistanceAllDrives",2007
