"ApexHeight_RANKTHISWEEK_2009","ApexHeight_RANKLASTWEEK_2009","ApexHeight_PLAYERNAME_2009","ApexHeight_ROUNDS_2009","ApexHeight_AVG_2009","ApexHeight_TOTALAPEXHEIGHT_2009","ApexHeight_TOTALATTEMPTS_2009","ApexHeight_HIGHESTAPEXPOINT_2009","ApexHeight_LOWESTAPEXPOINT_2009","stat_name","year"
1,1,"Marc Leishman",91,NA,NA,71,NA,NA,"ApexHeight",2009
2,2,"Jimmy Walker",74,NA,NA,50,NA,NA,"ApexHeight",2009
3,3,"Phil Mickelson",66,NA,NA,43,NA,NA,"ApexHeight",2009
4,4,"Robert Garrigus",83,NA,NA,60,NA,NA,"ApexHeight",2009
5,5,"Harrison Frazar",93,NA,NA,72,NA,NA,"ApexHeight",2009
6,6,"JB Holmes",74,NA,NA,51,NA,NA,"ApexHeight",2009
7,7,"Gary Woodland",53,NA,NA,30,NA,NA,"ApexHeight",2009
8,8,"Tag Ridings",50,NA,NA,41,NA,NA,"ApexHeight",2009
9,9,"Vijay Singh",71,NA,NA,60,NA,NA,"ApexHeight",2009
10,10,"Kevin Sutherland",96,NA,NA,64,NA,NA,"ApexHeight",2009
11,11,"Charley Hoffman",97,NA,NA,80,NA,NA,"ApexHeight",2009
12,12,"Jonathan Byrd",89,NA,NA,62,NA,NA,"ApexHeight",2009
13,13,"Bubba Watson",73,NA,NA,48,NA,NA,"ApexHeight",2009
14,14,"Brian Bateman",55,NA,NA,48,NA,NA,"ApexHeight",2009
14,14,"Davis Love III",89,NA,NA,66,NA,NA,"ApexHeight",2009
16,16,"John Merrick",91,NA,NA,69,NA,NA,"ApexHeight",2009
17,17,"Darron Stiles",52,NA,NA,33,NA,NA,"ApexHeight",2009
18,18,"Andres Romero",58,NA,NA,50,NA,NA,"ApexHeight",2009
19,19,"Webb Simpson",94,NA,NA,74,NA,NA,"ApexHeight",2009
19,19,"Tiger Woods",64,NA,NA,40,NA,NA,"ApexHeight",2009
21,21,"Steve Marino",98,NA,NA,82,NA,NA,"ApexHeight",2009
22,22,"Dustin Johnson",85,NA,NA,64,NA,NA,"ApexHeight",2009
23,23,"Ryan Palmer",78,NA,NA,68,NA,NA,"ApexHeight",2009
24,24,"Jason Day",61,NA,NA,48,NA,NA,"ApexHeight",2009
25,25,"Padraig Harrington",66,NA,NA,46,NA,NA,"ApexHeight",2009
25,25,"Geoff Ogilvy",78,NA,NA,67,NA,NA,"ApexHeight",2009
27,27,"Ted Purdy",101,NA,NA,79,NA,NA,"ApexHeight",2009
28,28,"Troy Matteson",95,NA,NA,85,NA,NA,"ApexHeight",2009
29,29,"Anthony Kim",76,NA,NA,57,NA,NA,"ApexHeight",2009
30,30,"Mark Wilson",99,NA,NA,77,NA,NA,"ApexHeight",2009
31,31,"Retief Goosen",74,NA,NA,54,NA,NA,"ApexHeight",2009
32,32,"Kevin Stadler",65,NA,NA,45,NA,NA,"ApexHeight",2009
33,33,"Billy Mayfair",83,NA,NA,65,NA,NA,"ApexHeight",2009
34,34,"Nicholas Thompson",96,NA,NA,80,NA,NA,"ApexHeight",2009
35,35,"David Duval",56,NA,NA,35,NA,NA,"ApexHeight",2009
36,36,"Martin Laird",72,NA,NA,49,NA,NA,"ApexHeight",2009
37,37,"Robert Allenby",71,NA,NA,55,NA,NA,"ApexHeight",2009
38,38,"Kevin Streelman",97,NA,NA,85,NA,NA,"ApexHeight",2009
39,39,"Charles Warren",63,NA,NA,47,NA,NA,"ApexHeight",2009
40,40,"Scott Piercy",85,NA,NA,61,NA,NA,"ApexHeight",2009
41,41,"Chris Stroud",88,NA,NA,56,NA,NA,"ApexHeight",2009
42,42,"George McNeill",82,NA,NA,74,NA,NA,"ApexHeight",2009
42,42,"Joe Ogilvie",85,NA,NA,65,NA,NA,"ApexHeight",2009
44,44,"Brandt Snedeker",81,NA,NA,61,NA,NA,"ApexHeight",2009
45,45,"Brendon Todd",53,NA,NA,48,NA,NA,"ApexHeight",2009
46,46,"Rick Price",54,NA,NA,39,NA,NA,"ApexHeight",2009
47,47,"Scott McCarron",91,NA,NA,74,NA,NA,"ApexHeight",2009
47,47,"Kenny Perry",92,NA,NA,77,NA,NA,"ApexHeight",2009
49,49,"Ernie Els",70,NA,NA,51,NA,NA,"ApexHeight",2009
50,50,"Rich Beem",77,NA,NA,52,NA,NA,"ApexHeight",2009
50,50,"Leif Olson",51,NA,NA,38,NA,NA,"ApexHeight",2009
52,52,"Bob Heintz",59,NA,NA,43,NA,NA,"ApexHeight",2009
52,52,"Bo Van Pelt",100,NA,NA,73,NA,NA,"ApexHeight",2009
52,52,"Matt Weibring",65,NA,NA,48,NA,NA,"ApexHeight",2009
55,55,"Chris DiMarco",97,NA,NA,81,NA,NA,"ApexHeight",2009
55,55,"Mathew Goggin",76,NA,NA,56,NA,NA,"ApexHeight",2009
57,57,"Kent Jones",73,NA,NA,53,NA,NA,"ApexHeight",2009
58,58,"Luke Donald",79,NA,NA,64,NA,NA,"ApexHeight",2009
59,59,"Vaughn Taylor",88,NA,NA,65,NA,NA,"ApexHeight",2009
60,60,"Matt Jones",56,NA,NA,39,NA,NA,"ApexHeight",2009
61,61,"Bryce Molder",69,NA,NA,52,NA,NA,"ApexHeight",2009
62,62,"Stewart Cink",79,NA,NA,64,NA,NA,"ApexHeight",2009
63,63,"Pat Perez",74,NA,NA,63,NA,NA,"ApexHeight",2009
64,64,"Angel Cabrera",55,NA,NA,36,NA,NA,"ApexHeight",2009
65,65,"Brian Davis",103,NA,NA,93,NA,NA,"ApexHeight",2009
66,66,"Jason Bohn",88,NA,NA,81,NA,NA,"ApexHeight",2009
67,67,"Bill Haas",91,NA,NA,80,NA,NA,"ApexHeight",2009
67,67,"John Senden",100,NA,NA,78,NA,NA,"ApexHeight",2009
69,69,"Aron Price",89,NA,NA,71,NA,NA,"ApexHeight",2009
70,70,"Brendon de Jonge",90,NA,NA,67,NA,NA,"ApexHeight",2009
70,70,"David Toms",98,NA,NA,80,NA,NA,"ApexHeight",2009
72,72,"John Rollins",92,NA,NA,78,NA,NA,"ApexHeight",2009
73,73,"Fred Couples",54,NA,NA,41,NA,NA,"ApexHeight",2009
74,74,"Bill Lunde",83,NA,NA,75,NA,NA,"ApexHeight",2009
75,75,"Aaron Baddeley",66,NA,NA,48,NA,NA,"ApexHeight",2009
76,76,"Sergio Garcia",59,NA,NA,42,NA,NA,"ApexHeight",2009
76,76,"John Mallinger",90,NA,NA,73,NA,NA,"ApexHeight",2009
78,78,"Brett Quigley",92,NA,NA,70,NA,NA,"ApexHeight",2009
78,78,"Marc Turnesa",77,NA,NA,76,NA,NA,"ApexHeight",2009
80,80,"Jason Gore",74,NA,NA,57,NA,NA,"ApexHeight",2009
81,81,"Mark Calcavecchia",72,NA,NA,56,NA,NA,"ApexHeight",2009
82,82,"James Nitties",86,NA,NA,56,NA,NA,"ApexHeight",2009
