"Approaches100yardsRghRTP_RANKTHISWEEK_2008","Approaches100yardsRghRTP_RANKLASTWEEK_2008","Approaches100yardsRghRTP_PLAYERNAME_2008","Approaches100yardsRghRTP_ROUNDS_2008","Approaches100yardsRghRTP_AVGRTP_2008","stat_name","year"
1,1,"Mark Calcavecchia",67,0.014,"Approaches100yardsRghRTP",2008
2,2,"Mike Weir",88,0.035,"Approaches100yardsRghRTP",2008
3,3,"Parker McLachlin",88,0.036,"Approaches100yardsRghRTP",2008
4,4,"Anthony Kim",81,0.042,"Approaches100yardsRghRTP",2008
5,5,"Steve Allan",58,0.043,"Approaches100yardsRghRTP",2008
6,6,"Bill Haas",99,0.045,"Approaches100yardsRghRTP",2008
6,6,"Bubba Watson",97,0.045,"Approaches100yardsRghRTP",2008
8,8,"Fred Couples",60,0.05,"Approaches100yardsRghRTP",2008
9,9,"Davis Love III",78,0.055,"Approaches100yardsRghRTP",2008
9,9,"Vijay Singh",82,0.055,"Approaches100yardsRghRTP",2008
11,11,"Carl Pettersson",110,0.058,"Approaches100yardsRghRTP",2008
12,12,"Ben Crane",86,0.061,"Approaches100yardsRghRTP",2008
13,13,"Phil Mickelson",80,0.065,"Approaches100yardsRghRTP",2008
14,14,"Adam Scott",51,0.066,"Approaches100yardsRghRTP",2008
15,15,"Charles Howell III",101,0.067,"Approaches100yardsRghRTP",2008
16,16,"Scott Sterling",89,0.074,"Approaches100yardsRghRTP",2008
16,16,"Scott Verplank",82,0.074,"Approaches100yardsRghRTP",2008
18,18,"Peter Lonard",92,0.075,"Approaches100yardsRghRTP",2008
19,19,"Daniel Chopra",84,0.077,"Approaches100yardsRghRTP",2008
19,19,"Steve Elkington",84,0.077,"Approaches100yardsRghRTP",2008
19,19,"Nick Watney",96,0.077,"Approaches100yardsRghRTP",2008
22,22,"Bob Estes",90,0.078,"Approaches100yardsRghRTP",2008
23,23,"Sergio Garcia",72,0.081,"Approaches100yardsRghRTP",2008
23,23,"Jerry Kelly",89,0.081,"Approaches100yardsRghRTP",2008
25,25,"Billy Mayfair",103,0.087,"Approaches100yardsRghRTP",2008
26,26,"Stewart Cink",87,0.088,"Approaches100yardsRghRTP",2008
27,27,"Aaron Baddeley",76,0.091,"Approaches100yardsRghRTP",2008
27,27,"Robert Garrigus",90,0.091,"Approaches100yardsRghRTP",2008
27,27,"Zach Johnson",85,0.091,"Approaches100yardsRghRTP",2008
27,27,"David Toms",70,0.091,"Approaches100yardsRghRTP",2008
31,31,"Jimmy Walker",73,0.092,"Approaches100yardsRghRTP",2008
32,32,"Mathew Goggin",91,0.093,"Approaches100yardsRghRTP",2008
32,32,"Patrick Sheehan",124,0.093,"Approaches100yardsRghRTP",2008
34,34,"Jeff Overton",103,0.094,"Approaches100yardsRghRTP",2008
34,34,"Steve Stricker",75,0.094,"Approaches100yardsRghRTP",2008
36,36,"Brenden Pappas",66,0.096,"Approaches100yardsRghRTP",2008
37,37,"Brett Quigley",80,0.097,"Approaches100yardsRghRTP",2008
38,38,"Scott McCarron",63,0.098,"Approaches100yardsRghRTP",2008
39,39,"Charlie Wi",97,0.1,"Approaches100yardsRghRTP",2008
40,40,"Alejandro Canizares",52,0.102,"Approaches100yardsRghRTP",2008
40,40,"JB Holmes",86,0.102,"Approaches100yardsRghRTP",2008
40,40,"Bob Tway",70,0.102,"Approaches100yardsRghRTP",2008
43,43,"Jon Mills",95,0.103,"Approaches100yardsRghRTP",2008
43,43,"Joe Ogilvie",100,0.103,"Approaches100yardsRghRTP",2008
43,43,"Marc Turnesa",87,0.103,"Approaches100yardsRghRTP",2008
46,46,"John Huston",56,0.104,"Approaches100yardsRghRTP",2008
46,46,"Michael Letzig",88,0.104,"Approaches100yardsRghRTP",2008
48,48,"Ryan Palmer",69,0.106,"Approaches100yardsRghRTP",2008
48,48,"Heath Slocum",104,0.106,"Approaches100yardsRghRTP",2008
50,50,"Padraig Harrington",52,0.107,"Approaches100yardsRghRTP",2008
51,51,"Brandt Snedeker",85,0.108,"Approaches100yardsRghRTP",2008
52,52,"Stuart Appleby",87,0.111,"Approaches100yardsRghRTP",2008
52,52,"Harrison Frazar",73,0.111,"Approaches100yardsRghRTP",2008
52,52,"Brett Rumford",72,0.111,"Approaches100yardsRghRTP",2008
55,55,"Dustin Johnson",92,0.113,"Approaches100yardsRghRTP",2008
56,56,"Kevin Streelman",114,0.114,"Approaches100yardsRghRTP",2008
57,57,"Tim Clark",90,0.117,"Approaches100yardsRghRTP",2008
57,57,"Carlos Franco",73,0.117,"Approaches100yardsRghRTP",2008
57,57,"Camilo Villegas",79,0.117,"Approaches100yardsRghRTP",2008
60,60,"Tim Herron",97,0.118,"Approaches100yardsRghRTP",2008
60,60,"Ian Poulter",51,0.118,"Approaches100yardsRghRTP",2008
62,62,"Briny Baird",113,0.121,"Approaches100yardsRghRTP",2008
63,63,"Stephen Ames",83,0.123,"Approaches100yardsRghRTP",2008
64,64,"Tom Lehman",51,0.126,"Approaches100yardsRghRTP",2008
64,64,"Kenny Perry",97,0.126,"Approaches100yardsRghRTP",2008
64,64,"John Rollins",94,0.126,"Approaches100yardsRghRTP",2008
67,67,"Nathan Green",95,0.127,"Approaches100yardsRghRTP",2008
