"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2015","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2015","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2015","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2015","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2015","stat_name","year"
1,1,"Branden Grace",13,565,"NonWGCFedExCupSeasonPointsforNonMembers",2015
2,2,"Patrick Rodgers",17,555,"NonWGCFedExCupSeasonPointsforNonMembers",2015
3,3,"Cameron Smith",13,455,"NonWGCFedExCupSeasonPointsforNonMembers",2015
4,4,"Austin Cook",7,295,"NonWGCFedExCupSeasonPointsforNonMembers",2015
5,5,"Anirban Lahiri",12,215,"NonWGCFedExCupSeasonPointsforNonMembers",2015
6,6,"Emiliano Grillo",5,191,"NonWGCFedExCupSeasonPointsforNonMembers",2015
7,7,"Danny Willett",10,181,"NonWGCFedExCupSeasonPointsforNonMembers",2015
8,8,"Joost Luiten",13,148,"NonWGCFedExCupSeasonPointsforNonMembers",2015
9,9,"George Coetzee",7,126,"NonWGCFedExCupSeasonPointsforNonMembers",2015
10,10,"Marc Warren",9,120,"NonWGCFedExCupSeasonPointsforNonMembers",2015
11,11,"Ollie Schniederjans",7,99,"NonWGCFedExCupSeasonPointsforNonMembers",2015
12,12,"Kiradech Aphibarnrat",4,94,"NonWGCFedExCupSeasonPointsforNonMembers",2015
13,13,"Andy Sullivan",6,94,"NonWGCFedExCupSeasonPointsforNonMembers",2015
14,14,"Thomas Aiken",4,89,"NonWGCFedExCupSeasonPointsforNonMembers",2015
15,15,"Rafa Cabrera Bello",4,87,"NonWGCFedExCupSeasonPointsforNonMembers",2015
16,16,"Jamie Lovemark",2,86,"NonWGCFedExCupSeasonPointsforNonMembers",2015
17,17,"Bernd Wiesberger",11,85,"NonWGCFedExCupSeasonPointsforNonMembers",2015
18,18,"Prom Meesawat",1,75,"NonWGCFedExCupSeasonPointsforNonMembers",2015
18,18,"Angelo Que",1,75,"NonWGCFedExCupSeasonPointsforNonMembers",2015
20,20,"Marcel Siem",8,73,"NonWGCFedExCupSeasonPointsforNonMembers",2015
21,21,"Mark Anderson",7,69,"NonWGCFedExCupSeasonPointsforNonMembers",2015
22,22,"Peter Uihlein",4,68,"NonWGCFedExCupSeasonPointsforNonMembers",2015
23,23,"Anthony Wall",1,64,"NonWGCFedExCupSeasonPointsforNonMembers",2015
24,24,"Brandon Hagy",8,63,"NonWGCFedExCupSeasonPointsforNonMembers",2015
25,25,"Stephen Gallacher",11,61,"NonWGCFedExCupSeasonPointsforNonMembers",2015
26,26,"Marcus Fraser",2,51,"NonWGCFedExCupSeasonPointsforNonMembers",2015
27,27,"Byeong Hun An",5,50,"NonWGCFedExCupSeasonPointsforNonMembers",2015
28,28,"Hiroshi Iwata",4,49,"NonWGCFedExCupSeasonPointsforNonMembers",2015
29,29,"James Morrison",2,47,"NonWGCFedExCupSeasonPointsforNonMembers",2015
30,30,"Tyrrell Hatton",2,44,"NonWGCFedExCupSeasonPointsforNonMembers",2015
30,30,"Cheng Tsung Pan",2,44,"NonWGCFedExCupSeasonPointsforNonMembers",2015
32,32,"Cory Whitsett",2,43,"NonWGCFedExCupSeasonPointsforNonMembers",2015
33,33,"Alexander Levy",8,41,"NonWGCFedExCupSeasonPointsforNonMembers",2015
34,34,"Tommy Fleetwood",7,39,"NonWGCFedExCupSeasonPointsforNonMembers",2015
34,34,"Jimmy Gunn",1,39,"NonWGCFedExCupSeasonPointsforNonMembers",2015
36,36,"Hyung Sung Kim",2,38,"NonWGCFedExCupSeasonPointsforNonMembers",2015
36,36,"Garrett Osborn",4,38,"NonWGCFedExCupSeasonPointsforNonMembers",2015
38,38,"DH Lee",2,37,"NonWGCFedExCupSeasonPointsforNonMembers",2015
39,39,"Cameron Wilson",3,37,"NonWGCFedExCupSeasonPointsforNonMembers",2015
40,40,"Adam Svensson",1,34,"NonWGCFedExCupSeasonPointsforNonMembers",2015
41,41,"Michael Smith",1,32,"NonWGCFedExCupSeasonPointsforNonMembers",2015
42,42,"Wes Homan",4,32,"NonWGCFedExCupSeasonPointsforNonMembers",2015
43,43,"Rikard Karlberg",2,29,"NonWGCFedExCupSeasonPointsforNonMembers",2015
44,44,"Martin Piller",1,28,"NonWGCFedExCupSeasonPointsforNonMembers",2015
45,45,"Scott Arnold",1,27,"NonWGCFedExCupSeasonPointsforNonMembers",2015
45,45,"Paul Lawrie",1,27,"NonWGCFedExCupSeasonPointsforNonMembers",2015
45,45,"JJ Spaun",1,27,"NonWGCFedExCupSeasonPointsforNonMembers",2015
48,48,"Cody Gribble",4,26,"NonWGCFedExCupSeasonPointsforNonMembers",2015
49,49,"Wes Roach",1,26,"NonWGCFedExCupSeasonPointsforNonMembers",2015
50,50,"Jason Allred",3,26,"NonWGCFedExCupSeasonPointsforNonMembers",2015
51,51,"Kelvin Day",2,26,"NonWGCFedExCupSeasonPointsforNonMembers",2015
52,52,"Jason Knutzon",2,25,"NonWGCFedExCupSeasonPointsforNonMembers",2015
53,53,"Brad Fritsch",3,24,"NonWGCFedExCupSeasonPointsforNonMembers",2015
54,54,"Steve Lewton",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2015
55,55,"Fabrizio Zanotti",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2015
56,56,"Thongchai Jaidee",10,21,"NonWGCFedExCupSeasonPointsforNonMembers",2015
57,57,"Thomas Bjorn",7,21,"NonWGCFedExCupSeasonPointsforNonMembers",2015
58,58,"Chris Naegel",2,19,"NonWGCFedExCupSeasonPointsforNonMembers",2015
59,59,"Sebastian Cappelen",2,19,"NonWGCFedExCupSeasonPointsforNonMembers",2015
60,60,"Darren Clarke",6,19,"NonWGCFedExCupSeasonPointsforNonMembers",2015
61,61,"Ryan Fox",1,18,"NonWGCFedExCupSeasonPointsforNonMembers",2015
61,61,"David Howell",2,18,"NonWGCFedExCupSeasonPointsforNonMembers",2015
61,61,"Eddie Pepperell",2,18,"NonWGCFedExCupSeasonPointsforNonMembers",2015
64,64,"Doug LaBelle II",1,17,"NonWGCFedExCupSeasonPointsforNonMembers",2015
64,64,"Kevin Tway",1,17,"NonWGCFedExCupSeasonPointsforNonMembers",2015
66,66,"Tom Johnson",2,16,"NonWGCFedExCupSeasonPointsforNonMembers",2015
67,67,"Mark Silvers",2,16,"NonWGCFedExCupSeasonPointsforNonMembers",2015
68,68,"Alexandre Rocha",1,15,"NonWGCFedExCupSeasonPointsforNonMembers",2015
69,69,"Mikko Ilonen",8,14,"NonWGCFedExCupSeasonPointsforNonMembers",2015
70,70,"Patton Kizzire",2,13,"NonWGCFedExCupSeasonPointsforNonMembers",2015
71,71,"Alex Kang",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2015
72,72,"David Lipsky",5,11,"NonWGCFedExCupSeasonPointsforNonMembers",2015
73,73,"Brad Elder",1,11,"NonWGCFedExCupSeasonPointsforNonMembers",2015
74,74,"Cory Renfrew",1,9,"NonWGCFedExCupSeasonPointsforNonMembers",2015
75,75,"Robert Karlsson",2,9,"NonWGCFedExCupSeasonPointsforNonMembers",2015
76,76,"Andy Pope",2,8,"NonWGCFedExCupSeasonPointsforNonMembers",2015
77,77,"WC Liang",5,6,"NonWGCFedExCupSeasonPointsforNonMembers",2015
78,78,"Scott Gutschewski",1,5,"NonWGCFedExCupSeasonPointsforNonMembers",2015
78,78,"Colin Montgomerie",2,5,"NonWGCFedExCupSeasonPointsforNonMembers",2015
80,80,"Danny Chia",1,4,"NonWGCFedExCupSeasonPointsforNonMembers",2015
80,80,"Nicholas Fung",1,4,"NonWGCFedExCupSeasonPointsforNonMembers",2015
82,82,"Smylie Kaufman",2,3,"NonWGCFedExCupSeasonPointsforNonMembers",2015
83,83,"Michael Block",6,2,"NonWGCFedExCupSeasonPointsforNonMembers",2015
84,84,"John Chin",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2015
85,85,"Alvaro Quiros",2,2,"NonWGCFedExCupSeasonPointsforNonMembers",2015
86,86,"Jay Woodson",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2015
87,87,"Ross Fisher",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
87,87,"Richie Ramsay",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
89,89,"Brian Gaffney",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
89,89,"Bobby Wyatt",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
91,91,"Antonio Lascuna",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
92,92,"Daniel Miernicki",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
93,93,"Thomas Birdsey",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
93,93,"John Parry",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
95,95,"Michael McCabe",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
95,95,"Koumei Oda",4,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
97,97,"Richy Werenski",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
98,98,"James Driscoll",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
99,99,"Brett Rumford",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
100,100,"Seukhyun Baek",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
101,101,"Marcelo Rozo",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2015
