"PercentageofAvailablePurseWon_RANKTHISWEEK_2015","PercentageofAvailablePurseWon_RANKLASTWEEK_2015","PercentageofAvailablePurseWon_PLAYERNAME_2015","PercentageofAvailablePurseWon_EVENTS_2015","PercentageofAvailablePurseWon_Pct_2015","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2015","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2015","stat_name","year"
1,1,"Jordan Spieth",25,6.21,12030463,193650000,"PercentageofAvailablePurseWon",2015
2,2,"Jason Day",20,5.89,9403328,159550000,"PercentageofAvailablePurseWon",2015
3,3,"Rory McIlroy",12,4.73,4863311,102750000,"PercentageofAvailablePurseWon",2015
4,4,"Bubba Watson",19,4.41,6876795,156050000,"PercentageofAvailablePurseWon",2015
5,5,"Henrik Stenson",16,3.45,4755069,137750000,"PercentageofAvailablePurseWon",2015
6,6,"Rickie Fowler",21,3.4,5773428,169850000,"PercentageofAvailablePurseWon",2015
7,7,"Justin Rose",20,3.35,5462676,163150000,"PercentageofAvailablePurseWon",2015
8,8,"Dustin Johnson",21,3.27,5509463,168250000,"PercentageofAvailablePurseWon",2015
9,9,"Prom Meesawat",1,2.7,189000,7e+06,"PercentageofAvailablePurseWon",2015
9,9,"Angelo Que",1,2.7,189000,7e+06,"PercentageofAvailablePurseWon",2015
11,11,"Zach Johnson",25,2.55,4801486,188050000,"PercentageofAvailablePurseWon",2015
12,12,"Thorbjorn Olesen",1,2.51,213666,8500000,"PercentageofAvailablePurseWon",2015
13,13,"Jim Furyk",19,2.45,3732663,152300000,"PercentageofAvailablePurseWon",2015
14,14,"Jimmy Walker",24,2.4,4521345,188250000,"PercentageofAvailablePurseWon",2015
15,15,"Sergio Garcia",15,2.11,2670227,126500000,"PercentageofAvailablePurseWon",2015
16,16,"JB Holmes",25,2.07,4037427,195350000,"PercentageofAvailablePurseWon",2015
16,16,"Shane Lowry",13,2.07,2298516,111050000,"PercentageofAvailablePurseWon",2015
18,18,"Brooks Koepka",23,2.01,3571898,177650000,"PercentageofAvailablePurseWon",2015
18,18,"Louis Oosthuizen",20,2.01,3251172,161600000,"PercentageofAvailablePurseWon",2015
20,20,"Charley Hoffman",28,1.96,4041087,206550000,"PercentageofAvailablePurseWon",2015
21,21,"Hideki Matsuyama",25,1.94,3758615,193250000,"PercentageofAvailablePurseWon",2015
22,22,"Paul Casey",24,1.88,3488309,185250000,"PercentageofAvailablePurseWon",2015
23,23,"Robert Streb",30,1.83,3947421,215900000,"PercentageofAvailablePurseWon",2015
24,24,"Brandt Snedeker",27,1.8,3698053,205950000,"PercentageofAvailablePurseWon",2015
25,25,"Anthony Wall",1,1.76,162107,9200000,"PercentageofAvailablePurseWon",2015
26,26,"Patrick Reed",27,1.73,3590563,207350000,"PercentageofAvailablePurseWon",2015
27,27,"Kevin Kisner",30,1.7,3567937,209450000,"PercentageofAvailablePurseWon",2015
28,28,"Branden Grace",13,1.64,1761659,107150000,"PercentageofAvailablePurseWon",2015
29,29,"Danny Lee",36,1.59,3965929,249050000,"PercentageofAvailablePurseWon",2015
30,30,"Bill Haas",25,1.58,3064022,193650000,"PercentageofAvailablePurseWon",2015
31,31,"Chris Kirk",21,1.53,2369324,154650000,"PercentageofAvailablePurseWon",2015
32,32,"Scott Piercy",28,1.5,2780024,184900000,"PercentageofAvailablePurseWon",2015
33,33,"Matt Kuchar",25,1.47,2774168,188550000,"PercentageofAvailablePurseWon",2015
34,34,"Phil Mickelson",19,1.45,2154197,148950000,"PercentageofAvailablePurseWon",2015
35,35,"Daniel Berger",31,1.44,3028900,210400000,"PercentageofAvailablePurseWon",2015
35,35,"Hiroshi Iwata",4,1.44,479332,33300000,"PercentageofAvailablePurseWon",2015
35,35,"Ryan Moore",24,1.44,2642303,183700000,"PercentageofAvailablePurseWon",2015
38,38,"Austin Cook",7,1.43,537647,37500000,"PercentageofAvailablePurseWon",2015
39,39,"Gary Woodland",24,1.42,2605080,1.84e+08,"PercentageofAvailablePurseWon",2015
40,40,"David Lingmerth",28,1.41,2736375,1.94e+08,"PercentageofAvailablePurseWon",2015
40,40,"Danny Willett",10,1.41,1265934,89850000,"PercentageofAvailablePurseWon",2015
42,42,"Ben Martin",27,1.4,2717302,194450000,"PercentageofAvailablePurseWon",2015
43,43,"Steven Bowditch",32,1.38,3075406,222650000,"PercentageofAvailablePurseWon",2015
44,44,"Kevin Na",27,1.36,2820762,206950000,"PercentageofAvailablePurseWon",2015
45,45,"Martin Piller",1,1.35,47250,3500000,"PercentageofAvailablePurseWon",2015
46,46,"Mark Hensby",2,1.32,122937,9300000,"PercentageofAvailablePurseWon",2015
47,47,"Jason Bohn",27,1.3,2337577,179450000,"PercentageofAvailablePurseWon",2015
48,48,"Tim Clark",13,1.24,1028139,82650000,"PercentageofAvailablePurseWon",2015
48,48,"Emiliano Grillo",5,1.24,348406,28200000,"PercentageofAvailablePurseWon",2015
50,50,"Sangmoon Bae",30,1.21,2599632,214200000,"PercentageofAvailablePurseWon",2015
50,50,"Fred Funk",2,1.21,141171,11700000,"PercentageofAvailablePurseWon",2015
50,50,"Webb Simpson",22,1.21,2046255,168900000,"PercentageofAvailablePurseWon",2015
53,53,"Will Wilcox",17,1.2,1168301,97050000,"PercentageofAvailablePurseWon",2015
54,54,"Ryan Palmer",22,1.15,1974519,172300000,"PercentageofAvailablePurseWon",2015
54,54,"Justin Thomas",30,1.15,2278562,197450000,"PercentageofAvailablePurseWon",2015
56,56,"Russell Henley",24,1.14,2110770,1.85e+08,"PercentageofAvailablePurseWon",2015
57,57,"Boo Weekley",24,1.12,1689913,151300000,"PercentageofAvailablePurseWon",2015
58,58,"Matt Jones",25,1.11,1995550,179200000,"PercentageofAvailablePurseWon",2015
58,58,"Adam Scott",15,1.11,1382364,124900000,"PercentageofAvailablePurseWon",2015
58,58,"Cameron Smith",13,1.11,976297,88100000,"PercentageofAvailablePurseWon",2015
