"FirstTeeLateRound4ScoringAverage_RANKTHISWEEK_2007","FirstTeeLateRound4ScoringAverage_RANKLASTWEEK_2007","FirstTeeLateRound4ScoringAverage_PLAYERNAME_2007","FirstTeeLateRound4ScoringAverage__2007","FirstTeeLateRound4ScoringAverage_AVG_2007","FirstTeeLateRound4ScoringAverage_TOTALSTROKES_2007","FirstTeeLateRound4ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Jay Williamson",NA,67.5,135,2,"FirstTeeLateRound4ScoringAverage",2007
2,2,"Tom Byrum",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2007
3,3,"Paul Gow",NA,68.5,137,2,"FirstTeeLateRound4ScoringAverage",2007
4,4,"Charles Howell III",NA,68.67,412,6,"FirstTeeLateRound4ScoringAverage",2007
5,5,"Jonathan Byrd",NA,68.75,550,8,"FirstTeeLateRound4ScoringAverage",2007
6,6,"Tommy Armour III",NA,69,345,5,"FirstTeeLateRound4ScoringAverage",2007
6,6,"Woody Austin",NA,69,414,6,"FirstTeeLateRound4ScoringAverage",2007
8,8,"Tiger Woods",NA,69.08,898,13,"FirstTeeLateRound4ScoringAverage",2007
9,9,"John Mallinger",NA,69.17,415,6,"FirstTeeLateRound4ScoringAverage",2007
10,10,"Tom Lehman",NA,69.2,346,5,"FirstTeeLateRound4ScoringAverage",2007
11,11,"Heath Slocum",NA,69.27,762,11,"FirstTeeLateRound4ScoringAverage",2007
12,12,"Phil Mickelson",NA,69.3,693,10,"FirstTeeLateRound4ScoringAverage",2007
13,13,"Robert Gamez",NA,69.33,208,3,"FirstTeeLateRound4ScoringAverage",2007
14,14,"Ernie Els",NA,69.38,555,8,"FirstTeeLateRound4ScoringAverage",2007
15,15,"Robert Allenby",NA,69.4,694,10,"FirstTeeLateRound4ScoringAverage",2007
15,15,"Billy Mayfair",NA,69.4,694,10,"FirstTeeLateRound4ScoringAverage",2007
