"LeftRoughTendency_RANKTHISWEEK_2006","LeftRoughTendency_RANKLASTWEEK_2006","LeftRoughTendency_PLAYERNAME_2006","LeftRoughTendency_ROUNDS_2006","LeftRoughTendency_Pct_2006","LeftRoughTendency_TOTALLEFTROUGH_2006","LeftRoughTendency_POSSIBLEFWYS_2006","LeftRoughTendency_RELATIVETOPAR_2006","stat_name","year"
1,1,"Scott Verplank",88,6.33,65,1027,0.18,"LeftRoughTendency",2006
2,2,"Joe Durant",101,7.33,103,1405,0.18,"LeftRoughTendency",2006
3,3,"Skip Kendall",72,7.81,74,947,0.09,"LeftRoughTendency",2006
4,4,"Jerry Smith",94,7.96,102,1282,0.17,"LeftRoughTendency",2006
5,5,"Bart Bryant",87,8.01,83,1036,0.13,"LeftRoughTendency",2006
6,6,"Heath Slocum",96,8.05,100,1243,0.03,"LeftRoughTendency",2006
7,7,"Paul Goydos",72,8.1,81,1000,0.07,"LeftRoughTendency",2006
8,8,"David Branshaw",98,8.44,115,1363,0.08,"LeftRoughTendency",2006
8,8,"David McKenzie",82,8.44,94,1114,0.11,"LeftRoughTendency",2006
10,10,"Kirk Triplett",58,8.49,64,754,0.23,"LeftRoughTendency",2006
11,11,"Billy Mayfair",94,8.61,101,1173,0.04,"LeftRoughTendency",2006
12,12,"Ron Whittaker",81,8.63,95,1101,0.24,"LeftRoughTendency",2006
13,13,"Jerry Kelly",100,8.67,111,1280,0.1,"LeftRoughTendency",2006
14,14,"Patrick Sheehan",104,8.68,121,1394,0.15,"LeftRoughTendency",2006
14,14,"Tjaart van der Walt",60,8.68,69,795,0.17,"LeftRoughTendency",2006
16,16,"Chris Riley",86,8.76,95,1085,0.06,"LeftRoughTendency",2006
17,17,"Jim Furyk",89,8.8,89,1011,0.11,"LeftRoughTendency",2006
18,18,"Corey Pavin",74,8.88,79,890,0.15,"LeftRoughTendency",2006
19,19,"David Toms",76,8.94,78,872,0.05,"LeftRoughTendency",2006
20,20,"Fred Funk",106,8.99,114,1268,0.22,"LeftRoughTendency",2006
21,21,"John Rollins",93,9.32,113,1213,0.18,"LeftRoughTendency",2006
22,22,"Omar Uresti",61,9.38,77,821,0.05,"LeftRoughTendency",2006
23,23,"Brian Davis",92,9.39,118,1256,0.08,"LeftRoughTendency",2006
24,24,"Steve Elkington",52,9.4,64,681,0.03,"LeftRoughTendency",2006
25,25,"Chris Smith",67,9.43,88,933,0.23,"LeftRoughTendency",2006
26,26,"Tommy Armour III",65,9.46,80,846,0.1,"LeftRoughTendency",2006
27,27,"Ted Purdy",103,9.49,118,1244,0.11,"LeftRoughTendency",2006
28,28,"JP Hayes",55,9.52,73,767,0.14,"LeftRoughTendency",2006
29,29,"Frank Lickliter II",99,9.57,129,1348,0.05,"LeftRoughTendency",2006
30,30,"Jeff Brehaut",100,9.58,128,1336,0.13,"LeftRoughTendency",2006
31,31,"John Cook",67,9.61,84,874,0.18,"LeftRoughTendency",2006
32,32,"Greg Kraft",79,9.62,98,1019,0.14,"LeftRoughTendency",2006
33,33,"Larry Mize",53,9.65,63,653,0.16,"LeftRoughTendency",2006
34,34,"Ian Poulter",53,9.69,57,588,0.25,"LeftRoughTendency",2006
35,35,"Scott Gutschewski",53,9.7,69,711,0.19,"LeftRoughTendency",2006
36,36,"Justin Leonard",83,9.77,97,993,0.2,"LeftRoughTendency",2006
37,37,"Briny Baird",81,9.79,105,1073,0.03,"LeftRoughTendency",2006
38,38,"Jonathan Kaye",95,9.88,127,1285,0.13,"LeftRoughTendency",2006
39,39,"Zach Johnson",98,9.93,108,1088,0.18,"LeftRoughTendency",2006
40,40,"Brian Gay",107,9.95,148,1488,0.17,"LeftRoughTendency",2006
41,41,"Pat Perez",50,10,67,670,0.07,"LeftRoughTendency",2006
41,41,"Duffy Waldorf",96,10,125,1250,0.18,"LeftRoughTendency",2006
43,43,"Mark Brooks",90,10.05,119,1184,0.16,"LeftRoughTendency",2006
44,44,"Richard Johnson",94,10.09,129,1278,0.21,"LeftRoughTendency",2006
45,45,"Brent Geiberger",99,10.13,137,1353,0.3,"LeftRoughTendency",2006
46,46,"Mark Calcavecchia",94,10.16,119,1171,0.13,"LeftRoughTendency",2006
47,47,"Jason Bohn",104,10.17,139,1367,0.12,"LeftRoughTendency",2006
48,48,"Kent Jones",103,10.24,138,1348,0.16,"LeftRoughTendency",2006
49,49,"Daisuke Maruyama",83,10.26,113,1101,0.22,"LeftRoughTendency",2006
50,50,"Robert Gamez",94,10.28,132,1284,0.2,"LeftRoughTendency",2006
51,51,"Bob Estes",85,10.31,116,1125,0.08,"LeftRoughTendency",2006
52,52,"Harrison Frazar",95,10.46,127,1214,0.08,"LeftRoughTendency",2006
53,53,"Tim Petrovic",95,10.47,133,1270,0.11,"LeftRoughTendency",2006
54,54,"Bubba Dickerson",98,10.54,141,1338,0.08,"LeftRoughTendency",2006
55,55,"Hunter Mahan",98,10.56,138,1307,0.11,"LeftRoughTendency",2006
56,56,"DJ Trahan",92,10.6,130,1226,0.18,"LeftRoughTendency",2006
57,57,"Brandt Jobe",91,10.76,114,1059,0.04,"LeftRoughTendency",2006
58,58,"John Senden",96,10.79,131,1214,0.1,"LeftRoughTendency",2006
59,59,"Robert Allenby",79,10.8,92,852,0.08,"LeftRoughTendency",2006
60,60,"Aaron Baddeley",78,10.84,106,978,0.11,"LeftRoughTendency",2006
61,61,"Robert Damron",91,10.88,138,1268,0.14,"LeftRoughTendency",2006
62,62,"Jose Maria Olazabal",62,10.9,64,587,0.17,"LeftRoughTendency",2006
63,63,"Will Ma Kenzie",91,10.95,134,1224,0.2,"LeftRoughTendency",2006
64,64,"Paul Azinger",87,10.97,130,1185,0.02,"LeftRoughTendency",2006
65,65,"Bernhard Langer",77,10.99,101,919,0.1,"LeftRoughTendency",2006
66,66,"Ben Curtis",86,11.04,111,1005,0.07,"LeftRoughTendency",2006
67,67,"Jonathan Byrd",66,11.06,95,859,0.08,"LeftRoughTendency",2006
67,67,"David Howell",52,11.06,48,434,0.23,"LeftRoughTendency",2006
69,69,"Nicholas Thompson",96,11.12,141,1268,0.17,"LeftRoughTendency",2006
70,70,"Chris DiMarco",83,11.16,103,923,0.23,"LeftRoughTendency",2006
71,71,"Roger Tambellini",64,11.18,95,850,0.02,"LeftRoughTendency",2006
72,72,"Todd Hamilton",72,11.21,97,865,0.16,"LeftRoughTendency",2006
73,73,"Steve Flesch",119,11.3,175,1548,0.15,"LeftRoughTendency",2006
