"LateRound2ScoringAverage_RANKTHISWEEK_2007","LateRound2ScoringAverage_RANKLASTWEEK_2007","LateRound2ScoringAverage_PLAYERNAME_2007","LateRound2ScoringAverage__2007","LateRound2ScoringAverage_AVG_2007","LateRound2ScoringAverage_TOTALSTROKES_2007","LateRound2ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Vijay Singh",NA,68.5,548,8,"LateRound2ScoringAverage",2007
2,2,"Sean OHair",NA,69.29,970,14,"LateRound2ScoringAverage",2007
3,3,"Billy Mayfair",NA,69.47,1181,17,"LateRound2ScoringAverage",2007
4,4,"Craig Bowden",NA,69.5,695,10,"LateRound2ScoringAverage",2007
4,4,"Tiger Woods",NA,69.5,695,10,"LateRound2ScoringAverage",2007
6,6,"David Toms",NA,69.6,696,10,"LateRound2ScoringAverage",2007
7,7,"Jeff Brehaut",NA,69.73,767,11,"LateRound2ScoringAverage",2007
8,8,"Phil Mickelson",NA,69.75,558,8,"LateRound2ScoringAverage",2007
8,8,"Ian Poulter",NA,69.75,279,4,"LateRound2ScoringAverage",2007
10,10,"Glen Day",NA,69.77,907,13,"LateRound2ScoringAverage",2007
11,11,"Jeff Gove",NA,69.79,977,14,"LateRound2ScoringAverage",2007
12,12,"Cameron Beckman",NA,69.85,908,13,"LateRound2ScoringAverage",2007
13,13,"Steve Allan",NA,69.86,489,7,"LateRound2ScoringAverage",2007
14,14,"Joe Ogilvie",NA,69.87,1048,15,"LateRound2ScoringAverage",2007
15,15,"Kenny Perry",NA,69.92,839,12,"LateRound2ScoringAverage",2007
16,16,"Michael Allen",NA,70,700,10,"LateRound2ScoringAverage",2007
16,16,"Camilo Villegas",NA,70,980,14,"LateRound2ScoringAverage",2007
16,16,"Jay Williamson",NA,70,420,6,"LateRound2ScoringAverage",2007
19,19,"Nathan Green",NA,70.07,1051,15,"LateRound2ScoringAverage",2007
20,20,"Stephen Leaney",NA,70.09,771,11,"LateRound2ScoringAverage",2007
21,21,"Tag Ridings",NA,70.11,631,9,"LateRound2ScoringAverage",2007
22,22,"Anthony Kim",NA,70.15,912,13,"LateRound2ScoringAverage",2007
22,22,"Mike Weir",NA,70.15,912,13,"LateRound2ScoringAverage",2007
24,24,"Jonathan Byrd",NA,70.18,772,11,"LateRound2ScoringAverage",2007
24,24,"Mark Hensby",NA,70.18,772,11,"LateRound2ScoringAverage",2007
24,24,"Steve Lowery",NA,70.18,772,11,"LateRound2ScoringAverage",2007
24,24,"Steve Marino",NA,70.18,1193,17,"LateRound2ScoringAverage",2007
28,28,"Zach Johnson",NA,70.2,702,10,"LateRound2ScoringAverage",2007
28,28,"Nick Watney",NA,70.2,1053,15,"LateRound2ScoringAverage",2007
30,30,"Tripp Isenhour",NA,70.21,983,14,"LateRound2ScoringAverage",2007
31,31,"Jason Dufner",NA,70.23,913,13,"LateRound2ScoringAverage",2007
32,32,"Ken Duke",NA,70.27,1054,15,"LateRound2ScoringAverage",2007
33,33,"Michael Sim",NA,70.29,492,7,"LateRound2ScoringAverage",2007
34,34,"Jerry Kelly",NA,70.31,914,13,"LateRound2ScoringAverage",2007
35,35,"Charles Howell III",NA,70.33,844,12,"LateRound2ScoringAverage",2007
36,36,"Jarrod Lyle",NA,70.36,774,11,"LateRound2ScoringAverage",2007
36,36,"John Merrick",NA,70.36,985,14,"LateRound2ScoringAverage",2007
38,38,"Bill Haas",NA,70.43,986,14,"LateRound2ScoringAverage",2007
38,38,"John Senden",NA,70.43,986,14,"LateRound2ScoringAverage",2007
40,40,"Aaron Baddeley",NA,70.44,634,9,"LateRound2ScoringAverage",2007
40,40,"Briny Baird",NA,70.44,1127,16,"LateRound2ScoringAverage",2007
40,40,"Chris Riley",NA,70.44,634,9,"LateRound2ScoringAverage",2007
43,43,"Jason Gore",NA,70.46,916,13,"LateRound2ScoringAverage",2007
44,44,"John Mallinger",NA,70.5,705,10,"LateRound2ScoringAverage",2007
45,45,"Joe Durant",NA,70.53,1199,17,"LateRound2ScoringAverage",2007
45,45,"Tim Herron",NA,70.53,1058,15,"LateRound2ScoringAverage",2007
47,47,"Stewart Cink",NA,70.55,776,11,"LateRound2ScoringAverage",2007
48,48,"Freddie Jacobson",NA,70.56,635,9,"LateRound2ScoringAverage",2007
49,49,"Heath Slocum",NA,70.57,988,14,"LateRound2ScoringAverage",2007
50,50,"Tim Petrovic",NA,70.6,1059,15,"LateRound2ScoringAverage",2007
50,50,"Bo Van Pelt",NA,70.6,1059,15,"LateRound2ScoringAverage",2007
52,52,"Kevin Na",NA,70.62,918,13,"LateRound2ScoringAverage",2007
53,53,"Mathias Gronberg",NA,70.64,989,14,"LateRound2ScoringAverage",2007
53,53,"Charlie Wi",NA,70.64,989,14,"LateRound2ScoringAverage",2007
55,55,"Michael Putnam",NA,70.65,1201,17,"LateRound2ScoringAverage",2007
56,56,"Justin Rose",NA,70.67,424,6,"LateRound2ScoringAverage",2007
57,57,"Bart Bryant",NA,70.69,1131,16,"LateRound2ScoringAverage",2007
58,58,"Ryan Armour",NA,70.71,990,14,"LateRound2ScoringAverage",2007
