"BallSpeed_RANKTHISWEEK_2016","BallSpeed_RANKLASTWEEK_2016","BallSpeed_PLAYERNAME_2016","BallSpeed_ROUNDS_2016","BallSpeed_AVG_2016","BallSpeed_TOTALBALLSPEED_2016","BallSpeed_TOTALATTEMPTS_2016","BallSpeed_FASTESTSPEED_2016","BallSpeed_SLOWESTSPEED_2016","stat_name","year"
1,2,"Ollie Schniederjans",23,183.8,2940.84,16,186.45,180.92,"BallSpeed",2016
2,1,"Tony Finau",49,183.75,6063.75,33,188.16,175.09,"BallSpeed",2016
3,3,"Andrew Loupe",50,183.57,8628,47,187.62,177.26,"BallSpeed",2016
4,4,"Bubba Watson",30,182.69,3288.4,18,186.55,180,"BallSpeed",2016
5,5,"Jason Kokrak",52,182.17,7468.93,41,188.39,175.81,"BallSpeed",2016
6,6,"Gary Woodland",45,181.58,6173.62,34,187.45,174.15,"BallSpeed",2016
7,7,"Dustin Johnson",37,181.29,4532.33,25,184.19,177.32,"BallSpeed",2016
8,8,"JB Holmes",39,181.13,5796.03,32,186.12,170.18,"BallSpeed",2016
9,9,"Jhonattan Vegas",49,180.79,6508.61,36,185.25,175.1,"BallSpeed",2016
10,10,"Luke List",51,179.68,8085.38,45,184.56,173.91,"BallSpeed",2016
11,11,"Adam Scott",39,179.29,4840.72,27,182.38,176.49,"BallSpeed",2016
12,12,"Charlie Beljan",26,178.53,2320.87,13,183.2,173.74,"BallSpeed",2016
13,12,"Rory McIlroy",37,178.51,4462.69,25,181.62,173.09,"BallSpeed",2016
14,14,"Charles Howell III",63,178.27,10518.09,59,181.43,170.38,"BallSpeed",2016
15,15,"Jamie Lovemark",57,178.21,9623.35,54,183.25,172.4,"BallSpeed",2016
16,16,"Hudson Swafford",52,177.9,6226.64,35,182.4,169.26,"BallSpeed",2016
17,17,"Patrick Rodgers",49,177.84,7113.63,40,182.8,172.52,"BallSpeed",2016
18,18,"Brooks Koepka",39,177.58,4972.25,28,182.63,173.46,"BallSpeed",2016
19,19,"Henrik Stenson",30,176.99,1946.89,11,180.48,171.33,"BallSpeed",2016
20,20,"Jason Day",36,176.34,5290.29,30,180.36,172.34,"BallSpeed",2016
21,22,"Brendan Steele",48,175.95,6334.2,36,179.89,170.33,"BallSpeed",2016
22,23,"Robert Garrigus",34,175.78,4394.54,25,178.97,169.13,"BallSpeed",2016
23,21,"Harris English",51,175.74,6853.72,39,179.05,172.48,"BallSpeed",2016
24,24,"Derek Ernst",36,175.71,3865.59,22,180.92,170.4,"BallSpeed",2016
25,25,"Sergio Garcia",28,175.43,2456.03,14,177.57,171.28,"BallSpeed",2016
26,27,"Rickie Fowler",42,175.23,6308.21,36,179.58,169.58,"BallSpeed",2016
27,26,"Justin Thomas",53,175.12,8405.59,48,180.16,170.33,"BallSpeed",2016
28,28,"Smylie Kaufman",57,174.77,7340.44,42,179.46,169.71,"BallSpeed",2016
29,29,"Charl Schwartzel",29,174.11,4004.56,23,177.14,169.71,"BallSpeed",2016
30,30,"Ryan Palmer",46,173.96,8871.93,51,177.33,168.92,"BallSpeed",2016
31,31,"Greg Owen",56,173.85,8344.99,48,177.69,165.98,"BallSpeed",2016
32,32,"Graham DeLaet",50,173.66,7988.32,46,178.85,166.89,"BallSpeed",2016
33,38,"Carlos Ortiz",47,173.62,7639.12,44,178.4,164.76,"BallSpeed",2016
34,33,"Harold Varner III",58,173.52,9369.89,54,179.2,168.99,"BallSpeed",2016
35,38,"Phil Mickelson",37,173.51,4858.16,28,178.17,168.66,"BallSpeed",2016
36,34,"Justin Rose",35,173.44,4856.34,28,176.63,168.72,"BallSpeed",2016
37,35,"Matt Jones",45,173.39,3987.87,23,177.66,166.22,"BallSpeed",2016
38,35,"Steven Bowditch",40,173.3,5025.84,29,178.06,168.33,"BallSpeed",2016
39,42,"Scott Pinckney",53,173.24,6929.5,40,177.37,167.16,"BallSpeed",2016
40,37,"Andres Gonzales",46,173.22,6582.52,38,178.28,167.15,"BallSpeed",2016
41,41,"Jimmy Walker",43,173.13,6232.78,36,177.11,168.82,"BallSpeed",2016
42,40,"Martin Laird",46,173.11,6231.79,36,176.37,167.81,"BallSpeed",2016
43,43,"Stewart Cink",45,173.1,5539.2,32,177.08,168.04,"BallSpeed",2016
44,44,"Paul Casey",39,172.99,5189.81,30,177.04,159.91,"BallSpeed",2016
45,45,"Aaron Baddeley",51,172.92,6224.96,36,178.58,166.28,"BallSpeed",2016
46,46,"Charley Hoffman",49,172.64,8114.18,47,179.5,164.82,"BallSpeed",2016
47,47,"Branden Grace",31,172.52,3967.88,23,176.88,167.4,"BallSpeed",2016
48,48,"Marc Leishman",41,172.51,5692.96,33,178.11,162.16,"BallSpeed",2016
49,49,"Seung Yul Noh",54,172.49,8624.32,50,177.21,167.23,"BallSpeed",2016
50,50,"Ricky Barnes",57,172.44,7242.48,42,177.13,166.4,"BallSpeed",2016
51,51,"Keegan Bradley",40,172.29,5685.57,33,177.1,162.45,"BallSpeed",2016
