"GIRPercentageLess125yards_RANKTHISWEEK_2009","GIRPercentageLess125yards_RANKLASTWEEK_2009","GIRPercentageLess125yards_PLAYERNAME_2009","GIRPercentageLess125yards_ROUNDS_2009","GIRPercentageLess125yards_Pct_2009","GIRPercentageLess125yards_GREENSHIT_2009","GIRPercentageLess125yards_TOTALHOLES_2009","GIRPercentageLess125yards_RELATIVETOPAR_2009","stat_name","year"
1,NA,"Briny Baird",89,87.2,293,336,-0.42,"GIRPercentageLess125yards",2009
2,NA,"Sean OHair",80,86.67,286,330,-0.46,"GIRPercentageLess125yards",2009
3,NA,"David Toms",98,86.58,342,395,-0.41,"GIRPercentageLess125yards",2009
4,NA,"Jonathan Byrd",89,86.03,394,458,-0.46,"GIRPercentageLess125yards",2009
5,NA,"Tim Clark",81,85.76,247,288,-0.47,"GIRPercentageLess125yards",2009
6,NA,"Chris Stroud",88,85.75,331,386,-0.48,"GIRPercentageLess125yards",2009
7,NA,"Jeff Maggert",79,85.68,341,398,-0.34,"GIRPercentageLess125yards",2009
8,NA,"David Duval",56,85.51,177,207,-0.45,"GIRPercentageLess125yards",2009
9,NA,"Bob Estes",78,85.45,276,323,-0.47,"GIRPercentageLess125yards",2009
10,NA,"Kevin Sutherland",96,85.29,319,374,-0.48,"GIRPercentageLess125yards",2009
11,NA,"Tom Lehman",55,85.26,133,156,-0.26,"GIRPercentageLess125yards",2009
12,NA,"Scott Sterling",51,85.25,156,183,-0.36,"GIRPercentageLess125yards",2009
13,NA,"Tiger Woods",64,85.22,196,230,-0.6,"GIRPercentageLess125yards",2009
14,NA,"JJ Henry",97,85.19,328,385,-0.41,"GIRPercentageLess125yards",2009
14,NA,"Steve Stricker",81,85.19,276,324,-0.53,"GIRPercentageLess125yards",2009
16,NA,"Nick OHern",90,85.05,330,388,-0.41,"GIRPercentageLess125yards",2009
17,NA,"John Senden",100,85.03,409,481,-0.48,"GIRPercentageLess125yards",2009
18,NA,"Will Ma Kenzie",69,84.97,294,346,-0.37,"GIRPercentageLess125yards",2009
19,NA,"Brian Bateman",55,84.68,188,222,-0.36,"GIRPercentageLess125yards",2009
20,NA,"Camilo Villegas",76,84.66,265,313,-0.45,"GIRPercentageLess125yards",2009
21,NA,"Chris Riley",77,84.64,248,293,-0.46,"GIRPercentageLess125yards",2009
22,NA,"Brendon de Jonge",90,84.58,340,402,-0.39,"GIRPercentageLess125yards",2009
23,NA,"Charles Warren",63,84.52,273,323,-0.43,"GIRPercentageLess125yards",2009
24,NA,"Luke Donald",79,84.5,218,258,-0.5,"GIRPercentageLess125yards",2009
25,NA,"Darron Stiles",52,84.42,195,231,-0.37,"GIRPercentageLess125yards",2009
26,NA,"Chad Campbell",90,84.3,306,363,-0.45,"GIRPercentageLess125yards",2009
27,NA,"Michael Allen",73,84.21,240,285,-0.42,"GIRPercentageLess125yards",2009
28,NA,"Corey Pavin",73,84.18,165,196,-0.38,"GIRPercentageLess125yards",2009
29,NA,"Kirk Triplett",60,84.14,260,309,-0.34,"GIRPercentageLess125yards",2009
30,NA,"Zach Johnson",94,84.11,344,409,-0.49,"GIRPercentageLess125yards",2009
31,NA,"Ernie Els",70,84.08,243,289,-0.42,"GIRPercentageLess125yards",2009
32,NA,"Greg Chalmers",85,84.01,289,344,-0.49,"GIRPercentageLess125yards",2009
33,NA,"Jason Day",61,84,231,275,-0.48,"GIRPercentageLess125yards",2009
34,NA,"Ricky Barnes",67,83.98,215,256,-0.39,"GIRPercentageLess125yards",2009
35,NA,"Heath Slocum",95,83.9,370,441,-0.41,"GIRPercentageLess125yards",2009
35,NA,"Jay Williamson",69,83.9,245,292,-0.37,"GIRPercentageLess125yards",2009
37,NA,"Charles Howell III",99,83.86,369,440,-0.45,"GIRPercentageLess125yards",2009
38,NA,"Spencer Levin",75,83.85,270,322,-0.39,"GIRPercentageLess125yards",2009
39,NA,"Bryce Molder",69,83.83,197,235,-0.53,"GIRPercentageLess125yards",2009
39,NA,"Kenny Perry",92,83.83,337,402,-0.47,"GIRPercentageLess125yards",2009
41,NA,"Matt Weibring",65,83.8,238,284,-0.45,"GIRPercentageLess125yards",2009
42,NA,"John Mallinger",90,83.78,284,339,-0.49,"GIRPercentageLess125yards",2009
42,NA,"Scott Piercy",85,83.78,372,444,-0.48,"GIRPercentageLess125yards",2009
44,NA,"Robert Allenby",71,83.73,211,252,-0.42,"GIRPercentageLess125yards",2009
