"BirdieorBetterPercentageLess125_RANKTHISWEEK_2013","BirdieorBetterPercentageLess125_RANKLASTWEEK_2013","BirdieorBetterPercentageLess125_PLAYERNAME_2013","BirdieorBetterPercentageLess125_ROUNDS_2013","BirdieorBetterPercentageLess125_Pct_2013","BirdieorBetterPercentageLess125_TOTALBIRDIES_2013","BirdieorBetterPercentageLess125_TOTALHOLES_2013","stat_name","year"
1,1,"Aaron Watkins",46,35.92,51,142,"BirdieorBetterPercentageLess125",2013
2,2,"Tiger Woods",61,34.86,38,109,"BirdieorBetterPercentageLess125",2013
3,3,"Dicky Pride",71,32.11,70,218,"BirdieorBetterPercentageLess125",2013
4,4,"Steve Stricker",51,31.94,46,144,"BirdieorBetterPercentageLess125",2013
5,5,"Brandt Snedeker",79,31.39,70,223,"BirdieorBetterPercentageLess125",2013
6,6,"Brian Davis",91,30.48,107,351,"BirdieorBetterPercentageLess125",2013
7,7,"Phil Mickelson",78,30.04,67,223,"BirdieorBetterPercentageLess125",2013
8,8,"Bryce Molder",82,29.01,76,262,"BirdieorBetterPercentageLess125",2013
9,9,"Ben Crane",62,28.85,60,208,"BirdieorBetterPercentageLess125",2013
10,10,"Morgan Hoffmann",64,28.51,63,221,"BirdieorBetterPercentageLess125",2013
11,11,"KJ Choi",85,27.92,67,240,"BirdieorBetterPercentageLess125",2013
12,12,"Jason Bohn",70,27.72,74,267,"BirdieorBetterPercentageLess125",2013
13,13,"Justin Rose",62,27.61,45,163,"BirdieorBetterPercentageLess125",2013
14,14,"David Hearn",88,27.6,85,308,"BirdieorBetterPercentageLess125",2013
15,15,"Camilo Villegas",79,27.36,58,212,"BirdieorBetterPercentageLess125",2013
16,16,"Webb Simpson",92,27.34,70,256,"BirdieorBetterPercentageLess125",2013
17,17,"Chris Kirk",89,27.24,82,301,"BirdieorBetterPercentageLess125",2013
18,18,"Graham DeLaet",94,27.13,70,258,"BirdieorBetterPercentageLess125",2013
19,19,"Luke Guthrie",82,27.09,68,251,"BirdieorBetterPercentageLess125",2013
20,20,"Justin Leonard",86,27.07,72,266,"BirdieorBetterPercentageLess125",2013
21,21,"Charl Schwartzel",69,27.06,46,170,"BirdieorBetterPercentageLess125",2013
22,22,"Billy Horschel",96,26.97,89,330,"BirdieorBetterPercentageLess125",2013
23,23,"Matt Jones",83,26.91,67,249,"BirdieorBetterPercentageLess125",2013
24,24,"Jordan Spieth",82,26.72,70,262,"BirdieorBetterPercentageLess125",2013
25,25,"Scott Langley",79,26.48,67,253,"BirdieorBetterPercentageLess125",2013
26,26,"Jason Kokrak",78,25.88,66,255,"BirdieorBetterPercentageLess125",2013
27,27,"Adam Scott",61,25.81,40,155,"BirdieorBetterPercentageLess125",2013
28,28,"Mike Weir",60,25.71,45,175,"BirdieorBetterPercentageLess125",2013
29,29,"Greg Chalmers",77,25.69,65,253,"BirdieorBetterPercentageLess125",2013
30,30,"Jason Dufner",78,25.63,71,277,"BirdieorBetterPercentageLess125",2013
31,31,"Cameron Tringale",80,25.62,72,281,"BirdieorBetterPercentageLess125",2013
32,32,"Brandt Jobe",62,25.56,46,180,"BirdieorBetterPercentageLess125",2013
33,33,"Roberto Castro",97,25.47,82,322,"BirdieorBetterPercentageLess125",2013
34,34,"Rory McIlroy",56,25.43,44,173,"BirdieorBetterPercentageLess125",2013
35,35,"Matt Every",89,25.32,80,316,"BirdieorBetterPercentageLess125",2013
36,36,"Vaughn Taylor",50,25.31,41,162,"BirdieorBetterPercentageLess125",2013
37,37,"Tim Herron",45,25.29,44,174,"BirdieorBetterPercentageLess125",2013
38,38,"Charley Hoffman",84,25.27,71,281,"BirdieorBetterPercentageLess125",2013
39,39,"John Senden",79,25.26,48,190,"BirdieorBetterPercentageLess125",2013
40,40,"Tim Clark",64,25,41,164,"BirdieorBetterPercentageLess125",2013
40,40,"Freddie Jacobson",63,25,46,184,"BirdieorBetterPercentageLess125",2013
42,42,"Doug LaBelle II",72,24.88,50,201,"BirdieorBetterPercentageLess125",2013
43,43,"Matt Kuchar",93,24.8,63,254,"BirdieorBetterPercentageLess125",2013
44,44,"Hunter Mahan",91,24.79,59,238,"BirdieorBetterPercentageLess125",2013
45,45,"Jimmy Walker",84,24.76,78,315,"BirdieorBetterPercentageLess125",2013
46,46,"Jim Furyk",80,24.57,57,232,"BirdieorBetterPercentageLess125",2013
46,46,"Gary Woodland",94,24.57,71,289,"BirdieorBetterPercentageLess125",2013
48,48,"YE Yang",56,24.41,31,127,"BirdieorBetterPercentageLess125",2013
49,49,"Ian Poulter",59,24.39,40,164,"BirdieorBetterPercentageLess125",2013
50,50,"Zach Johnson",84,24.33,64,263,"BirdieorBetterPercentageLess125",2013
51,51,"Kevin Stadler",83,24.28,67,276,"BirdieorBetterPercentageLess125",2013
52,52,"Justin Hicks",79,24.24,56,231,"BirdieorBetterPercentageLess125",2013
53,53,"Bud Cauley",67,24.19,52,215,"BirdieorBetterPercentageLess125",2013
54,54,"Chez Reavie",72,24.17,58,240,"BirdieorBetterPercentageLess125",2013
55,55,"Stuart Appleby",88,24.1,74,307,"BirdieorBetterPercentageLess125",2013
56,56,"Luke Donald",60,24.07,39,162,"BirdieorBetterPercentageLess125",2013
57,57,"Ken Duke",87,24.04,69,287,"BirdieorBetterPercentageLess125",2013
58,58,"Rickie Fowler",75,23.94,51,213,"BirdieorBetterPercentageLess125",2013
58,58,"Chris Stroud",88,23.94,62,259,"BirdieorBetterPercentageLess125",2013
60,60,"Michael Bradley",56,23.81,40,168,"BirdieorBetterPercentageLess125",2013
61,61,"Ted Potter Jr",65,23.7,50,211,"BirdieorBetterPercentageLess125",2013
61,61,"Darron Stiles",51,23.7,41,173,"BirdieorBetterPercentageLess125",2013
63,63,"John Merrick",79,23.69,59,249,"BirdieorBetterPercentageLess125",2013
64,64,"Ryan Palmer",79,23.53,60,255,"BirdieorBetterPercentageLess125",2013
65,65,"Scott Piercy",78,23.5,55,234,"BirdieorBetterPercentageLess125",2013
65,65,"Lee Williams",62,23.5,51,217,"BirdieorBetterPercentageLess125",2013
67,67,"Jason Day",86,23.38,54,231,"BirdieorBetterPercentageLess125",2013
68,68,"Charles Howell III",87,23.37,68,291,"BirdieorBetterPercentageLess125",2013
69,69,"Pat Perez",69,23.35,53,227,"BirdieorBetterPercentageLess125",2013
70,70,"Daniel Summerhays",83,23.33,70,300,"BirdieorBetterPercentageLess125",2013
71,71,"Robert Garrigus",69,23.12,40,173,"BirdieorBetterPercentageLess125",2013
72,72,"Nicholas Thompson",99,23.01,75,326,"BirdieorBetterPercentageLess125",2013
73,73,"Ben Curtis",59,22.96,45,196,"BirdieorBetterPercentageLess125",2013
