"GreensinRegulationPercentage_RANKTHISWEEK_2008","GreensinRegulationPercentage_RANKLASTWEEK_2008","GreensinRegulationPercentage_PLAYERNAME_2008","GreensinRegulationPercentage_ROUNDS_2008","GreensinRegulationPercentage_Pct_2008","GreensinRegulationPercentage_GREENSHIT_2008","GreensinRegulationPercentage_HOLES_2008","GreensinRegulationPercentage_RELATIVEPAR_2008","stat_name","year"
1,1,"Joe Durant",92,71.1,1075,1512,-0.2,"GreensinRegulationPercentage",2008
2,2,"Robert Allenby",108,70.4,1356,1926,-0.24,"GreensinRegulationPercentage",2008
3,3,"Harrison Frazar",73,70.34,823,1170,-0.2,"GreensinRegulationPercentage",2008
4,4,"John Huston",56,70.3,658,936,-0.26,"GreensinRegulationPercentage",2008
5,5,"Briny Baird",113,70,1323,1890,-0.21,"GreensinRegulationPercentage",2008
6,6,"Kent Jones",68,69.71,778,1116,-0.24,"GreensinRegulationPercentage",2008
7,7,"Hunter Mahan",87,69.61,1065,1530,-0.24,"GreensinRegulationPercentage",2008
8,8,"John Riegger",73,69.49,838,1206,-0.23,"GreensinRegulationPercentage",2008
9,9,"JJ Henry",108,69.19,1345,1944,-0.21,"GreensinRegulationPercentage",2008
10,10,"John Senden",93,69.08,1144,1656,-0.22,"GreensinRegulationPercentage",2008
11,11,"Bob Estes",90,68.69,1088,1584,-0.22,"GreensinRegulationPercentage",2008
12,12,"Vijay Singh",82,68.45,961,1404,-0.25,"GreensinRegulationPercentage",2008
13,13,"Chad Campbell",94,68.44,1158,1692,-0.27,"GreensinRegulationPercentage",2008
13,13,"George McNeill",97,68.44,1195,1746,-0.26,"GreensinRegulationPercentage",2008
15,15,"Steve Marino",119,68.36,1415,2070,-0.26,"GreensinRegulationPercentage",2008
16,16,"Nick Watney",96,68.23,1179,1728,-0.26,"GreensinRegulationPercentage",2008
17,17,"Kevin Sutherland",98,68.2,1203,1764,-0.25,"GreensinRegulationPercentage",2008
