"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2005","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2005","AverageGoingforitShotDistanceinYards_PLAYERNAME_2005","AverageGoingforitShotDistanceinYards_EVENTS_2005","AverageGoingforitShotDistanceinYards_AVG_2005","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2005","AverageGoingforitShotDistanceinYards_ATTEMPTS_2005","stat_name","year"
145,145,"Danny Briggs",29,258.4,930270,100,"AverageGoingforitShotDistanceinYards",2005
145,145,"John Cook",26,258.4,725648,78,"AverageGoingforitShotDistanceinYards",2005
145,145,"Robert Damron",28,258.4,1209351,130,"AverageGoingforitShotDistanceinYards",2005
148,148,"Fred Funk",30,258.6,884339,95,"AverageGoingforitShotDistanceinYards",2005
148,148,"Heath Slocum",29,258.6,1312887,141,"AverageGoingforitShotDistanceinYards",2005
148,148,"Roland Thatcher",26,258.6,1405491,151,"AverageGoingforitShotDistanceinYards",2005
151,151,"John Daly",25,258.7,1434424,154,"AverageGoingforitShotDistanceinYards",2005
152,152,"Alex Cejka",31,258.8,1173965,126,"AverageGoingforitShotDistanceinYards",2005
153,153,"Brent Geiberger",21,258.9,811001,87,"AverageGoingforitShotDistanceinYards",2005
153,153,"Nick Watney",31,258.9,1854811,199,"AverageGoingforitShotDistanceinYards",2005
155,155,"Glen Hnatiuk",21,259.1,727515,78,"AverageGoingforitShotDistanceinYards",2005
155,155,"Mario Tiziani",23,259.1,1025911,110,"AverageGoingforitShotDistanceinYards",2005
157,157,"Mark OMeara",21,259.2,429158,46,"AverageGoingforitShotDistanceinYards",2005
157,157,"Hidemichi Tanaka",34,259.2,1614408,173,"AverageGoingforitShotDistanceinYards",2005
159,159,"Jose Coceres",22,259.4,821787,88,"AverageGoingforitShotDistanceinYards",2005
160,160,"Jason Allred",29,259.5,1214278,130,"AverageGoingforitShotDistanceinYards",2005
160,160,"Ryan Palmer",32,259.5,1802973,193,"AverageGoingforitShotDistanceinYards",2005
162,162,"Steve Allan",32,259.6,1972068,211,"AverageGoingforitShotDistanceinYards",2005
163,163,"Lee Janzen",26,259.7,962991,103,"AverageGoingforitShotDistanceinYards",2005
163,163,"JL Lewis",30,259.7,1439618,154,"AverageGoingforitShotDistanceinYards",2005
165,165,"Omar Uresti",27,259.8,1075650,115,"AverageGoingforitShotDistanceinYards",2005
166,166,"Padraig Harrington",15,260.1,739865,79,"AverageGoingforitShotDistanceinYards",2005
167,167,"Richard Johnson",16,260.2,786984,84,"AverageGoingforitShotDistanceinYards",2005
168,168,"JJ Henry",32,260.3,1836872,196,"AverageGoingforitShotDistanceinYards",2005
168,168,"Brett Quigley",31,260.3,1574413,168,"AverageGoingforitShotDistanceinYards",2005
168,168,"Darron Stiles",26,260.3,1077791,115,"AverageGoingforitShotDistanceinYards",2005
171,171,"Sergio Garcia",20,260.4,1218672,130,"AverageGoingforitShotDistanceinYards",2005
171,171,"Tom Gillis",28,260.4,1237301,132,"AverageGoingforitShotDistanceinYards",2005
173,173,"Matt Gogel",28,260.5,975248,104,"AverageGoingforitShotDistanceinYards",2005
173,173,"Dean Wilson",27,260.5,1256757,134,"AverageGoingforitShotDistanceinYards",2005
175,175,"Chris Anderson",25,260.7,769470,82,"AverageGoingforitShotDistanceinYards",2005
176,176,"Charles Warren",31,261.2,1852122,197,"AverageGoingforitShotDistanceinYards",2005
177,177,"Paul Claxton",29,261.3,1100644,117,"AverageGoingforitShotDistanceinYards",2005
177,177,"Skip Kendall",32,261.3,921884,98,"AverageGoingforitShotDistanceinYards",2005
179,179,"Frank Lickliter II",33,261.4,1882096,200,"AverageGoingforitShotDistanceinYards",2005
180,180,"Chris DiMarco",24,261.5,903679,96,"AverageGoingforitShotDistanceinYards",2005
181,181,"Jeff Brehaut",23,261.6,1224307,130,"AverageGoingforitShotDistanceinYards",2005
181,181,"Daniel Chopra",34,261.6,2128165,226,"AverageGoingforitShotDistanceinYards",2005
181,181,"Todd Fischer",35,261.6,1337353,142,"AverageGoingforitShotDistanceinYards",2005
184,184,"Scott McCarron",24,261.7,1215106,129,"AverageGoingforitShotDistanceinYards",2005
185,185,"Rich Beem",26,261.9,858145,91,"AverageGoingforitShotDistanceinYards",2005
185,185,"Larry Mize",18,261.9,584505,62,"AverageGoingforitShotDistanceinYards",2005
187,187,"Phil Mickelson",21,262,1254236,133,"AverageGoingforitShotDistanceinYards",2005
188,188,"Mathias Gronberg",19,262.2,1434924,152,"AverageGoingforitShotDistanceinYards",2005
188,188,"Hunter Haas",28,262.2,1510342,160,"AverageGoingforitShotDistanceinYards",2005
190,190,"Rod Pampling",26,262.3,1491930,158,"AverageGoingforitShotDistanceinYards",2005
191,191,"Craig Barlow",26,262.9,1249301,132,"AverageGoingforitShotDistanceinYards",2005
