"StrokesGainedTeetoGreen_RANKTHISWEEK_2005","StrokesGainedTeetoGreen_RANKLASTWEEK_2005","StrokesGainedTeetoGreen_PLAYERNAME_2005","StrokesGainedTeetoGreen_ROUNDS_2005","StrokesGainedTeetoGreen_AVERAGE_2005","StrokesGainedTeetoGreen_TOTALSGT2G_2005","StrokesGainedTeetoGreen_SGTOTAL_2005","StrokesGainedTeetoGreen_TOTALSGP_2005","StrokesGainedTeetoGreen_MEASUREDROUNDS_2005","stat_name","year"
1,1,"Vijay Singh",111,2.046,180.062,200.769,20.707,88,"StrokesGainedTeetoGreen",2005
2,2,"Kenny Perry",82,1.849,110.965,99.818,-11.147,60,"StrokesGainedTeetoGreen",2005
3,3,"Sergio Garcia",73,1.695,88.134,74.755,-13.379,52,"StrokesGainedTeetoGreen",2005
4,4,"Tiger Woods",76,1.628,89.524,125.935,36.411,55,"StrokesGainedTeetoGreen",2005
5,5,"Jim Furyk",94,1.513,108.938,140.979,32.041,72,"StrokesGainedTeetoGreen",2005
6,6,"Luke Donald",67,1.339,53.571,68.202,14.631,40,"StrokesGainedTeetoGreen",2005
7,7,"Phil Mickelson",81,1.192,59.607,72.837,13.23,50,"StrokesGainedTeetoGreen",2005
8,8,"Fred Couples",72,1.103,48.529,23.786,-24.743,44,"StrokesGainedTeetoGreen",2005
9,9,"Joe Durant",81,1.075,74.162,20.803,-53.359,69,"StrokesGainedTeetoGreen",2005
10,10,"Adam Scott",72,1.03,53.584,54.425,0.841,52,"StrokesGainedTeetoGreen",2005
11,11,"Billy Mayfair",114,1.024,104.419,92.095,-12.324,102,"StrokesGainedTeetoGreen",2005
12,12,"David Toms",87,1.006,64.368,89.955,25.587,64,"StrokesGainedTeetoGreen",2005
13,13,"Scott Verplank",87,0.98,64.659,60.214,-4.445,66,"StrokesGainedTeetoGreen",2005
14,14,"Justin Rose",99,0.965,85.886,65.468,-20.418,89,"StrokesGainedTeetoGreen",2005
15,15,"Davis Love III",80,0.957,54.557,62.717,8.16,57,"StrokesGainedTeetoGreen",2005
16,16,"Brian Davis",75,0.918,58.783,39.612,-19.171,64,"StrokesGainedTeetoGreen",2005
17,17,"Tim Clark",92,0.888,57.715,47.58,-10.135,65,"StrokesGainedTeetoGreen",2005
18,18,"Robert Allenby",95,0.868,63.389,51.916,-11.473,73,"StrokesGainedTeetoGreen",2005
19,19,"Shigeki Maruyama",99,0.86,73.136,95.764,22.628,85,"StrokesGainedTeetoGreen",2005
20,20,"Greg Owen",84,0.792,56.197,31.529,-24.668,71,"StrokesGainedTeetoGreen",2005
21,21,"Tim Herron",100,0.788,61.428,98.189,36.761,78,"StrokesGainedTeetoGreen",2005
22,22,"Alex Cejka",84,0.787,55.108,10.815,-44.293,70,"StrokesGainedTeetoGreen",2005
23,23,"Woody Austin",100,0.735,66.919,50.888,-16.031,91,"StrokesGainedTeetoGreen",2005
24,24,"Stuart Appleby",84,0.718,45.222,40.924,-4.298,63,"StrokesGainedTeetoGreen",2005
25,25,"Rod Pampling",89,0.686,48.05,55.615,7.565,70,"StrokesGainedTeetoGreen",2005
26,26,"Bob Estes",92,0.661,52.881,65.542,12.661,80,"StrokesGainedTeetoGreen",2005
27,27,"Rocco Mediate",73,0.66,43.541,12.294,-31.247,66,"StrokesGainedTeetoGreen",2005
28,28,"John Senden",101,0.64,58.266,49.058,-9.208,91,"StrokesGainedTeetoGreen",2005
29,29,"Jeff Brehaut",71,0.636,40.095,39.995,-0.1,63,"StrokesGainedTeetoGreen",2005
29,29,"Mark Calcavecchia",92,0.636,48.988,47.478,-1.51,77,"StrokesGainedTeetoGreen",2005
31,31,"Jerry Kelly",101,0.632,48.028,47.351,-0.677,76,"StrokesGainedTeetoGreen",2005
32,32,"Lucas Glover",88,0.627,49.507,45.62,-3.887,79,"StrokesGainedTeetoGreen",2005
33,33,"Bart Bryant",91,0.624,48.03,72.914,24.884,77,"StrokesGainedTeetoGreen",2005
34,34,"David Hearn",68,0.612,37.356,-9.335,-46.691,61,"StrokesGainedTeetoGreen",2005
35,35,"Mathias Gronberg",60,0.609,34.126,20.067,-14.059,56,"StrokesGainedTeetoGreen",2005
36,36,"DJ Trahan",81,0.608,43.137,18.639,-24.498,71,"StrokesGainedTeetoGreen",2005
37,37,"Charles Howell III",95,0.607,43.676,64.073,20.397,72,"StrokesGainedTeetoGreen",2005
38,38,"Joey Sindelar",104,0.596,59.028,22.403,-36.625,99,"StrokesGainedTeetoGreen",2005
39,39,"Justin Leonard",78,0.57,31.327,29.494,-1.833,55,"StrokesGainedTeetoGreen",2005
40,40,"Jason Bohn",91,0.558,45.76,46.337,0.577,82,"StrokesGainedTeetoGreen",2005
41,41,"Heath Slocum",103,0.547,49.248,42.468,-6.78,90,"StrokesGainedTeetoGreen",2005
