"FirstTeeEarlyRound1ScoringAverage_RANKTHISWEEK_2007","FirstTeeEarlyRound1ScoringAverage_RANKLASTWEEK_2007","FirstTeeEarlyRound1ScoringAverage_PLAYERNAME_2007","FirstTeeEarlyRound1ScoringAverage__2007","FirstTeeEarlyRound1ScoringAverage_AVG_2007","FirstTeeEarlyRound1ScoringAverage_TOTALSTROKES_2007","FirstTeeEarlyRound1ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Padraig Harrington",NA,63,126,2,"FirstTeeEarlyRound1ScoringAverage",2007
2,2,"Lucas Glover",NA,68.5,137,2,"FirstTeeEarlyRound1ScoringAverage",2007
2,2,"Vijay Singh",NA,68.5,137,2,"FirstTeeEarlyRound1ScoringAverage",2007
4,4,"Stephen Leaney",NA,68.6,343,5,"FirstTeeEarlyRound1ScoringAverage",2007
5,5,"Nick Watney",NA,68.63,549,8,"FirstTeeEarlyRound1ScoringAverage",2007
6,6,"David Toms",NA,68.75,275,4,"FirstTeeEarlyRound1ScoringAverage",2007
7,7,"Kyle Reifers",NA,68.86,482,7,"FirstTeeEarlyRound1ScoringAverage",2007
8,8,"Briny Baird",NA,69,552,8,"FirstTeeEarlyRound1ScoringAverage",2007
8,8,"Rod Pampling",NA,69,552,8,"FirstTeeEarlyRound1ScoringAverage",2007
10,10,"Camilo Villegas",NA,69.13,553,8,"FirstTeeEarlyRound1ScoringAverage",2007
11,11,"John Mallinger",NA,69.14,484,7,"FirstTeeEarlyRound1ScoringAverage",2007
12,12,"Stewart Cink",NA,69.17,415,6,"FirstTeeEarlyRound1ScoringAverage",2007
13,13,"Anders Hansen",NA,69.2,346,5,"FirstTeeEarlyRound1ScoringAverage",2007
14,14,"Kevin Na",NA,69.25,554,8,"FirstTeeEarlyRound1ScoringAverage",2007
15,15,"Steve Allan",NA,69.33,208,3,"FirstTeeEarlyRound1ScoringAverage",2007
15,15,"Justin Rose",NA,69.33,416,6,"FirstTeeEarlyRound1ScoringAverage",2007
15,15,"Michael Sim",NA,69.33,208,3,"FirstTeeEarlyRound1ScoringAverage",2007
15,15,"Scott Verplank",NA,69.33,624,9,"FirstTeeEarlyRound1ScoringAverage",2007
19,19,"Tim Clark",NA,69.38,555,8,"FirstTeeEarlyRound1ScoringAverage",2007
19,19,"Tripp Isenhour",NA,69.38,555,8,"FirstTeeEarlyRound1ScoringAverage",2007
21,21,"Woody Austin",NA,69.4,347,5,"FirstTeeEarlyRound1ScoringAverage",2007
22,22,"Bart Bryant",NA,69.44,625,9,"FirstTeeEarlyRound1ScoringAverage",2007
23,23,"Brian Gay",NA,69.5,556,8,"FirstTeeEarlyRound1ScoringAverage",2007
23,23,"Sean OHair",NA,69.5,556,8,"FirstTeeEarlyRound1ScoringAverage",2007
23,23,"Jeff Overton",NA,69.5,417,6,"FirstTeeEarlyRound1ScoringAverage",2007
26,26,"Kent Jones",NA,69.57,487,7,"FirstTeeEarlyRound1ScoringAverage",2007
26,26,"Carl Pettersson",NA,69.57,487,7,"FirstTeeEarlyRound1ScoringAverage",2007
28,28,"Charles Warren",NA,69.67,418,6,"FirstTeeEarlyRound1ScoringAverage",2007
29,29,"Scott Gutschewski",NA,69.8,349,5,"FirstTeeEarlyRound1ScoringAverage",2007
29,29,"Steve Marino",NA,69.8,698,10,"FirstTeeEarlyRound1ScoringAverage",2007
31,31,"Cliff Kresge",NA,69.88,559,8,"FirstTeeEarlyRound1ScoringAverage",2007
31,31,"Rocco Mediate",NA,69.88,559,8,"FirstTeeEarlyRound1ScoringAverage",2007
33,33,"Jesper Parnevik",NA,69.89,629,9,"FirstTeeEarlyRound1ScoringAverage",2007
34,34,"Craig Barlow",NA,70,280,4,"FirstTeeEarlyRound1ScoringAverage",2007
34,34,"Nathan Green",NA,70,560,8,"FirstTeeEarlyRound1ScoringAverage",2007
34,34,"Anthony Kim",NA,70,350,5,"FirstTeeEarlyRound1ScoringAverage",2007
34,34,"Dicky Pride",NA,70,350,5,"FirstTeeEarlyRound1ScoringAverage",2007
34,34,"John Rollins",NA,70,560,8,"FirstTeeEarlyRound1ScoringAverage",2007
34,34,"Charlie Wi",NA,70,350,5,"FirstTeeEarlyRound1ScoringAverage",2007
34,34,"Tiger Woods",NA,70,140,2,"FirstTeeEarlyRound1ScoringAverage",2007
41,41,"Charley Hoffman",NA,70.1,701,10,"FirstTeeEarlyRound1ScoringAverage",2007
42,42,"Ryan Armour",NA,70.13,561,8,"FirstTeeEarlyRound1ScoringAverage",2007
43,43,"Bill Haas",NA,70.17,421,6,"FirstTeeEarlyRound1ScoringAverage",2007
44,44,"Will Ma Kenzie",NA,70.18,772,11,"FirstTeeEarlyRound1ScoringAverage",2007
45,45,"Mark Brooks",NA,70.33,211,3,"FirstTeeEarlyRound1ScoringAverage",2007
45,45,"Trevor Immelman",NA,70.33,422,6,"FirstTeeEarlyRound1ScoringAverage",2007
45,45,"Jay Williamson",NA,70.33,211,3,"FirstTeeEarlyRound1ScoringAverage",2007
48,48,"Heath Slocum",NA,70.36,774,11,"FirstTeeEarlyRound1ScoringAverage",2007
49,49,"Mark Calcavecchia",NA,70.38,563,8,"FirstTeeEarlyRound1ScoringAverage",2007
50,50,"Jeff Gove",NA,70.4,704,10,"FirstTeeEarlyRound1ScoringAverage",2007
50,50,"Ted Purdy",NA,70.4,704,10,"FirstTeeEarlyRound1ScoringAverage",2007
52,52,"JP Hayes",NA,70.43,493,7,"FirstTeeEarlyRound1ScoringAverage",2007
52,52,"Brandt Snedeker",NA,70.43,493,7,"FirstTeeEarlyRound1ScoringAverage",2007
54,54,"Michael Allen",NA,70.5,282,4,"FirstTeeEarlyRound1ScoringAverage",2007
54,54,"Brian Davis",NA,70.5,423,6,"FirstTeeEarlyRound1ScoringAverage",2007
54,54,"John Merrick",NA,70.5,564,8,"FirstTeeEarlyRound1ScoringAverage",2007
