"TotalEagles_RANKTHISWEEK_2007","TotalEagles_RANKLASTWEEK_2007","TotalEagles_PLAYERNAME_2007","TotalEagles_ROUNDS_2007","TotalEagles_TOTAL_2007","stat_name","year"
1,1,"Sean OHair",98,15,"TotalEagles",2007
1,1,"Charles Warren",101,15,"TotalEagles",2007
3,3,"Bill Haas",93,14,"TotalEagles",2007
3,3,"Rod Pampling",92,14,"TotalEagles",2007
5,5,"Eric Axley",107,13,"TotalEagles",2007
5,5,"Will Ma Kenzie",100,13,"TotalEagles",2007
7,7,"Rich Beem",89,12,"TotalEagles",2007
7,7,"Robert Garrigus",95,12,"TotalEagles",2007
7,7,"Daisuke Maruyama",86,12,"TotalEagles",2007
7,7,"Vijay Singh",102,12,"TotalEagles",2007
7,7,"Chris Tidland",59,12,"TotalEagles",2007
12,12,"Ken Duke",112,11,"TotalEagles",2007
12,12,"Steve Flesch",100,11,"TotalEagles",2007
12,12,"Harrison Frazar",88,11,"TotalEagles",2007
12,12,"Jeff Gove",103,11,"TotalEagles",2007
12,12,"Phil Mickelson",73,11,"TotalEagles",2007
12,12,"Pat Perez",84,11,"TotalEagles",2007
12,12,"Brett Wetterich",88,11,"TotalEagles",2007
12,12,"Tiger Woods",63,11,"TotalEagles",2007
20,20,"Michael Allen",74,10,"TotalEagles",2007
20,20,"Brian Davis",101,10,"TotalEagles",2007
20,20,"Chris DiMarco",79,10,"TotalEagles",2007
20,20,"Nathan Green",103,10,"TotalEagles",2007
20,20,"Mathias Gronberg",95,10,"TotalEagles",2007
20,20,"Joe Ogilvie",102,10,"TotalEagles",2007
20,20,"Greg Owen",81,10,"TotalEagles",2007
20,20,"Michael Putnam",96,10,"TotalEagles",2007
20,20,"John Rollins",102,10,"TotalEagles",2007
20,20,"Darron Stiles",65,10,"TotalEagles",2007
20,20,"Nick Watney",87,10,"TotalEagles",2007
31,31,"Jason Dufner",100,9,"TotalEagles",2007
31,31,"Lucas Glover",98,9,"TotalEagles",2007
31,31,"Mathew Goggin",97,9,"TotalEagles",2007
31,31,"Ryuji Imada",104,9,"TotalEagles",2007
31,31,"Kent Jones",97,9,"TotalEagles",2007
31,31,"Cliff Kresge",107,9,"TotalEagles",2007
31,31,"Jarrod Lyle",77,9,"TotalEagles",2007
31,31,"Hunter Mahan",91,9,"TotalEagles",2007
31,31,"George McNeill",95,9,"TotalEagles",2007
31,31,"Ryan Moore",92,9,"TotalEagles",2007
31,31,"Kevin Na",84,9,"TotalEagles",2007
31,31,"Ryan Palmer",91,9,"TotalEagles",2007
31,31,"Brett Quigley",79,9,"TotalEagles",2007
31,31,"Heath Slocum",101,9,"TotalEagles",2007
31,31,"Kevin Stadler",95,9,"TotalEagles",2007
31,31,"Bubba Watson",80,9,"TotalEagles",2007
47,47,"Jeff Brehaut",59,8,"TotalEagles",2007
47,47,"DJ Brigman",67,8,"TotalEagles",2007
47,47,"John Daly",59,8,"TotalEagles",2007
47,47,"Ernie Els",59,8,"TotalEagles",2007
47,47,"Jason Gore",86,8,"TotalEagles",2007
47,47,"Charles Howell III",89,8,"TotalEagles",2007
47,47,"Tripp Isenhour",86,8,"TotalEagles",2007
47,47,"Jerry Kelly",101,8,"TotalEagles",2007
47,47,"Frank Lickliter II",95,8,"TotalEagles",2007
47,47,"Steve Lowery",74,8,"TotalEagles",2007
47,47,"Steve Marino",106,8,"TotalEagles",2007
47,47,"Troy Matteson",87,8,"TotalEagles",2007
47,47,"Billy Mayfair",98,8,"TotalEagles",2007
47,47,"Tom Pernice Jr",104,8,"TotalEagles",2007
47,47,"Tim Petrovic",106,8,"TotalEagles",2007
47,47,"Carl Pettersson",111,8,"TotalEagles",2007
47,47,"Jeff Quinney",95,8,"TotalEagles",2007
47,47,"Kirk Triplett",77,8,"TotalEagles",2007
47,47,"Bo Van Pelt",104,8,"TotalEagles",2007
47,47,"Scott Verplank",82,8,"TotalEagles",2007
47,47,"Boo Weekley",101,8,"TotalEagles",2007
47,47,"Mike Weir",82,8,"TotalEagles",2007
47,47,"Charlie Wi",90,8,"TotalEagles",2007
70,70,"Steve Allan",63,7,"TotalEagles",2007
70,70,"Robert Allenby",90,7,"TotalEagles",2007
70,70,"Briny Baird",115,7,"TotalEagles",2007
70,70,"Jason Bohn",57,7,"TotalEagles",2007
70,70,"Mark Calcavecchia",93,7,"TotalEagles",2007
70,70,"Chad Campbell",96,7,"TotalEagles",2007
70,70,"Stewart Cink",91,7,"TotalEagles",2007
70,70,"Tim Clark",66,7,"TotalEagles",2007
70,70,"Brendon de Jonge",76,7,"TotalEagles",2007
70,70,"Robert Gamez",88,7,"TotalEagles",2007
70,70,"John Mallinger",96,7,"TotalEagles",2007
70,70,"Shigeki Maruyama",84,7,"TotalEagles",2007
70,70,"Jeff Overton",60,7,"TotalEagles",2007
70,70,"Ted Purdy",102,7,"TotalEagles",2007
70,70,"Rory Sabbatini",81,7,"TotalEagles",2007
70,70,"Jason Schultz",63,7,"TotalEagles",2007
70,70,"John Senden",97,7,"TotalEagles",2007
70,70,"Duffy Waldorf",69,7,"TotalEagles",2007
88,88,"Billy Andrade",88,6,"TotalEagles",2007
88,88,"Tommy Armour III",81,6,"TotalEagles",2007
88,88,"Jonathan Byrd",73,6,"TotalEagles",2007
88,88,"Alex Cejka",80,6,"TotalEagles",2007
88,88,"Sergio Garcia",68,6,"TotalEagles",2007
88,88,"Paul Gow",70,6,"TotalEagles",2007
88,88,"Scott Gutschewski",67,6,"TotalEagles",2007
88,88,"JJ Henry",86,6,"TotalEagles",2007
88,88,"JB Holmes",71,6,"TotalEagles",2007
88,88,"Lee Janzen",66,6,"TotalEagles",2007
88,88,"Zach Johnson",76,6,"TotalEagles",2007
88,88,"Doug LaBelle II",104,6,"TotalEagles",2007
88,88,"Jeff Maggert",79,6,"TotalEagles",2007
88,88,"Parker McLachlin",83,6,"TotalEagles",2007
88,88,"Geoff Ogilvy",84,6,"TotalEagles",2007
88,88,"Kenny Perry",83,6,"TotalEagles",2007
88,88,"Tag Ridings",52,6,"TotalEagles",2007
88,88,"Vaughn Taylor",91,6,"TotalEagles",2007
88,88,"Camilo Villegas",82,6,"TotalEagles",2007
88,88,"Johnson Wagner",97,6,"TotalEagles",2007
88,88,"Steve Wheatcroft",73,6,"TotalEagles",2007
109,109,"Ryan Armour",107,5,"TotalEagles",2007
109,109,"Aaron Baddeley",83,5,"TotalEagles",2007
109,109,"Cameron Beckman",96,5,"TotalEagles",2007
109,109,"David Branshaw",83,5,"TotalEagles",2007
109,109,"Andrew Buckle",77,5,"TotalEagles",2007
109,109,"Tom Byrum",50,5,"TotalEagles",2007
109,109,"KJ Choi",87,5,"TotalEagles",2007
109,109,"Daniel Chopra",106,5,"TotalEagles",2007
109,109,"Chris Couch",76,5,"TotalEagles",2007
109,109,"Todd Hamilton",76,5,"TotalEagles",2007
109,109,"Matt Hendrix",63,5,"TotalEagles",2007
109,109,"Charley Hoffman",97,5,"TotalEagles",2007
109,109,"Anthony Kim",93,5,"TotalEagles",2007
109,109,"Matt Kuchar",85,5,"TotalEagles",2007
109,109,"Stephen Leaney",82,5,"TotalEagles",2007
109,109,"Tom Lehman",62,5,"TotalEagles",2007
109,109,"Craig Lile",77,5,"TotalEagles",2007
109,109,"Peter Lonard",85,5,"TotalEagles",2007
109,109,"Jesper Parnevik",88,5,"TotalEagles",2007
109,109,"Justin Rose",63,5,"TotalEagles",2007
109,109,"Jim Rutledge",59,5,"TotalEagles",2007
109,109,"Adam Scott",69,5,"TotalEagles",2007
109,109,"Joey Sindelar",75,5,"TotalEagles",2007
109,109,"Brandt Snedeker",105,5,"TotalEagles",2007
109,109,"Steve Stricker",81,5,"TotalEagles",2007
109,109,"Bob Tway",103,5,"TotalEagles",2007
109,109,"Mark Wilson",87,5,"TotalEagles",2007
136,136,"Stuart Appleby",74,4,"TotalEagles",2007
136,136,"Woody Austin",95,4,"TotalEagles",2007
136,136,"Rich Barcelo",80,4,"TotalEagles",2007
136,136,"Ben Curtis",80,4,"TotalEagles",2007
136,136,"Marco Dawson",73,4,"TotalEagles",2007
136,136,"Glen Day",85,4,"TotalEagles",2007
136,136,"Bob Estes",88,4,"TotalEagles",2007
136,136,"Brian Gay",107,4,"TotalEagles",2007
136,136,"JP Hayes",89,4,"TotalEagles",2007
136,136,"Bob Heintz",85,4,"TotalEagles",2007
136,136,"Tom Johnson",74,4,"TotalEagles",2007
136,136,"Craig Kanada",109,4,"TotalEagles",2007
136,136,"Justin Leonard",95,4,"TotalEagles",2007
136,136,"Rocco Mediate",72,4,"TotalEagles",2007
136,136,"John Merrick",92,4,"TotalEagles",2007
136,136,"Corey Pavin",81,4,"TotalEagles",2007
136,136,"Kyle Reifers",71,4,"TotalEagles",2007
136,136,"Chris Stroud",66,4,"TotalEagles",2007
136,136,"Kevin Sutherland",85,4,"TotalEagles",2007
136,136,"David Toms",80,4,"TotalEagles",2007
136,136,"DJ Trahan",99,4,"TotalEagles",2007
157,157,"Stephen Ames",81,3,"TotalEagles",2007
157,157,"Craig Barlow",52,3,"TotalEagles",2007
