"SmashFactor_RANKTHISWEEK_2011","SmashFactor_RANKLASTWEEK_2011","SmashFactor_PLAYERNAME_2011","SmashFactor_ROUNDS_2011","SmashFactor_AVG_2011","SmashFactor_TOTALSMASHFACTOR_2011","SmashFactor_TOTALATTEMPTS_2011","SmashFactor_HIGHESTVALUE_2011","SmashFactor_LOWESTVALUE_2011","stat_name","year"
1,1,"Arjun Atwal",91,1.485,108.394,73,1.5,1.469,"SmashFactor",2011
1,1,"Shane Bertsch",62,1.485,65.34,44,1.485,1.485,"SmashFactor",2011
1,1,"Jason Bohn",74,1.485,96.497,65,1.485,1.467,"SmashFactor",2011
1,1,"Steve Elkington",50,1.485,51.969,35,1.487,1.481,"SmashFactor",2011
1,1,"Harrison Frazar",58,1.485,57.898,39,1.485,1.475,"SmashFactor",2011
1,1,"Jim Herman",69,1.485,68.31,46,1.485,1.485,"SmashFactor",2011
1,1,"Martin Laird",77,1.485,89.07,60,1.485,1.465,"SmashFactor",2011
1,1,"Matt McQuillan",59,1.485,54.932,37,1.5,1.463,"SmashFactor",2011
1,1,"Nick OHern",89,1.485,90.59,61,1.49,1.485,"SmashFactor",2011
1,1,"Joe Ogilvie",75,1.485,77.235,52,1.5,1.485,"SmashFactor",2011
1,1,"Carl Pettersson",95,1.485,124.72,84,1.485,1.473,"SmashFactor",2011
1,1,"David Toms",78,1.485,86.13,58,1.485,1.485,"SmashFactor",2011
1,1,"Garrett Willis",71,1.485,68.31,46,1.485,1.485,"SmashFactor",2011
14,14,"Robert Allenby",84,1.484,96.473,65,1.485,1.455,"SmashFactor",2011
14,14,"Rich Beem",53,1.484,62.328,42,1.485,1.449,"SmashFactor",2011
14,14,"DJ Brigman",67,1.484,66.801,45,1.495,1.455,"SmashFactor",2011
14,14,"Jason Dufner",78,1.484,91.993,62,1.5,1.455,"SmashFactor",2011
14,14,"Tommy Gainey",104,1.484,123.181,83,1.485,1.463,"SmashFactor",2011
14,14,"Robert Garrigus",83,1.484,77.186,52,1.485,1.461,"SmashFactor",2011
14,14,"Andres Gonzales",60,1.484,60.851,41,1.485,1.451,"SmashFactor",2011
14,14,"Padraig Harrington",60,1.484,56.394,38,1.485,1.463,"SmashFactor",2011
14,14,"JP Hayes",56,1.484,59.366,40,1.485,1.463,"SmashFactor",2011
14,14,"Justin Hicks",60,1.484,59.366,40,1.485,1.475,"SmashFactor",2011
14,14,"Chris Kirk",87,1.484,111.295,75,1.485,1.459,"SmashFactor",2011
14,14,"Colt Knost",80,1.484,87.54,59,1.485,1.47,"SmashFactor",2011
14,14,"Marc Leishman",87,1.484,111.301,75,1.49,1.453,"SmashFactor",2011
14,14,"Justin Leonard",82,1.484,93.497,63,1.485,1.469,"SmashFactor",2011
14,14,"Rocco Mediate",53,1.484,65.298,44,1.485,1.443,"SmashFactor",2011
14,14,"John Merrick",71,1.484,83.077,56,1.5,1.467,"SmashFactor",2011
14,14,"Jeff Overton",92,1.484,105.379,71,1.485,1.467,"SmashFactor",2011
14,14,"Ryan Palmer",82,1.484,90.533,61,1.485,1.469,"SmashFactor",2011
14,14,"Martin Piller",63,1.484,65.274,44,1.485,1.451,"SmashFactor",2011
14,14,"Ian Poulter",52,1.484,59.35,40,1.485,1.449,"SmashFactor",2011
14,14,"Aron Price",58,1.484,63.798,43,1.485,1.463,"SmashFactor",2011
14,14,"Chez Reavie",92,1.484,108.319,73,1.485,1.449,"SmashFactor",2011
14,14,"Chris Riley",76,1.484,84.583,57,1.485,1.455,"SmashFactor",2011
14,14,"Heath Slocum",89,1.484,109.802,74,1.485,1.461,"SmashFactor",2011
14,14,"Brandt Snedeker",85,1.484,99.457,67,1.485,1.449,"SmashFactor",2011
14,14,"Vaughn Taylor",89,1.484,111.303,75,1.485,1.465,"SmashFactor",2011
14,14,"Roland Thatcher",67,1.484,72.699,49,1.485,1.461,"SmashFactor",2011
14,14,"Michael Thompson",79,1.484,80.156,54,1.485,1.471,"SmashFactor",2011
14,14,"Camilo Villegas",69,1.484,77.185,52,1.49,1.449,"SmashFactor",2011
43,43,"Alex Cejka",59,1.483,63.775,43,1.485,1.449,"SmashFactor",2011
43,43,"Ben Crane",76,1.483,88.978,60,1.485,1.457,"SmashFactor",2011
43,43,"Brian Davis",105,1.483,129.063,87,1.485,1.449,"SmashFactor",2011
43,43,"David Duval",67,1.483,72.685,49,1.485,1.453,"SmashFactor",2011
43,43,"David Hearn",88,1.483,97.856,66,1.485,1.453,"SmashFactor",2011
43,43,"JB Holmes",57,1.483,60.795,41,1.485,1.449,"SmashFactor",2011
43,43,"Brandt Jobe",100,1.483,102.333,69,1.485,1.457,"SmashFactor",2011
43,43,"Matt Jones",71,1.483,77.092,52,1.485,1.461,"SmashFactor",2011
43,43,"Sung Kang",63,1.483,57.822,39,1.49,1.449,"SmashFactor",2011
43,43,"Spencer Levin",113,1.483,127.541,86,1.49,1.451,"SmashFactor",2011
43,43,"Bill Lunde",92,1.483,109.776,74,1.485,1.459,"SmashFactor",2011
43,43,"Jarrod Lyle",83,1.483,87.525,59,1.485,1.459,"SmashFactor",2011
43,43,"Hunter Mahan",92,1.483,109.746,74,1.485,1.449,"SmashFactor",2011
43,43,"George McNeill",69,1.483,78.579,53,1.485,1.457,"SmashFactor",2011
