"TenthTeeLateScoringAverage_RANKTHISWEEK_2005","TenthTeeLateScoringAverage_RANKLASTWEEK_2005","TenthTeeLateScoringAverage_PLAYERNAME_2005","TenthTeeLateScoringAverage_ROUNDS_2005","TenthTeeLateScoringAverage_AVG_2005","TenthTeeLateScoringAverage_TOTALSTROKES_2005","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2005","stat_name","year"
1,1,"Luke Donald",67,67,268,4,"TenthTeeLateScoringAverage",2005
2,2,"Sergio Garcia",73,68,476,7,"TenthTeeLateScoringAverage",2005
3,3,"Steve Stricker",62,68.6,686,10,"TenthTeeLateScoringAverage",2005
4,4,"Vijay Singh",111,68.63,549,8,"TenthTeeLateScoringAverage",2005
5,5,"Scott Verplank",87,68.89,620,9,"TenthTeeLateScoringAverage",2005
6,6,"Dudley Hart",84,69.09,760,11,"TenthTeeLateScoringAverage",2005
7,7,"Brandt Jobe",96,69.2,692,10,"TenthTeeLateScoringAverage",2005
7,7,"Richard Johnson",50,69.2,692,10,"TenthTeeLateScoringAverage",2005
9,9,"Thomas Levet",54,69.29,485,7,"TenthTeeLateScoringAverage",2005
10,10,"Tim Clark",92,69.33,832,12,"TenthTeeLateScoringAverage",2005
11,11,"Jim Furyk",94,69.42,833,12,"TenthTeeLateScoringAverage",2005
12,12,"Phil Mickelson",81,69.5,695,10,"TenthTeeLateScoringAverage",2005
12,12,"Kenny Perry",82,69.5,556,8,"TenthTeeLateScoringAverage",2005
14,14,"Kevin Sutherland",89,69.56,1113,16,"TenthTeeLateScoringAverage",2005
15,15,"Stewart Cink",98,69.6,696,10,"TenthTeeLateScoringAverage",2005
16,16,"Woody Austin",100,69.67,1463,21,"TenthTeeLateScoringAverage",2005
17,17,"Hidemichi Tanaka",106,69.68,1324,19,"TenthTeeLateScoringAverage",2005
18,18,"Jeff Brehaut",71,69.69,906,13,"TenthTeeLateScoringAverage",2005
19,19,"Paul Azinger",66,69.71,488,7,"TenthTeeLateScoringAverage",2005
19,19,"Jeff Sluman",94,69.71,976,14,"TenthTeeLateScoringAverage",2005
21,21,"Fred Funk",102,69.73,767,11,"TenthTeeLateScoringAverage",2005
22,22,"Olin Browne",99,69.8,1396,20,"TenthTeeLateScoringAverage",2005
23,23,"Carl Pettersson",109,69.85,1397,20,"TenthTeeLateScoringAverage",2005
24,24,"Marco Dawson",82,69.86,978,14,"TenthTeeLateScoringAverage",2005
25,25,"Sean OHair",103,69.88,559,8,"TenthTeeLateScoringAverage",2005
26,26,"Lee Janzen",75,69.9,699,10,"TenthTeeLateScoringAverage",2005
27,27,"Briny Baird",98,69.92,839,12,"TenthTeeLateScoringAverage",2005
28,28,"Brian Davis",75,69.93,979,14,"TenthTeeLateScoringAverage",2005
29,29,"Bob Estes",92,69.94,1189,17,"TenthTeeLateScoringAverage",2005
30,30,"Mark Calcavecchia",92,70,1050,15,"TenthTeeLateScoringAverage",2005
30,30,"Brett Quigley",96,70,1050,15,"TenthTeeLateScoringAverage",2005
30,30,"Kirk Triplett",55,70,490,7,"TenthTeeLateScoringAverage",2005
33,33,"Billy Mayfair",114,70.06,1261,18,"TenthTeeLateScoringAverage",2005
34,34,"Davis Love III",80,70.11,631,9,"TenthTeeLateScoringAverage",2005
35,35,"Gavin Coles",70,70.13,1052,15,"TenthTeeLateScoringAverage",2005
36,36,"Jonathan Kaye",77,70.14,982,14,"TenthTeeLateScoringAverage",2005
37,37,"Vaughn Taylor",99,70.15,1403,20,"TenthTeeLateScoringAverage",2005
38,38,"Jonathan Byrd",103,70.21,1334,19,"TenthTeeLateScoringAverage",2005
39,39,"Heath Slocum",103,70.25,843,12,"TenthTeeLateScoringAverage",2005
40,40,"JL Lewis",98,70.26,1616,23,"TenthTeeLateScoringAverage",2005
41,41,"Jay Williamson",53,70.27,773,11,"TenthTeeLateScoringAverage",2005
42,42,"Steve Allan",102,70.29,1195,17,"TenthTeeLateScoringAverage",2005
42,42,"Brendan Jones",81,70.29,1195,17,"TenthTeeLateScoringAverage",2005
44,44,"Robert Allenby",95,70.36,985,14,"TenthTeeLateScoringAverage",2005
45,45,"Justin Leonard",78,70.38,915,13,"TenthTeeLateScoringAverage",2005
46,46,"Darron Stiles",78,70.4,1056,15,"TenthTeeLateScoringAverage",2005
46,46,"Nick Watney",91,70.4,1408,20,"TenthTeeLateScoringAverage",2005
48,48,"Phillip Price",77,70.42,845,12,"TenthTeeLateScoringAverage",2005
49,49,"Stephen Leaney",89,70.45,775,11,"TenthTeeLateScoringAverage",2005
50,50,"Brian Gay",101,70.47,1339,19,"TenthTeeLateScoringAverage",2005
50,50,"Duffy Waldorf",86,70.47,1198,17,"TenthTeeLateScoringAverage",2005
52,52,"Tommy Armour III",103,70.5,1410,20,"TenthTeeLateScoringAverage",2005
52,52,"Pat Perez",89,70.5,1128,16,"TenthTeeLateScoringAverage",2005
52,52,"Ian Poulter",62,70.5,564,8,"TenthTeeLateScoringAverage",2005
55,55,"Corey Pavin",77,70.56,1129,16,"TenthTeeLateScoringAverage",2005
56,56,"Chad Campbell",95,70.58,847,12,"TenthTeeLateScoringAverage",2005
57,57,"Scott Gutschewski",86,70.6,706,10,"TenthTeeLateScoringAverage",2005
57,57,"Brenden Pappas",51,70.6,353,5,"TenthTeeLateScoringAverage",2005
57,57,"Tom Pernice Jr",111,70.6,1059,15,"TenthTeeLateScoringAverage",2005
60,60,"Dan Forsman",52,70.67,848,12,"TenthTeeLateScoringAverage",2005
61,61,"Bo Van Pelt",112,70.69,1131,16,"TenthTeeLateScoringAverage",2005
62,62,"Retief Goosen",71,70.71,495,7,"TenthTeeLateScoringAverage",2005
63,63,"Joe Durant",81,70.75,1132,16,"TenthTeeLateScoringAverage",2005
63,63,"Zach Johnson",96,70.75,849,12,"TenthTeeLateScoringAverage",2005
63,63,"Tim Petrovic",97,70.75,1698,24,"TenthTeeLateScoringAverage",2005
66,66,"Stuart Appleby",84,70.77,920,13,"TenthTeeLateScoringAverage",2005
67,67,"DA Points",94,70.78,1628,23,"TenthTeeLateScoringAverage",2005
68,68,"JJ Henry",102,70.79,991,14,"TenthTeeLateScoringAverage",2005
68,68,"John Huston",90,70.79,1345,19,"TenthTeeLateScoringAverage",2005
70,70,"Todd Fischer",99,70.8,1062,15,"TenthTeeLateScoringAverage",2005
70,70,"Tim Herron",100,70.8,708,10,"TenthTeeLateScoringAverage",2005
72,72,"Brent Geiberger",61,70.82,1204,17,"TenthTeeLateScoringAverage",2005
72,72,"John Senden",101,70.82,1204,17,"TenthTeeLateScoringAverage",2005
74,74,"Arjun Atwal",65,70.83,425,6,"TenthTeeLateScoringAverage",2005
74,74,"Bill Glasson",54,70.83,850,12,"TenthTeeLateScoringAverage",2005
74,74,"Mathias Gronberg",60,70.83,850,12,"TenthTeeLateScoringAverage",2005
74,74,"Ryan Palmer",101,70.83,850,12,"TenthTeeLateScoringAverage",2005
74,74,"Loren Roberts",54,70.83,850,12,"TenthTeeLateScoringAverage",2005
79,79,"Joey Sindelar",104,70.84,1771,25,"TenthTeeLateScoringAverage",2005
80,80,"Geoff Ogilvy",97,70.85,921,13,"TenthTeeLateScoringAverage",2005
81,81,"Stephen Ames",82,70.88,567,8,"TenthTeeLateScoringAverage",2005
