"LeftRoughTendency_RANKTHISWEEK_2009","LeftRoughTendency_RANKLASTWEEK_2009","LeftRoughTendency_PLAYERNAME_2009","LeftRoughTendency_ROUNDS_2009","LeftRoughTendency_Pct_2009","LeftRoughTendency_TOTALLEFTROUGH_2009","LeftRoughTendency_POSSIBLEFWYS_2009","LeftRoughTendency_RELATIVETOPAR_2009","stat_name","year"
1,1,"Heath Slocum",95,8.33,98,1176,0.23,"LeftRoughTendency",2009
2,2,"Scott Verplank",88,8.37,92,1099,0.15,"LeftRoughTendency",2009
3,3,"Kirk Triplett",60,8.49,64,754,0,"LeftRoughTendency",2009
4,4,"Billy Mayfair",83,8.6,82,953,0.17,"LeftRoughTendency",2009
5,5,"Mark Wilson",99,8.74,106,1213,0.17,"LeftRoughTendency",2009
6,6,"Kent Jones",73,8.76,74,845,0.15,"LeftRoughTendency",2009
7,7,"Bryce Molder",69,8.9,67,753,0.16,"LeftRoughTendency",2009
8,8,"Scott McCarron",91,8.92,100,1121,0.06,"LeftRoughTendency",2009
9,9,"Joe Durant",62,8.96,58,647,0.14,"LeftRoughTendency",2009
10,10,"Chris Riley",77,9.05,84,928,0.1,"LeftRoughTendency",2009
11,11,"Darron Stiles",52,9.14,53,580,0.23,"LeftRoughTendency",2009
12,12,"Brian Gay",96,9.44,108,1144,0.15,"LeftRoughTendency",2009
13,13,"Colt Knost",71,9.48,73,770,0.26,"LeftRoughTendency",2009
14,14,"Paul Goydos",79,9.61,87,905,0.24,"LeftRoughTendency",2009
15,15,"Corey Pavin",73,9.68,72,744,0.13,"LeftRoughTendency",2009
16,16,"David Toms",98,9.71,108,1112,0.09,"LeftRoughTendency",2009
17,17,"Brandt Snedeker",81,9.86,89,903,0.02,"LeftRoughTendency",2009
18,18,"James Nitties",86,9.9,104,1051,0.12,"LeftRoughTendency",2009
19,19,"Bart Bryant",58,9.99,72,721,0.32,"LeftRoughTendency",2009
20,20,"Mark Brooks",55,10,55,550,0.13,"LeftRoughTendency",2009
21,21,"John Merrick",91,10.01,93,929,0.08,"LeftRoughTendency",2009
22,22,"Marc Leishman",91,10.07,115,1142,0.05,"LeftRoughTendency",2009
23,23,"Bob Estes",78,10.13,97,958,0.24,"LeftRoughTendency",2009
24,24,"Zach Johnson",94,10.14,112,1104,0.07,"LeftRoughTendency",2009
25,25,"Chris DiMarco",97,10.16,122,1201,0.07,"LeftRoughTendency",2009
26,26,"Alex Cejka",82,10.24,101,986,0.06,"LeftRoughTendency",2009
27,27,"Bo Van Pelt",100,10.27,116,1129,0.05,"LeftRoughTendency",2009
28,28,"Chad Campbell",90,10.32,101,979,0.05,"LeftRoughTendency",2009
29,29,"Jay Williamson",69,10.43,82,786,0.2,"LeftRoughTendency",2009
30,30,"Greg Owen",97,10.48,119,1135,0.07,"LeftRoughTendency",2009
31,31,"Kris Blanks",60,10.51,68,647,0.04,"LeftRoughTendency",2009
32,32,"Jeff Klauk",97,10.58,129,1219,0.09,"LeftRoughTendency",2009
33,33,"Tiger Woods",64,10.62,70,659,-0.06,"LeftRoughTendency",2009
34,34,"Jason Dufner",90,10.66,115,1079,0.07,"LeftRoughTendency",2009
35,35,"Aron Price",89,10.68,113,1058,0.05,"LeftRoughTendency",2009
36,36,"Bill Lunde",83,10.85,112,1032,0.15,"LeftRoughTendency",2009
37,37,"Martin Laird",72,10.97,94,857,0.15,"LeftRoughTendency",2009
38,38,"Tim Clark",81,10.98,90,820,0.2,"LeftRoughTendency",2009
39,39,"Justin Rose",71,11,87,791,0.01,"LeftRoughTendency",2009
