"Scramblingfrom30yards_RANKTHISWEEK_2012","Scramblingfrom30yards_RANKLASTWEEK_2012","Scramblingfrom30yards_PLAYERNAME_2012","Scramblingfrom30yards_ROUNDS_2012","Scramblingfrom30yards_Pct_2012","Scramblingfrom30yards_SUCCESSES_2012","Scramblingfrom30yards_ATTEMPTS_2012","stat_name","year"
1,1,"Luke Donald",63,41.86,18,43,"Scramblingfrom30yards",2012
2,2,"Bryce Molder",83,40,38,95,"Scramblingfrom30yards",2012
3,3,"Jason Dufner",83,39.13,18,46,"Scramblingfrom30yards",2012
4,4,"Jeff Maggert",83,38.75,31,80,"Scramblingfrom30yards",2012
5,5,"Bill Haas",79,38.6,22,57,"Scramblingfrom30yards",2012
6,6,"Rod Pampling",88,38.36,28,73,"Scramblingfrom30yards",2012
7,7,"David Hearn",95,38.04,35,92,"Scramblingfrom30yards",2012
8,8,"Heath Slocum",93,37.5,21,56,"Scramblingfrom30yards",2012
9,9,"Jimmy Walker",101,37.38,40,107,"Scramblingfrom30yards",2012
10,10,"Alexandre Rocha",62,37.21,16,43,"Scramblingfrom30yards",2012
10,10,"Tiger Woods",69,37.21,16,43,"Scramblingfrom30yards",2012
12,12,"DA Points",88,37.18,29,78,"Scramblingfrom30yards",2012
13,13,"Ben Crane",73,36.99,27,73,"Scramblingfrom30yards",2012
14,14,"Justin Rose",69,36.96,17,46,"Scramblingfrom30yards",2012
14,14,"John Senden",81,36.96,17,46,"Scramblingfrom30yards",2012
16,16,"Henrik Stenson",51,36.54,19,52,"Scramblingfrom30yards",2012
17,17,"Boo Weekley",74,36.36,16,44,"Scramblingfrom30yards",2012
18,18,"Padraig Harrington",67,36.17,17,47,"Scramblingfrom30yards",2012
19,19,"Troy Kelly",68,36.11,26,72,"Scramblingfrom30yards",2012
20,20,"Ernie Els",80,36.07,22,61,"Scramblingfrom30yards",2012
21,21,"Ben Curtis",62,36,18,50,"Scramblingfrom30yards",2012
22,22,"Sergio Garcia",57,35.9,14,39,"Scramblingfrom30yards",2012
23,23,"Colt Knost",79,35.78,39,109,"Scramblingfrom30yards",2012
24,24,"Dicky Pride",62,35.29,24,68,"Scramblingfrom30yards",2012
25,25,"Brendon Todd",78,35.05,34,97,"Scramblingfrom30yards",2012
26,26,"Brian Gay",91,34.86,38,109,"Scramblingfrom30yards",2012
27,27,"John Rollins",81,34.78,24,69,"Scramblingfrom30yards",2012
28,28,"Rickie Fowler",84,34.72,25,72,"Scramblingfrom30yards",2012
29,29,"Bob Estes",78,34.52,29,84,"Scramblingfrom30yards",2012
30,30,"Matt Kuchar",86,34.43,21,61,"Scramblingfrom30yards",2012
31,31,"Greg Chalmers",88,34.38,33,96,"Scramblingfrom30yards",2012
32,32,"Rory McIlroy",60,34.29,12,35,"Scramblingfrom30yards",2012
33,33,"Carl Pettersson",92,34.26,37,108,"Scramblingfrom30yards",2012
34,34,"Ryuji Imada",78,34.23,38,111,"Scramblingfrom30yards",2012
35,35,"John Mallinger",74,33.93,19,56,"Scramblingfrom30yards",2012
36,36,"Tim Clark",60,33.33,13,39,"Scramblingfrom30yards",2012
36,36,"Zach Johnson",95,33.33,21,63,"Scramblingfrom30yards",2012
36,36,"Nick Watney",97,33.33,29,87,"Scramblingfrom30yards",2012
39,39,"Billy Mayfair",90,32.98,31,94,"Scramblingfrom30yards",2012
40,40,"Phil Mickelson",79,32.79,20,61,"Scramblingfrom30yards",2012
41,41,"YE Yang",64,32.73,18,55,"Scramblingfrom30yards",2012
42,42,"Gary Christian",91,32.47,25,77,"Scramblingfrom30yards",2012
43,43,"Chris DiMarco",83,32.18,28,87,"Scramblingfrom30yards",2012
44,44,"Ryan Moore",89,32.05,25,78,"Scramblingfrom30yards",2012
44,44,"Johnson Wagner",88,32.05,25,78,"Scramblingfrom30yards",2012
46,46,"Kris Blanks",65,31.91,15,47,"Scramblingfrom30yards",2012
