"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2011","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2011","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2011","AveragePuttingDistanceAll3Plusputts_ROUNDS_2011","AveragePuttingDistanceAll3Plusputts_AVG_2011","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2011","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2011","stat_name","year"
1,1,"Bio Kim",71,NA,89.333,1,"AveragePuttingDistanceAll3Plusputts",2011
2,2,"Roland Thatcher",67,NA,83.417,1,"AveragePuttingDistanceAll3Plusputts",2011
3,3,"Paul Stankowski",78,NA,80.833,1,"AveragePuttingDistanceAll3Plusputts",2011
4,4,"Joseph Bramlett",73,NA,70.833,1,"AveragePuttingDistanceAll3Plusputts",2011
5,5,"Lee Janzen",62,NA,69.75,1,"AveragePuttingDistanceAll3Plusputts",2011
6,6,"Matt Kuchar",94,NA,69.25,1,"AveragePuttingDistanceAll3Plusputts",2011
7,7,"John Rollins",85,NA,67.167,1,"AveragePuttingDistanceAll3Plusputts",2011
8,8,"Jhonattan Vegas",84,NA,133.083,2,"AveragePuttingDistanceAll3Plusputts",2011
9,9,"Tommy Gainey",104,NA,131.25,2,"AveragePuttingDistanceAll3Plusputts",2011
10,10,"Michael Putnam",67,NA,130.25,2,"AveragePuttingDistanceAll3Plusputts",2011
11,11,"DJ Brigman",67,NA,60.583,1,"AveragePuttingDistanceAll3Plusputts",2011
12,12,"David Hearn",88,NA,120.583,2,"AveragePuttingDistanceAll3Plusputts",2011
13,13,"Brian Davis",105,NA,119.417,2,"AveragePuttingDistanceAll3Plusputts",2011
14,14,"Billy Mayfair",94,NA,231.583,4,"AveragePuttingDistanceAll3Plusputts",2011
15,15,"Justin Leonard",82,NA,56.833,1,"AveragePuttingDistanceAll3Plusputts",2011
16,16,"Arjun Atwal",91,NA,55.667,1,"AveragePuttingDistanceAll3Plusputts",2011
17,17,"Martin Laird",77,NA,54.75,1,"AveragePuttingDistanceAll3Plusputts",2011
18,18,"Zack Miller",86,NA,108.583,2,"AveragePuttingDistanceAll3Plusputts",2011
19,19,"Rory Sabbatini",85,NA,107.417,2,"AveragePuttingDistanceAll3Plusputts",2011
20,20,"Troy Merritt",63,NA,106.25,2,"AveragePuttingDistanceAll3Plusputts",2011
21,21,"Steve Stricker",70,NA,51.5,1,"AveragePuttingDistanceAll3Plusputts",2011
22,22,"Ben Martin",74,NA,51.083,1,"AveragePuttingDistanceAll3Plusputts",2011
23,23,"Fabian Gomez",84,NA,101.917,2,"AveragePuttingDistanceAll3Plusputts",2011
24,24,"John Senden",94,NA,48.417,1,"AveragePuttingDistanceAll3Plusputts",2011
25,25,"Paul Goydos",81,NA,93.333,2,"AveragePuttingDistanceAll3Plusputts",2011
26,26,"Mark Wilson",89,NA,46,1,"AveragePuttingDistanceAll3Plusputts",2011
27,27,"Matt Bettencourt",84,NA,45.667,1,"AveragePuttingDistanceAll3Plusputts",2011
28,28,"Steve Marino",76,NA,136,3,"AveragePuttingDistanceAll3Plusputts",2011
29,29,"Brendan Steele",89,NA,90.167,2,"AveragePuttingDistanceAll3Plusputts",2011
30,30,"Alex Prugh",82,NA,44.167,1,"AveragePuttingDistanceAll3Plusputts",2011
31,31,"David Duval",67,NA,131,3,"AveragePuttingDistanceAll3Plusputts",2011
32,32,"Johnson Wagner",81,NA,41.083,1,"AveragePuttingDistanceAll3Plusputts",2011
33,33,"Matt Jones",71,NA,41,1,"AveragePuttingDistanceAll3Plusputts",2011
34,34,"DA Points",89,NA,40.833,1,"AveragePuttingDistanceAll3Plusputts",2011
35,35,"Jim Herman",69,NA,81.5,2,"AveragePuttingDistanceAll3Plusputts",2011
36,36,"Bo Van Pelt",92,NA,38.333,1,"AveragePuttingDistanceAll3Plusputts",2011
37,37,"Stephen Ames",69,NA,38,1,"AveragePuttingDistanceAll3Plusputts",2011
37,37,"Billy Horschel",75,NA,75.917,2,"AveragePuttingDistanceAll3Plusputts",2011
37,37,"Marc Leishman",87,NA,76,2,"AveragePuttingDistanceAll3Plusputts",2011
40,40,"Garrett Willis",71,NA,36.917,1,"AveragePuttingDistanceAll3Plusputts",2011
41,41,"Chad Campbell",99,NA,72.75,2,"AveragePuttingDistanceAll3Plusputts",2011
42,42,"Geoff Ogilvy",69,NA,36.083,1,"AveragePuttingDistanceAll3Plusputts",2011
43,43,"Ricky Barnes",78,NA,71.667,2,"AveragePuttingDistanceAll3Plusputts",2011
44,44,"David Toms",78,NA,35.333,1,"AveragePuttingDistanceAll3Plusputts",2011
45,45,"Jerry Kelly",85,NA,35.083,1,"AveragePuttingDistanceAll3Plusputts",2011
46,46,"Chez Reavie",92,NA,69.667,2,"AveragePuttingDistanceAll3Plusputts",2011
46,46,"Cameron Tringale",110,NA,34.833,1,"AveragePuttingDistanceAll3Plusputts",2011
48,48,"Dean Wilson",62,NA,34.5,1,"AveragePuttingDistanceAll3Plusputts",2011
49,49,"Kevin Streelman",90,NA,68.583,2,"AveragePuttingDistanceAll3Plusputts",2011
50,50,"Andres Romero",77,NA,33.417,1,"AveragePuttingDistanceAll3Plusputts",2011
51,51,"DJ Trahan",91,NA,165.417,5,"AveragePuttingDistanceAll3Plusputts",2011
52,52,"Charlie Wi",83,NA,32.583,1,"AveragePuttingDistanceAll3Plusputts",2011
53,53,"Keegan Bradley",91,NA,65,2,"AveragePuttingDistanceAll3Plusputts",2011
54,54,"Kevin Stadler",88,NA,94.083,3,"AveragePuttingDistanceAll3Plusputts",2011
55,55,"Hunter Haas",96,NA,29.667,1,"AveragePuttingDistanceAll3Plusputts",2011
56,56,"Blake Adams",116,NA,29.25,1,"AveragePuttingDistanceAll3Plusputts",2011
57,57,"Scott Gutschewski",67,NA,55.917,2,"AveragePuttingDistanceAll3Plusputts",2011
57,57,"Pat Perez",76,NA,56,2,"AveragePuttingDistanceAll3Plusputts",2011
59,59,"Scott Stallings",84,NA,27.667,1,"AveragePuttingDistanceAll3Plusputts",2011
60,60,"Robert Garrigus",83,NA,53.167,2,"AveragePuttingDistanceAll3Plusputts",2011
61,61,"Nick OHern",89,NA,22.25,1,"AveragePuttingDistanceAll3Plusputts",2011
62,62,"Rickie Fowler",84,NA,21.917,1,"AveragePuttingDistanceAll3Plusputts",2011
63,63,"Will Strickler",51,NA,18.833,1,"AveragePuttingDistanceAll3Plusputts",2011
64,64,"Tom Gillis",55,NA,18.75,1,"AveragePuttingDistanceAll3Plusputts",2011
65,65,"Ernie Els",71,NA,17.75,1,"AveragePuttingDistanceAll3Plusputts",2011
66,66,"Charley Hoffman",93,NA,16.417,1,"AveragePuttingDistanceAll3Plusputts",2011
67,67,"Martin Piller",63,NA,16.333,1,"AveragePuttingDistanceAll3Plusputts",2011
68,68,"Derek Lamely",65,NA,15.833,1,"AveragePuttingDistanceAll3Plusputts",2011
68,68,"Jeff Overton",92,NA,15.833,1,"AveragePuttingDistanceAll3Plusputts",2011
70,70,"Michael Connell",76,NA,15.5,1,"AveragePuttingDistanceAll3Plusputts",2011
71,71,"Brandt Jobe",100,NA,30.5,2,"AveragePuttingDistanceAll3Plusputts",2011
72,72,"Chris Kirk",87,NA,15.167,1,"AveragePuttingDistanceAll3Plusputts",2011
73,73,"Chris DiMarco",93,NA,14.75,1,"AveragePuttingDistanceAll3Plusputts",2011
74,74,"Jason Day",76,NA,14.583,1,"AveragePuttingDistanceAll3Plusputts",2011
75,75,"Adam Scott",60,NA,10.667,1,"AveragePuttingDistanceAll3Plusputts",2011
76,76,"Harrison Frazar",58,NA,8.417,1,"AveragePuttingDistanceAll3Plusputts",2011
77,77,"Aaron Baddeley",77,NA,6.75,1,"AveragePuttingDistanceAll3Plusputts",2011
78,78,"Ryuji Imada",83,NA,6.583,1,"AveragePuttingDistanceAll3Plusputts",2011
