"GIRPercentagefromFairway_RANKTHISWEEK_2009","GIRPercentagefromFairway_RANKLASTWEEK_2009","GIRPercentagefromFairway_PLAYERNAME_2009","GIRPercentagefromFairway_ROUNDS_2009","GIRPercentagefromFairway_Pct_2009","GIRPercentagefromFairway_GREENSHIT_2009","GIRPercentagefromFairway_OFHOLES_2009","stat_name","year"
1,NA,"John Senden",100,81.55,738,905,"GIRPercentagefromFairway",2009
2,NA,"JJ Henry",97,81.01,644,795,"GIRPercentagefromFairway",2009
3,NA,"Fred Couples",54,80.76,340,421,"GIRPercentagefromFairway",2009
4,NA,"Robert Garrigus",83,80.51,504,626,"GIRPercentagefromFairway",2009
5,NA,"Charles Howell III",99,80.19,599,747,"GIRPercentagefromFairway",2009
6,NA,"Gary Woodland",53,79.83,277,347,"GIRPercentagefromFairway",2009
7,NA,"Tiger Woods",64,79.57,444,558,"GIRPercentagefromFairway",2009
8,NA,"Scott Piercy",85,79.49,500,629,"GIRPercentagefromFairway",2009
9,NA,"Chad Campbell",90,79.4,605,762,"GIRPercentagefromFairway",2009
10,NA,"Jonathan Byrd",89,79.11,621,785,"GIRPercentagefromFairway",2009
11,NA,"Stephen Ames",77,79,538,681,"GIRPercentagefromFairway",2009
11,NA,"Ricky Barnes",67,79,380,481,"GIRPercentagefromFairway",2009
13,NA,"DJ Trahan",96,78.8,710,901,"GIRPercentagefromFairway",2009
14,NA,"Marc Leishman",91,78.78,568,721,"GIRPercentagefromFairway",2009
15,NA,"Tag Ridings",50,78.72,270,343,"GIRPercentagefromFairway",2009
16,NA,"Justin Leonard",95,78.7,691,878,"GIRPercentagefromFairway",2009
17,NA,"Brendon de Jonge",90,78.59,580,738,"GIRPercentagefromFairway",2009
18,NA,"Charley Hoffman",97,78.53,611,778,"GIRPercentagefromFairway",2009
19,NA,"Chris Stroud",88,78.52,585,745,"GIRPercentagefromFairway",2009
20,NA,"Kevin Sutherland",96,78.5,650,828,"GIRPercentagefromFairway",2009
21,NA,"Nick Watney",86,78.47,543,692,"GIRPercentagefromFairway",2009
22,NA,"Harrison Frazar",93,78.45,528,673,"GIRPercentagefromFairway",2009
23,NA,"Greg Owen",97,78.35,655,836,"GIRPercentagefromFairway",2009
24,NA,"Rory Sabbatini",81,78.33,506,646,"GIRPercentagefromFairway",2009
25,NA,"Jason Bohn",88,78.1,674,863,"GIRPercentagefromFairway",2009
26,NA,"Davis Love III",89,78.06,562,720,"GIRPercentagefromFairway",2009
27,NA,"Tom Lehman",55,78,390,500,"GIRPercentagefromFairway",2009
28,NA,"Charles Warren",63,77.95,396,508,"GIRPercentagefromFairway",2009
29,NA,"Joe Durant",62,77.9,430,552,"GIRPercentagefromFairway",2009
30,NA,"Rich Beem",77,77.81,477,613,"GIRPercentagefromFairway",2009
31,NA,"Bill Lunde",83,77.78,560,720,"GIRPercentagefromFairway",2009
