"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2007","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2007","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2007","AveragePuttingDistanceAll3Plusputts_ROUNDS_2007","AveragePuttingDistanceAll3Plusputts_AVG_2007","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2007","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2007","stat_name","year"
1,1,"Tom Johnson",74,NA,102.667,1,"AveragePuttingDistanceAll3Plusputts",2007
2,2,"Andrew Buckle",77,NA,87.833,1,"AveragePuttingDistanceAll3Plusputts",2007
3,3,"Arron Oberholser",69,NA,79.25,1,"AveragePuttingDistanceAll3Plusputts",2007
4,4,"Kyle Reifers",71,NA,77.333,1,"AveragePuttingDistanceAll3Plusputts",2007
5,5,"Kent Jones",97,NA,70.5,1,"AveragePuttingDistanceAll3Plusputts",2007
6,6,"Rocco Mediate",72,NA,70.417,1,"AveragePuttingDistanceAll3Plusputts",2007
7,7,"Craig Barlow",52,NA,68.083,1,"AveragePuttingDistanceAll3Plusputts",2007
8,8,"Todd Hamilton",76,NA,66.833,1,"AveragePuttingDistanceAll3Plusputts",2007
9,9,"Mark Hensby",81,NA,133.083,2,"AveragePuttingDistanceAll3Plusputts",2007
10,10,"Justin Leonard",95,NA,66,1,"AveragePuttingDistanceAll3Plusputts",2007
11,11,"Henrik Stenson",52,NA,65.667,1,"AveragePuttingDistanceAll3Plusputts",2007
12,12,"Robert Garrigus",95,NA,63.167,1,"AveragePuttingDistanceAll3Plusputts",2007
13,13,"Charles Howell III",89,NA,61.583,1,"AveragePuttingDistanceAll3Plusputts",2007
14,14,"Jason Gore",86,NA,61,1,"AveragePuttingDistanceAll3Plusputts",2007
15,15,"David Branshaw",83,NA,118.667,2,"AveragePuttingDistanceAll3Plusputts",2007
16,16,"Lucas Glover",98,NA,58.167,1,"AveragePuttingDistanceAll3Plusputts",2007
17,17,"Jeff Quinney",95,NA,114.583,2,"AveragePuttingDistanceAll3Plusputts",2007
18,18,"Ryan Armour",107,NA,56.25,1,"AveragePuttingDistanceAll3Plusputts",2007
19,19,"Peter Lonard",85,NA,56.167,1,"AveragePuttingDistanceAll3Plusputts",2007
19,19,"Chris Stroud",66,NA,56.167,1,"AveragePuttingDistanceAll3Plusputts",2007
21,21,"Ryan Moore",92,NA,166.417,3,"AveragePuttingDistanceAll3Plusputts",2007
22,22,"Briny Baird",115,NA,109.25,2,"AveragePuttingDistanceAll3Plusputts",2007
23,23,"Chris Couch",76,NA,53.75,1,"AveragePuttingDistanceAll3Plusputts",2007
24,24,"Steve Elkington",87,NA,53.417,1,"AveragePuttingDistanceAll3Plusputts",2007
