"ScramblingRoughRTPScore_RANKTHISWEEK_2011","ScramblingRoughRTPScore_RANKLASTWEEK_2011","ScramblingRoughRTPScore_PLAYERNAME_2011","ScramblingRoughRTPScore_ROUNDS_2011","ScramblingRoughRTPScore_AVGRTP_2011","ScramblingRoughRTPScore_TOTALHOLES_2011","ScramblingRoughRTPScore_TOTALRTP_2011","stat_name","year"
1,NA,"Steve Stricker",70,0.286,119,34,"ScramblingRoughRTPScore",2011
2,NA,"Webb Simpson",98,0.312,154,48,"ScramblingRoughRTPScore",2011
3,NA,"Robert Karlsson",61,0.342,120,41,"ScramblingRoughRTPScore",2011
4,NA,"Phil Mickelson",79,0.344,160,55,"ScramblingRoughRTPScore",2011
5,NA,"Luke Donald",73,0.353,119,42,"ScramblingRoughRTPScore",2011
6,NA,"Bill Haas",93,0.358,165,59,"ScramblingRoughRTPScore",2011
7,NA,"Matt Kuchar",94,0.36,150,54,"ScramblingRoughRTPScore",2011
8,NA,"Kevin Na",84,0.376,213,80,"ScramblingRoughRTPScore",2011
9,NA,"Martin Laird",77,0.379,140,53,"ScramblingRoughRTPScore",2011
10,NA,"Zach Johnson",79,0.38,142,54,"ScramblingRoughRTPScore",2011
11,NA,"Jason Day",76,0.382,131,50,"ScramblingRoughRTPScore",2011
12,NA,"Justin Leonard",82,0.383,167,64,"ScramblingRoughRTPScore",2011
13,NA,"Ricky Barnes",78,0.387,155,60,"ScramblingRoughRTPScore",2011
14,NA,"Bryce Molder",82,0.39,146,57,"ScramblingRoughRTPScore",2011
15,NA,"Dean Wilson",62,0.395,162,64,"ScramblingRoughRTPScore",2011
16,NA,"Spencer Levin",113,0.398,216,86,"ScramblingRoughRTPScore",2011
16,NA,"Mark Wilson",89,0.398,181,72,"ScramblingRoughRTPScore",2011
18,NA,"Padraig Harrington",60,0.4,115,46,"ScramblingRoughRTPScore",2011
19,NA,"Sergio Garcia",61,0.404,114,46,"ScramblingRoughRTPScore",2011
20,NA,"YE Yang",63,0.405,131,53,"ScramblingRoughRTPScore",2011
21,NA,"Freddie Jacobson",92,0.406,155,63,"ScramblingRoughRTPScore",2011
22,NA,"Shane Bertsch",62,0.411,124,51,"ScramblingRoughRTPScore",2011
22,NA,"Steve Elkington",50,0.411,90,37,"ScramblingRoughRTPScore",2011
24,NA,"Brandt Snedeker",85,0.412,182,75,"ScramblingRoughRTPScore",2011
25,NA,"Ben Crane",76,0.414,140,58,"ScramblingRoughRTPScore",2011
26,NA,"Jason Dufner",78,0.415,130,54,"ScramblingRoughRTPScore",2011
26,NA,"Jerry Kelly",85,0.415,159,66,"ScramblingRoughRTPScore",2011
28,NA,"Ben Curtis",66,0.417,132,55,"ScramblingRoughRTPScore",2011
28,NA,"Charles Howell III",108,0.417,187,78,"ScramblingRoughRTPScore",2011
30,NA,"Robert Allenby",84,0.418,158,66,"ScramblingRoughRTPScore",2011
31,NA,"Blake Adams",116,0.421,209,88,"ScramblingRoughRTPScore",2011
32,NA,"Gary Woodland",93,0.423,194,82,"ScramblingRoughRTPScore",2011
33,NA,"Ryan Moore",79,0.429,161,69,"ScramblingRoughRTPScore",2011
34,NA,"Retief Goosen",50,0.43,121,52,"ScramblingRoughRTPScore",2011
34,NA,"Scott McCarron",65,0.43,172,74,"ScramblingRoughRTPScore",2011
34,NA,"Geoff Ogilvy",69,0.43,151,65,"ScramblingRoughRTPScore",2011
37,NA,"Greg Chalmers",88,0.431,197,85,"ScramblingRoughRTPScore",2011
38,NA,"KJ Choi",77,0.432,148,64,"ScramblingRoughRTPScore",2011
38,NA,"Nick OHern",89,0.432,146,63,"ScramblingRoughRTPScore",2011
40,NA,"Kevin Streelman",90,0.435,184,80,"ScramblingRoughRTPScore",2011
41,NA,"Brendon de Jonge",105,0.436,188,82,"ScramblingRoughRTPScore",2011
42,NA,"Trevor Immelman",84,0.438,128,56,"ScramblingRoughRTPScore",2011
43,NA,"Chad Campbell",99,0.44,168,74,"ScramblingRoughRTPScore",2011
43,NA,"Tim Petrovic",88,0.44,184,81,"ScramblingRoughRTPScore",2011
45,NA,"Pat Perez",76,0.442,172,76,"ScramblingRoughRTPScore",2011
45,NA,"David Toms",78,0.442,120,53,"ScramblingRoughRTPScore",2011
47,NA,"Jonathan Byrd",83,0.444,171,76,"ScramblingRoughRTPScore",2011
47,NA,"Rickie Fowler",84,0.444,169,75,"ScramblingRoughRTPScore",2011
49,NA,"Rory Sabbatini",85,0.445,146,65,"ScramblingRoughRTPScore",2011
50,NA,"Brandt Jobe",100,0.446,157,70,"ScramblingRoughRTPScore",2011
51,NA,"Hunter Mahan",92,0.447,161,72,"ScramblingRoughRTPScore",2011
52,NA,"Ryan Palmer",82,0.449,167,75,"ScramblingRoughRTPScore",2011
53,NA,"Ian Poulter",52,0.453,95,43,"ScramblingRoughRTPScore",2011
54,NA,"Charl Schwartzel",58,0.454,97,44,"ScramblingRoughRTPScore",2011
55,NA,"Stephen Ames",69,0.455,123,56,"ScramblingRoughRTPScore",2011
56,NA,"Marc Turnesa",54,0.457,127,58,"ScramblingRoughRTPScore",2011
56,NA,"Nick Watney",80,0.457,140,64,"ScramblingRoughRTPScore",2011
58,NA,"DA Points",89,0.461,178,82,"ScramblingRoughRTPScore",2011
59,NA,"David Mathis",83,0.462,156,72,"ScramblingRoughRTPScore",2011
59,NA,"Rod Pampling",72,0.462,132,61,"ScramblingRoughRTPScore",2011
61,NA,"Sean OHair",71,0.463,164,76,"ScramblingRoughRTPScore",2011
62,NA,"Adam Scott",60,0.466,103,48,"ScramblingRoughRTPScore",2011
63,NA,"Justin Rose",79,0.467,135,63,"ScramblingRoughRTPScore",2011
64,NA,"Brian Gay",90,0.468,171,80,"ScramblingRoughRTPScore",2011
64,NA,"Nathan Green",81,0.468,171,80,"ScramblingRoughRTPScore",2011
66,NA,"Chez Reavie",92,0.469,177,83,"ScramblingRoughRTPScore",2011
67,NA,"Bio Kim",71,0.471,170,80,"ScramblingRoughRTPScore",2011
67,NA,"Shaun Micheel",77,0.471,172,81,"ScramblingRoughRTPScore",2011
67,NA,"Michael Thompson",79,0.471,191,90,"ScramblingRoughRTPScore",2011
70,NA,"Billy Mayfair",94,0.472,161,76,"ScramblingRoughRTPScore",2011
71,NA,"Jimmy Walker",79,0.475,198,94,"ScramblingRoughRTPScore",2011
72,NA,"Steve Flesch",88,0.477,199,95,"ScramblingRoughRTPScore",2011
73,NA,"Jarrod Lyle",83,0.479,211,101,"ScramblingRoughRTPScore",2011
74,NA,"Kris Blanks",92,0.48,148,71,"ScramblingRoughRTPScore",2011
75,NA,"Vijay Singh",79,0.481,158,76,"ScramblingRoughRTPScore",2011
76,NA,"Joseph Bramlett",73,0.483,174,84,"ScramblingRoughRTPScore",2011
76,NA,"Paul Goydos",81,0.483,180,87,"ScramblingRoughRTPScore",2011
78,NA,"Stewart Cink",72,0.484,124,60,"ScramblingRoughRTPScore",2011
78,NA,"Robert Garrigus",83,0.484,159,77,"ScramblingRoughRTPScore",2011
78,NA,"Bo Van Pelt",92,0.484,161,78,"ScramblingRoughRTPScore",2011
81,NA,"Brian Davis",105,0.485,202,98,"ScramblingRoughRTPScore",2011
82,NA,"George McNeill",69,0.486,146,71,"ScramblingRoughRTPScore",2011
83,NA,"Carl Pettersson",95,0.487,189,92,"ScramblingRoughRTPScore",2011
84,NA,"Jeff Overton",92,0.488,164,80,"ScramblingRoughRTPScore",2011
85,NA,"Graeme McDowell",50,0.489,92,45,"ScramblingRoughRTPScore",2011
86,NA,"Johnson Wagner",81,0.49,151,74,"ScramblingRoughRTPScore",2011
87,NA,"Troy Matteson",91,0.493,213,105,"ScramblingRoughRTPScore",2011
88,NA,"Tim Herron",85,0.494,158,78,"ScramblingRoughRTPScore",2011
89,NA,"Keegan Bradley",91,0.495,190,94,"ScramblingRoughRTPScore",2011
89,NA,"Chris Kirk",87,0.495,188,93,"ScramblingRoughRTPScore",2011
89,NA,"Cameron Tringale",110,0.495,194,96,"ScramblingRoughRTPScore",2011
92,NA,"Michael Connell",76,0.496,137,68,"ScramblingRoughRTPScore",2011
93,NA,"Joe Durant",71,0.5,112,56,"ScramblingRoughRTPScore",2011
93,NA,"Charlie Wi",83,0.5,174,87,"ScramblingRoughRTPScore",2011
95,NA,"Stuart Appleby",65,0.503,161,81,"ScramblingRoughRTPScore",2011
96,NA,"Woody Austin",59,0.505,99,50,"ScramblingRoughRTPScore",2011
97,NA,"Chris Riley",76,0.507,150,76,"ScramblingRoughRTPScore",2011
