"AveragePuttingDistanceGIR2Putts_RANKTHISWEEK_2006","AveragePuttingDistanceGIR2Putts_RANKLASTWEEK_2006","AveragePuttingDistanceGIR2Putts_PLAYERNAME_2006","AveragePuttingDistanceGIR2Putts_ROUNDS_2006","AveragePuttingDistanceGIR2Putts_AVG_2006","AveragePuttingDistanceGIR2Putts_DISTANCEFEET_2006","AveragePuttingDistanceGIR2Putts_TOTALPUTTS_2006","stat_name","year"
1,1,"Roger Tambellini",64,NA,12144.083,439,"AveragePuttingDistanceGIR2Putts",2006
2,2,"James Driscoll",80,NA,15410.083,562,"AveragePuttingDistanceGIR2Putts",2006
3,3,"Ryan Hietala",61,NA,10489.583,390,"AveragePuttingDistanceGIR2Putts",2006
4,4,"Jesper Parnevik",84,NA,16116.667,601,"AveragePuttingDistanceGIR2Putts",2006
4,4,"Chris Smith",67,NA,13728.75,512,"AveragePuttingDistanceGIR2Putts",2006
6,6,"Ben Crane",85,NA,12055.583,455,"AveragePuttingDistanceGIR2Putts",2006
6,6,"Jimmy Walker",60,NA,11619.917,439,"AveragePuttingDistanceGIR2Putts",2006
8,8,"John Engler Jr",69,NA,12831,485,"AveragePuttingDistanceGIR2Putts",2006
9,9,"Brent Geiberger",99,NA,19458.583,739,"AveragePuttingDistanceGIR2Putts",2006
9,9,"Len Mattiace",59,NA,9847.417,374,"AveragePuttingDistanceGIR2Putts",2006
11,11,"KJ Choi",93,NA,18291.5,697,"AveragePuttingDistanceGIR2Putts",2006
12,12,"Brad Faxon",78,NA,14037.25,536,"AveragePuttingDistanceGIR2Putts",2006
13,13,"Ben Curtis",86,NA,15010.417,576,"AveragePuttingDistanceGIR2Putts",2006
13,13,"Billy Mayfair",94,NA,17501.167,670,"AveragePuttingDistanceGIR2Putts",2006
13,13,"Dean Wilson",115,NA,19233.5,737,"AveragePuttingDistanceGIR2Putts",2006
16,16,"Nathan Green",108,NA,18640.75,718,"AveragePuttingDistanceGIR2Putts",2006
16,16,"Charles Howell III",96,NA,17648.333,678,"AveragePuttingDistanceGIR2Putts",2006
18,18,"Brett Quigley",109,NA,20673.417,798,"AveragePuttingDistanceGIR2Putts",2006
18,18,"Mike Sposa",68,NA,11777.917,455,"AveragePuttingDistanceGIR2Putts",2006
20,20,"Mathew Goggin",72,NA,12582,487,"AveragePuttingDistanceGIR2Putts",2006
20,20,"Ryan Moore",68,NA,11869.667,459,"AveragePuttingDistanceGIR2Putts",2006
20,20,"Jason Schultz",77,NA,13657.5,528,"AveragePuttingDistanceGIR2Putts",2006
20,20,"Kevin Sutherland",100,NA,19770.833,766,"AveragePuttingDistanceGIR2Putts",2006
24,24,"Alex Aragon",63,NA,9797.5,381,"AveragePuttingDistanceGIR2Putts",2006
24,24,"Henrik Bjornstad",97,NA,18485.75,718,"AveragePuttingDistanceGIR2Putts",2006
24,24,"Daniel Chopra",110,NA,17575.583,682,"AveragePuttingDistanceGIR2Putts",2006
24,24,"David McKenzie",82,NA,14633.417,568,"AveragePuttingDistanceGIR2Putts",2006
24,24,"Duffy Waldorf",96,NA,17942.167,696,"AveragePuttingDistanceGIR2Putts",2006
29,29,"DA Points",82,NA,13921.167,542,"AveragePuttingDistanceGIR2Putts",2006
30,30,"Will Ma Kenzie",91,NA,16189,633,"AveragePuttingDistanceGIR2Putts",2006
30,30,"Tjaart van der Walt",60,NA,10837.75,423,"AveragePuttingDistanceGIR2Putts",2006
30,30,"Mark Wilson",79,NA,15056.083,588,"AveragePuttingDistanceGIR2Putts",2006
33,33,"Jason Gore",86,NA,14189.75,556,"AveragePuttingDistanceGIR2Putts",2006
33,33,"David Howell",52,NA,5996.833,235,"AveragePuttingDistanceGIR2Putts",2006
33,33,"Richard Johnson",94,NA,18550.5,727,"AveragePuttingDistanceGIR2Putts",2006
33,33,"Mark OMeara",52,NA,6709.25,263,"AveragePuttingDistanceGIR2Putts",2006
37,37,"Aaron Baddeley",78,NA,12676.667,498,"AveragePuttingDistanceGIR2Putts",2006
37,37,"Shaun Micheel",96,NA,17328.75,681,"AveragePuttingDistanceGIR2Putts",2006
37,37,"Larry Mize",53,NA,8960,353,"AveragePuttingDistanceGIR2Putts",2006
37,37,"Rod Pampling",89,NA,12270.25,482,"AveragePuttingDistanceGIR2Putts",2006
37,37,"Nick Watney",97,NA,17387.583,684,"AveragePuttingDistanceGIR2Putts",2006
37,37,"Ron Whittaker",81,NA,15155.75,596,"AveragePuttingDistanceGIR2Putts",2006
37,37,"Tiger Woods",55,NA,8596.417,338,"AveragePuttingDistanceGIR2Putts",2006
44,44,"Steve Elkington",52,NA,10443.417,412,"AveragePuttingDistanceGIR2Putts",2006
44,44,"Dudley Hart",83,NA,14349.333,566,"AveragePuttingDistanceGIR2Putts",2006
44,44,"Charley Hoffman",100,NA,18590,735,"AveragePuttingDistanceGIR2Putts",2006
44,44,"Corey Pavin",74,NA,12230.583,483,"AveragePuttingDistanceGIR2Putts",2006
48,48,"Tommy Armour III",65,NA,10417,413,"AveragePuttingDistanceGIR2Putts",2006
48,48,"Chris Couch",75,NA,14057.167,557,"AveragePuttingDistanceGIR2Putts",2006
48,48,"Carlos Franco",86,NA,15402.25,610,"AveragePuttingDistanceGIR2Putts",2006
48,48,"Steve Jones",83,NA,14193.583,563,"AveragePuttingDistanceGIR2Putts",2006
48,48,"Greg Kraft",79,NA,13324.5,527,"AveragePuttingDistanceGIR2Putts",2006
48,48,"Vance Veazey",59,NA,10587.583,419,"AveragePuttingDistanceGIR2Putts",2006
54,54,"Bart Bryant",87,NA,15881,631,"AveragePuttingDistanceGIR2Putts",2006
54,54,"Lucas Glover",105,NA,18125.667,720,"AveragePuttingDistanceGIR2Putts",2006
54,54,"Jeff Gove",91,NA,18953.25,752,"AveragePuttingDistanceGIR2Putts",2006
54,54,"Todd Hamilton",72,NA,9853.583,392,"AveragePuttingDistanceGIR2Putts",2006
54,54,"JB Holmes",81,NA,12325.417,490,"AveragePuttingDistanceGIR2Putts",2006
54,54,"Tom Pernice Jr",108,NA,16573.5,658,"AveragePuttingDistanceGIR2Putts",2006
54,54,"Carl Pettersson",95,NA,14214,565,"AveragePuttingDistanceGIR2Putts",2006
54,54,"Chris Riley",86,NA,12718.75,505,"AveragePuttingDistanceGIR2Putts",2006
54,54,"John Senden",96,NA,17945.333,713,"AveragePuttingDistanceGIR2Putts",2006
54,54,"Hidemichi Tanaka",74,NA,12549.833,498,"AveragePuttingDistanceGIR2Putts",2006
64,64,"Fred Couples",52,NA,6148.75,245,"AveragePuttingDistanceGIR2Putts",2006
64,64,"Danny Ellis",68,NA,11907.5,475,"AveragePuttingDistanceGIR2Putts",2006
64,64,"Sean OHair",100,NA,15332.333,612,"AveragePuttingDistanceGIR2Putts",2006
64,64,"Bo Van Pelt",102,NA,18466,737,"AveragePuttingDistanceGIR2Putts",2006
64,64,"Bubba Watson",83,NA,15491.417,618,"AveragePuttingDistanceGIR2Putts",2006
69,69,"Jonathan Kaye",95,NA,19044.917,762,"AveragePuttingDistanceGIR2Putts",2006
69,69,"JL Lewis",57,NA,9672.333,387,"AveragePuttingDistanceGIR2Putts",2006
69,69,"Steve Lowery",99,NA,17008.667,681,"AveragePuttingDistanceGIR2Putts",2006
69,69,"Tag Ridings",103,NA,16913.25,676,"AveragePuttingDistanceGIR2Putts",2006
73,73,"Arjun Atwal",97,NA,15582.417,626,"AveragePuttingDistanceGIR2Putts",2006
73,73,"Jeff Brehaut",100,NA,18101.917,726,"AveragePuttingDistanceGIR2Putts",2006
73,73,"Hunter Mahan",98,NA,18384.583,737,"AveragePuttingDistanceGIR2Putts",2006
73,73,"Bob Tway",81,NA,13542.917,543,"AveragePuttingDistanceGIR2Putts",2006
77,77,"Mark Calcavecchia",94,NA,14865.5,599,"AveragePuttingDistanceGIR2Putts",2006
77,77,"Luke Donald",66,NA,8532.667,344,"AveragePuttingDistanceGIR2Putts",2006
77,77,"Bob Estes",85,NA,15790.167,635,"AveragePuttingDistanceGIR2Putts",2006
77,77,"Brandt Jobe",91,NA,14979.917,604,"AveragePuttingDistanceGIR2Putts",2006
77,77,"Kent Jones",103,NA,17405.333,702,"AveragePuttingDistanceGIR2Putts",2006
77,77,"Frank Lickliter II",99,NA,17489.833,704,"AveragePuttingDistanceGIR2Putts",2006
77,77,"Jeff Overton",95,NA,17800.083,716,"AveragePuttingDistanceGIR2Putts",2006
77,77,"Greg Owen",79,NA,13371.917,539,"AveragePuttingDistanceGIR2Putts",2006
77,77,"John Rollins",93,NA,15739,633,"AveragePuttingDistanceGIR2Putts",2006
86,86,"Briny Baird",81,NA,15015.167,607,"AveragePuttingDistanceGIR2Putts",2006
86,86,"Brian Bateman",69,NA,12058.5,487,"AveragePuttingDistanceGIR2Putts",2006
86,86,"Jason Bohn",104,NA,18125.917,733,"AveragePuttingDistanceGIR2Putts",2006
86,86,"Daisuke Maruyama",83,NA,14219,574,"AveragePuttingDistanceGIR2Putts",2006
86,86,"Troy Matteson",101,NA,18165.167,733,"AveragePuttingDistanceGIR2Putts",2006
86,86,"Paul Stankowski",70,NA,12880.583,521,"AveragePuttingDistanceGIR2Putts",2006
86,86,"Charles Warren",93,NA,17727.167,716,"AveragePuttingDistanceGIR2Putts",2006
