"GoingfortheGreen_RANKTHISWEEK_2010","GoingfortheGreen_RANKLASTWEEK_2010","GoingfortheGreen_PLAYERNAME_2010","GoingfortheGreen_ROUNDS_2010","GoingfortheGreen_Pct_2010","GoingfortheGreen_ATTEMPTS_2010","GoingfortheGreen_NONATTEMPTS_2010","GoingfortheGreen_RTPGOINGFORTHEGREEN_2010","GoingfortheGreen_RTPNOTGOINGFORTHEGRN_2010","stat_name","year"
1,1,"Dustin Johnson",83,71.85,171,67,-98,-1,"GoingfortheGreen",2010
2,2,"Rory McIlroy",54,68.28,99,46,-52,9,"GoingfortheGreen",2010
3,3,"Graham DeLaet",88,67.7,174,83,-99,9,"GoingfortheGreen",2010
4,4,"Robert Garrigus",71,67.62,142,68,-72,10,"GoingfortheGreen",2010
5,5,"JB Holmes",100,67.31,208,101,-140,0,"GoingfortheGreen",2010
6,6,"Angel Cabrera",64,66.15,127,65,-73,4,"GoingfortheGreen",2010
7,7,"Charley Hoffman",85,66.08,189,97,-111,-3,"GoingfortheGreen",2010
8,8,"Chris Couch",66,65.74,142,74,-76,2,"GoingfortheGreen",2010
9,9,"Brett Wetterich",54,65.41,121,64,-57,1,"GoingfortheGreen",2010
10,10,"Charles Warren",64,65.33,130,69,-68,3,"GoingfortheGreen",2010
11,11,"Martin Laird",91,64.93,187,101,-105,0,"GoingfortheGreen",2010
12,12,"Phil Mickelson",76,64.84,142,77,-88,-5,"GoingfortheGreen",2010
13,13,"John Daly",63,64.24,97,54,-53,16,"GoingfortheGreen",2010
14,14,"DJ Trahan",92,64.09,191,107,-110,-8,"GoingfortheGreen",2010
15,15,"Aaron Baddeley",94,63.88,214,121,-123,-3,"GoingfortheGreen",2010
16,16,"Bubba Watson",77,61.69,153,95,-114,3,"GoingfortheGreen",2010
17,17,"Nick Watney",91,61.45,161,101,-90,-4,"GoingfortheGreen",2010
18,18,"Lucas Glover",75,61.36,135,85,-79,1,"GoingfortheGreen",2010
19,19,"James Driscoll",78,60.75,161,104,-91,4,"GoingfortheGreen",2010
20,20,"Hunter Mahan",85,60.32,149,98,-77,0,"GoingfortheGreen",2010
21,21,"Martin Flores",75,60.17,142,94,-87,13,"GoingfortheGreen",2010
21,21,"Boo Weekley",88,60.17,145,96,-71,3,"GoingfortheGreen",2010
23,23,"Scott Piercy",88,59.73,175,118,-91,8,"GoingfortheGreen",2010
24,24,"Camilo Villegas",78,59.49,116,79,-70,-2,"GoingfortheGreen",2010
25,25,"Mathias Gronberg",61,59.17,100,69,-45,1,"GoingfortheGreen",2010
26,26,"Garth Mulroy",53,59.12,94,65,-56,-6,"GoingfortheGreen",2010
27,27,"Henrik Bjornstad",72,58.88,126,88,-64,2,"GoingfortheGreen",2010
28,28,"Bo Van Pelt",104,58.6,184,130,-119,-15,"GoingfortheGreen",2010
29,29,"Ted Purdy",86,58.39,160,114,-84,15,"GoingfortheGreen",2010
30,30,"Bill Haas",87,58.27,155,111,-89,-15,"GoingfortheGreen",2010
31,31,"Retief Goosen",75,58.24,106,76,-67,-16,"GoingfortheGreen",2010
31,31,"Kevin Stadler",86,58.24,159,114,-79,-11,"GoingfortheGreen",2010
33,33,"Ryan Moore",80,58.11,129,93,-73,-3,"GoingfortheGreen",2010
34,34,"Rory Sabbatini",79,57.95,153,111,-96,-1,"GoingfortheGreen",2010
35,35,"John Rollins",81,57.88,158,115,-89,-9,"GoingfortheGreen",2010
36,36,"Marc Leishman",87,57.61,140,103,-76,-7,"GoingfortheGreen",2010
37,37,"Mathew Goggin",85,57.56,156,115,-74,0,"GoingfortheGreen",2010
37,37,"Andres Romero",73,57.56,156,115,-77,3,"GoingfortheGreen",2010
39,39,"Jason Day",82,57.55,141,104,-84,6,"GoingfortheGreen",2010
40,40,"Troy Matteson",84,57.34,168,125,-71,-10,"GoingfortheGreen",2010
41,41,"Scott McCarron",90,57.24,170,127,-85,2,"GoingfortheGreen",2010
42,42,"Alex Prugh",88,56.84,162,123,-97,4,"GoingfortheGreen",2010
43,43,"Nicholas Thompson",88,56.79,159,121,-64,1,"GoingfortheGreen",2010
44,44,"Matt Every",60,56.74,101,77,-55,1,"GoingfortheGreen",2010
45,45,"Davis Love III",79,56.6,133,102,-85,-19,"GoingfortheGreen",2010
46,46,"John Senden",103,55.73,175,139,-88,-18,"GoingfortheGreen",2010
47,47,"Tom Gillis",97,55.21,180,146,-108,-26,"GoingfortheGreen",2010
48,48,"Adam Scott",70,55.17,112,91,-65,3,"GoingfortheGreen",2010
49,49,"Cameron Percy",73,54.95,122,100,-55,4,"GoingfortheGreen",2010
50,50,"Matt Bettencourt",91,54.75,144,119,-93,-1,"GoingfortheGreen",2010
51,51,"Robert Allenby",76,54.67,117,97,-73,-11,"GoingfortheGreen",2010
51,51,"Kevin Streelman",90,54.67,158,131,-84,-5,"GoingfortheGreen",2010
53,53,"Ernie Els",72,54.59,107,89,-64,-13,"GoingfortheGreen",2010
54,54,"Will Ma Kenzie",72,54.58,131,109,-64,-8,"GoingfortheGreen",2010
55,55,"Daniel Chopra",74,54.43,129,108,-77,-9,"GoingfortheGreen",2010
56,56,"Cameron Tringale",55,54.17,91,77,-44,-3,"GoingfortheGreen",2010
57,57,"Matt Jones",89,53.56,158,137,-99,-11,"GoingfortheGreen",2010
