"ApproachesRightRoughRTPScore_RANKTHISWEEK_2011","ApproachesRightRoughRTPScore_RANKLASTWEEK_2011","ApproachesRightRoughRTPScore_PLAYERNAME_2011","ApproachesRightRoughRTPScore_ROUNDS_2011","ApproachesRightRoughRTPScore_AVGRTP_2011","stat_name","year"
1,1,"Graeme McDowell",50,-0.13,"ApproachesRightRoughRTPScore",2011
2,2,"Luke Donald",73,-0.094,"ApproachesRightRoughRTPScore",2011
3,3,"Stewart Cink",72,-0.065,"ApproachesRightRoughRTPScore",2011
4,4,"Shane Bertsch",62,-0.041,"ApproachesRightRoughRTPScore",2011
5,5,"Sergio Garcia",61,-0.034,"ApproachesRightRoughRTPScore",2011
6,6,"Harrison Frazar",58,-0.023,"ApproachesRightRoughRTPScore",2011
6,6,"Steve Stricker",70,-0.023,"ApproachesRightRoughRTPScore",2011
8,8,"Ian Poulter",52,-0.017,"ApproachesRightRoughRTPScore",2011
9,9,"Chris Couch",73,0,"ApproachesRightRoughRTPScore",2011
9,9,"Dustin Johnson",72,0,"ApproachesRightRoughRTPScore",2011
9,9,"Gary Woodland",93,0,"ApproachesRightRoughRTPScore",2011
12,12,"JB Holmes",57,0.01,"ApproachesRightRoughRTPScore",2011
12,12,"David Toms",78,0.01,"ApproachesRightRoughRTPScore",2011
14,14,"Padraig Harrington",60,0.013,"ApproachesRightRoughRTPScore",2011
15,15,"Rory Sabbatini",85,0.014,"ApproachesRightRoughRTPScore",2011
16,16,"Ben Curtis",66,0.015,"ApproachesRightRoughRTPScore",2011
17,17,"Phil Mickelson",79,0.018,"ApproachesRightRoughRTPScore",2011
18,18,"Ben Crane",76,0.02,"ApproachesRightRoughRTPScore",2011
19,19,"Retief Goosen",50,0.024,"ApproachesRightRoughRTPScore",2011
20,20,"Spencer Levin",113,0.028,"ApproachesRightRoughRTPScore",2011
21,21,"Carl Pettersson",95,0.029,"ApproachesRightRoughRTPScore",2011
22,22,"Hunter Haas",96,0.033,"ApproachesRightRoughRTPScore",2011
23,23,"Woody Austin",59,0.038,"ApproachesRightRoughRTPScore",2011
23,23,"Aaron Baddeley",77,0.038,"ApproachesRightRoughRTPScore",2011
25,25,"Nick Watney",80,0.04,"ApproachesRightRoughRTPScore",2011
26,26,"Charlie Wi",83,0.042,"ApproachesRightRoughRTPScore",2011
27,27,"Charley Hoffman",93,0.043,"ApproachesRightRoughRTPScore",2011
28,28,"Billy Mayfair",94,0.044,"ApproachesRightRoughRTPScore",2011
29,29,"Rod Pampling",72,0.052,"ApproachesRightRoughRTPScore",2011
30,30,"Bubba Watson",85,0.056,"ApproachesRightRoughRTPScore",2011
31,31,"Robert Karlsson",61,0.06,"ApproachesRightRoughRTPScore",2011
32,32,"Stephen Ames",69,0.061,"ApproachesRightRoughRTPScore",2011
32,32,"Brendon de Jonge",105,0.061,"ApproachesRightRoughRTPScore",2011
32,32,"Kyle Stanley",98,0.061,"ApproachesRightRoughRTPScore",2011
35,35,"Bill Haas",93,0.064,"ApproachesRightRoughRTPScore",2011
36,36,"Freddie Jacobson",92,0.07,"ApproachesRightRoughRTPScore",2011
37,37,"Keegan Bradley",91,0.071,"ApproachesRightRoughRTPScore",2011
38,38,"David Mathis",83,0.072,"ApproachesRightRoughRTPScore",2011
39,39,"Tim Herron",85,0.076,"ApproachesRightRoughRTPScore",2011
40,40,"Brandt Jobe",100,0.077,"ApproachesRightRoughRTPScore",2011
41,41,"Joe Ogilvie",75,0.078,"ApproachesRightRoughRTPScore",2011
42,42,"Michael Bradley",74,0.081,"ApproachesRightRoughRTPScore",2011
43,43,"Steve Flesch",88,0.082,"ApproachesRightRoughRTPScore",2011
43,43,"Kevin Kisner",70,0.082,"ApproachesRightRoughRTPScore",2011
43,43,"Webb Simpson",98,0.082,"ApproachesRightRoughRTPScore",2011
46,46,"Jason Dufner",78,0.083,"ApproachesRightRoughRTPScore",2011
