"Par5GoingfortheGreen_RANKTHISWEEK_2007","Par5GoingfortheGreen_RANKLASTWEEK_2007","Par5GoingfortheGreen_PLAYERNAME_2007","Par5GoingfortheGreen_ROUNDS_2007","Par5GoingfortheGreen_Pct_2007","Par5GoingfortheGreen_ATTEMPTS_2007","Par5GoingfortheGreen_NONATTEMPTS_2007","stat_name","year"
76,76,"Ted Purdy",102,52.45,150,136,"Par5GoingfortheGreen",2007
77,77,"Charles Howell III",89,52.4,109,99,"Par5GoingfortheGreen",2007
78,78,"Jeff Gove",103,52.29,160,146,"Par5GoingfortheGreen",2007
79,79,"Frank Lickliter II",95,52.26,139,127,"Par5GoingfortheGreen",2007
80,80,"Tim Petrovic",106,52.07,151,139,"Par5GoingfortheGreen",2007
81,81,"Steve Lowery",74,51.97,119,110,"Par5GoingfortheGreen",2007
82,82,"Joe Ogilvie",102,51.84,141,131,"Par5GoingfortheGreen",2007
83,83,"Brendon de Jonge",76,51.82,114,106,"Par5GoingfortheGreen",2007
84,84,"Chris Tidland",59,51.76,88,82,"Par5GoingfortheGreen",2007
85,85,"Henrik Stenson",52,51.69,61,57,"Par5GoingfortheGreen",2007
86,86,"Billy Mayfair",98,51.63,127,119,"Par5GoingfortheGreen",2007
87,87,"Daniel Chopra",106,51.57,164,154,"Par5GoingfortheGreen",2007
88,88,"John Merrick",92,51.54,134,126,"Par5GoingfortheGreen",2007
89,89,"Ryan Palmer",91,51.48,139,131,"Par5GoingfortheGreen",2007
90,90,"Duffy Waldorf",69,51,102,98,"Par5GoingfortheGreen",2007
91,91,"Kenny Perry",83,50.65,117,114,"Par5GoingfortheGreen",2007
91,91,"Jaco Van Zyl",51,50.65,78,76,"Par5GoingfortheGreen",2007
93,93,"Jason Schultz",63,50.57,89,87,"Par5GoingfortheGreen",2007
94,94,"Tom Johnson",74,50.48,105,103,"Par5GoingfortheGreen",2007
95,95,"Kent Jones",97,50,146,146,"Par5GoingfortheGreen",2007
96,96,"Cameron Beckman",96,49.65,141,143,"Par5GoingfortheGreen",2007
97,97,"Alex Cejka",80,49.59,120,122,"Par5GoingfortheGreen",2007
97,97,"Jesper Parnevik",88,49.59,120,122,"Par5GoingfortheGreen",2007
99,99,"Peter Lonard",85,49.57,115,117,"Par5GoingfortheGreen",2007
100,100,"Marco Dawson",73,49.52,103,105,"Par5GoingfortheGreen",2007
100,100,"Kyle Reifers",71,49.52,103,105,"Par5GoingfortheGreen",2007
102,102,"Ken Duke",112,49.36,155,159,"Par5GoingfortheGreen",2007
103,103,"Craig Barlow",52,49.32,72,74,"Par5GoingfortheGreen",2007
104,104,"Charlie Wi",90,49.27,135,139,"Par5GoingfortheGreen",2007
105,105,"Jarrod Lyle",77,49.07,106,110,"Par5GoingfortheGreen",2007
106,106,"Justin Rose",63,49.06,52,54,"Par5GoingfortheGreen",2007
107,107,"Bob Tway",103,48.96,141,147,"Par5GoingfortheGreen",2007
108,108,"Scott Verplank",82,48.81,82,86,"Par5GoingfortheGreen",2007
109,109,"David Branshaw",83,48.76,118,124,"Par5GoingfortheGreen",2007
110,110,"Vaughn Taylor",91,48.66,109,115,"Par5GoingfortheGreen",2007
111,111,"Stewart Cink",91,48.62,106,112,"Par5GoingfortheGreen",2007
112,112,"Jerry Kelly",101,48.17,105,113,"Par5GoingfortheGreen",2007
113,113,"Brian Bateman",55,47.86,67,73,"Par5GoingfortheGreen",2007
114,114,"Mark Hensby",81,47.83,110,120,"Par5GoingfortheGreen",2007
115,115,"Anders Hansen",55,47.66,51,56,"Par5GoingfortheGreen",2007
116,116,"Eric Axley",107,47.65,142,156,"Par5GoingfortheGreen",2007
117,117,"Briny Baird",115,47.63,161,177,"Par5GoingfortheGreen",2007
118,118,"Steve Flesch",100,47.48,132,146,"Par5GoingfortheGreen",2007
119,119,"Tom Lehman",62,47.3,70,78,"Par5GoingfortheGreen",2007
120,120,"Michael Allen",74,47.14,99,111,"Par5GoingfortheGreen",2007
121,121,"Parker McLachlin",83,47.13,115,129,"Par5GoingfortheGreen",2007
122,122,"JP Hayes",89,47.1,122,137,"Par5GoingfortheGreen",2007
123,123,"Cliff Kresge",107,47.04,143,161,"Par5GoingfortheGreen",2007
124,124,"Billy Andrade",88,46.92,122,138,"Par5GoingfortheGreen",2007
125,125,"Chad Campbell",96,46.82,103,117,"Par5GoingfortheGreen",2007
126,126,"Tripp Isenhour",86,46.81,110,125,"Par5GoingfortheGreen",2007
127,127,"Steve Elkington",87,46.12,107,125,"Par5GoingfortheGreen",2007
127,127,"Tom Pernice Jr",104,46.12,119,139,"Par5GoingfortheGreen",2007
129,129,"Stephen Ames",81,46.07,82,96,"Par5GoingfortheGreen",2007
130,130,"Rich Barcelo",80,46.02,104,122,"Par5GoingfortheGreen",2007
131,131,"Trevor Immelman",74,45.93,79,93,"Par5GoingfortheGreen",2007
132,132,"Paul Gow",70,45.16,84,102,"Par5GoingfortheGreen",2007
133,133,"Chris Stroud",66,45.11,83,101,"Par5GoingfortheGreen",2007
134,134,"Woody Austin",95,44.92,115,141,"Par5GoingfortheGreen",2007
135,135,"Jay Williamson",50,44.44,72,90,"Par5GoingfortheGreen",2007
136,136,"Ben Curtis",80,44.27,85,107,"Par5GoingfortheGreen",2007
137,137,"Ian Poulter",63,44.26,54,68,"Par5GoingfortheGreen",2007
138,138,"Arron Oberholser",69,43.59,68,88,"Par5GoingfortheGreen",2007
139,139,"Robert Gamez",88,43.44,106,138,"Par5GoingfortheGreen",2007
140,140,"Chris DiMarco",79,43.43,86,112,"Par5GoingfortheGreen",2007
141,141,"Jose Maria Olazabal",52,43.33,52,68,"Par5GoingfortheGreen",2007
141,141,"Jeff Quinney",95,43.33,117,153,"Par5GoingfortheGreen",2007
143,143,"Nick OHern",72,43.29,71,93,"Par5GoingfortheGreen",2007
144,144,"Bart Bryant",87,43.28,103,135,"Par5GoingfortheGreen",2007
145,145,"Ryan Armour",107,42.91,127,169,"Par5GoingfortheGreen",2007
146,146,"Dean Wilson",92,42.86,99,132,"Par5GoingfortheGreen",2007
147,147,"Jose Coceres",50,42.42,56,76,"Par5GoingfortheGreen",2007
148,148,"DJ Brigman",67,42.22,76,104,"Par5GoingfortheGreen",2007
149,149,"Jeff Maggert",79,42.06,106,146,"Par5GoingfortheGreen",2007
150,150,"Freddie Jacobson",70,41.67,90,126,"Par5GoingfortheGreen",2007
151,151,"Luke Donald",69,41.33,62,88,"Par5GoingfortheGreen",2007
151,151,"Jim Rutledge",59,41.33,62,88,"Par5GoingfortheGreen",2007
153,153,"Brian Davis",101,41.2,117,167,"Par5GoingfortheGreen",2007
154,154,"Bryce Molder",56,40.96,68,98,"Par5GoingfortheGreen",2007
155,155,"David Toms",80,40.74,77,112,"Par5GoingfortheGreen",2007
156,156,"Craig Lile",77,40.63,91,133,"Par5GoingfortheGreen",2007
157,157,"Jim Furyk",84,40.59,82,120,"Par5GoingfortheGreen",2007
158,158,"Ryuji Imada",104,40.54,120,176,"Par5GoingfortheGreen",2007
159,159,"Michael Sim",52,40.24,66,98,"Par5GoingfortheGreen",2007
160,160,"Darron Stiles",65,40.23,70,104,"Par5GoingfortheGreen",2007
161,161,"John Mallinger",96,39.78,109,165,"Par5GoingfortheGreen",2007
162,162,"Zach Johnson",76,39.68,75,114,"Par5GoingfortheGreen",2007
163,163,"Bob Heintz",85,39.13,90,140,"Par5GoingfortheGreen",2007
164,164,"Doug LaBelle II",104,39.08,111,173,"Par5GoingfortheGreen",2007
165,165,"Joey Sindelar",75,39.04,89,139,"Par5GoingfortheGreen",2007
166,166,"Jeff Sluman",60,38.97,53,83,"Par5GoingfortheGreen",2007
167,167,"Mark Wilson",87,38.94,88,138,"Par5GoingfortheGreen",2007
168,168,"Stephen Leaney",82,38.03,89,145,"Par5GoingfortheGreen",2007
169,169,"Heath Slocum",101,37.68,104,172,"Par5GoingfortheGreen",2007
170,170,"Steve Stricker",81,37.24,73,123,"Par5GoingfortheGreen",2007
171,171,"Lee Janzen",66,37.22,67,113,"Par5GoingfortheGreen",2007
172,172,"Shaun Micheel",91,36.75,86,148,"Par5GoingfortheGreen",2007
173,173,"Tommy Armour III",81,36.64,85,147,"Par5GoingfortheGreen",2007
174,174,"Brandt Snedeker",105,36.54,95,165,"Par5GoingfortheGreen",2007
175,175,"Matt Kuchar",85,36.28,82,144,"Par5GoingfortheGreen",2007
176,176,"Chris Riley",59,35.47,61,111,"Par5GoingfortheGreen",2007
177,177,"Dicky Pride",71,35.35,70,128,"Par5GoingfortheGreen",2007
178,178,"Shigeki Maruyama",84,35.08,87,161,"Par5GoingfortheGreen",2007
179,179,"Tom Byrum",50,35.04,48,89,"Par5GoingfortheGreen",2007
180,180,"Bob Estes",88,34.77,89,167,"Par5GoingfortheGreen",2007
181,181,"Glen Day",85,34.03,81,157,"Par5GoingfortheGreen",2007
182,182,"Todd Hamilton",76,33.33,64,128,"Par5GoingfortheGreen",2007
182,182,"Kirk Triplett",77,33.33,78,156,"Par5GoingfortheGreen",2007
184,184,"Richard Johnson",93,33.21,87,175,"Par5GoingfortheGreen",2007
185,185,"Justin Leonard",95,33.2,81,163,"Par5GoingfortheGreen",2007
186,186,"Paul Goydos",60,33.09,45,91,"Par5GoingfortheGreen",2007
187,187,"Rocco Mediate",72,32.71,70,144,"Par5GoingfortheGreen",2007
188,188,"Tim Clark",66,31.25,50,110,"Par5GoingfortheGreen",2007
189,189,"Craig Kanada",109,30.07,92,214,"Par5GoingfortheGreen",2007
190,190,"Michael Boyd",61,29.78,53,125,"Par5GoingfortheGreen",2007
191,191,"Fred Funk",65,29.03,45,110,"Par5GoingfortheGreen",2007
192,192,"Mark Brooks",53,28.79,38,94,"Par5GoingfortheGreen",2007
193,193,"Corey Pavin",81,27.68,62,162,"Par5GoingfortheGreen",2007
194,194,"Craig Bowden",78,26.11,59,167,"Par5GoingfortheGreen",2007
195,195,"Gavin Coles",87,23.81,60,192,"Par5GoingfortheGreen",2007
196,196,"Brian Gay",107,23.4,73,239,"Par5GoingfortheGreen",2007
