"PuttingfromGrtr10_RANKTHISWEEK_2014","PuttingfromGrtr10_RANKLASTWEEK_2014","PuttingfromGrtr10_PLAYERNAME_2014","PuttingfromGrtr10_ROUNDS_2014","PuttingfromGrtr10_PctMADE_2014","PuttingfromGrtr10_ATTEMPTS_2014","PuttingfromGrtr10_PUTTSMADE_2014","stat_name","year"
1,1,"Matt Every",85,20.47,679,139,"PuttingfromGrtr10",2014
2,2,"Graeme McDowell",66,19.64,494,97,"PuttingfromGrtr10",2014
3,3,"Aaron Baddeley",74,19.15,611,117,"PuttingfromGrtr10",2014
4,4,"Jordan Spieth",102,18.81,739,139,"PuttingfromGrtr10",2014
5,5,"Paul Casey",56,18.72,438,82,"PuttingfromGrtr10",2014
6,6,"Chris Kirk",105,18.61,865,161,"PuttingfromGrtr10",2014
7,7,"Rory McIlroy",66,18.52,486,90,"PuttingfromGrtr10",2014
8,8,"Sergio Garcia",61,18.51,416,77,"PuttingfromGrtr10",2014
9,9,"Lee Westwood",57,18.46,428,79,"PuttingfromGrtr10",2014
10,10,"Andrew Loupe",65,18.43,521,96,"PuttingfromGrtr10",2014
11,11,"Brendon Todd",108,18.36,937,172,"PuttingfromGrtr10",2014
12,12,"Brandt Snedeker",89,18.2,665,121,"PuttingfromGrtr10",2014
13,13,"Luke Guthrie",85,17.96,763,137,"PuttingfromGrtr10",2014
14,14,"Ryo Ishikawa",75,17.94,613,110,"PuttingfromGrtr10",2014
15,15,"Phil Mickelson",71,17.89,492,88,"PuttingfromGrtr10",2014
16,16,"Sangmoon Bae",76,17.65,663,117,"PuttingfromGrtr10",2014
17,17,"Freddie Jacobson",91,17.63,851,150,"PuttingfromGrtr10",2014
18,18,"Matt Kuchar",91,17.54,821,144,"PuttingfromGrtr10",2014
19,19,"Dustin Johnson",58,17.47,435,76,"PuttingfromGrtr10",2014
20,20,"Adam Scott",68,17.41,586,102,"PuttingfromGrtr10",2014
20,20,"Webb Simpson",87,17.41,781,136,"PuttingfromGrtr10",2014
22,22,"Ryan Palmer",85,17.39,696,121,"PuttingfromGrtr10",2014
23,23,"Michael Thompson",74,17.36,651,113,"PuttingfromGrtr10",2014
24,24,"Danny Lee",84,17.34,738,128,"PuttingfromGrtr10",2014
25,25,"Troy Merritt",62,17.08,609,104,"PuttingfromGrtr10",2014
25,25,"Jimmy Walker",98,17.08,767,131,"PuttingfromGrtr10",2014
27,27,"Greg Chalmers",85,17.07,744,127,"PuttingfromGrtr10",2014
28,28,"KJ Choi",80,17.01,688,117,"PuttingfromGrtr10",2014
29,29,"Chris Stroud",88,17,747,127,"PuttingfromGrtr10",2014
30,30,"Jason Kokrak",65,16.93,644,109,"PuttingfromGrtr10",2014
30,30,"Brian Stuard",91,16.93,762,129,"PuttingfromGrtr10",2014
32,32,"Brian Harman",111,16.91,1023,173,"PuttingfromGrtr10",2014
33,33,"Jason Day",54,16.87,332,56,"PuttingfromGrtr10",2014
34,34,"Kevin Na",94,16.86,795,134,"PuttingfromGrtr10",2014
35,35,"Ben Curtis",77,16.81,696,117,"PuttingfromGrtr10",2014
36,36,"David Hearn",97,16.8,869,146,"PuttingfromGrtr10",2014
36,36,"Daniel Summerhays",98,16.8,982,165,"PuttingfromGrtr10",2014
38,38,"Graham DeLaet",80,16.74,711,119,"PuttingfromGrtr10",2014
39,39,"Ernie Els",85,16.72,616,103,"PuttingfromGrtr10",2014
40,40,"Ricky Barnes",92,16.71,802,134,"PuttingfromGrtr10",2014
41,41,"Matt Jones",83,16.67,606,101,"PuttingfromGrtr10",2014
41,41,"Kevin Streelman",79,16.67,618,103,"PuttingfromGrtr10",2014
41,41,"Camilo Villegas",95,16.67,882,147,"PuttingfromGrtr10",2014
44,44,"Mike Weir",69,16.6,506,84,"PuttingfromGrtr10",2014
45,45,"Andres Romero",81,16.58,760,126,"PuttingfromGrtr10",2014
46,46,"Keegan Bradley",89,16.57,718,119,"PuttingfromGrtr10",2014
47,47,"John Senden",99,16.56,900,149,"PuttingfromGrtr10",2014
48,48,"Morgan Hoffmann",103,16.42,938,154,"PuttingfromGrtr10",2014
49,49,"Robert Streb",75,16.41,652,107,"PuttingfromGrtr10",2014
50,50,"Ryan Moore",86,16.4,634,104,"PuttingfromGrtr10",2014
51,51,"George McNeill",79,16.37,739,121,"PuttingfromGrtr10",2014
52,52,"Charl Schwartzel",64,16.35,526,86,"PuttingfromGrtr10",2014
53,53,"Brian Davis",93,16.33,796,130,"PuttingfromGrtr10",2014
54,54,"DH Lee",54,16.2,463,75,"PuttingfromGrtr10",2014
55,55,"Seung Yul Noh",92,16.17,773,125,"PuttingfromGrtr10",2014
56,56,"Luke Donald",57,16.14,471,76,"PuttingfromGrtr10",2014
57,57,"Rickie Fowler",91,16.13,626,101,"PuttingfromGrtr10",2014
58,58,"Scott Langley",95,16.08,821,132,"PuttingfromGrtr10",2014
59,59,"Hideki Matsuyama",82,16.03,624,100,"PuttingfromGrtr10",2014
60,60,"Heath Slocum",71,15.97,689,110,"PuttingfromGrtr10",2014
61,61,"Russell Henley",92,15.96,821,131,"PuttingfromGrtr10",2014
62,62,"Chad Collins",78,15.95,627,100,"PuttingfromGrtr10",2014
63,63,"Brian Gay",81,15.93,615,98,"PuttingfromGrtr10",2014
63,63,"Jerry Kelly",80,15.93,697,111,"PuttingfromGrtr10",2014
65,65,"Wes Roach",67,15.92,515,82,"PuttingfromGrtr10",2014
66,66,"Ben Crane",81,15.87,813,129,"PuttingfromGrtr10",2014
67,67,"Geoff Ogilvy",84,15.85,751,119,"PuttingfromGrtr10",2014
68,68,"Justin Rose",70,15.82,512,81,"PuttingfromGrtr10",2014
68,68,"David Toms",64,15.82,569,90,"PuttingfromGrtr10",2014
70,70,"Charlie Beljan",76,15.8,715,113,"PuttingfromGrtr10",2014
71,71,"Charley Hoffman",93,15.78,767,121,"PuttingfromGrtr10",2014
72,72,"Jonas Blixt",64,15.74,432,68,"PuttingfromGrtr10",2014
73,73,"Will Ma Kenzie",82,15.72,776,122,"PuttingfromGrtr10",2014
73,73,"Pat Perez",84,15.72,776,122,"PuttingfromGrtr10",2014
75,75,"Gonzalo Fdez Castano",83,15.71,662,104,"PuttingfromGrtr10",2014
76,76,"Ben Martin",80,15.7,669,105,"PuttingfromGrtr10",2014
