"ReverseBounceBack_RANKTHISWEEK_2011","ReverseBounceBack_RANKLASTWEEK_2011","ReverseBounceBack_PLAYERNAME_2011","ReverseBounceBack_ROUNDS_2011","ReverseBounceBack_PctUNDERTHENOVERPAR_2011","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2011","ReverseBounceBack_UNDERPAR_2011","stat_name","year"
1,1,"Steve Elkington",50,10.27,15,146,"ReverseBounceBack",2011
2,2,"Jerry Kelly",85,10.74,29,270,"ReverseBounceBack",2011
3,3,"Bryce Molder",82,11.11,33,297,"ReverseBounceBack",2011
3,3,"David Toms",78,11.11,33,297,"ReverseBounceBack",2011
5,5,"Alexandre Rocha",65,11.28,22,195,"ReverseBounceBack",2011
6,6,"Luke Donald",73,11.36,31,273,"ReverseBounceBack",2011
6,6,"Charles Howell III",108,11.36,41,361,"ReverseBounceBack",2011
8,8,"Steve Stricker",70,11.7,33,282,"ReverseBounceBack",2011
9,9,"Brandt Jobe",100,11.86,42,354,"ReverseBounceBack",2011
10,10,"William McGirt",103,12,39,325,"ReverseBounceBack",2011
11,11,"JJ Henry",96,12.05,37,307,"ReverseBounceBack",2011
12,12,"Bill Haas",93,12.08,40,331,"ReverseBounceBack",2011
13,13,"Rory Sabbatini",85,12.38,38,307,"ReverseBounceBack",2011
13,13,"Webb Simpson",98,12.38,51,412,"ReverseBounceBack",2011
15,15,"Vaughn Taylor",89,12.42,38,306,"ReverseBounceBack",2011
16,16,"Hunter Haas",96,12.46,42,337,"ReverseBounceBack",2011
17,17,"Shane Bertsch",62,12.5,27,216,"ReverseBounceBack",2011
18,18,"Ian Poulter",52,12.64,22,174,"ReverseBounceBack",2011
19,19,"Heath Slocum",89,12.71,37,291,"ReverseBounceBack",2011
20,20,"Spencer Levin",113,12.85,50,389,"ReverseBounceBack",2011
21,21,"Brian Gay",90,12.93,41,317,"ReverseBounceBack",2011
22,22,"Kevin Chappell",78,12.94,33,255,"ReverseBounceBack",2011
23,23,"Jason Dufner",78,12.95,36,278,"ReverseBounceBack",2011
23,23,"Jim Furyk",87,12.95,36,278,"ReverseBounceBack",2011
25,25,"Brian Davis",105,13.03,49,376,"ReverseBounceBack",2011
26,26,"Carl Pettersson",95,13.29,46,346,"ReverseBounceBack",2011
27,27,"Johnson Wagner",81,13.33,34,255,"ReverseBounceBack",2011
28,28,"Sergio Garcia",61,13.37,27,202,"ReverseBounceBack",2011
29,29,"Blake Adams",116,13.38,55,411,"ReverseBounceBack",2011
30,30,"John Rollins",85,13.42,40,298,"ReverseBounceBack",2011
31,31,"Chez Reavie",92,13.47,45,334,"ReverseBounceBack",2011
32,32,"Ryuji Imada",83,13.55,37,273,"ReverseBounceBack",2011
33,33,"Justin Rose",79,13.6,37,272,"ReverseBounceBack",2011
34,34,"Michael Thompson",79,13.64,36,264,"ReverseBounceBack",2011
34,34,"YE Yang",63,13.64,27,198,"ReverseBounceBack",2011
36,36,"Zach Johnson",79,13.65,37,271,"ReverseBounceBack",2011
37,37,"David Hearn",88,13.75,40,291,"ReverseBounceBack",2011
38,38,"Nick Watney",80,13.77,42,305,"ReverseBounceBack",2011
39,39,"Robert Allenby",84,13.78,39,283,"ReverseBounceBack",2011
40,40,"Martin Laird",77,13.88,39,281,"ReverseBounceBack",2011
41,41,"Freddie Jacobson",92,13.89,45,324,"ReverseBounceBack",2011
42,42,"Jason Day",76,13.92,38,273,"ReverseBounceBack",2011
43,43,"Ricky Barnes",78,13.94,35,251,"ReverseBounceBack",2011
44,44,"Joe Durant",71,14.01,29,207,"ReverseBounceBack",2011
45,45,"Billy Mayfair",94,14.15,46,325,"ReverseBounceBack",2011
46,46,"Chris Couch",73,14.18,39,275,"ReverseBounceBack",2011
47,47,"Chris DiMarco",93,14.29,43,301,"ReverseBounceBack",2011
48,48,"Anthony Kim",72,14.34,35,244,"ReverseBounceBack",2011
49,49,"Bo Van Pelt",92,14.38,45,313,"ReverseBounceBack",2011
50,50,"Troy Merritt",63,14.44,26,180,"ReverseBounceBack",2011
51,51,"Stewart Cink",72,14.52,35,241,"ReverseBounceBack",2011
52,52,"DA Points",89,14.6,46,315,"ReverseBounceBack",2011
53,53,"Tommy Gainey",104,14.63,55,376,"ReverseBounceBack",2011
54,54,"Mark Wilson",89,14.64,41,280,"ReverseBounceBack",2011
55,55,"Kevin Streelman",90,14.77,44,298,"ReverseBounceBack",2011
56,56,"Chris Riley",76,14.78,34,230,"ReverseBounceBack",2011
56,56,"Nate Smith",66,14.78,30,203,"ReverseBounceBack",2011
58,58,"Jason Bohn",74,14.79,38,257,"ReverseBounceBack",2011
59,59,"Brandt Snedeker",85,14.84,46,310,"ReverseBounceBack",2011
60,60,"Michael Putnam",67,14.85,30,202,"ReverseBounceBack",2011
61,61,"Matt Kuchar",94,14.97,50,334,"ReverseBounceBack",2011
62,62,"Chad Campbell",99,15.02,50,333,"ReverseBounceBack",2011
63,63,"Dean Wilson",62,15.03,29,193,"ReverseBounceBack",2011
64,64,"Tom Gillis",55,15.2,26,171,"ReverseBounceBack",2011
65,65,"Charlie Wi",83,15.22,44,289,"ReverseBounceBack",2011
66,66,"Alex Cejka",59,15.23,30,197,"ReverseBounceBack",2011
67,67,"DJ Trahan",91,15.38,46,299,"ReverseBounceBack",2011
68,68,"Gary Woodland",93,15.47,56,362,"ReverseBounceBack",2011
69,69,"Josh Teater",104,15.49,57,368,"ReverseBounceBack",2011
70,70,"Rod Pampling",72,15.55,37,238,"ReverseBounceBack",2011
71,71,"Steve Marino",76,15.58,43,276,"ReverseBounceBack",2011
72,72,"Matt Bettencourt",84,15.6,44,282,"ReverseBounceBack",2011
73,73,"Ben Martin",74,15.65,41,262,"ReverseBounceBack",2011
74,74,"John Senden",94,15.68,53,338,"ReverseBounceBack",2011
75,75,"Arjun Atwal",91,15.69,48,306,"ReverseBounceBack",2011
75,75,"Billy Horschel",75,15.69,40,255,"ReverseBounceBack",2011
77,77,"Kris Blanks",92,15.71,49,312,"ReverseBounceBack",2011
78,78,"Cameron Tringale",110,15.72,58,369,"ReverseBounceBack",2011
79,79,"Rickie Fowler",84,15.76,52,330,"ReverseBounceBack",2011
80,80,"David Mathis",83,15.81,43,272,"ReverseBounceBack",2011
81,81,"Michael Bradley",74,15.94,40,251,"ReverseBounceBack",2011
82,82,"Adam Scott",60,15.96,34,213,"ReverseBounceBack",2011
83,83,"JP Hayes",56,15.98,27,169,"ReverseBounceBack",2011
83,83,"John Merrick",71,15.98,39,244,"ReverseBounceBack",2011
85,85,"Paul Stankowski",78,16.09,42,261,"ReverseBounceBack",2011
86,86,"Ben Curtis",66,16.1,33,205,"ReverseBounceBack",2011
86,86,"Hunter Mahan",92,16.1,57,354,"ReverseBounceBack",2011
88,88,"Trevor Immelman",84,16.15,42,260,"ReverseBounceBack",2011
89,89,"Nick OHern",89,16.16,48,297,"ReverseBounceBack",2011
90,90,"Brendon de Jonge",105,16.19,62,383,"ReverseBounceBack",2011
91,91,"Briny Baird",60,16.26,33,203,"ReverseBounceBack",2011
92,92,"Robert Karlsson",61,16.27,34,209,"ReverseBounceBack",2011
93,93,"Joseph Bramlett",73,16.31,38,233,"ReverseBounceBack",2011
94,94,"Padraig Harrington",60,16.33,32,196,"ReverseBounceBack",2011
95,95,"Davis Love III",70,16.37,37,226,"ReverseBounceBack",2011
96,96,"Bubba Watson",85,16.45,50,304,"ReverseBounceBack",2011
97,97,"Troy Matteson",91,16.46,53,322,"ReverseBounceBack",2011
98,98,"Ben Crane",76,16.47,41,249,"ReverseBounceBack",2011
99,99,"Tim Herron",85,16.55,48,290,"ReverseBounceBack",2011
99,99,"Scott Piercy",78,16.55,47,284,"ReverseBounceBack",2011
101,101,"Daniel Summerhays",75,16.58,33,199,"ReverseBounceBack",2011
102,102,"Pat Perez",76,16.61,46,277,"ReverseBounceBack",2011
103,103,"Chris Stroud",88,16.67,50,300,"ReverseBounceBack",2011
104,104,"Jonathan Byrd",83,16.73,47,281,"ReverseBounceBack",2011
105,105,"Andres Gonzales",60,16.75,33,197,"ReverseBounceBack",2011
106,106,"Greg Chalmers",88,16.84,49,291,"ReverseBounceBack",2011
107,107,"James Driscoll",71,16.94,42,248,"ReverseBounceBack",2011
108,108,"Charley Hoffman",93,16.95,60,354,"ReverseBounceBack",2011
109,109,"Brendan Steele",89,17.05,52,305,"ReverseBounceBack",2011
110,110,"Phil Mickelson",79,17.06,50,293,"ReverseBounceBack",2011
111,111,"Stephen Ames",69,17.19,38,221,"ReverseBounceBack",2011
112,112,"Bobby Gates",82,17.22,47,273,"ReverseBounceBack",2011
113,113,"Ryan Moore",79,17.24,45,261,"ReverseBounceBack",2011
114,114,"KJ Choi",77,17.27,43,249,"ReverseBounceBack",2011
115,115,"Keegan Bradley",91,17.28,56,324,"ReverseBounceBack",2011
116,116,"Marc Leishman",87,17.3,50,289,"ReverseBounceBack",2011
117,117,"Shaun Micheel",77,17.35,38,219,"ReverseBounceBack",2011
117,117,"Charl Schwartzel",58,17.35,34,196,"ReverseBounceBack",2011
119,119,"Scott Stallings",84,17.36,50,288,"ReverseBounceBack",2011
120,120,"Graeme McDowell",50,17.37,29,167,"ReverseBounceBack",2011
120,120,"Garrett Willis",71,17.37,41,236,"ReverseBounceBack",2011
122,122,"George McNeill",69,17.41,43,247,"ReverseBounceBack",2011
123,123,"Ernie Els",71,17.43,38,218,"ReverseBounceBack",2011
124,124,"Sung Kang",63,17.48,36,206,"ReverseBounceBack",2011
125,125,"Jim Herman",69,17.51,38,217,"ReverseBounceBack",2011
126,126,"Steve Flesch",88,17.57,52,296,"ReverseBounceBack",2011
126,126,"Robert Garrigus",83,17.57,55,313,"ReverseBounceBack",2011
128,128,"Roland Thatcher",67,17.62,37,210,"ReverseBounceBack",2011
129,129,"Michael Connell",76,17.65,39,221,"ReverseBounceBack",2011
130,130,"Stuart Appleby",65,17.73,36,203,"ReverseBounceBack",2011
131,131,"Cameron Beckman",71,17.81,44,247,"ReverseBounceBack",2011
132,132,"Zack Miller",86,17.83,51,286,"ReverseBounceBack",2011
