"LongestDrives_RANKTHISWEEK_2013","LongestDrives_RANKLASTWEEK_2013","LongestDrives_PLAYERNAME_2013","LongestDrives_ROUNDS_2013","LongestDrives_DISTANCE_2013","LongestDrives_TOURNAMENT_2013","LongestDrives_ROUND_2013","LongestDrives_HOLE_2013","LongestDrives_COURSE_2013","stat_name","year"
1,1,"Phil Mickelson",78,450,NA,1,17,8,"LongestDrives",2013
2,2,"Kyle Stanley",71,428,NA,2,7,656,"LongestDrives",2013
3,3,"Ian Poulter",59,426,NA,1,12,656,"LongestDrives",2013
4,4,"Graham DeLaet",94,420,NA,4,8,729,"LongestDrives",2013
5,5,"Charlie Beljan",62,418,NA,2,12,656,"LongestDrives",2013
6,6,"Carl Pettersson",82,416,NA,1,7,656,"LongestDrives",2013
7,7,"Stewart Cink",71,415,NA,4,8,729,"LongestDrives",2013
8,8,"Gary Woodland",94,411,NA,1,10,665,"LongestDrives",2013
9,9,"Dustin Johnson",71,410,NA,2,12,656,"LongestDrives",2013
10,10,"Scott Piercy",78,409,NA,2,12,656,"LongestDrives",2013
11,11,"Ben Curtis",59,407,NA,2,7,656,"LongestDrives",2013
13,13,"Jason Dufner",78,405,NA,2,7,656,"LongestDrives",2013
15,15,"Rickie Fowler",75,403,NA,2,7,656,"LongestDrives",2013
16,16,"Marc Leishman",77,402,NA,1,12,656,"LongestDrives",2013
17,17,"Ryan Moore",72,400,NA,2,7,656,"LongestDrives",2013
17,17,"Ted Potter Jr",65,400,NA,3,7,656,"LongestDrives",2013
20,20,"Scott Stallings",79,399,NA,1,12,656,"LongestDrives",2013
22,22,"Webb Simpson",92,398,NA,2,7,656,"LongestDrives",2013
23,23,"Tommy Gainey",84,397,NA,3,12,656,"LongestDrives",2013
24,24,"George McNeill",68,396,NA,3,17,656,"LongestDrives",2013
24,24,"Bubba Watson",76,396,NA,2,12,656,"LongestDrives",2013
24,24,"Johnson Wagner",64,396,NA,2,7,656,"LongestDrives",2013
31,31,"Bill Haas",85,394,NA,2,7,656,"LongestDrives",2013
34,34,"Mark Wilson",56,393,NA,2,7,656,"LongestDrives",2013
37,37,"Hunter Mahan",91,392,NA,2,12,656,"LongestDrives",2013
43,43,"Nicolas Colsaerts",50,390,NA,2,16,36,"LongestDrives",2013
44,44,"Keegan Bradley",88,389,NA,4,1,19,"LongestDrives",2013
49,49,"Marcel Siem",27,387,NA,4,3,19,"LongestDrives",2013
49,49,"Brandt Snedeker",79,387,NA,2,12,656,"LongestDrives",2013
52,52,"Jimmy Walker",84,386,NA,4,1,19,"LongestDrives",2013
52,52,"Boo Weekley",100,386,NA,1,11,752,"LongestDrives",2013
52,52,"Camilo Villegas",79,386,NA,4,3,12,"LongestDrives",2013
60,60,"Jonas Blixt",76,385,NA,3,7,656,"LongestDrives",2013
60,60,"Bernd Wiesberger",6,385,NA,2,2,542,"LongestDrives",2013
69,69,"Martin Flores",83,383,NA,2,1,19,"LongestDrives",2013
77,77,"Angel Cabrera",73,381,NA,4,1,19,"LongestDrives",2013
83,83,"Tiger Woods",61,379,NA,2,16,36,"LongestDrives",2013
87,87,"Henrik Stenson",65,378,NA,2,16,36,"LongestDrives",2013
87,87,"Justin Harding",2,378,NA,1,1,542,"LongestDrives",2013
90,90,"Steve Stricker",51,377,NA,1,12,656,"LongestDrives",2013
90,90,"Rory Sabbatini",86,377,NA,3,1,19,"LongestDrives",2013
90,90,"John Huh",88,377,NA,2,12,656,"LongestDrives",2013
90,90,"John Hurley",2,377,NA,2,5,510,"LongestDrives",2013
95,95,"Ryan Palmer",79,376,NA,3,1,19,"LongestDrives",2013
95,95,"Michael Letzig",44,376,NA,2,2,714,"LongestDrives",2013
95,95,"Harris English",95,376,NA,2,8,789,"LongestDrives",2013
104,104,"Zach Johnson",84,375,NA,2,12,656,"LongestDrives",2013
112,112,"Tag Ridings",69,374,NA,1,2,669,"LongestDrives",2013
112,112,"Nick Watney",88,374,NA,2,18,656,"LongestDrives",2013
112,112,"Ryo Ishikawa",72,374,NA,4,3,19,"LongestDrives",2013
112,112,"Eric Meierdierks",48,374,NA,2,11,19,"LongestDrives",2013
122,122,"Charles Howell III",87,373,NA,4,3,19,"LongestDrives",2013
122,122,"Sangmoon Bae",83,373,NA,3,15,510,"LongestDrives",2013
126,126,"Padraig Harrington",52,372,NA,4,18,503,"LongestDrives",2013
126,126,"Morgan Hoffmann",64,372,NA,3,1,19,"LongestDrives",2013
126,126,"Patrick Reed",83,372,NA,2,8,789,"LongestDrives",2013
134,134,"John Rollins",77,371,NA,4,3,19,"LongestDrives",2013
134,134,"Luke List",65,371,NA,2,8,770,"LongestDrives",2013
134,134,"Randy Lowry",2,371,NA,1,13,729,"LongestDrives",2013
134,134,"Kiradech Aphibarnrat",10,371,NA,2,16,36,"LongestDrives",2013
145,145,"John Daly",31,370,NA,2,1,19,"LongestDrives",2013
145,145,"Kevin Na",22,370,NA,4,15,510,"LongestDrives",2013
145,145,"Lucas Glover",65,370,NA,4,15,510,"LongestDrives",2013
145,145,"Jim Herman",59,370,NA,3,18,503,"LongestDrives",2013
153,153,"Robert Garrigus",69,369,NA,1,5,9,"LongestDrives",2013
153,153,"Andres Romero",63,369,NA,1,2,669,"LongestDrives",2013
153,153,"Jason Kokrak",78,369,NA,1,18,752,"LongestDrives",2013
153,153,"Shawn Stefani",63,369,NA,1,2,669,"LongestDrives",2013
163,163,"Stephen Gallacher",17,368,NA,2,16,36,"LongestDrives",2013
163,163,"Steve Dartnall",2,368,NA,1,1,542,"LongestDrives",2013
173,173,"Charley Hoffman",84,367,NA,4,18,729,"LongestDrives",2013
