"TenthTeeLatePar5ScoringAverage_RANKTHISWEEK_2011","TenthTeeLatePar5ScoringAverage_RANKLASTWEEK_2011","TenthTeeLatePar5ScoringAverage_PLAYERNAME_2011","TenthTeeLatePar5ScoringAverage_ROUNDS_2011","TenthTeeLatePar5ScoringAverage_AVG_2011","TenthTeeLatePar5ScoringAverage_TOTALSTROKES_2011","TenthTeeLatePar5ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Chris Couch",73,4.27,94,22,"TenthTeeLatePar5ScoringAverage",2011
2,2,"Webb Simpson",98,4.35,135,31,"TenthTeeLatePar5ScoringAverage",2011
3,3,"Jhonattan Vegas",84,4.36,157,36,"TenthTeeLatePar5ScoringAverage",2011
4,4,"Luke Donald",73,4.4,22,5,"TenthTeeLatePar5ScoringAverage",2011
4,4,"Bubba Watson",85,4.4,44,10,"TenthTeeLatePar5ScoringAverage",2011
6,6,"Bill Haas",93,4.42,159,36,"TenthTeeLatePar5ScoringAverage",2011
7,7,"Boo Weekley",66,4.45,178,40,"TenthTeeLatePar5ScoringAverage",2011
8,8,"Phil Mickelson",79,4.46,58,13,"TenthTeeLatePar5ScoringAverage",2011
9,9,"JB Holmes",57,4.47,170,38,"TenthTeeLatePar5ScoringAverage",2011
10,10,"Jonathan Byrd",83,4.48,148,33,"TenthTeeLatePar5ScoringAverage",2011
10,10,"Rickie Fowler",84,4.48,139,31,"TenthTeeLatePar5ScoringAverage",2011
12,12,"Spencer Levin",113,4.5,297,66,"TenthTeeLatePar5ScoringAverage",2011
12,12,"Steve Stricker",70,4.5,108,24,"TenthTeeLatePar5ScoringAverage",2011
14,14,"Robert Garrigus",83,4.51,203,45,"TenthTeeLatePar5ScoringAverage",2011
14,14,"Steve Marino",76,4.51,158,35,"TenthTeeLatePar5ScoringAverage",2011
14,14,"Joe Ogilvie",75,4.51,221,49,"TenthTeeLatePar5ScoringAverage",2011
17,17,"Charles Howell III",108,4.52,271,60,"TenthTeeLatePar5ScoringAverage",2011
17,17,"Davis Love III",70,4.52,95,21,"TenthTeeLatePar5ScoringAverage",2011
17,17,"Chris Stroud",88,4.52,294,65,"TenthTeeLatePar5ScoringAverage",2011
20,20,"Aaron Baddeley",77,4.53,145,32,"TenthTeeLatePar5ScoringAverage",2011
20,20,"Joseph Bramlett",73,4.53,181,40,"TenthTeeLatePar5ScoringAverage",2011
20,20,"Ben Crane",76,4.53,172,38,"TenthTeeLatePar5ScoringAverage",2011
20,20,"Lucas Glover",74,4.53,154,34,"TenthTeeLatePar5ScoringAverage",2011
20,20,"Paul Stankowski",78,4.53,172,38,"TenthTeeLatePar5ScoringAverage",2011
25,25,"Jim Renner",65,4.54,277,61,"TenthTeeLatePar5ScoringAverage",2011
25,25,"Kyle Stanley",98,4.54,286,63,"TenthTeeLatePar5ScoringAverage",2011
27,27,"Steve Elkington",50,4.55,132,29,"TenthTeeLatePar5ScoringAverage",2011
27,27,"Trevor Immelman",84,4.55,91,20,"TenthTeeLatePar5ScoringAverage",2011
27,27,"Dustin Johnson",72,4.55,141,31,"TenthTeeLatePar5ScoringAverage",2011
30,30,"Jason Dufner",78,4.56,219,48,"TenthTeeLatePar5ScoringAverage",2011
30,30,"Rod Pampling",72,4.56,164,36,"TenthTeeLatePar5ScoringAverage",2011
30,30,"Kevin Stadler",88,4.56,301,66,"TenthTeeLatePar5ScoringAverage",2011
30,30,"Bo Van Pelt",92,4.56,246,54,"TenthTeeLatePar5ScoringAverage",2011
30,30,"Camilo Villegas",69,4.56,114,25,"TenthTeeLatePar5ScoringAverage",2011
35,35,"JP Hayes",56,4.57,160,35,"TenthTeeLatePar5ScoringAverage",2011
35,35,"Anthony Kim",72,4.57,96,21,"TenthTeeLatePar5ScoringAverage",2011
35,35,"Tag Ridings",87,4.57,233,51,"TenthTeeLatePar5ScoringAverage",2011
38,38,"Jason Bohn",74,4.58,174,38,"TenthTeeLatePar5ScoringAverage",2011
38,38,"Fabian Gomez",84,4.58,293,64,"TenthTeeLatePar5ScoringAverage",2011
38,38,"JJ Henry",96,4.58,261,57,"TenthTeeLatePar5ScoringAverage",2011
38,38,"Matt Jones",71,4.58,275,60,"TenthTeeLatePar5ScoringAverage",2011
38,38,"Hunter Mahan",92,4.58,142,31,"TenthTeeLatePar5ScoringAverage",2011
38,38,"Graeme McDowell",50,4.58,55,12,"TenthTeeLatePar5ScoringAverage",2011
38,38,"Bryce Molder",82,4.58,229,50,"TenthTeeLatePar5ScoringAverage",2011
38,38,"Jimmy Walker",79,4.58,206,45,"TenthTeeLatePar5ScoringAverage",2011
46,46,"Jerry Kelly",85,4.59,257,56,"TenthTeeLatePar5ScoringAverage",2011
46,46,"Matt Kuchar",94,4.59,101,22,"TenthTeeLatePar5ScoringAverage",2011
48,48,"Brian Davis",105,4.6,198,43,"TenthTeeLatePar5ScoringAverage",2011
48,48,"Zach Johnson",79,4.6,138,30,"TenthTeeLatePar5ScoringAverage",2011
48,48,"John Rollins",85,4.6,244,53,"TenthTeeLatePar5ScoringAverage",2011
51,51,"Blake Adams",116,4.61,392,85,"TenthTeeLatePar5ScoringAverage",2011
51,51,"Chad Campbell",99,4.61,258,56,"TenthTeeLatePar5ScoringAverage",2011
51,51,"Chris DiMarco",93,4.61,212,46,"TenthTeeLatePar5ScoringAverage",2011
51,51,"Martin Laird",77,4.61,212,46,"TenthTeeLatePar5ScoringAverage",2011
51,51,"Vijay Singh",79,4.61,166,36,"TenthTeeLatePar5ScoringAverage",2011
51,51,"Josh Teater",104,4.61,258,56,"TenthTeeLatePar5ScoringAverage",2011
51,51,"YE Yang",63,4.61,106,23,"TenthTeeLatePar5ScoringAverage",2011
58,58,"Shane Bertsch",62,4.62,120,26,"TenthTeeLatePar5ScoringAverage",2011
58,58,"Billy Horschel",75,4.62,171,37,"TenthTeeLatePar5ScoringAverage",2011
60,60,"Stuart Appleby",65,4.63,190,41,"TenthTeeLatePar5ScoringAverage",2011
60,60,"KJ Choi",77,4.63,74,16,"TenthTeeLatePar5ScoringAverage",2011
60,60,"Bobby Gates",82,4.63,310,67,"TenthTeeLatePar5ScoringAverage",2011
60,60,"Tom Gillis",55,4.63,139,30,"TenthTeeLatePar5ScoringAverage",2011
60,60,"Rocco Mediate",53,4.63,125,27,"TenthTeeLatePar5ScoringAverage",2011
60,60,"Martin Piller",63,4.63,287,62,"TenthTeeLatePar5ScoringAverage",2011
60,60,"Aron Price",58,4.63,139,30,"TenthTeeLatePar5ScoringAverage",2011
60,60,"John Senden",94,4.63,250,54,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Woody Austin",59,4.64,181,39,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Michael Connell",76,4.64,204,44,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Scott Gutschewski",67,4.64,181,39,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Lee Janzen",62,4.64,181,39,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Jarrod Lyle",83,4.64,320,69,"TenthTeeLatePar5ScoringAverage",2011
68,68,"George McNeill",69,4.64,167,36,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Kevin Na",84,4.64,218,47,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Sean OHair",71,4.64,218,47,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Michael Thompson",79,4.64,209,45,"TenthTeeLatePar5ScoringAverage",2011
68,68,"Nick Watney",80,4.64,102,22,"TenthTeeLatePar5ScoringAverage",2011
78,78,"Ricky Barnes",78,4.65,172,37,"TenthTeeLatePar5ScoringAverage",2011
78,78,"Jim Furyk",87,4.65,172,37,"TenthTeeLatePar5ScoringAverage",2011
78,78,"Charley Hoffman",93,4.65,265,57,"TenthTeeLatePar5ScoringAverage",2011
78,78,"Brandt Jobe",100,4.65,302,65,"TenthTeeLatePar5ScoringAverage",2011
78,78,"Zack Miller",86,4.65,256,55,"TenthTeeLatePar5ScoringAverage",2011
78,78,"Mark Wilson",89,4.65,223,48,"TenthTeeLatePar5ScoringAverage",2011
84,84,"Matt Bettencourt",84,4.66,298,64,"TenthTeeLatePar5ScoringAverage",2011
84,84,"Roland Thatcher",67,4.66,163,35,"TenthTeeLatePar5ScoringAverage",2011
84,84,"DJ Trahan",91,4.66,345,74,"TenthTeeLatePar5ScoringAverage",2011
87,87,"Derek Lamely",65,4.67,210,45,"TenthTeeLatePar5ScoringAverage",2011
87,87,"John Merrick",71,4.67,182,39,"TenthTeeLatePar5ScoringAverage",2011
87,87,"Troy Merritt",63,4.67,238,51,"TenthTeeLatePar5ScoringAverage",2011
87,87,"Brendan Steele",89,4.67,196,42,"TenthTeeLatePar5ScoringAverage",2011
91,91,"Kris Blanks",92,4.68,248,53,"TenthTeeLatePar5ScoringAverage",2011
91,91,"Steve Flesch",88,4.68,178,38,"TenthTeeLatePar5ScoringAverage",2011
91,91,"David Hearn",88,4.68,131,28,"TenthTeeLatePar5ScoringAverage",2011
91,91,"Bill Lunde",92,4.68,248,53,"TenthTeeLatePar5ScoringAverage",2011
91,91,"Billy Mayfair",94,4.68,309,66,"TenthTeeLatePar5ScoringAverage",2011
91,91,"Pat Perez",76,4.68,187,40,"TenthTeeLatePar5ScoringAverage",2011
91,91,"Andres Romero",77,4.68,206,44,"TenthTeeLatePar5ScoringAverage",2011
91,91,"Cameron Tringale",110,4.68,323,69,"TenthTeeLatePar5ScoringAverage",2011
99,99,"Joe Durant",71,4.69,183,39,"TenthTeeLatePar5ScoringAverage",2011
99,99,"Sergio Garcia",61,4.69,75,16,"TenthTeeLatePar5ScoringAverage",2011
99,99,"Hunter Haas",96,4.69,305,65,"TenthTeeLatePar5ScoringAverage",2011
99,99,"Ryan Palmer",82,4.69,211,45,"TenthTeeLatePar5ScoringAverage",2011
99,99,"Ian Poulter",52,4.69,122,26,"TenthTeeLatePar5ScoringAverage",2011
99,99,"Alex Prugh",82,4.69,319,68,"TenthTeeLatePar5ScoringAverage",2011
99,99,"Vaughn Taylor",89,4.69,225,48,"TenthTeeLatePar5ScoringAverage",2011
106,106,"Cameron Beckman",71,4.7,207,44,"TenthTeeLatePar5ScoringAverage",2011
106,106,"Keegan Bradley",91,4.7,174,37,"TenthTeeLatePar5ScoringAverage",2011
106,106,"Greg Chalmers",88,4.7,235,50,"TenthTeeLatePar5ScoringAverage",2011
106,106,"William McGirt",103,4.7,221,47,"TenthTeeLatePar5ScoringAverage",2011
106,106,"Michael Putnam",67,4.7,188,40,"TenthTeeLatePar5ScoringAverage",2011
111,111,"Steven Bowditch",86,4.71,292,62,"TenthTeeLatePar5ScoringAverage",2011
111,111,"DJ Brigman",67,4.71,240,51,"TenthTeeLatePar5ScoringAverage",2011
111,111,"Alex Cejka",59,4.71,113,24,"TenthTeeLatePar5ScoringAverage",2011
111,111,"Brendon de Jonge",105,4.71,240,51,"TenthTeeLatePar5ScoringAverage",2011
111,111,"Bio Kim",71,4.71,320,68,"TenthTeeLatePar5ScoringAverage",2011
111,111,"Chris Kirk",87,4.71,273,58,"TenthTeeLatePar5ScoringAverage",2011
111,111,"David Mathis",83,4.71,273,58,"TenthTeeLatePar5ScoringAverage",2011
111,111,"Justin Rose",79,4.71,146,31,"TenthTeeLatePar5ScoringAverage",2011
111,111,"Charlie Wi",83,4.71,226,48,"TenthTeeLatePar5ScoringAverage",2011
120,120,"Ryuji Imada",83,4.72,288,61,"TenthTeeLatePar5ScoringAverage",2011
120,120,"Carl Pettersson",95,4.72,236,50,"TenthTeeLatePar5ScoringAverage",2011
122,122,"Nick OHern",89,4.73,260,55,"TenthTeeLatePar5ScoringAverage",2011
122,122,"Jeff Overton",92,4.73,189,40,"TenthTeeLatePar5ScoringAverage",2011
122,122,"DA Points",89,4.73,355,75,"TenthTeeLatePar5ScoringAverage",2011
122,122,"Chris Riley",76,4.73,156,33,"TenthTeeLatePar5ScoringAverage",2011
126,126,"Harrison Frazar",58,4.74,199,42,"TenthTeeLatePar5ScoringAverage",2011
126,126,"Justin Leonard",82,4.74,199,42,"TenthTeeLatePar5ScoringAverage",2011
126,126,"Shaun Micheel",77,4.74,199,42,"TenthTeeLatePar5ScoringAverage",2011
126,126,"Gary Woodland",93,4.74,128,27,"TenthTeeLatePar5ScoringAverage",2011
130,130,"Arjun Atwal",91,4.75,318,67,"TenthTeeLatePar5ScoringAverage",2011
130,130,"Tommy Gainey",104,4.75,323,68,"TenthTeeLatePar5ScoringAverage",2011
130,130,"Tim Herron",85,4.75,190,40,"TenthTeeLatePar5ScoringAverage",2011
130,130,"Johnson Wagner",81,4.75,171,36,"TenthTeeLatePar5ScoringAverage",2011
134,134,"Briny Baird",60,4.76,176,37,"TenthTeeLatePar5ScoringAverage",2011
134,134,"Rich Beem",53,4.76,214,45,"TenthTeeLatePar5ScoringAverage",2011
134,134,"James Driscoll",71,4.76,119,25,"TenthTeeLatePar5ScoringAverage",2011
134,134,"Andres Gonzales",60,4.76,200,42,"TenthTeeLatePar5ScoringAverage",2011
134,134,"Jim Herman",69,4.76,262,55,"TenthTeeLatePar5ScoringAverage",2011
134,134,"Richard Johnson",64,4.76,262,55,"TenthTeeLatePar5ScoringAverage",2011
134,134,"Sung Kang",63,4.76,162,34,"TenthTeeLatePar5ScoringAverage",2011
134,134,"Troy Matteson",91,4.76,262,55,"TenthTeeLatePar5ScoringAverage",2011
134,134,"Ryan Moore",79,4.76,138,29,"TenthTeeLatePar5ScoringAverage",2011
143,143,"Brian Gay",90,4.77,286,60,"TenthTeeLatePar5ScoringAverage",2011
143,143,"Nathan Green",81,4.77,267,56,"TenthTeeLatePar5ScoringAverage",2011
143,143,"Colt Knost",80,4.77,186,39,"TenthTeeLatePar5ScoringAverage",2011
143,143,"Rory Sabbatini",85,4.77,229,48,"TenthTeeLatePar5ScoringAverage",2011
143,143,"Brandt Snedeker",85,4.77,124,26,"TenthTeeLatePar5ScoringAverage",2011
143,143,"David Toms",78,4.77,105,22,"TenthTeeLatePar5ScoringAverage",2011
149,149,"Freddie Jacobson",92,4.78,215,45,"TenthTeeLatePar5ScoringAverage",2011
149,149,"Ben Martin",74,4.78,301,63,"TenthTeeLatePar5ScoringAverage",2011
149,149,"Chez Reavie",92,4.78,263,55,"TenthTeeLatePar5ScoringAverage",2011
152,152,"Nate Smith",66,4.79,297,62,"TenthTeeLatePar5ScoringAverage",2011
153,153,"Geoff Ogilvy",69,4.8,120,25,"TenthTeeLatePar5ScoringAverage",2011
153,153,"Tim Petrovic",88,4.8,245,51,"TenthTeeLatePar5ScoringAverage",2011
153,153,"Daniel Summerhays",75,4.8,269,56,"TenthTeeLatePar5ScoringAverage",2011
156,156,"Ben Curtis",66,4.81,260,54,"TenthTeeLatePar5ScoringAverage",2011
156,156,"David Duval",67,4.81,250,52,"TenthTeeLatePar5ScoringAverage",2011
156,156,"Scott McCarron",65,4.81,149,31,"TenthTeeLatePar5ScoringAverage",2011
156,156,"Matt McQuillan",59,4.81,274,57,"TenthTeeLatePar5ScoringAverage",2011
156,156,"Kevin Streelman",90,4.81,178,37,"TenthTeeLatePar5ScoringAverage",2011
161,161,"Stephen Ames",69,4.82,106,22,"TenthTeeLatePar5ScoringAverage",2011
161,161,"Scott Piercy",78,4.82,236,49,"TenthTeeLatePar5ScoringAverage",2011
161,161,"Scott Stallings",84,4.82,289,60,"TenthTeeLatePar5ScoringAverage",2011
164,164,"Angel Cabrera",50,4.83,145,30,"TenthTeeLatePar5ScoringAverage",2011
164,164,"Kevin Chappell",78,4.83,290,60,"TenthTeeLatePar5ScoringAverage",2011
164,164,"Will Strickler",51,4.83,169,35,"TenthTeeLatePar5ScoringAverage",2011
164,164,"Marc Turnesa",54,4.83,198,41,"TenthTeeLatePar5ScoringAverage",2011
168,168,"Michael Bradley",74,4.84,295,61,"TenthTeeLatePar5ScoringAverage",2011
168,168,"Alexandre Rocha",65,4.84,155,32,"TenthTeeLatePar5ScoringAverage",2011
170,170,"Stewart Cink",72,4.85,131,27,"TenthTeeLatePar5ScoringAverage",2011
170,170,"Robert Karlsson",61,4.85,131,27,"TenthTeeLatePar5ScoringAverage",2011
170,170,"Charl Schwartzel",58,4.85,131,27,"TenthTeeLatePar5ScoringAverage",2011
170,170,"Heath Slocum",89,4.85,228,47,"TenthTeeLatePar5ScoringAverage",2011
174,174,"Retief Goosen",50,4.86,170,35,"TenthTeeLatePar5ScoringAverage",2011
174,174,"Justin Hicks",60,4.86,287,59,"TenthTeeLatePar5ScoringAverage",2011
174,174,"Marc Leishman",87,4.86,316,65,"TenthTeeLatePar5ScoringAverage",2011
177,177,"Jason Day",76,4.87,73,15,"TenthTeeLatePar5ScoringAverage",2011
177,177,"Garrett Willis",71,4.87,263,54,"TenthTeeLatePar5ScoringAverage",2011
177,177,"Dean Wilson",62,4.87,146,30,"TenthTeeLatePar5ScoringAverage",2011
180,180,"Adam Scott",60,4.88,39,8,"TenthTeeLatePar5ScoringAverage",2011
181,181,"Paul Goydos",81,4.9,250,51,"TenthTeeLatePar5ScoringAverage",2011
182,182,"Kent Jones",76,4.91,172,35,"TenthTeeLatePar5ScoringAverage",2011
183,183,"Kevin Kisner",70,4.92,246,50,"TenthTeeLatePar5ScoringAverage",2011
184,184,"Ernie Els",71,4.94,79,16,"TenthTeeLatePar5ScoringAverage",2011
185,185,"Robert Allenby",84,4.96,223,45,"TenthTeeLatePar5ScoringAverage",2011
186,186,"Padraig Harrington",60,5.06,91,18,"TenthTeeLatePar5ScoringAverage",2011
