"Roundsinthe60s_RANKTHISWEEK_2005","Roundsinthe60s_RANKLASTWEEK_2005","Roundsinthe60s_PLAYERNAME_2005","Roundsinthe60s_EVENTS_2005","Roundsinthe60s_TOTALRNDS_2005","stat_name","year"
1,1,"Vijay Singh",30,56,"Roundsinthe60s",2005
2,2,"Jim Furyk",26,44,"Roundsinthe60s",2005
3,3,"Harrison Frazar",31,43,"Roundsinthe60s",2005
3,3,"Heath Slocum",29,43,"Roundsinthe60s",2005
5,5,"Billy Mayfair",31,42,"Roundsinthe60s",2005
6,6,"Carl Pettersson",34,41,"Roundsinthe60s",2005
7,7,"Tiger Woods",21,40,"Roundsinthe60s",2005
8,8,"Justin Rose",28,39,"Roundsinthe60s",2005
8,8,"John Senden",29,39,"Roundsinthe60s",2005
10,10,"Bart Bryant",26,38,"Roundsinthe60s",2005
10,10,"Shigeki Maruyama",29,38,"Roundsinthe60s",2005
10,10,"David Toms",25,38,"Roundsinthe60s",2005
13,13,"Tim Herron",28,37,"Roundsinthe60s",2005
13,13,"Steve Lowery",32,37,"Roundsinthe60s",2005
13,13,"Hidemichi Tanaka",34,37,"Roundsinthe60s",2005
13,13,"Bo Van Pelt",33,37,"Roundsinthe60s",2005
13,13,"Scott Verplank",25,37,"Roundsinthe60s",2005
18,18,"JJ Henry",32,36,"Roundsinthe60s",2005
18,18,"Phil Mickelson",21,36,"Roundsinthe60s",2005
18,18,"Sean OHair",29,36,"Roundsinthe60s",2005
18,18,"Ted Purdy",34,36,"Roundsinthe60s",2005
22,22,"Jason Bohn",28,35,"Roundsinthe60s",2005
22,22,"Ben Crane",21,35,"Roundsinthe60s",2005
22,22,"Bob Estes",25,35,"Roundsinthe60s",2005
22,22,"Geoff Ogilvy",26,35,"Roundsinthe60s",2005
22,22,"Kenny Perry",23,35,"Roundsinthe60s",2005
22,22,"John Rollins",30,35,"Roundsinthe60s",2005
28,28,"Daniel Chopra",34,34,"Roundsinthe60s",2005
28,28,"Dudley Hart",29,34,"Roundsinthe60s",2005
28,28,"Tom Pernice Jr",32,34,"Roundsinthe60s",2005
28,28,"Tag Ridings",31,34,"Roundsinthe60s",2005
32,32,"Olin Browne",29,33,"Roundsinthe60s",2005
32,32,"Tim Clark",26,33,"Roundsinthe60s",2005
32,32,"Joe Ogilvie",30,33,"Roundsinthe60s",2005
32,32,"Brett Quigley",31,33,"Roundsinthe60s",2005
32,32,"Jeff Sluman",28,33,"Roundsinthe60s",2005
32,32,"Kevin Sutherland",26,33,"Roundsinthe60s",2005
38,38,"Woody Austin",30,32,"Roundsinthe60s",2005
38,38,"Briny Baird",33,32,"Roundsinthe60s",2005
38,38,"Fred Funk",30,32,"Roundsinthe60s",2005
38,38,"Brandt Jobe",27,32,"Roundsinthe60s",2005
38,38,"Zach Johnson",30,32,"Roundsinthe60s",2005
38,38,"Jerry Kelly",31,32,"Roundsinthe60s",2005
38,38,"Joey Sindelar",29,32,"Roundsinthe60s",2005
38,38,"Joey Snyder III",31,32,"Roundsinthe60s",2005
46,46,"Robert Allenby",31,31,"Roundsinthe60s",2005
46,46,"Tommy Armour III",29,31,"Roundsinthe60s",2005
46,46,"Mark Calcavecchia",27,31,"Roundsinthe60s",2005
46,46,"Stephen Leaney",29,31,"Roundsinthe60s",2005
46,46,"Davis Love III",24,31,"Roundsinthe60s",2005
46,46,"Jesper Parnevik",24,31,"Roundsinthe60s",2005
46,46,"Patrick Sheehan",35,31,"Roundsinthe60s",2005
46,46,"Chris Smith",32,31,"Roundsinthe60s",2005
54,54,"Stuart Appleby",25,30,"Roundsinthe60s",2005
54,54,"Chad Campbell",27,30,"Roundsinthe60s",2005
54,54,"Stewart Cink",26,30,"Roundsinthe60s",2005
54,54,"Todd Fischer",35,30,"Roundsinthe60s",2005
54,54,"Brian Gay",33,30,"Roundsinthe60s",2005
54,54,"Charles Howell III",29,30,"Roundsinthe60s",2005
54,54,"Kevin Stadler",33,30,"Roundsinthe60s",2005
54,54,"Bob Tway",26,30,"Roundsinthe60s",2005
54,54,"Dean Wilson",27,30,"Roundsinthe60s",2005
63,63,"Jonathan Byrd",31,29,"Roundsinthe60s",2005
63,63,"Robert Damron",28,29,"Roundsinthe60s",2005
63,63,"Luke Donald",18,29,"Roundsinthe60s",2005
63,63,"JL Lewis",30,29,"Roundsinthe60s",2005
63,63,"Hunter Mahan",34,29,"Roundsinthe60s",2005
63,63,"Ryan Palmer",32,29,"Roundsinthe60s",2005
63,63,"Phillip Price",25,29,"Roundsinthe60s",2005
63,63,"Vaughn Taylor",32,29,"Roundsinthe60s",2005
63,63,"DJ Trahan",28,29,"Roundsinthe60s",2005
72,72,"Billy Andrade",26,28,"Roundsinthe60s",2005
72,72,"Aaron Baddeley",27,28,"Roundsinthe60s",2005
72,72,"Marco Dawson",23,28,"Roundsinthe60s",2005
72,72,"John Huston",31,28,"Roundsinthe60s",2005
72,72,"Neal Lancaster",31,28,"Roundsinthe60s",2005
72,72,"Kevin Na",32,28,"Roundsinthe60s",2005
72,72,"Arron Oberholser",21,28,"Roundsinthe60s",2005
72,72,"Rod Pampling",26,28,"Roundsinthe60s",2005
72,72,"Adam Scott",19,28,"Roundsinthe60s",2005
72,72,"Brett Wetterich",28,28,"Roundsinthe60s",2005
82,82,"Steve Allan",32,27,"Roundsinthe60s",2005
82,82,"Chris DiMarco",24,27,"Roundsinthe60s",2005
82,82,"Robert Gamez",28,27,"Roundsinthe60s",2005
82,82,"Sergio Garcia",20,27,"Roundsinthe60s",2005
82,82,"Ryuji Imada",25,27,"Roundsinthe60s",2005
82,82,"Rocco Mediate",24,27,"Roundsinthe60s",2005
82,82,"Tim Petrovic",32,27,"Roundsinthe60s",2005
82,82,"Darron Stiles",26,27,"Roundsinthe60s",2005
82,82,"Mark Wilson",25,27,"Roundsinthe60s",2005
