"ScramblingAverageDistancetoHole_RANKTHISWEEK_2015","ScramblingAverageDistancetoHole_RANKLASTWEEK_2015","ScramblingAverageDistancetoHole_PLAYERNAME_2015","ScramblingAverageDistancetoHole_ROUNDS_2015","ScramblingAverageDistancetoHole_AVGDTP_2015","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2015","ScramblingAverageDistancetoHole_ATTEMPTS_2015","stat_name","year"
1,1,"Webb Simpson",81,NA,2193.75,336,"ScramblingAverageDistancetoHole",2015
2,2,"Keegan Bradley",87,NA,2316.083,333,"ScramblingAverageDistancetoHole",2015
3,3,"Jonathan Byrd",69,NA,1836.917,263,"ScramblingAverageDistancetoHole",2015
4,4,"Steven Bowditch",103,NA,3535.5,497,"ScramblingAverageDistancetoHole",2015
4,4,"Kevin Na",98,NA,3041,429,"ScramblingAverageDistancetoHole",2015
4,4,"Justin Rose",69,NA,1586.583,223,"ScramblingAverageDistancetoHole",2015
4,4,"Mark Wilson",89,NA,2868.167,404,"ScramblingAverageDistancetoHole",2015
8,8,"Jordan Spieth",91,NA,2571.75,360,"ScramblingAverageDistancetoHole",2015
9,9,"Scott Langley",94,NA,3159.167,435,"ScramblingAverageDistancetoHole",2015
10,10,"Luke Donald",71,NA,2151.083,292,"ScramblingAverageDistancetoHole",2015
10,10,"Jerry Kelly",79,NA,2735.75,372,"ScramblingAverageDistancetoHole",2015
10,10,"Chris Stroud",84,NA,2634.917,361,"ScramblingAverageDistancetoHole",2015
10,10,"David Toms",62,NA,2377.5,326,"ScramblingAverageDistancetoHole",2015
10,10,"Cameron Tringale",96,NA,3369.833,459,"ScramblingAverageDistancetoHole",2015
15,15,"Jon Curran",83,NA,2612.083,352,"ScramblingAverageDistancetoHole",2015
15,15,"Jim Furyk",71,NA,1814.833,245,"ScramblingAverageDistancetoHole",2015
15,15,"Ryo Ishikawa",90,NA,2734.667,370,"ScramblingAverageDistancetoHole",2015
15,15,"Jim Renner",68,NA,2268,307,"ScramblingAverageDistancetoHole",2015
15,15,"Henrik Stenson",63,NA,1519.917,204,"ScramblingAverageDistancetoHole",2015
20,20,"Steven Alker",62,NA,2042.25,273,"ScramblingAverageDistancetoHole",2015
20,20,"Billy Hurley III",83,NA,2716.5,363,"ScramblingAverageDistancetoHole",2015
20,20,"Greg Owen",58,NA,1474.417,196,"ScramblingAverageDistancetoHole",2015
23,23,"Brandt Snedeker",98,NA,3262.417,428,"ScramblingAverageDistancetoHole",2015
23,23,"Tyrone Van Aswegen",58,NA,1541.75,203,"ScramblingAverageDistancetoHole",2015
25,25,"Roberto Castro",54,NA,1455.917,189,"ScramblingAverageDistancetoHole",2015
25,25,"KJ Choi",66,NA,2540.417,333,"ScramblingAverageDistancetoHole",2015
