"DrivingDistance_RANKTHISWEEK_2008","DrivingDistance_RANKLASTWEEK_2008","DrivingDistance_PLAYERNAME_2008","DrivingDistance_ROUNDS_2008","DrivingDistance_AVG_2008","DrivingDistance_TOTALDISTANCE_2008","DrivingDistance_TOTALDRIVES_2008","stat_name","year"
1,1,"Bubba Watson",97,315.1,59870,190,"DrivingDistance",2008
2,2,"Robert Garrigus",90,311,55988,180,"DrivingDistance",2008
3,3,"JB Holmes",86,310.3,52749,170,"DrivingDistance",2008
4,4,"Dustin Johnson",92,309.7,56978,184,"DrivingDistance",2008
5,5,"Steve Allan",58,303.2,30316,100,"DrivingDistance",2008
6,6,"Tag Ridings",88,303,53320,176,"DrivingDistance",2008
7,7,"Nick Watney",96,302.9,58150,192,"DrivingDistance",2008
8,8,"Adam Scott",51,302.1,29607,98,"DrivingDistance",2008
9,9,"Davis Love III",78,301.3,47005,156,"DrivingDistance",2008
10,10,"Charles Warren",79,301.1,47573,158,"DrivingDistance",2008
11,11,"Anthony Kim",81,300.9,48741,162,"DrivingDistance",2008
12,12,"Charley Hoffman",94,300.8,55346,184,"DrivingDistance",2008
13,13,"Angel Cabrera",55,300.2,30620,102,"DrivingDistance",2008
14,14,"Harrison Frazar",73,299.9,38986,130,"DrivingDistance",2008
15,15,"Jason Gore",94,299.7,56344,188,"DrivingDistance",2008
16,16,"Fred Couples",60,299.6,35952,120,"DrivingDistance",2008
16,16,"Travis Perkins",53,299.6,28164,94,"DrivingDistance",2008
18,18,"Paul Casey",55,299.2,31119,104,"DrivingDistance",2008
19,19,"Andres Romero",69,299.1,40076,134,"DrivingDistance",2008
20,20,"John Merrick",98,299,53824,180,"DrivingDistance",2008
21,21,"Brandt Jobe",52,298.8,31077,104,"DrivingDistance",2008
22,22,"Jason Allred",63,298.6,34041,114,"DrivingDistance",2008
23,23,"Lucas Glover",91,298.4,54317,182,"DrivingDistance",2008
24,24,"Tommy Gainey",60,298.3,31027,104,"DrivingDistance",2008
25,25,"Vijay Singh",82,297.8,46464,156,"DrivingDistance",2008
26,26,"Jeff Overton",103,297.6,58915,198,"DrivingDistance",2008
27,27,"Jason Day",81,297.4,48186,162,"DrivingDistance",2008
28,28,"Stewart Cink",87,296.9,48103,162,"DrivingDistance",2008
29,29,"Bill Haas",99,296.7,56377,190,"DrivingDistance",2008
29,29,"Richard Johnson",77,296.7,44508,150,"DrivingDistance",2008
31,31,"Martin Laird",98,296.6,54572,184,"DrivingDistance",2008
32,32,"Padraig Harrington",52,296.3,29625,100,"DrivingDistance",2008
33,33,"Kenny Perry",97,296,57427,194,"DrivingDistance",2008
34,34,"Mathew Goggin",91,295.9,53852,182,"DrivingDistance",2008
35,35,"Phil Mickelson",80,295.7,46128,156,"DrivingDistance",2008
36,36,"Nicholas Thompson",113,295.4,63222,214,"DrivingDistance",2008
36,36,"Jimmy Walker",73,295.4,38397,130,"DrivingDistance",2008
38,38,"Mathias Gronberg",87,295.2,49010,166,"DrivingDistance",2008
38,38,"Troy Matteson",94,295.2,55502,188,"DrivingDistance",2008
40,40,"James Driscoll",85,295,46613,158,"DrivingDistance",2008
40,40,"George McNeill",97,295,57227,194,"DrivingDistance",2008
42,42,"Brenden Pappas",66,294.9,35392,120,"DrivingDistance",2008
43,43,"Sergio Garcia",72,294.6,41247,140,"DrivingDistance",2008
44,44,"Daniel Chopra",84,294.2,48837,166,"DrivingDistance",2008
44,44,"Ryan Palmer",69,294.2,37069,126,"DrivingDistance",2008
44,44,"Pat Perez",93,294.2,54139,184,"DrivingDistance",2008
47,47,"Matt Jones",95,293.9,53485,182,"DrivingDistance",2008
48,48,"Charles Howell III",101,293.6,58142,198,"DrivingDistance",2008
49,49,"Steve Marino",119,293.5,67508,230,"DrivingDistance",2008
50,50,"Camilo Villegas",79,293.3,45747,156,"DrivingDistance",2008
51,51,"Jon Mills",95,293.2,51025,174,"DrivingDistance",2008
52,52,"Tim Herron",97,293,54490,186,"DrivingDistance",2008
