"ApproachesRightRoughRTPScore_RANKTHISWEEK_2008","ApproachesRightRoughRTPScore_RANKLASTWEEK_2008","ApproachesRightRoughRTPScore_PLAYERNAME_2008","ApproachesRightRoughRTPScore_ROUNDS_2008","ApproachesRightRoughRTPScore_AVGRTP_2008","stat_name","year"
1,1,"Scott Verplank",82,-0.01,"ApproachesRightRoughRTPScore",2008
2,2,"Anthony Kim",81,-0.008,"ApproachesRightRoughRTPScore",2008
3,3,"Mike Weir",88,0.015,"ApproachesRightRoughRTPScore",2008
4,4,"Camilo Villegas",79,0.027,"ApproachesRightRoughRTPScore",2008
5,5,"John Huston",56,0.032,"ApproachesRightRoughRTPScore",2008
6,6,"Steve Allan",58,0.034,"ApproachesRightRoughRTPScore",2008
7,7,"Charles Howell III",101,0.035,"ApproachesRightRoughRTPScore",2008
8,8,"Billy Mayfair",103,0.037,"ApproachesRightRoughRTPScore",2008
9,9,"Fred Couples",60,0.04,"ApproachesRightRoughRTPScore",2008
10,10,"Ben Crane",86,0.041,"ApproachesRightRoughRTPScore",2008
10,10,"Nathan Green",95,0.041,"ApproachesRightRoughRTPScore",2008
12,12,"Phil Mickelson",80,0.042,"ApproachesRightRoughRTPScore",2008
13,13,"Mark Calcavecchia",67,0.043,"ApproachesRightRoughRTPScore",2008
14,14,"Sergio Garcia",72,0.046,"ApproachesRightRoughRTPScore",2008
15,15,"Doug LaBelle II",65,0.048,"ApproachesRightRoughRTPScore",2008
16,16,"Nick Watney",96,0.05,"ApproachesRightRoughRTPScore",2008
17,17,"KJ Choi",74,0.051,"ApproachesRightRoughRTPScore",2008
17,17,"Peter Lonard",92,0.051,"ApproachesRightRoughRTPScore",2008
17,17,"Patrick Sheehan",124,0.051,"ApproachesRightRoughRTPScore",2008
20,20,"Davis Love III",78,0.052,"ApproachesRightRoughRTPScore",2008
20,20,"Steve Marino",119,0.052,"ApproachesRightRoughRTPScore",2008
22,22,"Carl Pettersson",110,0.053,"ApproachesRightRoughRTPScore",2008
23,23,"Jerry Kelly",89,0.056,"ApproachesRightRoughRTPScore",2008
24,24,"Aaron Baddeley",76,0.058,"ApproachesRightRoughRTPScore",2008
25,25,"Alejandro Canizares",52,0.063,"ApproachesRightRoughRTPScore",2008
25,25,"Lee Janzen",89,0.063,"ApproachesRightRoughRTPScore",2008
25,25,"Parker McLachlin",88,0.063,"ApproachesRightRoughRTPScore",2008
28,28,"Daniel Chopra",84,0.065,"ApproachesRightRoughRTPScore",2008
28,28,"JB Holmes",86,0.065,"ApproachesRightRoughRTPScore",2008
30,30,"Shane Bertsch",96,0.066,"ApproachesRightRoughRTPScore",2008
31,31,"Bob Estes",90,0.067,"ApproachesRightRoughRTPScore",2008
31,31,"Vijay Singh",82,0.067,"ApproachesRightRoughRTPScore",2008
33,33,"Brett Rumford",72,0.076,"ApproachesRightRoughRTPScore",2008
34,34,"Bubba Watson",97,0.079,"ApproachesRightRoughRTPScore",2008
35,35,"Tim Petrovic",97,0.081,"ApproachesRightRoughRTPScore",2008
36,36,"Bob Tway",70,0.082,"ApproachesRightRoughRTPScore",2008
37,37,"Jeff Overton",103,0.084,"ApproachesRightRoughRTPScore",2008
38,38,"Mathew Goggin",91,0.085,"ApproachesRightRoughRTPScore",2008
38,38,"Geoff Ogilvy",65,0.085,"ApproachesRightRoughRTPScore",2008
40,40,"Zach Johnson",85,0.086,"ApproachesRightRoughRTPScore",2008
40,40,"Pat Perez",93,0.086,"ApproachesRightRoughRTPScore",2008
42,42,"David Toms",70,0.087,"ApproachesRightRoughRTPScore",2008
42,42,"Charlie Wi",97,0.087,"ApproachesRightRoughRTPScore",2008
44,44,"Scott McCarron",63,0.088,"ApproachesRightRoughRTPScore",2008
44,44,"Brandt Snedeker",85,0.088,"ApproachesRightRoughRTPScore",2008
46,46,"Brenden Pappas",66,0.089,"ApproachesRightRoughRTPScore",2008
47,47,"Jonathan Byrd",88,0.091,"ApproachesRightRoughRTPScore",2008
48,48,"Tim Herron",97,0.094,"ApproachesRightRoughRTPScore",2008
49,49,"Robert Garrigus",90,0.096,"ApproachesRightRoughRTPScore",2008
50,50,"Marc Turnesa",87,0.097,"ApproachesRightRoughRTPScore",2008
51,51,"Charley Hoffman",94,0.098,"ApproachesRightRoughRTPScore",2008
51,51,"Jimmy Walker",73,0.098,"ApproachesRightRoughRTPScore",2008
53,53,"Bill Haas",99,0.099,"ApproachesRightRoughRTPScore",2008
54,54,"Ian Poulter",51,0.1,"ApproachesRightRoughRTPScore",2008
55,55,"Billy Andrade",71,0.102,"ApproachesRightRoughRTPScore",2008
55,55,"Brett Quigley",80,0.102,"ApproachesRightRoughRTPScore",2008
57,57,"Briny Baird",113,0.104,"ApproachesRightRoughRTPScore",2008
58,58,"Ryan Palmer",69,0.106,"ApproachesRightRoughRTPScore",2008
59,59,"JJ Henry",108,0.107,"ApproachesRightRoughRTPScore",2008
59,59,"Scott Sterling",89,0.107,"ApproachesRightRoughRTPScore",2008
61,61,"Martin Laird",98,0.109,"ApproachesRightRoughRTPScore",2008
62,62,"Nick Flanagan",89,0.11,"ApproachesRightRoughRTPScore",2008
62,62,"Jon Mills",95,0.11,"ApproachesRightRoughRTPScore",2008
64,64,"Joe Durant",92,0.111,"ApproachesRightRoughRTPScore",2008
64,64,"Chez Reavie",102,0.111,"ApproachesRightRoughRTPScore",2008
66,66,"Chad Collins",72,0.112,"ApproachesRightRoughRTPScore",2008
67,67,"Stephen Ames",83,0.116,"ApproachesRightRoughRTPScore",2008
68,68,"Padraig Harrington",52,0.117,"ApproachesRightRoughRTPScore",2008
68,68,"Rocco Mediate",87,0.117,"ApproachesRightRoughRTPScore",2008
70,70,"Brad Elder",67,0.118,"ApproachesRightRoughRTPScore",2008
70,70,"Kevin Sutherland",98,0.118,"ApproachesRightRoughRTPScore",2008
72,72,"Kenneth Ferrie",72,0.12,"ApproachesRightRoughRTPScore",2008
72,72,"Adam Scott",51,0.12,"ApproachesRightRoughRTPScore",2008
74,74,"Stewart Cink",87,0.121,"ApproachesRightRoughRTPScore",2008
74,74,"Glen Day",64,0.121,"ApproachesRightRoughRTPScore",2008
76,76,"Kevin Stadler",90,0.122,"ApproachesRightRoughRTPScore",2008
77,77,"Cameron Beckman",87,0.127,"ApproachesRightRoughRTPScore",2008
78,78,"Ben Curtis",80,0.13,"ApproachesRightRoughRTPScore",2008
78,78,"Freddie Jacobson",78,0.13,"ApproachesRightRoughRTPScore",2008
78,78,"Jim McGovern",75,0.13,"ApproachesRightRoughRTPScore",2008
81,81,"John Merrick",98,0.131,"ApproachesRightRoughRTPScore",2008
81,81,"Kevin Na",97,0.131,"ApproachesRightRoughRTPScore",2008
81,81,"Kevin Streelman",114,0.131,"ApproachesRightRoughRTPScore",2008
84,84,"Ken Duke",116,0.132,"ApproachesRightRoughRTPScore",2008
85,85,"Ryan Moore",72,0.133,"ApproachesRightRoughRTPScore",2008
86,86,"Mark Hensby",71,0.134,"ApproachesRightRoughRTPScore",2008
86,86,"Mark Wilson",107,0.134,"ApproachesRightRoughRTPScore",2008
88,88,"Harrison Frazar",73,0.136,"ApproachesRightRoughRTPScore",2008
89,89,"Michael Letzig",88,0.137,"ApproachesRightRoughRTPScore",2008
90,90,"Boo Weekley",86,0.138,"ApproachesRightRoughRTPScore",2008
91,91,"Steve Elkington",84,0.14,"ApproachesRightRoughRTPScore",2008
91,91,"Carlos Franco",73,0.14,"ApproachesRightRoughRTPScore",2008
91,91,"Nick OHern",82,0.14,"ApproachesRightRoughRTPScore",2008
94,94,"Tom Pernice Jr",104,0.141,"ApproachesRightRoughRTPScore",2008
95,95,"Brandt Jobe",52,0.142,"ApproachesRightRoughRTPScore",2008
96,96,"Greg Kraft",63,0.143,"ApproachesRightRoughRTPScore",2008
96,96,"Kenny Perry",97,0.143,"ApproachesRightRoughRTPScore",2008
96,96,"John Riegger",73,0.143,"ApproachesRightRoughRTPScore",2008
99,99,"Brian Gay",102,0.144,"ApproachesRightRoughRTPScore",2008
100,100,"Chris Riley",51,0.145,"ApproachesRightRoughRTPScore",2008
101,101,"Woody Austin",109,0.146,"ApproachesRightRoughRTPScore",2008
102,102,"Stuart Appleby",87,0.147,"ApproachesRightRoughRTPScore",2008
103,103,"James Driscoll",85,0.148,"ApproachesRightRoughRTPScore",2008
104,104,"Chad Campbell",94,0.149,"ApproachesRightRoughRTPScore",2008
104,104,"Corey Pavin",69,0.149,"ApproachesRightRoughRTPScore",2008
106,106,"Jason Day",81,0.151,"ApproachesRightRoughRTPScore",2008
106,106,"George McNeill",97,0.151,"ApproachesRightRoughRTPScore",2008
108,108,"Jim Furyk",95,0.153,"ApproachesRightRoughRTPScore",2008
108,108,"Dudley Hart",74,0.153,"ApproachesRightRoughRTPScore",2008
110,110,"Sean OHair",81,0.154,"ApproachesRightRoughRTPScore",2008
111,111,"John Mallinger",95,0.155,"ApproachesRightRoughRTPScore",2008
112,112,"Richard Johnson",60,0.156,"ApproachesRightRoughRTPScore",2008
112,112,"Dustin Johnson",92,0.156,"ApproachesRightRoughRTPScore",2008
112,112,"Omar Uresti",74,0.156,"ApproachesRightRoughRTPScore",2008
115,115,"Matt Jones",95,0.157,"ApproachesRightRoughRTPScore",2008
116,116,"Troy Matteson",94,0.158,"ApproachesRightRoughRTPScore",2008
116,116,"John Rollins",94,0.158,"ApproachesRightRoughRTPScore",2008
118,118,"Steve Lowery",74,0.159,"ApproachesRightRoughRTPScore",2008
118,118,"Joe Ogilvie",100,0.159,"ApproachesRightRoughRTPScore",2008
120,120,"David Duval",51,0.161,"ApproachesRightRoughRTPScore",2008
120,120,"Tommy Gainey",60,0.161,"ApproachesRightRoughRTPScore",2008
122,122,"Heath Slocum",104,0.162,"ApproachesRightRoughRTPScore",2008
123,123,"Chris DiMarco",87,0.163,"ApproachesRightRoughRTPScore",2008
125,125,"Brian Davis",108,0.164,"ApproachesRightRoughRTPScore",2008
125,125,"Dean Wilson",109,0.164,"ApproachesRightRoughRTPScore",2008
127,127,"Tag Ridings",88,0.166,"ApproachesRightRoughRTPScore",2008
128,128,"Michael Allen",91,0.167,"ApproachesRightRoughRTPScore",2008
129,129,"Bo Van Pelt",101,0.168,"ApproachesRightRoughRTPScore",2008
130,130,"John Senden",93,0.17,"ApproachesRightRoughRTPScore",2008
131,131,"Justin Bolli",87,0.171,"ApproachesRightRoughRTPScore",2008
132,132,"Chris Stroud",81,0.172,"ApproachesRightRoughRTPScore",2008
133,133,"Cody Freeman",66,0.173,"ApproachesRightRoughRTPScore",2008
133,133,"Vaughn Taylor",103,0.173,"ApproachesRightRoughRTPScore",2008
135,135,"Eric Axley",113,0.174,"ApproachesRightRoughRTPScore",2008
135,135,"Jin Park",85,0.174,"ApproachesRightRoughRTPScore",2008
137,137,"Gavin Coles",54,0.175,"ApproachesRightRoughRTPScore",2008
138,138,"Nicholas Thompson",113,0.177,"ApproachesRightRoughRTPScore",2008
138,138,"Jay Williamson",96,0.177,"ApproachesRightRoughRTPScore",2008
140,140,"Charles Warren",79,0.179,"ApproachesRightRoughRTPScore",2008
141,141,"Steve Flesch",95,0.181,"ApproachesRightRoughRTPScore",2008
142,142,"Ron Whittaker",54,0.182,"ApproachesRightRoughRTPScore",2008
143,143,"Tim Clark",90,0.183,"ApproachesRightRoughRTPScore",2008
144,144,"Jason Allred",63,0.189,"ApproachesRightRoughRTPScore",2008
144,144,"Angel Cabrera",55,0.189,"ApproachesRightRoughRTPScore",2008
144,144,"Lucas Glover",91,0.189,"ApproachesRightRoughRTPScore",2008
144,144,"Andres Romero",69,0.189,"ApproachesRightRoughRTPScore",2008
148,148,"Tom Lehman",51,0.19,"ApproachesRightRoughRTPScore",2008
149,149,"Frank Lickliter II",107,0.193,"ApproachesRightRoughRTPScore",2008
150,150,"Jeff Quinney",87,0.194,"ApproachesRightRoughRTPScore",2008
151,151,"Ryuji Imada",80,0.195,"ApproachesRightRoughRTPScore",2008
151,151,"Kyle Thompson",70,0.195,"ApproachesRightRoughRTPScore",2008
153,153,"Tim Wilkinson",95,0.196,"ApproachesRightRoughRTPScore",2008
154,154,"Robert Allenby",108,0.199,"ApproachesRightRoughRTPScore",2008
155,155,"JP Hayes",67,0.2,"ApproachesRightRoughRTPScore",2008
