"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2013","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2013","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2013","AverageApproachDistanceBirdieorBetter_ROUNDS_2013","AverageApproachDistanceBirdieorBetter_AVGYARDS_2013","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2013","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2013","stat_name","year"
1,1,"Dicky Pride",71,151.2,1022992,188,"AverageApproachDistanceBirdieorBetter",2013
2,2,"Aaron Watkins",46,152.7,665289,121,"AverageApproachDistanceBirdieorBetter",2013
3,3,"David Toms",49,153.9,559664,101,"AverageApproachDistanceBirdieorBetter",2013
4,4,"Lee Williams",62,156.8,835566,148,"AverageApproachDistanceBirdieorBetter",2013
5,5,"Brian Gay",79,158.1,1349282,237,"AverageApproachDistanceBirdieorBetter",2013
6,6,"Ben Curtis",59,158.4,809833,142,"AverageApproachDistanceBirdieorBetter",2013
7,7,"Ben Crane",62,158.5,1009696,177,"AverageApproachDistanceBirdieorBetter",2013
8,8,"Justin Bolli",59,158.6,759215,133,"AverageApproachDistanceBirdieorBetter",2013
8,8,"Darron Stiles",51,158.6,719340,126,"AverageApproachDistanceBirdieorBetter",2013
10,10,"Michael Bradley",56,158.7,691362,121,"AverageApproachDistanceBirdieorBetter",2013
10,10,"Brian Davis",91,158.7,1845325,323,"AverageApproachDistanceBirdieorBetter",2013
12,12,"Jason Bohn",70,158.9,1412889,247,"AverageApproachDistanceBirdieorBetter",2013
13,13,"Bryce Molder",82,159.3,1490738,260,"AverageApproachDistanceBirdieorBetter",2013
14,14,"Justin Leonard",86,159.4,1497989,261,"AverageApproachDistanceBirdieorBetter",2013
15,15,"Ken Duke",87,159.9,1456643,253,"AverageApproachDistanceBirdieorBetter",2013
16,16,"David Hearn",88,160.1,1607571,279,"AverageApproachDistanceBirdieorBetter",2013
17,17,"Mike Weir",60,160.5,884085,153,"AverageApproachDistanceBirdieorBetter",2013
18,18,"Tim Herron",45,161.3,824503,142,"AverageApproachDistanceBirdieorBetter",2013
18,18,"Ted Potter Jr",65,161.3,1138211,196,"AverageApproachDistanceBirdieorBetter",2013
20,20,"KJ Choi",85,161.5,1273411,219,"AverageApproachDistanceBirdieorBetter",2013
21,21,"Stuart Appleby",88,162.1,1534610,263,"AverageApproachDistanceBirdieorBetter",2013
22,22,"Justin Hicks",79,162.2,1349030,231,"AverageApproachDistanceBirdieorBetter",2013
23,23,"Scott Langley",79,162.3,1174654,201,"AverageApproachDistanceBirdieorBetter",2013
24,24,"Morgan Hoffmann",64,163.2,1245725,212,"AverageApproachDistanceBirdieorBetter",2013
25,25,"Jason Dufner",78,163.4,1306247,222,"AverageApproachDistanceBirdieorBetter",2013
25,25,"Freddie Jacobson",63,163.4,982243,167,"AverageApproachDistanceBirdieorBetter",2013
27,27,"David Mathis",71,163.6,1166468,198,"AverageApproachDistanceBirdieorBetter",2013
28,28,"Erik Compton",74,164,1227795,208,"AverageApproachDistanceBirdieorBetter",2013
29,29,"Jeff Maggert",63,164.2,1128900,191,"AverageApproachDistanceBirdieorBetter",2013
29,29,"Mark Wilson",56,164.2,881026,149,"AverageApproachDistanceBirdieorBetter",2013
31,31,"Chez Reavie",72,164.3,1360201,230,"AverageApproachDistanceBirdieorBetter",2013
32,32,"Bobby Gates",49,164.6,604495,102,"AverageApproachDistanceBirdieorBetter",2013
32,32,"Luke Guthrie",82,164.6,1356799,229,"AverageApproachDistanceBirdieorBetter",2013
34,34,"Chris Kirk",89,164.7,1962530,331,"AverageApproachDistanceBirdieorBetter",2013
35,35,"David Lynn",70,165.3,1101008,185,"AverageApproachDistanceBirdieorBetter",2013
35,35,"Camilo Villegas",79,165.3,1416356,238,"AverageApproachDistanceBirdieorBetter",2013
37,37,"John Merrick",79,165.7,1437358,241,"AverageApproachDistanceBirdieorBetter",2013
38,38,"David Lingmerth",68,165.9,1290369,216,"AverageApproachDistanceBirdieorBetter",2013
38,38,"Casey Wittenberg",72,165.9,1039367,174,"AverageApproachDistanceBirdieorBetter",2013
40,40,"Colt Knost",69,166,1040075,174,"AverageApproachDistanceBirdieorBetter",2013
41,41,"Jim Furyk",80,166.2,1423950,238,"AverageApproachDistanceBirdieorBetter",2013
42,42,"Bob Estes",66,166.3,1245211,208,"AverageApproachDistanceBirdieorBetter",2013
42,42,"Doug LaBelle II",72,166.3,1197560,200,"AverageApproachDistanceBirdieorBetter",2013
44,44,"Robert Allenby",58,167,925738,154,"AverageApproachDistanceBirdieorBetter",2013
44,44,"Steve LeBrun",66,167,1087941,181,"AverageApproachDistanceBirdieorBetter",2013
44,44,"Vaughn Taylor",50,167,877707,146,"AverageApproachDistanceBirdieorBetter",2013
47,47,"Charlie Wi",75,167.1,1443980,240,"AverageApproachDistanceBirdieorBetter",2013
48,48,"James Driscoll",76,167.4,1416391,235,"AverageApproachDistanceBirdieorBetter",2013
48,48,"Ian Poulter",59,167.4,813663,135,"AverageApproachDistanceBirdieorBetter",2013
50,50,"Tim Clark",64,167.5,892284,148,"AverageApproachDistanceBirdieorBetter",2013
51,51,"Sangmoon Bae",83,167.8,1715700,284,"AverageApproachDistanceBirdieorBetter",2013
51,51,"Zach Johnson",84,167.8,1540405,255,"AverageApproachDistanceBirdieorBetter",2013
53,53,"Brandt Snedeker",79,167.9,1474514,244,"AverageApproachDistanceBirdieorBetter",2013
54,54,"Alistair Presnell",59,168.2,878181,145,"AverageApproachDistanceBirdieorBetter",2013
55,55,"Ben Kohles",75,168.5,1164745,192,"AverageApproachDistanceBirdieorBetter",2013
55,55,"Justin Rose",62,168.5,1164828,192,"AverageApproachDistanceBirdieorBetter",2013
55,55,"Cameron Tringale",80,168.5,1558705,257,"AverageApproachDistanceBirdieorBetter",2013
