"DrivingPct240260Measured_RANKTHISWEEK_2008","DrivingPct240260Measured_RANKLASTWEEK_2008","DrivingPct240260Measured_PLAYERNAME_2008","DrivingPct240260Measured_ROUNDS_2008","DrivingPct240260Measured_Pct_2008","DrivingPct240260Measured_TOTALDRIVESFOR240260_2008","DrivingPct240260Measured_TOTALDRVSOVERALL_2008","DrivingPct240260Measured_RELATIVETOPAR_2008","stat_name","year"
1,1,"Corey Pavin",69,39.34,48,122,-0.15,"DrivingPct240260Measured",2008
2,2,"Brian Gay",102,25.56,46,180,-0.04,"DrivingPct240260Measured",2008
3,3,"Gavin Coles",54,22.83,21,92,0.24,"DrivingPct240260Measured",2008
4,4,"Shigeki Maruyama",50,22.22,20,90,0.05,"DrivingPct240260Measured",2008
5,5,"Shane Bertsch",96,21.88,42,192,-0.02,"DrivingPct240260Measured",2008
6,6,"Jeff Quinney",87,21.52,34,158,-0.03,"DrivingPct240260Measured",2008
7,7,"Dudley Hart",74,20.71,29,140,0.17,"DrivingPct240260Measured",2008
8,8,"Glen Day",64,20.69,24,116,0.25,"DrivingPct240260Measured",2008
9,9,"Paul Claxton",63,20.18,23,114,0.09,"DrivingPct240260Measured",2008
10,10,"Brian Davis",108,19.91,43,216,0.12,"DrivingPct240260Measured",2008
11,11,"Chad Collins",72,18.94,25,132,0.04,"DrivingPct240260Measured",2008
12,12,"Craig Kanada",65,18.64,22,118,-0.05,"DrivingPct240260Measured",2008
13,13,"Jin Park",85,18.18,28,154,-0.04,"DrivingPct240260Measured",2008
14,14,"Greg Kraft",63,17.92,19,106,-0.05,"DrivingPct240260Measured",2008
15,15,"Omar Uresti",74,17.86,25,140,0,"DrivingPct240260Measured",2008
16,16,"Jerry Kelly",89,17.76,27,152,0.26,"DrivingPct240260Measured",2008
17,17,"Ron Whittaker",54,17.71,17,96,0.18,"DrivingPct240260Measured",2008
18,18,"Chris Riley",51,17.44,15,86,0,"DrivingPct240260Measured",2008
19,19,"Paul Goydos",78,16.67,24,144,-0.08,"DrivingPct240260Measured",2008
19,19,"Dean Wilson",109,16.67,33,198,0.03,"DrivingPct240260Measured",2008
21,21,"Rocco Mediate",87,16,24,150,0.21,"DrivingPct240260Measured",2008
22,22,"Matt Kuchar",88,15.79,24,152,-0.08,"DrivingPct240260Measured",2008
23,23,"Chris DiMarco",87,15.66,26,166,0.04,"DrivingPct240260Measured",2008
24,24,"Olin Browne",77,15.33,23,150,0.13,"DrivingPct240260Measured",2008
25,25,"Jim McGovern",75,15.22,21,138,0.24,"DrivingPct240260Measured",2008
25,25,"Scott Verplank",82,15.22,21,138,-0.19,"DrivingPct240260Measured",2008
27,27,"Scott McCarron",63,14.75,18,122,0,"DrivingPct240260Measured",2008
28,28,"Peter Lonard",92,14.63,24,164,-0.13,"DrivingPct240260Measured",2008
29,29,"Zach Johnson",85,14.58,21,144,0.05,"DrivingPct240260Measured",2008
30,30,"John Mallinger",95,14.37,25,174,0.12,"DrivingPct240260Measured",2008
31,31,"Stephen Leaney",53,14.29,14,98,0.14,"DrivingPct240260Measured",2008
32,32,"Tom Pernice Jr",104,14.22,29,204,0.17,"DrivingPct240260Measured",2008
33,33,"Jim Furyk",95,14.1,22,156,-0.09,"DrivingPct240260Measured",2008
34,34,"Justin Leonard",101,13.92,22,158,0,"DrivingPct240260Measured",2008
35,35,"David Duval",51,13.83,13,94,0.31,"DrivingPct240260Measured",2008
36,36,"Tim Wilkinson",95,13.79,24,174,0,"DrivingPct240260Measured",2008
37,37,"Bob Tway",70,13.71,17,124,0.06,"DrivingPct240260Measured",2008
38,38,"Cliff Kresge",84,13.46,21,156,0.29,"DrivingPct240260Measured",2008
39,39,"David Toms",70,13.39,15,112,0.2,"DrivingPct240260Measured",2008
40,40,"Cameron Beckman",87,13.29,21,158,-0.14,"DrivingPct240260Measured",2008
41,41,"Nick OHern",82,13.19,19,144,0.05,"DrivingPct240260Measured",2008
42,42,"Steve Elkington",84,13.13,21,160,-0.1,"DrivingPct240260Measured",2008
43,43,"Scott Sterling",89,12.96,21,162,0.29,"DrivingPct240260Measured",2008
44,44,"Justin Bolli",87,12.5,20,160,0.2,"DrivingPct240260Measured",2008
44,44,"Ryuji Imada",80,12.5,18,144,-0.22,"DrivingPct240260Measured",2008
46,46,"Brandt Snedeker",85,12.14,17,140,0.12,"DrivingPct240260Measured",2008
47,47,"Nathan Green",95,12.11,23,190,0.3,"DrivingPct240260Measured",2008
48,48,"Doug LaBelle II",65,12.04,13,108,0.15,"DrivingPct240260Measured",2008
49,49,"Bart Bryant",81,11.97,17,142,0,"DrivingPct240260Measured",2008
50,50,"JP Hayes",67,11.94,16,134,0.38,"DrivingPct240260Measured",2008
51,51,"Kevin Na",97,11.86,23,194,0.22,"DrivingPct240260Measured",2008
52,52,"Robert Gamez",79,11.69,18,154,0.33,"DrivingPct240260Measured",2008
53,53,"Richard Johnson",60,11.54,12,104,0.08,"DrivingPct240260Measured",2008
54,54,"Will Ma Kenzie",62,11.29,14,124,0.57,"DrivingPct240260Measured",2008
54,54,"Charlie Wi",97,11.29,21,186,0.1,"DrivingPct240260Measured",2008
56,56,"Mark Wilson",107,11.21,24,214,0.04,"DrivingPct240260Measured",2008
57,57,"Jeff Maggert",86,11.05,19,172,0.16,"DrivingPct240260Measured",2008
58,58,"Kenneth Ferrie",72,10.94,14,128,0.57,"DrivingPct240260Measured",2008
59,59,"Mark Hensby",71,10.56,15,142,0.53,"DrivingPct240260Measured",2008
60,60,"Billy Andrade",71,10.45,14,134,0.21,"DrivingPct240260Measured",2008
61,61,"Brett Rumford",72,10.29,14,136,0.14,"DrivingPct240260Measured",2008
62,62,"Tom Scherrer",56,10,10,100,0.3,"DrivingPct240260Measured",2008
63,63,"Marco Dawson",64,9.82,11,112,0.09,"DrivingPct240260Measured",2008
63,63,"Ken Duke",116,9.82,22,224,0.09,"DrivingPct240260Measured",2008
65,65,"Alex Cejka",75,9.7,13,134,0.23,"DrivingPct240260Measured",2008
65,65,"Carlos Franco",73,9.7,13,134,0,"DrivingPct240260Measured",2008
67,67,"Kent Jones",68,9.68,12,124,-0.08,"DrivingPct240260Measured",2008
68,68,"Bob Estes",90,9.66,17,176,-0.06,"DrivingPct240260Measured",2008
69,69,"Ryan Armour",87,9.64,16,166,0.06,"DrivingPct240260Measured",2008
69,69,"Marc Turnesa",87,9.64,16,166,0.19,"DrivingPct240260Measured",2008
71,71,"Todd Hamilton",92,9.62,15,156,0.2,"DrivingPct240260Measured",2008
72,72,"Freddie Jacobson",78,9.56,13,136,0.38,"DrivingPct240260Measured",2008
73,73,"Mark Calcavecchia",67,9.48,11,116,-0.18,"DrivingPct240260Measured",2008
74,74,"Heath Slocum",104,9.44,17,180,0.41,"DrivingPct240260Measured",2008
75,75,"Steve Flesch",95,9.41,16,170,-0.13,"DrivingPct240260Measured",2008
76,76,"Kyle Thompson",70,9.38,12,128,0.08,"DrivingPct240260Measured",2008
77,77,"Joe Ogilvie",100,9.24,17,184,0.29,"DrivingPct240260Measured",2008
78,78,"YE Yang",89,9.2,16,174,0.31,"DrivingPct240260Measured",2008
79,79,"Mike Weir",88,9.15,13,142,-0.23,"DrivingPct240260Measured",2008
80,80,"Alejandro Canizares",52,9.09,8,88,0.25,"DrivingPct240260Measured",2008
80,80,"Bob Sowards",61,9.09,10,110,0,"DrivingPct240260Measured",2008
82,82,"Eric Axley",113,9.05,19,210,0.26,"DrivingPct240260Measured",2008
83,83,"Patrick Sheehan",124,8.93,20,224,0,"DrivingPct240260Measured",2008
84,84,"Jonathan Byrd",88,8.86,14,158,0,"DrivingPct240260Measured",2008
85,85,"Stephen Ames",83,8.82,12,136,0,"DrivingPct240260Measured",2008
86,86,"Ben Crane",86,8.75,14,160,0.36,"DrivingPct240260Measured",2008
87,87,"Steve Lowery",74,8.57,12,140,0.25,"DrivingPct240260Measured",2008
88,88,"Parker McLachlin",88,8.54,14,164,0.07,"DrivingPct240260Measured",2008
89,89,"Tommy Armour III",77,8.45,12,142,0.17,"DrivingPct240260Measured",2008
90,90,"Retief Goosen",59,8.33,7,84,0.14,"DrivingPct240260Measured",2008
90,90,"Ian Poulter",51,8.33,6,72,-0.17,"DrivingPct240260Measured",2008
92,92,"Jesper Parnevik",88,8.13,13,160,0.31,"DrivingPct240260Measured",2008
93,93,"Johnson Wagner",83,8.11,12,148,-0.08,"DrivingPct240260Measured",2008
94,94,"Tim Clark",90,7.79,12,154,0.08,"DrivingPct240260Measured",2008
95,95,"DJ Trahan",94,7.74,13,168,0.31,"DrivingPct240260Measured",2008
96,96,"Michael Allen",91,7.65,13,170,0.62,"DrivingPct240260Measured",2008
97,97,"Billy Mayfair",103,7.58,15,198,-0.07,"DrivingPct240260Measured",2008
98,98,"Tim Herron",97,7.53,14,186,0.21,"DrivingPct240260Measured",2008
99,99,"Michael Letzig",88,7.5,12,160,0.08,"DrivingPct240260Measured",2008
100,100,"Aaron Baddeley",76,7.38,9,122,0.22,"DrivingPct240260Measured",2008
101,101,"Carl Pettersson",110,7.35,15,204,0.53,"DrivingPct240260Measured",2008
102,102,"Daniel Chopra",84,7.33,11,150,0.18,"DrivingPct240260Measured",2008
103,103,"Sean OHair",81,7.25,10,138,0.6,"DrivingPct240260Measured",2008
104,104,"Joe Durant",92,7.14,12,168,0.58,"DrivingPct240260Measured",2008
104,104,"Jay Williamson",96,7.14,12,168,-0.08,"DrivingPct240260Measured",2008
106,106,"Nick Flanagan",89,7.06,12,170,0.33,"DrivingPct240260Measured",2008
107,107,"Ben Curtis",80,7.03,9,128,0,"DrivingPct240260Measured",2008
108,108,"Chez Reavie",102,6.91,13,188,-0.08,"DrivingPct240260Measured",2008
109,109,"Tim Petrovic",97,6.9,12,174,-0.08,"DrivingPct240260Measured",2008
110,110,"John Huston",56,6.73,7,104,-0.14,"DrivingPct240260Measured",2008
110,110,"Kevin Streelman",114,6.73,14,208,0.21,"DrivingPct240260Measured",2008
112,112,"Hunter Mahan",87,6.67,10,150,0,"DrivingPct240260Measured",2008
113,113,"Stuart Appleby",87,6.62,9,136,-0.11,"DrivingPct240260Measured",2008
114,114,"Robert Allenby",108,6.59,12,182,0.08,"DrivingPct240260Measured",2008
115,115,"Rich Beem",90,6.55,11,168,0.55,"DrivingPct240260Measured",2008
116,116,"Frank Lickliter II",107,6.54,14,214,0.14,"DrivingPct240260Measured",2008
117,117,"Jeff Gove",50,6.52,6,92,0.5,"DrivingPct240260Measured",2008
118,118,"Trevor Immelman",70,6.48,7,108,0.57,"DrivingPct240260Measured",2008
119,119,"Briny Baird",113,6.44,13,202,0.38,"DrivingPct240260Measured",2008
120,120,"Angel Cabrera",55,6.41,5,78,0.2,"DrivingPct240260Measured",2008
121,121,"George McNeill",97,6.32,12,190,0.17,"DrivingPct240260Measured",2008
122,122,"Lee Janzen",89,6.17,10,162,0.3,"DrivingPct240260Measured",2008
123,123,"Jason Allred",63,6.14,7,114,0.29,"DrivingPct240260Measured",2008
124,124,"KJ Choi",74,6.03,7,116,-0.14,"DrivingPct240260Measured",2008
124,124,"Steve Stricker",75,6.03,7,116,0,"DrivingPct240260Measured",2008
126,126,"Geoff Ogilvy",65,6,6,100,0.5,"DrivingPct240260Measured",2008
127,127,"Woody Austin",109,5.91,11,186,0.55,"DrivingPct240260Measured",2008
128,128,"Jeff Overton",103,5.79,11,190,0.36,"DrivingPct240260Measured",2008
129,129,"Todd Demsey",80,5.77,9,156,0,"DrivingPct240260Measured",2008
129,129,"Kevin Stadler",90,5.77,9,156,0.22,"DrivingPct240260Measured",2008
131,131,"Cody Freeman",66,5.65,7,124,0.14,"DrivingPct240260Measured",2008
132,132,"Rod Pampling",83,5.56,8,144,0.5,"DrivingPct240260Measured",2008
132,132,"Vaughn Taylor",103,5.56,11,198,0,"DrivingPct240260Measured",2008
134,134,"John Merrick",98,5.49,9,164,0.33,"DrivingPct240260Measured",2008
135,135,"Chris Stroud",81,5.48,8,146,-0.25,"DrivingPct240260Measured",2008
136,136,"Brett Quigley",80,5.41,8,148,0.13,"DrivingPct240260Measured",2008
137,137,"JJ Henry",108,5.19,11,212,0.36,"DrivingPct240260Measured",2008
138,138,"Brad Elder",67,4.92,6,122,0,"DrivingPct240260Measured",2008
139,139,"Ted Purdy",68,4.84,6,124,1.33,"DrivingPct240260Measured",2008
140,140,"Brad Adamonis",87,4.82,8,166,-0.13,"DrivingPct240260Measured",2008
141,141,"David Lutterus",59,4.76,5,105,0,"DrivingPct240260Measured",2008
142,142,"Camilo Villegas",79,4.69,6,128,0.17,"DrivingPct240260Measured",2008
143,143,"John Senden",93,4.65,8,172,-0.13,"DrivingPct240260Measured",2008
144,144,"Tag Ridings",88,4.55,8,176,0.5,"DrivingPct240260Measured",2008
145,145,"Padraig Harrington",52,4.41,3,68,-0.33,"DrivingPct240260Measured",2008
146,146,"Charley Hoffman",94,4.35,8,184,0.25,"DrivingPct240260Measured",2008
146,146,"Martin Laird",98,4.35,8,184,0.5,"DrivingPct240260Measured",2008
146,146,"Boo Weekley",86,4.35,6,138,0.17,"DrivingPct240260Measured",2008
149,149,"Pat Perez",93,4.27,7,164,0.14,"DrivingPct240260Measured",2008
150,150,"Troy Matteson",94,4.26,8,188,0.25,"DrivingPct240260Measured",2008
150,150,"Kevin Sutherland",98,4.26,8,188,-0.13,"DrivingPct240260Measured",2008
152,152,"Paul Casey",55,4.17,3,72,-0.33,"DrivingPct240260Measured",2008
153,153,"Nick Watney",96,3.98,7,176,-0.14,"DrivingPct240260Measured",2008
154,154,"Charles Howell III",101,3.93,7,178,0.14,"DrivingPct240260Measured",2008
155,155,"Nicholas Thompson",113,3.88,8,206,0.63,"DrivingPct240260Measured",2008
156,156,"Tommy Gainey",60,3.85,4,104,1.5,"DrivingPct240260Measured",2008
156,156,"Matt Jones",95,3.85,7,182,0.71,"DrivingPct240260Measured",2008
156,156,"Jimmy Walker",73,3.85,5,130,0.6,"DrivingPct240260Measured",2008
159,159,"James Driscoll",85,3.8,6,158,0.5,"DrivingPct240260Measured",2008
160,160,"Vijay Singh",82,3.79,5,132,-0.2,"DrivingPct240260Measured",2008
