"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2015","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2015","AverageDistanceafterGoingforitShot_PLAYERNAME_2015","AverageDistanceafterGoingforitShot_ROUNDS_2015","AverageDistanceafterGoingforitShot_AVG_2015","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2015","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2015","stat_name","year"
1,1,"Jim Furyk",71,19.2,47695,69,"AverageDistanceafterGoingforitShot",2015
2,2,"Patrick Rodgers",57,19.7,74422,105,"AverageDistanceafterGoingforitShot",2015
3,3,"Alex Prugh",84,20.2,95286,131,"AverageDistanceafterGoingforitShot",2015
4,4,"Hudson Swafford",97,20.4,121167,165,"AverageDistanceafterGoingforitShot",2015
5,5,"Jim Herman",88,20.6,95504,129,"AverageDistanceafterGoingforitShot",2015
6,6,"Brendan Steele",88,20.7,149144,200,"AverageDistanceafterGoingforitShot",2015
7,7,"Adam Scott",51,20.8,51646,69,"AverageDistanceafterGoingforitShot",2015
8,8,"Bubba Watson",71,20.9,132736,176,"AverageDistanceafterGoingforitShot",2015
9,9,"Graham DeLaet",65,21,81759,108,"AverageDistanceafterGoingforitShot",2015
10,10,"Keegan Bradley",87,21.3,120260,157,"AverageDistanceafterGoingforitShot",2015
10,10,"Andrew Putnam",68,21.3,64472,84,"AverageDistanceafterGoingforitShot",2015
12,12,"Dustin Johnson",75,21.4,104645,136,"AverageDistanceafterGoingforitShot",2015
13,13,"Lucas Glover",79,21.8,110500,141,"AverageDistanceafterGoingforitShot",2015
14,14,"Martin Laird",77,22,121700,154,"AverageDistanceafterGoingforitShot",2015
14,14,"Will Wilcox",58,22,60327,76,"AverageDistanceafterGoingforitShot",2015
16,16,"Martin Flores",95,22.1,131072,165,"AverageDistanceafterGoingforitShot",2015
16,16,"Andres Gonzales",90,22.1,108073,136,"AverageDistanceafterGoingforitShot",2015
18,18,"Aaron Baddeley",76,22.2,101438,127,"AverageDistanceafterGoingforitShot",2015
18,18,"Chad Campbell",97,22.2,105465,132,"AverageDistanceafterGoingforitShot",2015
20,20,"Chris Kirk",76,22.3,81799,102,"AverageDistanceafterGoingforitShot",2015
20,20,"Tim Wilkinson",73,22.3,53721,67,"AverageDistanceafterGoingforitShot",2015
22,22,"Hideki Matsuyama",95,22.4,128501,159,"AverageDistanceafterGoingforitShot",2015
22,22,"Jordan Spieth",91,22.4,109845,136,"AverageDistanceafterGoingforitShot",2015
22,22,"Henrik Stenson",63,22.4,85626,106,"AverageDistanceafterGoingforitShot",2015
25,25,"Angel Cabrera",53,22.5,90000,111,"AverageDistanceafterGoingforitShot",2015
25,25,"Brooks Koepka",84,22.5,125776,155,"AverageDistanceafterGoingforitShot",2015
25,25,"Jonathan Randolph",72,22.5,85063,105,"AverageDistanceafterGoingforitShot",2015
28,28,"Robert Allenby",63,22.6,60241,74,"AverageDistanceafterGoingforitShot",2015
28,28,"Paul Casey",87,22.6,88556,109,"AverageDistanceafterGoingforitShot",2015
28,28,"George McNeill",93,22.6,118198,145,"AverageDistanceafterGoingforitShot",2015
28,28,"Rory Sabbatini",81,22.6,103342,127,"AverageDistanceafterGoingforitShot",2015
32,32,"Carlos Ortiz",100,22.7,168163,206,"AverageDistanceafterGoingforitShot",2015
32,32,"Jhonattan Vegas",90,22.7,137946,169,"AverageDistanceafterGoingforitShot",2015
34,34,"Bill Haas",89,22.8,109343,133,"AverageDistanceafterGoingforitShot",2015
35,35,"JJ Henry",94,22.9,92316,112,"AverageDistanceafterGoingforitShot",2015
35,35,"Scott Pinckney",88,22.9,106551,129,"AverageDistanceafterGoingforitShot",2015
35,35,"Justin Rose",69,22.9,89185,108,"AverageDistanceafterGoingforitShot",2015
35,35,"Gary Woodland",81,22.9,107828,131,"AverageDistanceafterGoingforitShot",2015
