"TenthTeeLateRound1ScoringAverage_RANKTHISWEEK_2012","TenthTeeLateRound1ScoringAverage_RANKLASTWEEK_2012","TenthTeeLateRound1ScoringAverage_PLAYERNAME_2012","TenthTeeLateRound1ScoringAverage__2012","TenthTeeLateRound1ScoringAverage_AVG_2012","TenthTeeLateRound1ScoringAverage_TOTALSTROKES_2012","TenthTeeLateRound1ScoringAverage_TOTALROUNDS_2012","stat_name","year"
1,1,"Luke Donald",NA,66,66,1,"TenthTeeLateRound1ScoringAverage",2012
1,1,"Jim Furyk",NA,66,198,3,"TenthTeeLateRound1ScoringAverage",2012
3,3,"Justin Rose",NA,67,67,1,"TenthTeeLateRound1ScoringAverage",2012
4,4,"Chris Kirk",NA,67.75,271,4,"TenthTeeLateRound1ScoringAverage",2012
5,5,"Cameron Beckman",NA,68,136,2,"TenthTeeLateRound1ScoringAverage",2012
5,5,"Rickie Fowler",NA,68,136,2,"TenthTeeLateRound1ScoringAverage",2012
5,5,"Ryan Moore",NA,68,272,4,"TenthTeeLateRound1ScoringAverage",2012
5,5,"Steve Stricker",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2012
5,5,"Lee Westwood",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2012
5,5,"Gary Woodland",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2012
5,5,"Tiger Woods",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2012
12,12,"Troy Matteson",NA,68.17,409,6,"TenthTeeLateRound1ScoringAverage",2012
13,13,"Blake Adams",NA,68.5,411,6,"TenthTeeLateRound1ScoringAverage",2012
13,13,"Brendon de Jonge",NA,68.5,548,8,"TenthTeeLateRound1ScoringAverage",2012
13,13,"Nick Watney",NA,68.5,137,2,"TenthTeeLateRound1ScoringAverage",2012
16,16,"Jason Dufner",NA,68.67,206,3,"TenthTeeLateRound1ScoringAverage",2012
17,17,"Danny Lee",NA,68.83,413,6,"TenthTeeLateRound1ScoringAverage",2012
18,18,"Vijay Singh",NA,68.86,482,7,"TenthTeeLateRound1ScoringAverage",2012
19,19,"Matt Kuchar",NA,69,69,1,"TenthTeeLateRound1ScoringAverage",2012
19,19,"Brandt Snedeker",NA,69,69,1,"TenthTeeLateRound1ScoringAverage",2012
21,21,"Jonas Blixt",NA,69.2,346,5,"TenthTeeLateRound1ScoringAverage",2012
22,22,"Mathew Goggin",NA,69.33,624,9,"TenthTeeLateRound1ScoringAverage",2012
22,22,"John Senden",NA,69.33,208,3,"TenthTeeLateRound1ScoringAverage",2012
22,22,"Kevin Stadler",NA,69.33,208,3,"TenthTeeLateRound1ScoringAverage",2012
22,22,"Cameron Tringale",NA,69.33,624,9,"TenthTeeLateRound1ScoringAverage",2012
26,26,"Stuart Appleby",NA,69.5,139,2,"TenthTeeLateRound1ScoringAverage",2012
26,26,"Roland Thatcher",NA,69.5,417,6,"TenthTeeLateRound1ScoringAverage",2012
28,28,"Martin Flores",NA,69.6,348,5,"TenthTeeLateRound1ScoringAverage",2012
28,28,"Nathan Green",NA,69.6,348,5,"TenthTeeLateRound1ScoringAverage",2012
30,30,"YE Yang",NA,69.67,209,3,"TenthTeeLateRound1ScoringAverage",2012
31,31,"Ryan Palmer",NA,69.71,488,7,"TenthTeeLateRound1ScoringAverage",2012
32,32,"Geoff Ogilvy",NA,69.75,279,4,"TenthTeeLateRound1ScoringAverage",2012
33,33,"Jeff Maggert",NA,69.8,349,5,"TenthTeeLateRound1ScoringAverage",2012
33,33,"William McGirt",NA,69.8,698,10,"TenthTeeLateRound1ScoringAverage",2012
35,35,"Erik Compton",NA,69.83,419,6,"TenthTeeLateRound1ScoringAverage",2012
35,35,"Harrison Frazar",NA,69.83,419,6,"TenthTeeLateRound1ScoringAverage",2012
35,35,"Troy Kelly",NA,69.83,419,6,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Roberto Castro",NA,70,700,10,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Tim Clark",NA,70,210,3,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Gavin Coles",NA,70,490,7,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Bill Haas",NA,70,140,2,"TenthTeeLateRound1ScoringAverage",2012
38,38,"JB Holmes",NA,70,420,6,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Zach Johnson",NA,70,140,2,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Spencer Levin",NA,70,350,5,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Hunter Mahan",NA,70,140,2,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Rocco Mediate",NA,70,350,5,"TenthTeeLateRound1ScoringAverage",2012
38,38,"John Merrick",NA,70,420,6,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Pat Perez",NA,70,140,2,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Adam Scott",NA,70,70,1,"TenthTeeLateRound1ScoringAverage",2012
38,38,"Kyle Stanley",NA,70,350,5,"TenthTeeLateRound1ScoringAverage",2012
51,51,"Robert Garrigus",NA,70.13,561,8,"TenthTeeLateRound1ScoringAverage",2012
51,51,"Tom Gillis",NA,70.13,561,8,"TenthTeeLateRound1ScoringAverage",2012
53,53,"Boo Weekley",NA,70.14,491,7,"TenthTeeLateRound1ScoringAverage",2012
54,54,"Sangmoon Bae",NA,70.17,421,6,"TenthTeeLateRound1ScoringAverage",2012
54,54,"Chris Stroud",NA,70.17,421,6,"TenthTeeLateRound1ScoringAverage",2012
56,56,"Billy Mayfair",NA,70.2,351,5,"TenthTeeLateRound1ScoringAverage",2012
57,57,"Rod Pampling",NA,70.29,492,7,"TenthTeeLateRound1ScoringAverage",2012
58,58,"Stewart Cink",NA,70.33,422,6,"TenthTeeLateRound1ScoringAverage",2012
58,58,"Bob Estes",NA,70.33,422,6,"TenthTeeLateRound1ScoringAverage",2012
58,58,"Tommy Gainey",NA,70.33,422,6,"TenthTeeLateRound1ScoringAverage",2012
58,58,"John Mallinger",NA,70.33,422,6,"TenthTeeLateRound1ScoringAverage",2012
62,62,"Martin Laird",NA,70.38,563,8,"TenthTeeLateRound1ScoringAverage",2012
63,63,"Harris English",NA,70.4,352,5,"TenthTeeLateRound1ScoringAverage",2012
63,63,"Stephen Gangluff",NA,70.4,352,5,"TenthTeeLateRound1ScoringAverage",2012
63,63,"Kevin Kisner",NA,70.4,352,5,"TenthTeeLateRound1ScoringAverage",2012
66,66,"Russell Knox",NA,70.43,493,7,"TenthTeeLateRound1ScoringAverage",2012
67,67,"Will Claxton",NA,70.44,634,9,"TenthTeeLateRound1ScoringAverage",2012
68,68,"Seung Yul Noh",NA,70.45,775,11,"TenthTeeLateRound1ScoringAverage",2012
69,69,"Robert Karlsson",NA,70.5,282,4,"TenthTeeLateRound1ScoringAverage",2012
69,69,"Carl Pettersson",NA,70.5,564,8,"TenthTeeLateRound1ScoringAverage",2012
69,69,"Ted Potter Jr",NA,70.5,282,4,"TenthTeeLateRound1ScoringAverage",2012
72,72,"Aaron Baddeley",NA,70.56,635,9,"TenthTeeLateRound1ScoringAverage",2012
73,73,"Brian Gay",NA,70.6,353,5,"TenthTeeLateRound1ScoringAverage",2012
73,73,"Brandt Jobe",NA,70.6,353,5,"TenthTeeLateRound1ScoringAverage",2012
73,73,"Kevin Na",NA,70.6,353,5,"TenthTeeLateRound1ScoringAverage",2012
