"NonmemberEarnings_RANKTHISWEEK_2008","NonmemberEarnings_RANKLASTWEEK_2008","NonmemberEarnings_PLAYERNAME_2008","NonmemberEarnings_EVENTS_2008","NonmemberEarnings_MONEY_2008","NonmemberEarnings_TOTAL_2008","stat_name","year"
1,1,"Henrik Stenson",9,1238118,1937993,"NonmemberEarnings",2008
2,2,"Robert Karlsson",8,812185,985685,"NonmemberEarnings",2008
3,3,"Miguel Angel Jimenez",8,486446,725946,"NonmemberEarnings",2008
4,4,"Jeev Milkha Singh",5,252849,319349,"NonmemberEarnings",2008
5,5,"Niclas Fasth",10,210565,391690,"NonmemberEarnings",2008
6,6,"Alastair Forsyth",2,194416,194416,"NonmemberEarnings",2008
7,7,"David Howell",3,193743,226243,"NonmemberEarnings",2008
8,8,"Graeme McDowell",4,182545,269545,"NonmemberEarnings",2008
9,9,"Casey Wittenberg",4,167520,167520,"NonmemberEarnings",2008
10,10,"WC Liang",6,146728,184353,"NonmemberEarnings",2008
11,11,"Richard Sterne",8,137419,226294,"NonmemberEarnings",2008
12,12,"DA Points",3,126918,126918,"NonmemberEarnings",2008
13,13,"Esteban Toledo",3,111305,111305,"NonmemberEarnings",2008
14,14,"Prayad Marksaeng",4,107060,141560,"NonmemberEarnings",2008
15,15,"Anders Hansen",6,105725,251891,"NonmemberEarnings",2008
16,16,"Richard Green",9,92960,224310,"NonmemberEarnings",2008
17,17,"Gregory Havret",2,75485,162185,"NonmemberEarnings",2008
17,17,"Alexander Noren",1,75485,75485,"NonmemberEarnings",2008
17,17,"Jean Van de Velde",1,75485,75485,"NonmemberEarnings",2008
17,17,"Simon Wakefield",1,75485,75485,"NonmemberEarnings",2008
17,17,"Paul Waring",1,75485,75485,"NonmemberEarnings",2008
22,22,"Soren Hansen",9,70466,179966,"NonmemberEarnings",2008
23,23,"Pablo Martin Benavides",3,60143,60143,"NonmemberEarnings",2008
24,24,"Nick Dougherty",8,60062,183062,"NonmemberEarnings",2008
25,25,"Mark Brown",3,57000,123750,"NonmemberEarnings",2008
26,26,"Ryan Blaum",1,54250,54250,"NonmemberEarnings",2008
27,27,"Michael Campbell",6,48054,48054,"NonmemberEarnings",2008
