"DrivingPct300AllDrives_RANKTHISWEEK_2009","DrivingPct300AllDrives_RANKLASTWEEK_2009","DrivingPct300AllDrives_PLAYERNAME_2009","DrivingPct300AllDrives_ROUNDS_2009","DrivingPct300AllDrives_Pct_2009","DrivingPct300AllDrives_TOTALDRIVESFOR300_2009","DrivingPct300AllDrives_TOTALDRIVESOVERALL_2009","DrivingPct300AllDrives_RELATIVETOPAR_2009","stat_name","year"
1,1,"Dustin Johnson",85,53.12,477,898,-0.161,"DrivingPct300AllDrives",2009
2,2,"JB Holmes",74,48.83,418,856,-0.079,"DrivingPct300AllDrives",2009
3,3,"Bubba Watson",73,48.11,382,794,-0.191,"DrivingPct300AllDrives",2009
4,4,"Andres Romero",58,46.7,283,606,-0.187,"DrivingPct300AllDrives",2009
5,5,"Anthony Kim",76,45.02,380,844,-0.176,"DrivingPct300AllDrives",2009
6,6,"Angel Cabrera",55,44.92,239,532,-0.146,"DrivingPct300AllDrives",2009
7,7,"Phil Mickelson",66,44.35,298,672,-0.114,"DrivingPct300AllDrives",2009
8,8,"Nick Watney",86,44.08,417,946,-0.223,"DrivingPct300AllDrives",2009
9,9,"Gary Woodland",53,43.88,226,515,-0.071,"DrivingPct300AllDrives",2009
10,10,"Robert Garrigus",83,42.97,431,1003,-0.169,"DrivingPct300AllDrives",2009
11,11,"Tag Ridings",50,41.93,239,570,-0.18,"DrivingPct300AllDrives",2009
12,12,"Charley Hoffman",97,40.1,486,1212,-0.216,"DrivingPct300AllDrives",2009
13,13,"Martin Laird",72,38.11,330,866,-0.209,"DrivingPct300AllDrives",2009
14,14,"Troy Matteson",95,37.17,455,1224,-0.176,"DrivingPct300AllDrives",2009
15,15,"Harrison Frazar",93,35.33,413,1169,-0.184,"DrivingPct300AllDrives",2009
16,16,"Scott Piercy",85,35.07,371,1058,-0.218,"DrivingPct300AllDrives",2009
17,17,"Daniel Chopra",89,34.68,404,1165,-0.136,"DrivingPct300AllDrives",2009
18,18,"Hunter Mahan",94,34.1,358,1050,-0.251,"DrivingPct300AllDrives",2009
19,19,"Marc Leishman",91,33.87,397,1172,-0.179,"DrivingPct300AllDrives",2009
20,20,"Sean OHair",80,33.78,275,814,-0.196,"DrivingPct300AllDrives",2009
20,20,"Charles Warren",63,33.78,250,740,-0.192,"DrivingPct300AllDrives",2009
22,22,"Davis Love III",89,33.46,362,1082,-0.166,"DrivingPct300AllDrives",2009
23,23,"Jason Day",61,33.09,231,698,-0.212,"DrivingPct300AllDrives",2009
24,24,"Rory Sabbatini",81,33.08,309,934,-0.269,"DrivingPct300AllDrives",2009
25,25,"Jeff Overton",92,32.64,346,1060,-0.225,"DrivingPct300AllDrives",2009
26,26,"Fred Couples",54,32.25,189,586,-0.159,"DrivingPct300AllDrives",2009
27,27,"Vijay Singh",71,32.17,231,718,-0.108,"DrivingPct300AllDrives",2009
28,28,"Sergio Garcia",59,31.49,194,616,-0.175,"DrivingPct300AllDrives",2009
29,29,"Geoff Ogilvy",78,31.13,254,816,-0.185,"DrivingPct300AllDrives",2009
30,30,"Kevin Streelman",97,31.11,377,1212,-0.172,"DrivingPct300AllDrives",2009
31,31,"Tiger Woods",64,31.1,209,672,-0.383,"DrivingPct300AllDrives",2009
32,32,"John Rollins",92,30.88,340,1101,-0.203,"DrivingPct300AllDrives",2009
33,33,"Camilo Villegas",76,30.84,243,788,-0.239,"DrivingPct300AllDrives",2009
34,34,"Steve Marino",98,30.72,360,1172,-0.15,"DrivingPct300AllDrives",2009
35,35,"Lucas Glover",93,30.22,333,1102,-0.153,"DrivingPct300AllDrives",2009
36,36,"Matt Jones",56,30.19,189,626,-0.243,"DrivingPct300AllDrives",2009
37,37,"Leif Olson",51,29.88,179,599,-0.128,"DrivingPct300AllDrives",2009
38,38,"Kenny Perry",92,29.55,302,1022,-0.212,"DrivingPct300AllDrives",2009
39,39,"Adam Scott",53,29.49,174,590,-0.155,"DrivingPct300AllDrives",2009
40,40,"Ryan Moore",89,29.38,307,1045,-0.264,"DrivingPct300AllDrives",2009
41,41,"Ryan Palmer",78,29.29,287,980,-0.143,"DrivingPct300AllDrives",2009
42,42,"Ted Purdy",101,28.78,358,1244,-0.243,"DrivingPct300AllDrives",2009
43,43,"Jonathan Byrd",89,28.7,316,1101,-0.203,"DrivingPct300AllDrives",2009
44,44,"Matt Bettencourt",98,28.57,346,1211,-0.15,"DrivingPct300AllDrives",2009
45,45,"Stewart Cink",79,28.43,236,830,-0.089,"DrivingPct300AllDrives",2009
46,46,"Charles Howell III",99,28.32,328,1158,-0.186,"DrivingPct300AllDrives",2009
47,47,"Ricky Barnes",67,28.29,202,714,-0.193,"DrivingPct300AllDrives",2009
48,48,"Peter Tomasulo",61,28.17,180,639,-0.194,"DrivingPct300AllDrives",2009
49,49,"Retief Goosen",74,27.82,217,780,-0.134,"DrivingPct300AllDrives",2009
50,50,"Nicholas Thompson",96,27.77,336,1210,-0.182,"DrivingPct300AllDrives",2009
51,51,"Bill Lunde",83,27.74,289,1042,-0.183,"DrivingPct300AllDrives",2009
52,52,"Boo Weekley",79,27.03,246,910,-0.13,"DrivingPct300AllDrives",2009
53,53,"Tim Herron",87,27.02,304,1125,-0.188,"DrivingPct300AllDrives",2009
54,54,"JJ Henry",97,26.96,316,1172,-0.203,"DrivingPct300AllDrives",2009
55,55,"Bill Haas",91,26.67,304,1140,-0.211,"DrivingPct300AllDrives",2009
56,56,"Michael Letzig",96,25.88,309,1194,-0.162,"DrivingPct300AllDrives",2009
57,57,"DJ Trahan",96,25.85,289,1118,-0.291,"DrivingPct300AllDrives",2009
58,58,"John Senden",100,25.78,331,1284,-0.239,"DrivingPct300AllDrives",2009
59,59,"Bo Van Pelt",100,25.66,292,1138,-0.164,"DrivingPct300AllDrives",2009
60,60,"Padraig Harrington",66,25.3,170,672,-0.188,"DrivingPct300AllDrives",2009
61,61,"Chad Campbell",90,25.15,249,990,-0.197,"DrivingPct300AllDrives",2009
62,62,"John Merrick",91,25.05,238,950,-0.206,"DrivingPct300AllDrives",2009
63,63,"Robert Allenby",71,24.62,193,784,-0.109,"DrivingPct300AllDrives",2009
64,64,"Stuart Appleby",79,24.5,222,906,-0.131,"DrivingPct300AllDrives",2009
64,64,"Brian Vranesh",51,24.5,147,600,-0.129,"DrivingPct300AllDrives",2009
66,66,"Kevin Stadler",65,24.34,183,752,-0.197,"DrivingPct300AllDrives",2009
67,67,"James Nitties",86,24.03,255,1061,-0.231,"DrivingPct300AllDrives",2009
68,68,"Mathew Goggin",76,23.65,197,833,-0.147,"DrivingPct300AllDrives",2009
