"Scramblingfrom1020yards_RANKTHISWEEK_2010","Scramblingfrom1020yards_RANKLASTWEEK_2010","Scramblingfrom1020yards_PLAYERNAME_2010","Scramblingfrom1020yards_ROUNDS_2010","Scramblingfrom1020yards_Pct_2010","Scramblingfrom1020yards_SUCCESSES_2010","Scramblingfrom1020yards_ATTEMPTS_2010","stat_name","year"
1,1,"Michael Sim",64,79.85,107,134,"Scramblingfrom1020yards",2010
2,2,"Luke Donald",71,75.17,109,145,"Scramblingfrom1020yards",2010
3,3,"Retief Goosen",75,74.83,110,147,"Scramblingfrom1020yards",2010
4,4,"Chad Collins",87,74.37,148,199,"Scramblingfrom1020yards",2010
5,5,"Chris Riley",73,72.39,118,163,"Scramblingfrom1020yards",2010
6,6,"Justin Rose",78,72.11,137,190,"Scramblingfrom1020yards",2010
7,7,"Brandt Snedeker",89,71.96,154,214,"Scramblingfrom1020yards",2010
8,8,"Greg Chalmers",93,71.86,166,231,"Scramblingfrom1020yards",2010
9,9,"Kevin Na",94,71.84,148,206,"Scramblingfrom1020yards",2010
10,10,"Brian Gay",101,71.74,165,230,"Scramblingfrom1020yards",2010
11,11,"Scott Verplank",74,71.52,113,158,"Scramblingfrom1020yards",2010
12,12,"Mark Wilson",87,71.28,134,188,"Scramblingfrom1020yards",2010
13,13,"Jason Day",82,71.26,119,167,"Scramblingfrom1020yards",2010
14,14,"Bo Van Pelt",104,71.23,151,212,"Scramblingfrom1020yards",2010
15,15,"James Driscoll",78,71.17,116,163,"Scramblingfrom1020yards",2010
16,16,"Charles Howell III",103,71.13,138,194,"Scramblingfrom1020yards",2010
17,17,"Mike Weir",59,71.05,81,114,"Scramblingfrom1020yards",2010
18,18,"Pat Perez",90,71,142,200,"Scramblingfrom1020yards",2010
19,19,"Freddie Jacobson",83,70.97,132,186,"Scramblingfrom1020yards",2010
20,20,"Charlie Wi",95,70.94,166,234,"Scramblingfrom1020yards",2010
21,21,"Ben Curtis",78,70.7,111,157,"Scramblingfrom1020yards",2010
22,22,"Shaun Micheel",70,70.68,94,133,"Scramblingfrom1020yards",2010
23,23,"Jim Furyk",76,70.63,113,160,"Scramblingfrom1020yards",2010
24,24,"Ryuji Imada",90,70.62,149,211,"Scramblingfrom1020yards",2010
25,25,"Carl Pettersson",99,70.5,141,200,"Scramblingfrom1020yards",2010
26,26,"Matt Kuchar",97,70.3,116,165,"Scramblingfrom1020yards",2010
27,27,"Stewart Cink",84,70.13,108,154,"Scramblingfrom1020yards",2010
28,28,"Michael Bradley",77,70.12,115,164,"Scramblingfrom1020yards",2010
29,29,"Jason Dufner",87,69.89,130,186,"Scramblingfrom1020yards",2010
29,29,"Ian Poulter",55,69.89,65,93,"Scramblingfrom1020yards",2010
31,31,"David Toms",86,69.88,116,166,"Scramblingfrom1020yards",2010
32,32,"Nathan Green",86,69.86,146,209,"Scramblingfrom1020yards",2010
33,33,"Dean Wilson",54,69.83,81,116,"Scramblingfrom1020yards",2010
34,34,"Padraig Harrington",57,69.42,84,121,"Scramblingfrom1020yards",2010
35,35,"Kevin Sutherland",86,69.32,122,176,"Scramblingfrom1020yards",2010
36,36,"Bryce Molder",84,69.09,114,165,"Scramblingfrom1020yards",2010
37,37,"Stuart Appleby",101,68.99,178,258,"Scramblingfrom1020yards",2010
38,38,"Ricky Barnes",103,68.84,148,215,"Scramblingfrom1020yards",2010
39,39,"Cameron Percy",73,68.75,88,128,"Scramblingfrom1020yards",2010
40,40,"Cameron Beckman",68,68.61,94,137,"Scramblingfrom1020yards",2010
41,41,"Briny Baird",87,68.53,135,197,"Scramblingfrom1020yards",2010
42,42,"Ben Crane",85,68.52,111,162,"Scramblingfrom1020yards",2010
43,43,"Camilo Villegas",78,68.46,102,149,"Scramblingfrom1020yards",2010
44,44,"Steve Elkington",74,68.42,117,171,"Scramblingfrom1020yards",2010
45,45,"Jonathan Byrd",85,68.21,118,173,"Scramblingfrom1020yards",2010
