"RightRoughProximity_RANKTHISWEEK_2008","RightRoughProximity_RANKLASTWEEK_2008","RightRoughProximity_PLAYERNAME_2008","RightRoughProximity_ROUNDS_2008","RightRoughProximity_AVG_2008","RightRoughProximity_ATTEMPTS_2008","RightRoughProximity_TOTALDISTANCEFEET_2008","RightRoughProximity_RELATIVETOPAR_2008","stat_name","year"
1,1,"John Huston",56,NA,94,3258.583,3,"RightRoughProximity",2008
2,2,"Gavin Coles",54,NA,63,2290.917,11,"RightRoughProximity",2008
3,3,"Sean OHair",81,NA,130,4874,20,"RightRoughProximity",2008
4,4,"Steve Allan",58,NA,119,4487.083,4,"RightRoughProximity",2008
5,5,"Woody Austin",109,NA,157,5980.75,23,"RightRoughProximity",2008
6,6,"Nick OHern",82,NA,86,3298.5,12,"RightRoughProximity",2008
7,7,"Stephen Ames",83,NA,112,4337.917,13,"RightRoughProximity",2008
8,8,"Steve Elkington",84,NA,100,3880.333,14,"RightRoughProximity",2008
9,9,"Paul Goydos",78,NA,106,4135.333,25,"RightRoughProximity",2008
10,10,"Justin Bolli",87,NA,111,4365.667,19,"RightRoughProximity",2008
11,11,"Alex Cejka",75,NA,100,3955.917,21,"RightRoughProximity",2008
12,12,"Chez Reavie",102,NA,117,4642.167,13,"RightRoughProximity",2008
12,12,"John Riegger",73,NA,105,4164.917,15,"RightRoughProximity",2008
14,14,"Adam Scott",51,NA,75,2978.167,9,"RightRoughProximity",2008
15,15,"Patrick Sheehan",124,NA,157,6260.333,8,"RightRoughProximity",2008
16,16,"Joe Durant",92,NA,117,4679.583,13,"RightRoughProximity",2008
16,16,"Bob Sowards",61,NA,118,4721.75,28,"RightRoughProximity",2008
18,18,"Jon Mills",95,NA,136,5446.167,15,"RightRoughProximity",2008
19,19,"Joe Ogilvie",100,NA,157,6306.25,25,"RightRoughProximity",2008
20,20,"Kevin Stadler",90,NA,123,4950.917,15,"RightRoughProximity",2008
21,21,"Jeff Quinney",87,NA,129,5201.667,25,"RightRoughProximity",2008
22,22,"Brenden Pappas",66,NA,112,4524.167,10,"RightRoughProximity",2008
23,23,"Ryan Armour",87,NA,135,5464.667,40,"RightRoughProximity",2008
24,24,"Mark Calcavecchia",67,NA,92,3739.333,4,"RightRoughProximity",2008
25,25,"Justin Leonard",101,NA,100,4072.5,22,"RightRoughProximity",2008
25,25,"Steve Marino",119,NA,154,6280,8,"RightRoughProximity",2008
25,25,"Heath Slocum",104,NA,99,4035.917,16,"RightRoughProximity",2008
28,28,"Ben Crane",86,NA,123,5021.667,5,"RightRoughProximity",2008
28,28,"Tim Petrovic",97,NA,136,5558.917,11,"RightRoughProximity",2008
28,28,"Andres Romero",69,NA,132,5386.5,25,"RightRoughProximity",2008
31,31,"Tim Clark",90,NA,126,5151.083,23,"RightRoughProximity",2008
31,31,"Charles Howell III",101,NA,198,8105.083,7,"RightRoughProximity",2008
31,31,"Zach Johnson",85,NA,105,4294.333,9,"RightRoughProximity",2008
34,34,"Bill Haas",99,NA,191,7823.833,19,"RightRoughProximity",2008
34,34,"Jay Williamson",96,NA,130,5327.5,23,"RightRoughProximity",2008
36,36,"Brian Gay",102,NA,97,3981.5,14,"RightRoughProximity",2008
36,36,"Will Ma Kenzie",62,NA,109,4481.417,25,"RightRoughProximity",2008
38,38,"Shane Bertsch",96,NA,122,5025.25,8,"RightRoughProximity",2008
39,39,"Harrison Frazar",73,NA,125,5151.5,17,"RightRoughProximity",2008
39,39,"Brandt Jobe",52,NA,113,4657.25,16,"RightRoughProximity",2008
39,39,"Kyle Thompson",70,NA,113,4658.167,22,"RightRoughProximity",2008
42,42,"Daniel Chopra",84,NA,185,7641,12,"RightRoughProximity",2008
43,43,"Stuart Appleby",87,NA,150,6211.25,22,"RightRoughProximity",2008
43,43,"Scott McCarron",63,NA,80,3313.917,7,"RightRoughProximity",2008
43,43,"Charles Warren",79,NA,106,4392.75,19,"RightRoughProximity",2008
46,46,"Vijay Singh",82,NA,150,6223.833,10,"RightRoughProximity",2008
47,47,"Fred Couples",60,NA,125,5205.583,5,"RightRoughProximity",2008
48,48,"Brian Davis",108,NA,140,5853.25,23,"RightRoughProximity",2008
49,49,"Lee Janzen",89,NA,96,4028.917,6,"RightRoughProximity",2008
50,50,"Chris DiMarco",87,NA,147,6210.25,24,"RightRoughProximity",2008
50,50,"Bob Estes",90,NA,164,6923.833,11,"RightRoughProximity",2008
50,50,"Cody Freeman",66,NA,127,5361.75,22,"RightRoughProximity",2008
53,53,"Frank Lickliter II",107,NA,181,7660.333,35,"RightRoughProximity",2008
53,53,"Scott Sterling",89,NA,131,5543.667,14,"RightRoughProximity",2008
55,55,"Lucas Glover",91,NA,143,6067.667,27,"RightRoughProximity",2008
55,55,"Mark Hensby",71,NA,112,4754.083,15,"RightRoughProximity",2008
55,55,"Jeff Overton",103,NA,225,9543.583,19,"RightRoughProximity",2008
55,55,"Chris Riley",51,NA,69,2927.583,10,"RightRoughProximity",2008
59,59,"DJ Trahan",94,NA,143,6077.417,39,"RightRoughProximity",2008
60,60,"Stewart Cink",87,NA,149,6344.25,18,"RightRoughProximity",2008
60,60,"Carl Pettersson",110,NA,151,6432.75,8,"RightRoughProximity",2008
62,62,"Michael Allen",91,NA,120,5120,20,"RightRoughProximity",2008
62,62,"Steve Flesch",95,NA,127,5417.167,23,"RightRoughProximity",2008
62,62,"Geoff Ogilvy",65,NA,106,4521.833,9,"RightRoughProximity",2008
65,65,"Billy Andrade",71,NA,127,5432.833,13,"RightRoughProximity",2008
65,65,"Jason Gore",94,NA,133,5690.417,28,"RightRoughProximity",2008
65,65,"Vaughn Taylor",103,NA,162,6920.417,28,"RightRoughProximity",2008
68,68,"Kevin Streelman",114,NA,206,8829.167,27,"RightRoughProximity",2008
69,69,"Hunter Mahan",87,NA,119,5105.583,27,"RightRoughProximity",2008
69,69,"Brett Rumford",72,NA,131,5626.583,10,"RightRoughProximity",2008
71,71,"Tommy Armour III",77,NA,121,5205.583,31,"RightRoughProximity",2008
71,71,"Michael Letzig",88,NA,153,6579.333,21,"RightRoughProximity",2008
71,71,"Nick Watney",96,NA,201,8642.5,10,"RightRoughProximity",2008
71,71,"Tim Wilkinson",95,NA,148,6363,29,"RightRoughProximity",2008
75,75,"Chad Campbell",94,NA,148,6372.75,22,"RightRoughProximity",2008
75,75,"Ryan Palmer",69,NA,94,4048.333,10,"RightRoughProximity",2008
75,75,"Chris Stroud",81,NA,134,5770.833,23,"RightRoughProximity",2008
78,78,"Dudley Hart",74,NA,111,4793.75,17,"RightRoughProximity",2008
78,78,"Charley Hoffman",94,NA,163,7030.083,16,"RightRoughProximity",2008
78,78,"Kent Jones",68,NA,84,3628,24,"RightRoughProximity",2008
78,78,"Craig Kanada",65,NA,87,3757.25,31,"RightRoughProximity",2008
78,78,"Doug LaBelle II",65,NA,62,2676.083,3,"RightRoughProximity",2008
83,83,"Tom Scherrer",56,NA,76,3286.417,25,"RightRoughProximity",2008
83,83,"Bubba Watson",97,NA,189,8176,15,"RightRoughProximity",2008
85,85,"Stephen Leaney",53,NA,61,2641.25,14,"RightRoughProximity",2008
85,85,"Nicholas Thompson",113,NA,175,7579.083,31,"RightRoughProximity",2008
87,87,"Ken Duke",116,NA,243,10542,32,"RightRoughProximity",2008
87,87,"Travis Perkins",53,NA,103,4469.583,23,"RightRoughProximity",2008
87,87,"Ian Poulter",51,NA,80,3476.083,8,"RightRoughProximity",2008
87,87,"David Toms",70,NA,103,4470.917,9,"RightRoughProximity",2008
87,87,"Jimmy Walker",73,NA,143,6206.833,14,"RightRoughProximity",2008
92,92,"JB Holmes",86,NA,153,6653.583,10,"RightRoughProximity",2008
92,92,"Richard Johnson",77,NA,153,6656.333,25,"RightRoughProximity",2008
92,92,"Davis Love III",78,NA,116,5048.583,6,"RightRoughProximity",2008
95,95,"Rich Beem",90,NA,141,6142.917,29,"RightRoughProximity",2008
95,95,"Brad Elder",67,NA,102,4447.167,12,"RightRoughProximity",2008
97,97,"YE Yang",89,NA,142,6196.25,37,"RightRoughProximity",2008
98,98,"Ben Curtis",80,NA,92,4027.25,12,"RightRoughProximity",2008
98,98,"Jim McGovern",75,NA,108,4728,14,"RightRoughProximity",2008
100,100,"Tommy Gainey",60,NA,93,4076.417,15,"RightRoughProximity",2008
100,100,"Tom Pernice Jr",104,NA,192,8409.083,27,"RightRoughProximity",2008
102,102,"Angel Cabrera",55,NA,106,4657.917,20,"RightRoughProximity",2008
103,103,"Nick Flanagan",89,NA,145,6379.25,16,"RightRoughProximity",2008
103,103,"Carlos Franco",73,NA,107,4710,15,"RightRoughProximity",2008
103,103,"Steve Lowery",74,NA,132,5803.417,21,"RightRoughProximity",2008
103,103,"Phil Mickelson",80,NA,119,5232.333,5,"RightRoughProximity",2008
107,107,"David Duval",51,NA,56,2470.917,9,"RightRoughProximity",2008
107,107,"Jeff Gove",50,NA,64,2819.583,15,"RightRoughProximity",2008
107,107,"Nathan Green",95,NA,169,7451.833,7,"RightRoughProximity",2008
107,107,"John Mallinger",95,NA,129,5681.583,20,"RightRoughProximity",2008
107,107,"Boo Weekley",86,NA,130,5731.5,18,"RightRoughProximity",2008
112,112,"Brad Adamonis",87,NA,184,8132,37,"RightRoughProximity",2008
112,112,"Dustin Johnson",92,NA,180,7951.083,28,"RightRoughProximity",2008
114,114,"Briny Baird",113,NA,163,7206.5,17,"RightRoughProximity",2008
114,114,"Kenneth Ferrie",72,NA,83,3670.583,10,"RightRoughProximity",2008
114,114,"Padraig Harrington",52,NA,60,2656.083,7,"RightRoughProximity",2008
114,114,"John Rollins",94,NA,139,6149.167,22,"RightRoughProximity",2008
114,114,"Omar Uresti",74,NA,90,3985.583,14,"RightRoughProximity",2008
119,119,"James Driscoll",85,NA,183,8113.833,27,"RightRoughProximity",2008
119,119,"Matt Kuchar",88,NA,104,4613,22,"RightRoughProximity",2008
119,119,"Billy Mayfair",103,NA,162,7186.333,6,"RightRoughProximity",2008
119,119,"Scott Verplank",82,NA,99,4393,-1,"RightRoughProximity",2008
123,123,"Todd Hamilton",92,NA,111,4933.75,23,"RightRoughProximity",2008
123,123,"Mike Weir",88,NA,132,5860.583,2,"RightRoughProximity",2008
125,125,"Jason Day",81,NA,146,6503.083,22,"RightRoughProximity",2008
125,125,"Ted Purdy",68,NA,117,5212.5,27,"RightRoughProximity",2008
127,127,"Jason Allred",63,NA,111,4954.5,21,"RightRoughProximity",2008
127,127,"Kevin Sutherland",98,NA,170,7595.167,20,"RightRoughProximity",2008
129,129,"Steve Stricker",75,NA,102,4571,21,"RightRoughProximity",2008
130,130,"David Lutterus",59,NA,104,4672.25,24,"RightRoughProximity",2008
131,131,"John Senden",93,NA,106,4771.75,18,"RightRoughProximity",2008
132,132,"Ernie Els",51,NA,70,3156.083,17,"RightRoughProximity",2008
132,132,"JJ Henry",108,NA,122,5501.917,13,"RightRoughProximity",2008
134,134,"Rod Pampling",83,NA,110,4964.583,30,"RightRoughProximity",2008
135,135,"Olin Browne",77,NA,51,2305.833,18,"RightRoughProximity",2008
136,136,"Parker McLachlin",88,NA,205,9294.917,13,"RightRoughProximity",2008
136,136,"Bo Van Pelt",101,NA,196,8887.833,33,"RightRoughProximity",2008
138,138,"Peter Lonard",92,NA,118,5355.25,6,"RightRoughProximity",2008
138,138,"Dean Wilson",109,NA,165,7489.917,27,"RightRoughProximity",2008
