"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2007","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2007","BirdieorBetterPercentageRightRough_PLAYERNAME_2007","BirdieorBetterPercentageRightRough_ROUNDS_2007","BirdieorBetterPercentageRightRough_Pct_2007","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2007","BirdieorBetterPercentageRightRough_TOTALHOLES_2007","stat_name","year"
1,1,"Bubba Dickerson",51,22.22,18,81,"BirdieorBetterPercentageRightRough",2007
2,2,"Padraig Harrington",64,21.74,15,69,"BirdieorBetterPercentageRightRough",2007
3,3,"Aaron Baddeley",83,21.43,33,154,"BirdieorBetterPercentageRightRough",2007
4,4,"Brett Wetterich",88,21.34,35,164,"BirdieorBetterPercentageRightRough",2007
5,5,"John Daly",59,21.21,28,132,"BirdieorBetterPercentageRightRough",2007
6,6,"Ted Purdy",102,20.65,32,155,"BirdieorBetterPercentageRightRough",2007
7,7,"Bubba Watson",80,20.42,29,142,"BirdieorBetterPercentageRightRough",2007
8,8,"Anthony Kim",93,20.41,30,147,"BirdieorBetterPercentageRightRough",2007
9,9,"Geoff Ogilvy",84,19.86,28,141,"BirdieorBetterPercentageRightRough",2007
10,10,"Ernie Els",59,19.81,21,106,"BirdieorBetterPercentageRightRough",2007
11,11,"Steve Allan",63,19.13,22,115,"BirdieorBetterPercentageRightRough",2007
12,12,"Davis Love III",66,19.05,16,84,"BirdieorBetterPercentageRightRough",2007
12,12,"Adam Scott",69,19.05,20,105,"BirdieorBetterPercentageRightRough",2007
14,14,"Andrew Buckle",77,18.88,27,143,"BirdieorBetterPercentageRightRough",2007
15,15,"Harrison Frazar",88,18.6,32,172,"BirdieorBetterPercentageRightRough",2007
16,16,"Vaughn Taylor",91,18.42,21,114,"BirdieorBetterPercentageRightRough",2007
17,17,"JB Holmes",71,18.35,20,109,"BirdieorBetterPercentageRightRough",2007
17,17,"Jeff Overton",60,18.35,20,109,"BirdieorBetterPercentageRightRough",2007
19,19,"Robert Garrigus",95,18.22,39,214,"BirdieorBetterPercentageRightRough",2007
20,20,"Kevin Stadler",95,18.05,24,133,"BirdieorBetterPercentageRightRough",2007
21,21,"David Toms",80,17.76,19,107,"BirdieorBetterPercentageRightRough",2007
22,22,"Carl Pettersson",111,17.75,30,169,"BirdieorBetterPercentageRightRough",2007
23,23,"Jeff Quinney",95,17.69,26,147,"BirdieorBetterPercentageRightRough",2007
24,24,"Tiger Woods",63,17.65,18,102,"BirdieorBetterPercentageRightRough",2007
25,25,"Kenny Perry",83,17.59,19,108,"BirdieorBetterPercentageRightRough",2007
26,26,"Peter Lonard",85,17.54,20,114,"BirdieorBetterPercentageRightRough",2007
27,27,"Jonathan Byrd",73,17.43,19,109,"BirdieorBetterPercentageRightRough",2007
28,28,"Phil Mickelson",73,17.35,17,98,"BirdieorBetterPercentageRightRough",2007
29,29,"Mark Hensby",81,17.27,19,110,"BirdieorBetterPercentageRightRough",2007
30,30,"Jerry Kelly",101,17.21,21,122,"BirdieorBetterPercentageRightRough",2007
31,31,"Craig Barlow",52,17.2,16,93,"BirdieorBetterPercentageRightRough",2007
31,31,"Charley Hoffman",97,17.2,27,157,"BirdieorBetterPercentageRightRough",2007
33,33,"Joey Sindelar",75,16.84,16,95,"BirdieorBetterPercentageRightRough",2007
34,34,"DJ Brigman",67,16.67,16,96,"BirdieorBetterPercentageRightRough",2007
34,34,"Alex Cejka",80,16.67,14,84,"BirdieorBetterPercentageRightRough",2007
36,36,"David Branshaw",83,16.54,22,133,"BirdieorBetterPercentageRightRough",2007
37,37,"Mark Calcavecchia",93,16.52,19,115,"BirdieorBetterPercentageRightRough",2007
38,38,"Joe Ogilvie",102,16.45,25,152,"BirdieorBetterPercentageRightRough",2007
39,39,"Hunter Mahan",91,16.3,15,92,"BirdieorBetterPercentageRightRough",2007
40,40,"Eric Axley",107,16.28,28,172,"BirdieorBetterPercentageRightRough",2007
40,40,"Steve Lowery",74,16.28,21,129,"BirdieorBetterPercentageRightRough",2007
42,42,"Troy Matteson",87,16.27,27,166,"BirdieorBetterPercentageRightRough",2007
43,43,"Rich Beem",89,16.26,20,123,"BirdieorBetterPercentageRightRough",2007
44,44,"Tom Johnson",74,16.24,19,117,"BirdieorBetterPercentageRightRough",2007
45,45,"Ken Duke",112,16.23,31,191,"BirdieorBetterPercentageRightRough",2007
45,45,"George McNeill",95,16.23,25,154,"BirdieorBetterPercentageRightRough",2007
47,47,"Bob Tway",103,16.22,18,111,"BirdieorBetterPercentageRightRough",2007
48,48,"Shigeki Maruyama",84,16.03,21,131,"BirdieorBetterPercentageRightRough",2007
49,49,"Stewart Cink",91,16,24,150,"BirdieorBetterPercentageRightRough",2007
49,49,"Bryce Molder",56,16,20,125,"BirdieorBetterPercentageRightRough",2007
49,49,"Paul Stankowski",52,16,8,50,"BirdieorBetterPercentageRightRough",2007
52,52,"KJ Choi",87,15.93,18,113,"BirdieorBetterPercentageRightRough",2007
53,53,"Jesper Parnevik",88,15.83,19,120,"BirdieorBetterPercentageRightRough",2007
54,54,"Jose Maria Olazabal",52,15.73,14,89,"BirdieorBetterPercentageRightRough",2007
55,55,"Robert Allenby",90,15.69,24,153,"BirdieorBetterPercentageRightRough",2007
55,55,"Bob Estes",88,15.69,24,153,"BirdieorBetterPercentageRightRough",2007
57,57,"Duffy Waldorf",69,15.63,15,96,"BirdieorBetterPercentageRightRough",2007
58,58,"Brian Bateman",55,15.58,12,77,"BirdieorBetterPercentageRightRough",2007
58,58,"Jason Dufner",100,15.58,24,154,"BirdieorBetterPercentageRightRough",2007
60,60,"Lucas Glover",98,15.57,19,122,"BirdieorBetterPercentageRightRough",2007
60,60,"Billy Mayfair",98,15.57,19,122,"BirdieorBetterPercentageRightRough",2007
62,62,"John Merrick",92,15.54,30,193,"BirdieorBetterPercentageRightRough",2007
63,63,"Tim Petrovic",106,15.53,32,206,"BirdieorBetterPercentageRightRough",2007
64,64,"Stuart Appleby",74,15.45,17,110,"BirdieorBetterPercentageRightRough",2007
64,64,"Pat Perez",84,15.45,19,123,"BirdieorBetterPercentageRightRough",2007
66,66,"Tommy Armour III",81,15.38,12,78,"BirdieorBetterPercentageRightRough",2007
66,66,"Justin Rose",63,15.38,8,52,"BirdieorBetterPercentageRightRough",2007
68,68,"Daniel Chopra",106,15.31,32,209,"BirdieorBetterPercentageRightRough",2007
