"PresidentsCupUnitedes_RANKTHISWEEK_2009","PresidentsCupUnitedes_RANKLASTWEEK_2009","PresidentsCupUnitedes_PLAYERNAME_2009","PresidentsCupUnitedes__2009","PresidentsCupUnitedes_POINTS_2009","stat_name","year"
1,1,"Tiger Woods",NA,24193993,"PresidentsCupUnitedes",2009
2,2,"Phil Mickelson",NA,14546046,"PresidentsCupUnitedes",2009
3,3,"Steve Stricker",NA,12893476,"PresidentsCupUnitedes",2009
4,4,"Kenny Perry",NA,12858550,"PresidentsCupUnitedes",2009
5,5,"Zach Johnson",NA,10309515,"PresidentsCupUnitedes",2009
6,6,"Stewart Cink",NA,9634446,"PresidentsCupUnitedes",2009
7,7,"Sean OHair",NA,9333490,"PresidentsCupUnitedes",2009
8,8,"Jim Furyk",NA,8844924,"PresidentsCupUnitedes",2009
9,9,"Anthony Kim",NA,8504852,"PresidentsCupUnitedes",2009
10,10,"Justin Leonard",NA,8391067,"PresidentsCupUnitedes",2009
11,11,"Lucas Glover",NA,8159988,"PresidentsCupUnitedes",2009
12,12,"Brian Gay",NA,8130967,"PresidentsCupUnitedes",2009
13,13,"Hunter Mahan",NA,7793614,"PresidentsCupUnitedes",2009
14,14,"Nick Watney",NA,6608365,"PresidentsCupUnitedes",2009
15,15,"Dustin Johnson",NA,6473209,"PresidentsCupUnitedes",2009
16,16,"Jerry Kelly",NA,6287197,"PresidentsCupUnitedes",2009
17,17,"David Toms",NA,6202932,"PresidentsCupUnitedes",2009
18,18,"Chad Campbell",NA,5641221,"PresidentsCupUnitedes",2009
19,19,"John Rollins",NA,5638133,"PresidentsCupUnitedes",2009
20,20,"Kevin Na",NA,5490024,"PresidentsCupUnitedes",2009
21,21,"Steve Marino",NA,5213672,"PresidentsCupUnitedes",2009
22,22,"Pat Perez",NA,5156394,"PresidentsCupUnitedes",2009
23,23,"John Mallinger",NA,5096573,"PresidentsCupUnitedes",2009
24,24,"Boo Weekley",NA,4891077,"PresidentsCupUnitedes",2009
25,25,"Mark Wilson",NA,4846509,"PresidentsCupUnitedes",2009
26,26,"Woody Austin",NA,4720144,"PresidentsCupUnitedes",2009
27,27,"Charles Howell III",NA,4720009,"PresidentsCupUnitedes",2009
28,28,"Briny Baird",NA,4679709,"PresidentsCupUnitedes",2009
29,29,"JB Holmes",NA,4636159,"PresidentsCupUnitedes",2009
30,30,"Davis Love III",NA,4628057,"PresidentsCupUnitedes",2009
31,31,"Charley Hoffman",NA,4601162,"PresidentsCupUnitedes",2009
32,32,"DJ Trahan",NA,4485406,"PresidentsCupUnitedes",2009
33,33,"Paul Goydos",NA,4476329,"PresidentsCupUnitedes",2009
34,34,"Bo Van Pelt",NA,4460136,"PresidentsCupUnitedes",2009
35,35,"Brandt Snedeker",NA,4409821,"PresidentsCupUnitedes",2009
36,36,"Ben Crane",NA,4385553,"PresidentsCupUnitedes",2009
37,37,"Kevin Sutherland",NA,4337510,"PresidentsCupUnitedes",2009
38,38,"John Merrick",NA,4307987,"PresidentsCupUnitedes",2009
39,39,"Bubba Watson",NA,4213370,"PresidentsCupUnitedes",2009
40,40,"Ben Curtis",NA,4151416,"PresidentsCupUnitedes",2009
41,41,"Scott Verplank",NA,4061010,"PresidentsCupUnitedes",2009
42,42,"Steve Flesch",NA,3870476,"PresidentsCupUnitedes",2009
43,43,"Jeff Overton",NA,3618198,"PresidentsCupUnitedes",2009
44,44,"George McNeill",NA,3599364,"PresidentsCupUnitedes",2009
45,45,"Brett Quigley",NA,3579323,"PresidentsCupUnitedes",2009
46,46,"Jonathan Byrd",NA,3511242,"PresidentsCupUnitedes",2009
47,47,"Ryan Moore",NA,3495745,"PresidentsCupUnitedes",2009
48,48,"Jeff Quinney",NA,3478930,"PresidentsCupUnitedes",2009
49,49,"Matt Kuchar",NA,3439993,"PresidentsCupUnitedes",2009
50,50,"Tim Petrovic",NA,3419991,"PresidentsCupUnitedes",2009
51,51,"Mark Calcavecchia",NA,3304454,"PresidentsCupUnitedes",2009
52,52,"Heath Slocum",NA,3275471,"PresidentsCupUnitedes",2009
