"GoodDrivePercentage_RANKTHISWEEK_2008","GoodDrivePercentage_RANKLASTWEEK_2008","GoodDrivePercentage_PLAYERNAME_2008","GoodDrivePercentage_ROUNDS_2008","GoodDrivePercentage_Pct_2008","GoodDrivePercentage_HIT_2008","GoodDrivePercentage_TOTALATTEMPTS_2008","stat_name","year"
1,1,"Zach Johnson",85,87.37,1031,1180,"GoodDrivePercentage",2008
2,2,"Billy Mayfair",103,87.06,1251,1437,"GoodDrivePercentage",2008
3,3,"Heath Slocum",104,87.04,1263,1451,"GoodDrivePercentage",2008
4,4,"Brian Davis",108,86.97,1308,1504,"GoodDrivePercentage",2008
5,5,"Olin Browne",77,86.92,930,1070,"GoodDrivePercentage",2008
5,5,"Steve Elkington",84,86.92,1017,1170,"GoodDrivePercentage",2008
7,7,"Nick OHern",82,86.76,970,1118,"GoodDrivePercentage",2008
8,8,"Bart Bryant",81,86.36,975,1129,"GoodDrivePercentage",2008
9,9,"Scott Verplank",82,86.17,978,1135,"GoodDrivePercentage",2008
10,10,"Woody Austin",109,85.81,1264,1473,"GoodDrivePercentage",2008
10,10,"John Senden",93,85.81,1101,1283,"GoodDrivePercentage",2008
12,12,"Michael Allen",91,85.35,1084,1270,"GoodDrivePercentage",2008
13,13,"Mark Wilson",107,85.26,1273,1493,"GoodDrivePercentage",2008
14,14,"Scott McCarron",63,85.11,749,880,"GoodDrivePercentage",2008
15,15,"Robert Gamez",79,85.06,934,1098,"GoodDrivePercentage",2008
15,15,"Paul Goydos",78,85.06,928,1091,"GoodDrivePercentage",2008
17,17,"John Rollins",94,85,1116,1313,"GoodDrivePercentage",2008
18,18,"Jim Furyk",95,84.84,1119,1319,"GoodDrivePercentage",2008
19,19,"Robert Allenby",108,84.8,1266,1493,"GoodDrivePercentage",2008
20,20,"Jason Gore",94,84.77,1108,1307,"GoodDrivePercentage",2008
21,21,"Charlie Wi",97,84.59,1142,1350,"GoodDrivePercentage",2008
22,22,"Ben Crane",86,84.57,1014,1199,"GoodDrivePercentage",2008
23,23,"Mathew Goggin",91,84.46,1071,1268,"GoodDrivePercentage",2008
24,24,"Charles Warren",79,84.39,930,1102,"GoodDrivePercentage",2008
25,25,"Boo Weekley",86,84.26,980,1163,"GoodDrivePercentage",2008
26,26,"Jeff Maggert",86,84.2,1007,1196,"GoodDrivePercentage",2008
27,27,"Hunter Mahan",87,84.19,1001,1189,"GoodDrivePercentage",2008
28,28,"Shane Bertsch",96,84.18,1123,1334,"GoodDrivePercentage",2008
29,29,"Rich Beem",90,84.14,1056,1255,"GoodDrivePercentage",2008
30,30,"Vijay Singh",82,83.65,916,1095,"GoodDrivePercentage",2008
31,31,"Pat Perez",93,83.58,1074,1285,"GoodDrivePercentage",2008
32,32,"Bob Estes",90,83.57,1048,1254,"GoodDrivePercentage",2008
33,33,"Mark Calcavecchia",67,83.53,771,923,"GoodDrivePercentage",2008
33,33,"JJ Henry",108,83.53,1258,1506,"GoodDrivePercentage",2008
33,33,"Kevin Sutherland",98,83.53,1141,1366,"GoodDrivePercentage",2008
36,36,"Omar Uresti",74,83.4,859,1030,"GoodDrivePercentage",2008
37,37,"David Toms",70,83.37,792,950,"GoodDrivePercentage",2008
38,38,"Kevin Na",97,83.35,1126,1351,"GoodDrivePercentage",2008
39,39,"Justin Leonard",101,83.33,1110,1332,"GoodDrivePercentage",2008
40,40,"John Mallinger",95,83.07,1099,1323,"GoodDrivePercentage",2008
41,41,"Frank Lickliter II",107,82.93,1234,1488,"GoodDrivePercentage",2008
42,42,"Will Ma Kenzie",62,82.69,712,861,"GoodDrivePercentage",2008
43,43,"Jason Day",81,82.49,933,1131,"GoodDrivePercentage",2008
44,44,"Troy Matteson",94,82.48,1078,1307,"GoodDrivePercentage",2008
