"Scramblingfrom_RANKTHISWEEK_2013","Scramblingfrom_RANKLASTWEEK_2013","Scramblingfrom_PLAYERNAME_2013","Scramblingfrom_ROUNDS_2013","Scramblingfrom_Pct_2013","Scramblingfrom_SUCCESSES_2013","Scramblingfrom_ATTEMPTS_2013","stat_name","year"
1,1,"KJ Choi",85,95.35,82,86,"Scramblingfrom",2013
2,2,"Steve Stricker",51,94.59,35,37,"Scramblingfrom",2013
3,3,"Jim Furyk",80,93.51,72,77,"Scramblingfrom",2013
3,3,"Scott Stallings",79,93.51,72,77,"Scramblingfrom",2013
5,5,"Justin Leonard",86,93.18,82,88,"Scramblingfrom",2013
5,5,"Aaron Watkins",46,93.18,41,44,"Scramblingfrom",2013
7,7,"Vaughn Taylor",50,93.02,40,43,"Scramblingfrom",2013
8,8,"Casey Wittenberg",72,92.94,79,85,"Scramblingfrom",2013
9,9,"Greg Chalmers",77,92.65,63,68,"Scramblingfrom",2013
10,10,"Scott Langley",79,92.59,75,81,"Scramblingfrom",2013
11,11,"Luke List",65,92.45,49,53,"Scramblingfrom",2013
12,12,"Doug LaBelle II",72,92.42,61,66,"Scramblingfrom",2013
13,13,"Jerry Kelly",75,92.22,83,90,"Scramblingfrom",2013
14,14,"Bobby Gates",49,92.11,35,38,"Scramblingfrom",2013
15,15,"Steven Bowditch",67,92,69,75,"Scramblingfrom",2013
15,15,"James Hahn",78,92,92,100,"Scramblingfrom",2013
15,15,"Jason Kokrak",78,92,92,100,"Scramblingfrom",2013
18,18,"Troy Matteson",68,91.55,65,71,"Scramblingfrom",2013
19,19,"Jin Park",52,91.53,54,59,"Scramblingfrom",2013
20,20,"William McGirt",75,91.46,75,82,"Scramblingfrom",2013
21,21,"Brandt Snedeker",79,91.43,64,70,"Scramblingfrom",2013
22,22,"Tim Herron",45,91.38,53,58,"Scramblingfrom",2013
23,23,"Rickie Fowler",75,91.11,82,90,"Scramblingfrom",2013
24,24,"Jonas Blixt",76,90.67,68,75,"Scramblingfrom",2013
25,25,"Justin Bolli",59,90.63,58,64,"Scramblingfrom",2013
26,26,"Marc Leishman",77,90.59,77,85,"Scramblingfrom",2013
27,27,"Nicholas Thompson",99,90.27,102,113,"Scramblingfrom",2013
28,28,"Brian Gay",79,90.09,100,111,"Scramblingfrom",2013
29,29,"Chris Stroud",88,90,90,100,"Scramblingfrom",2013
30,30,"Matt Jones",83,89.66,78,87,"Scramblingfrom",2013
30,30,"Michael Thompson",66,89.66,52,58,"Scramblingfrom",2013
30,30,"Jimmy Walker",84,89.66,78,87,"Scramblingfrom",2013
33,33,"Ted Potter Jr",65,89.61,69,77,"Scramblingfrom",2013
34,34,"Chris Kirk",89,89.57,103,115,"Scramblingfrom",2013
35,35,"Charles Howell III",87,89.47,85,95,"Scramblingfrom",2013
35,35,"Robert Karlsson",56,89.47,51,57,"Scramblingfrom",2013
37,37,"Matt Kuchar",93,89.13,82,92,"Scramblingfrom",2013
38,38,"Matt Every",89,89.11,90,101,"Scramblingfrom",2013
39,39,"Jason Day",86,89.04,65,73,"Scramblingfrom",2013
40,40,"Peter Hanson",45,88.89,40,45,"Scramblingfrom",2013
40,40,"John Senden",79,88.89,64,72,"Scramblingfrom",2013
40,40,"Tiger Woods",61,88.89,48,54,"Scramblingfrom",2013
43,43,"Hunter Mahan",91,88.75,71,80,"Scramblingfrom",2013
44,44,"Josh Teater",86,88.73,63,71,"Scramblingfrom",2013
45,45,"Russell Henley",80,88.37,76,86,"Scramblingfrom",2013
46,46,"Webb Simpson",92,88.35,91,103,"Scramblingfrom",2013
47,47,"Jason Dufner",78,88.24,75,85,"Scramblingfrom",2013
48,48,"Stuart Appleby",88,88.12,89,101,"Scramblingfrom",2013
49,49,"Jeff Maggert",63,88.1,74,84,"Scramblingfrom",2013
50,50,"David Lingmerth",68,88,66,75,"Scramblingfrom",2013
51,51,"Andrew Svoboda",46,87.88,29,33,"Scramblingfrom",2013
52,52,"Graham DeLaet",94,87.83,101,115,"Scramblingfrom",2013
53,53,"Ben Curtis",59,87.76,43,49,"Scramblingfrom",2013
54,54,"Jeff Overton",78,87.74,93,106,"Scramblingfrom",2013
55,55,"Michael Bradley",56,87.5,42,48,"Scramblingfrom",2013
56,56,"John Merrick",79,87.34,69,79,"Scramblingfrom",2013
57,57,"Justin Rose",62,87.32,62,71,"Scramblingfrom",2013
58,58,"Brian Harman",89,87.18,102,117,"Scramblingfrom",2013
58,58,"Lee Williams",62,87.18,68,78,"Scramblingfrom",2013
60,60,"Richard Lee",81,87.14,61,70,"Scramblingfrom",2013
60,60,"Shawn Stefani",63,87.14,61,70,"Scramblingfrom",2013
62,62,"Luke Guthrie",82,87.06,74,85,"Scramblingfrom",2013
63,63,"Brendan Steele",86,87.01,67,77,"Scramblingfrom",2013
64,64,"Keegan Bradley",88,87,87,100,"Scramblingfrom",2013
65,65,"Ian Poulter",59,86.79,46,53,"Scramblingfrom",2013
66,66,"Brian Davis",91,86.67,104,120,"Scramblingfrom",2013
67,67,"Tim Clark",64,86.57,58,67,"Scramblingfrom",2013
67,67,"Tag Ridings",69,86.57,58,67,"Scramblingfrom",2013
69,69,"David Lynn",70,86.49,64,74,"Scramblingfrom",2013
70,70,"DJ Trahan",48,86.44,51,59,"Scramblingfrom",2013
71,71,"Tom Gillis",69,86.36,76,88,"Scramblingfrom",2013
71,71,"Zach Johnson",84,86.36,76,88,"Scramblingfrom",2013
73,73,"Ernie Els",63,86.3,63,73,"Scramblingfrom",2013
74,74,"Bryce Molder",82,86.25,69,80,"Scramblingfrom",2013
75,75,"Phil Mickelson",78,85.94,55,64,"Scramblingfrom",2013
76,76,"Cameron Percy",68,85.9,67,78,"Scramblingfrom",2013
77,77,"Kevin Chappell",80,85.88,73,85,"Scramblingfrom",2013
78,78,"Martin Flores",83,85.71,78,91,"Scramblingfrom",2013
78,78,"Padraig Harrington",52,85.71,42,49,"Scramblingfrom",2013
78,78,"Graeme McDowell",53,85.71,42,49,"Scramblingfrom",2013
78,78,"Bubba Watson",76,85.71,48,56,"Scramblingfrom",2013
82,82,"James Driscoll",76,85.54,71,83,"Scramblingfrom",2013
83,83,"Ryan Moore",72,85.53,65,76,"Scramblingfrom",2013
84,84,"Bob Estes",66,85.51,59,69,"Scramblingfrom",2013
84,84,"Bill Haas",85,85.51,59,69,"Scramblingfrom",2013
86,86,"Harris English",95,85.42,82,96,"Scramblingfrom",2013
86,86,"David Toms",49,85.42,41,48,"Scramblingfrom",2013
88,88,"Brendon de Jonge",110,85.34,99,116,"Scramblingfrom",2013
89,89,"Angel Cabrera",73,85.29,58,68,"Scramblingfrom",2013
90,90,"Stephen Ames",49,85.25,52,61,"Scramblingfrom",2013
91,91,"Charley Hoffman",84,85.23,75,88,"Scramblingfrom",2013
92,92,"Kevin Streelman",86,85.14,63,74,"Scramblingfrom",2013
93,93,"Patrick Reed",83,85,85,100,"Scramblingfrom",2013
94,94,"Lucas Glover",65,84.93,62,73,"Scramblingfrom",2013
95,95,"Ryan Palmer",79,84.78,78,92,"Scramblingfrom",2013
95,95,"Kyle Stanley",71,84.78,78,92,"Scramblingfrom",2013
97,97,"Alistair Presnell",59,84.75,50,59,"Scramblingfrom",2013
98,98,"Nick Watney",88,84.38,81,96,"Scramblingfrom",2013
99,99,"Sergio Garcia",65,84.31,43,51,"Scramblingfrom",2013
100,100,"David Hearn",88,84.16,85,101,"Scramblingfrom",2013
101,101,"Darron Stiles",51,84.06,58,69,"Scramblingfrom",2013
102,102,"Tommy Gainey",84,83.96,89,106,"Scramblingfrom",2013
103,103,"Scott Piercy",78,83.87,78,93,"Scramblingfrom",2013
104,104,"Daniel Summerhays",83,83.81,88,105,"Scramblingfrom",2013
105,105,"Rory Sabbatini",86,83.65,87,104,"Scramblingfrom",2013
106,106,"Carl Pettersson",82,83.53,71,85,"Scramblingfrom",2013
107,107,"Jim Herman",59,83.33,45,54,"Scramblingfrom",2013
107,107,"Billy Horschel",96,83.33,75,90,"Scramblingfrom",2013
107,107,"Pat Perez",69,83.33,55,66,"Scramblingfrom",2013
107,107,"Henrik Stenson",65,83.33,30,36,"Scramblingfrom",2013
111,111,"Jordan Spieth",82,83.16,79,95,"Scramblingfrom",2013
112,112,"Brian Stuard",78,83.12,64,77,"Scramblingfrom",2013
113,113,"Martin Laird",68,83.08,54,65,"Scramblingfrom",2013
113,113,"Mike Weir",60,83.08,54,65,"Scramblingfrom",2013
115,115,"Chez Reavie",72,83,83,100,"Scramblingfrom",2013
116,116,"Stewart Cink",71,82.98,39,47,"Scramblingfrom",2013
116,116,"Martin Kaymer",61,82.98,39,47,"Scramblingfrom",2013
118,118,"Dustin Johnson",71,82.86,58,70,"Scramblingfrom",2013
118,118,"YE Yang",56,82.86,58,70,"Scramblingfrom",2013
120,120,"Steve LeBrun",66,82.81,53,64,"Scramblingfrom",2013
120,120,"Andres Romero",63,82.81,53,64,"Scramblingfrom",2013
122,122,"Lee Westwood",70,82.61,57,69,"Scramblingfrom",2013
123,123,"Luke Donald",60,82.46,47,57,"Scramblingfrom",2013
123,123,"Rory McIlroy",56,82.46,47,57,"Scramblingfrom",2013
125,125,"Ben Kohles",75,82.42,75,91,"Scramblingfrom",2013
126,126,"John Huh",88,82.35,70,85,"Scramblingfrom",2013
126,126,"DA Points",87,82.35,70,85,"Scramblingfrom",2013
128,128,"Vijay Singh",61,82.26,51,62,"Scramblingfrom",2013
129,129,"Sean OHair",56,82.14,46,56,"Scramblingfrom",2013
129,129,"Adam Scott",61,82.14,46,56,"Scramblingfrom",2013
131,131,"Greg Owen",73,82.02,73,89,"Scramblingfrom",2013
132,132,"Mark Wilson",56,81.97,50,61,"Scramblingfrom",2013
133,133,"Dicky Pride",71,81.94,59,72,"Scramblingfrom",2013
134,134,"John Rollins",77,81.93,68,83,"Scramblingfrom",2013
135,135,"Cameron Tringale",80,81.82,72,88,"Scramblingfrom",2013
136,136,"Erik Compton",74,81.71,67,82,"Scramblingfrom",2013
137,137,"David Mathis",71,81.69,58,71,"Scramblingfrom",2013
138,138,"Seung Yul Noh",71,81.67,49,60,"Scramblingfrom",2013
139,139,"Justin Hicks",79,81.61,71,87,"Scramblingfrom",2013
139,139,"Camilo Villegas",79,81.61,71,87,"Scramblingfrom",2013
141,141,"Scott Brown",65,81.58,62,76,"Scramblingfrom",2013
142,142,"JJ Henry",83,81.54,53,65,"Scramblingfrom",2013
143,143,"Jason Bohn",70,81.52,75,92,"Scramblingfrom",2013
144,144,"Bud Cauley",67,81.48,66,81,"Scramblingfrom",2013
144,144,"Charlie Wi",75,81.48,66,81,"Scramblingfrom",2013
146,146,"Derek Ernst",58,81.25,52,64,"Scramblingfrom",2013
146,146,"Freddie Jacobson",63,81.25,52,64,"Scramblingfrom",2013
146,146,"Geoff Ogilvy",57,81.25,39,48,"Scramblingfrom",2013
149,149,"George McNeill",68,81.18,69,85,"Scramblingfrom",2013
150,150,"Sangmoon Bae",83,81,81,100,"Scramblingfrom",2013
150,150,"Roberto Castro",97,81,81,100,"Scramblingfrom",2013
152,152,"Ricky Barnes",74,80.95,51,63,"Scramblingfrom",2013
152,152,"Brandt Jobe",62,80.95,51,63,"Scramblingfrom",2013
154,154,"Will Claxton",67,80.56,58,72,"Scramblingfrom",2013
155,155,"Brad Fritsch",81,80.49,66,82,"Scramblingfrom",2013
156,156,"Fabian Gomez",65,80.28,57,71,"Scramblingfrom",2013
157,157,"Chad Campbell",78,80,64,80,"Scramblingfrom",2013
157,157,"Boo Weekley",100,80,80,100,"Scramblingfrom",2013
159,159,"Gary Woodland",94,79.8,79,99,"Scramblingfrom",2013
160,160,"Kevin Stadler",83,79.78,71,89,"Scramblingfrom",2013
161,161,"DH Lee",65,79.45,58,73,"Scramblingfrom",2013
162,162,"Scott Gardiner",61,79.31,46,58,"Scramblingfrom",2013
163,163,"Aaron Baddeley",68,79.1,53,67,"Scramblingfrom",2013
164,164,"Trevor Immelman",73,78.95,45,57,"Scramblingfrom",2013
165,165,"Charl Schwartzel",69,78.85,41,52,"Scramblingfrom",2013
166,166,"Robert Allenby",58,78.57,55,70,"Scramblingfrom",2013
167,167,"Ben Crane",62,78.46,51,65,"Scramblingfrom",2013
168,168,"Robert Streb",75,78.31,65,83,"Scramblingfrom",2013
169,169,"Johnson Wagner",64,77.97,46,59,"Scramblingfrom",2013
170,170,"Colt Knost",69,77.92,60,77,"Scramblingfrom",2013
171,171,"Ken Duke",87,76.7,79,103,"Scramblingfrom",2013
172,172,"Charlie Beljan",62,76.19,48,63,"Scramblingfrom",2013
173,173,"Morgan Hoffmann",64,75.71,53,70,"Scramblingfrom",2013
