"Scramblingfrom30yards_RANKTHISWEEK_2007","Scramblingfrom30yards_RANKLASTWEEK_2007","Scramblingfrom30yards_PLAYERNAME_2007","Scramblingfrom30yards_ROUNDS_2007","Scramblingfrom30yards_Pct_2007","Scramblingfrom30yards_SUCCESSES_2007","Scramblingfrom30yards_ATTEMPTS_2007","stat_name","year"
1,1,"Rory Sabbatini",81,44.44,32,72,"Scramblingfrom30yards",2007
2,2,"Sean OHair",98,42.22,38,90,"Scramblingfrom30yards",2007
3,3,"Tiger Woods",63,41.67,15,36,"Scramblingfrom30yards",2007
4,4,"Ian Poulter",63,41.03,16,39,"Scramblingfrom30yards",2007
5,5,"Brandt Snedeker",105,40.71,46,113,"Scramblingfrom30yards",2007
6,6,"Woody Austin",95,40.45,36,89,"Scramblingfrom30yards",2007
7,7,"Gavin Coles",87,40.24,33,82,"Scramblingfrom30yards",2007
8,8,"Alex Cejka",80,38.3,18,47,"Scramblingfrom30yards",2007
9,9,"Paul Gow",70,37.68,26,69,"Scramblingfrom30yards",2007
10,10,"Paul Goydos",60,37.5,24,64,"Scramblingfrom30yards",2007
11,11,"Anders Hansen",55,37.21,16,43,"Scramblingfrom30yards",2007
12,12,"DJ Trahan",99,36.71,29,79,"Scramblingfrom30yards",2007
13,13,"KJ Choi",87,36.49,27,74,"Scramblingfrom30yards",2007
14,14,"Matt Kuchar",85,36.36,32,88,"Scramblingfrom30yards",2007
15,15,"Scott Verplank",82,36.21,21,58,"Scramblingfrom30yards",2007
16,16,"Kevin Sutherland",85,36.14,30,83,"Scramblingfrom30yards",2007
17,17,"Bob Tway",103,35.71,35,98,"Scramblingfrom30yards",2007
18,18,"Peter Lonard",85,35.63,31,87,"Scramblingfrom30yards",2007
19,19,"Camilo Villegas",82,35.59,21,59,"Scramblingfrom30yards",2007
20,20,"Glen Day",85,35.42,34,96,"Scramblingfrom30yards",2007
21,21,"Mark Wilson",87,35,35,100,"Scramblingfrom30yards",2007
22,22,"Nathan Green",103,34.95,36,103,"Scramblingfrom30yards",2007
23,23,"Steve Stricker",81,34.88,30,86,"Scramblingfrom30yards",2007
24,24,"Mark Hensby",81,34.51,39,113,"Scramblingfrom30yards",2007
25,25,"Mathias Gronberg",95,34.44,31,90,"Scramblingfrom30yards",2007
26,26,"Jeff Overton",60,34.21,13,38,"Scramblingfrom30yards",2007
27,27,"Jason Gore",86,34.15,28,82,"Scramblingfrom30yards",2007
28,28,"Ben Curtis",80,34.07,31,91,"Scramblingfrom30yards",2007
29,29,"Padraig Harrington",64,33.96,18,53,"Scramblingfrom30yards",2007
30,30,"Tim Clark",66,33.93,19,56,"Scramblingfrom30yards",2007
31,31,"Chris Stroud",66,33.9,20,59,"Scramblingfrom30yards",2007
32,32,"Lucas Glover",98,33.78,25,74,"Scramblingfrom30yards",2007
33,33,"Chris DiMarco",79,33.7,31,92,"Scramblingfrom30yards",2007
34,34,"Parker McLachlin",83,33.33,30,90,"Scramblingfrom30yards",2007
34,34,"Mike Weir",82,33.33,24,72,"Scramblingfrom30yards",2007
36,36,"Justin Leonard",95,33.04,38,115,"Scramblingfrom30yards",2007
37,37,"Jarrod Lyle",77,32.5,26,80,"Scramblingfrom30yards",2007
38,38,"Jeff Gove",103,32.41,35,108,"Scramblingfrom30yards",2007
39,39,"DJ Brigman",67,32.35,22,68,"Scramblingfrom30yards",2007
39,39,"Jose Maria Olazabal",52,32.35,22,68,"Scramblingfrom30yards",2007
41,41,"Bo Van Pelt",104,32.22,29,90,"Scramblingfrom30yards",2007
42,42,"Aaron Baddeley",83,32.18,28,87,"Scramblingfrom30yards",2007
43,43,"Chris Riley",59,31.94,23,72,"Scramblingfrom30yards",2007
44,44,"Stewart Cink",91,31.91,30,94,"Scramblingfrom30yards",2007
45,45,"Justin Rose",63,31.71,13,41,"Scramblingfrom30yards",2007
46,46,"Jeff Brehaut",59,31.48,17,54,"Scramblingfrom30yards",2007
46,46,"Kent Jones",97,31.48,34,108,"Scramblingfrom30yards",2007
48,48,"Stephen Ames",81,31.34,21,67,"Scramblingfrom30yards",2007
49,49,"Mark Calcavecchia",93,31.25,25,80,"Scramblingfrom30yards",2007
50,50,"Michael Boyd",61,31.03,18,58,"Scramblingfrom30yards",2007
51,51,"Jerry Kelly",101,30.99,22,71,"Scramblingfrom30yards",2007
52,52,"Stephen Leaney",82,30.95,26,84,"Scramblingfrom30yards",2007
53,53,"Steve Lowery",74,30.88,21,68,"Scramblingfrom30yards",2007
54,54,"Bob Estes",88,30.84,33,107,"Scramblingfrom30yards",2007
55,55,"Jim Rutledge",59,30.77,16,52,"Scramblingfrom30yards",2007
55,55,"Jeff Sluman",60,30.77,16,52,"Scramblingfrom30yards",2007
57,57,"Brian Gay",107,30.63,34,111,"Scramblingfrom30yards",2007
58,58,"Jonathan Byrd",73,30.49,25,82,"Scramblingfrom30yards",2007
59,59,"Tommy Armour III",81,30.43,21,69,"Scramblingfrom30yards",2007
59,59,"Charles Warren",101,30.43,28,92,"Scramblingfrom30yards",2007
61,61,"Joe Durant",88,30.36,17,56,"Scramblingfrom30yards",2007
62,62,"Marco Dawson",73,30.34,27,89,"Scramblingfrom30yards",2007
63,63,"Shaun Micheel",91,30.26,23,76,"Scramblingfrom30yards",2007
64,64,"Shigeki Maruyama",84,30.08,37,123,"Scramblingfrom30yards",2007
65,65,"Carl Pettersson",111,30,33,110,"Scramblingfrom30yards",2007
66,66,"Bart Bryant",87,29.87,23,77,"Scramblingfrom30yards",2007
67,67,"Fred Funk",65,29.85,20,67,"Scramblingfrom30yards",2007
67,67,"Arron Oberholser",69,29.85,20,67,"Scramblingfrom30yards",2007
69,69,"Dean Wilson",92,29.59,29,98,"Scramblingfrom30yards",2007
70,70,"Ryuji Imada",104,29.41,40,136,"Scramblingfrom30yards",2007
70,70,"Tripp Isenhour",86,29.41,30,102,"Scramblingfrom30yards",2007
70,70,"Jason Schultz",63,29.41,20,68,"Scramblingfrom30yards",2007
70,70,"Vijay Singh",102,29.41,20,68,"Scramblingfrom30yards",2007
74,74,"Joe Ogilvie",102,29.36,32,109,"Scramblingfrom30yards",2007
75,75,"Hunter Mahan",91,29.33,22,75,"Scramblingfrom30yards",2007
76,76,"John Rollins",102,29.21,26,89,"Scramblingfrom30yards",2007
77,77,"Brian Bateman",55,29.17,21,72,"Scramblingfrom30yards",2007
78,78,"Robert Gamez",88,29.07,25,86,"Scramblingfrom30yards",2007
79,79,"Steve Flesch",100,28.97,31,107,"Scramblingfrom30yards",2007
80,80,"Lee Janzen",66,28.92,24,83,"Scramblingfrom30yards",2007
81,81,"Bubba Watson",80,28.89,26,90,"Scramblingfrom30yards",2007
82,82,"Ken Duke",112,28.72,27,94,"Scramblingfrom30yards",2007
82,82,"Vaughn Taylor",91,28.72,27,94,"Scramblingfrom30yards",2007
84,84,"Ryan Armour",107,28.71,29,101,"Scramblingfrom30yards",2007
84,84,"Tom Pernice Jr",104,28.71,29,101,"Scramblingfrom30yards",2007
86,86,"Mark Brooks",53,28.57,12,42,"Scramblingfrom30yards",2007
86,86,"Tom Byrum",50,28.57,14,49,"Scramblingfrom30yards",2007
86,86,"Jose Coceres",50,28.57,10,35,"Scramblingfrom30yards",2007
86,86,"Chris Couch",76,28.57,26,91,"Scramblingfrom30yards",2007
86,86,"Jay Williamson",50,28.57,14,49,"Scramblingfrom30yards",2007
91,91,"Briny Baird",115,28.43,29,102,"Scramblingfrom30yards",2007
92,92,"Billy Mayfair",98,28.41,25,88,"Scramblingfrom30yards",2007
93,93,"Luke Donald",69,28.3,15,53,"Scramblingfrom30yards",2007
94,94,"Corey Pavin",81,28.24,24,85,"Scramblingfrom30yards",2007
94,94,"Dicky Pride",71,28.24,24,85,"Scramblingfrom30yards",2007
96,96,"Craig Kanada",109,28.18,31,110,"Scramblingfrom30yards",2007
97,97,"Andrew Buckle",77,28.09,25,89,"Scramblingfrom30yards",2007
97,97,"Bill Haas",93,28.09,25,89,"Scramblingfrom30yards",2007
99,99,"Troy Matteson",87,28.05,23,82,"Scramblingfrom30yards",2007
100,100,"Zach Johnson",76,27.94,19,68,"Scramblingfrom30yards",2007
101,101,"Eric Axley",107,27.92,43,154,"Scramblingfrom30yards",2007
102,102,"Boo Weekley",101,27.87,17,61,"Scramblingfrom30yards",2007
103,103,"John Mallinger",96,27.78,25,90,"Scramblingfrom30yards",2007
103,103,"Charlie Wi",90,27.78,25,90,"Scramblingfrom30yards",2007
105,105,"Nick OHern",72,27.63,21,76,"Scramblingfrom30yards",2007
106,106,"Rocco Mediate",72,27.38,23,84,"Scramblingfrom30yards",2007
107,107,"Tim Herron",98,27.37,26,95,"Scramblingfrom30yards",2007
108,108,"JP Hayes",89,27.27,30,110,"Scramblingfrom30yards",2007
108,108,"David Toms",80,27.27,21,77,"Scramblingfrom30yards",2007
110,110,"Harrison Frazar",88,27.16,22,81,"Scramblingfrom30yards",2007
111,111,"Duffy Waldorf",69,27.14,19,70,"Scramblingfrom30yards",2007
112,112,"Michael Putnam",96,27.08,26,96,"Scramblingfrom30yards",2007
113,113,"Bryce Molder",56,26.97,24,89,"Scramblingfrom30yards",2007
114,114,"Stuart Appleby",74,26.92,21,78,"Scramblingfrom30yards",2007
115,115,"Steve Elkington",87,26.76,19,71,"Scramblingfrom30yards",2007
116,116,"Billy Andrade",88,26.73,27,101,"Scramblingfrom30yards",2007
117,117,"Ryan Palmer",91,26.72,31,116,"Scramblingfrom30yards",2007
118,118,"Steve Wheatcroft",73,26.67,20,75,"Scramblingfrom30yards",2007
119,119,"JJ Henry",86,26.58,21,79,"Scramblingfrom30yards",2007
120,120,"Freddie Jacobson",70,26.51,22,83,"Scramblingfrom30yards",2007
121,121,"Jesper Parnevik",88,26.44,23,87,"Scramblingfrom30yards",2007
122,122,"Tom Johnson",74,26.32,20,76,"Scramblingfrom30yards",2007
123,123,"Robert Garrigus",95,26.26,26,99,"Scramblingfrom30yards",2007
124,124,"Tim Petrovic",106,26.21,27,103,"Scramblingfrom30yards",2007
125,125,"Steve Allan",63,26,13,50,"Scramblingfrom30yards",2007
126,126,"Ryan Moore",92,25.97,20,77,"Scramblingfrom30yards",2007
127,127,"George McNeill",95,25.84,23,89,"Scramblingfrom30yards",2007
128,128,"Cliff Kresge",107,25.78,33,128,"Scramblingfrom30yards",2007
129,129,"Jeff Quinney",95,25.71,27,105,"Scramblingfrom30yards",2007
130,130,"Brett Quigley",79,25.56,23,90,"Scramblingfrom30yards",2007
131,131,"Jeff Maggert",79,25.32,20,79,"Scramblingfrom30yards",2007
131,131,"John Senden",97,25.32,20,79,"Scramblingfrom30yards",2007
133,133,"Johnson Wagner",97,25.27,23,91,"Scramblingfrom30yards",2007
