"AverageApproachDistancePar_RANKTHISWEEK_2007","AverageApproachDistancePar_RANKLASTWEEK_2007","AverageApproachDistancePar_PLAYERNAME_2007","AverageApproachDistancePar_ROUNDS_2007","AverageApproachDistancePar_AVGYARDS_2007","AverageApproachDistancePar_TOTALDISTANCEINCHES_2007","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2007","stat_name","year"
1,1,"Jay Williamson",50,155.9,3086396,550,"AverageApproachDistancePar",2007
2,2,"Bubba Dickerson",51,156.2,2631737,468,"AverageApproachDistancePar",2007
3,3,"Michael Sim",52,156.4,3321897,590,"AverageApproachDistancePar",2007
4,4,"Daniel Chopra",106,156.7,6104273,1082,"AverageApproachDistancePar",2007
5,5,"Tommy Armour III",81,156.8,4537760,804,"AverageApproachDistancePar",2007
5,5,"Jason Schultz",63,156.8,3341749,592,"AverageApproachDistancePar",2007
7,7,"Jarrod Lyle",77,157,4284711,758,"AverageApproachDistancePar",2007
7,7,"Jim Rutledge",59,157,3109436,550,"AverageApproachDistancePar",2007
9,9,"Harrison Frazar",88,157.1,4446201,786,"AverageApproachDistancePar",2007
10,10,"Tag Ridings",52,157.6,2830936,499,"AverageApproachDistancePar",2007
11,11,"Steve Lowery",74,157.8,4357753,767,"AverageApproachDistancePar",2007
12,12,"Mark Brooks",53,158.1,2925679,514,"AverageApproachDistancePar",2007
12,12,"Bubba Watson",80,158.1,4127248,725,"AverageApproachDistancePar",2007
14,14,"Tim Clark",66,158.4,3518006,617,"AverageApproachDistancePar",2007
14,14,"Todd Hamilton",76,158.4,3622123,635,"AverageApproachDistancePar",2007
16,16,"Bryce Molder",56,158.6,3151550,552,"AverageApproachDistancePar",2007
17,17,"Craig Barlow",52,158.7,2793492,489,"AverageApproachDistancePar",2007
17,17,"Jeff Overton",60,158.7,3604366,631,"AverageApproachDistancePar",2007
17,17,"Chris Tidland",59,158.7,3312700,580,"AverageApproachDistancePar",2007
20,20,"Joe Durant",88,158.9,4827047,844,"AverageApproachDistancePar",2007
21,21,"Michael Allen",74,159,4041919,706,"AverageApproachDistancePar",2007
22,22,"Ryan Armour",107,159.1,6094045,1064,"AverageApproachDistancePar",2007
22,22,"Jeff Brehaut",59,159.1,3265271,570,"AverageApproachDistancePar",2007
22,22,"Freddie Jacobson",70,159.1,4266214,745,"AverageApproachDistancePar",2007
25,25,"Glen Day",85,159.2,4927731,860,"AverageApproachDistancePar",2007
25,25,"Darron Stiles",65,159.2,3272106,571,"AverageApproachDistancePar",2007
27,27,"Michael Boyd",61,159.3,3492639,609,"AverageApproachDistancePar",2007
27,27,"Marco Dawson",73,159.3,4267951,744,"AverageApproachDistancePar",2007
27,27,"John Merrick",92,159.3,5172773,902,"AverageApproachDistancePar",2007
27,27,"Chris Riley",59,159.3,3361290,586,"AverageApproachDistancePar",2007
31,31,"Stuart Appleby",74,159.4,3804655,663,"AverageApproachDistancePar",2007
31,31,"Davis Love III",66,159.4,3430574,598,"AverageApproachDistancePar",2007
31,31,"Chris Stroud",66,159.4,3655440,637,"AverageApproachDistancePar",2007
34,34,"Chris Couch",76,159.5,4638400,808,"AverageApproachDistancePar",2007
34,34,"John Daly",59,159.5,2830557,493,"AverageApproachDistancePar",2007
34,34,"Dicky Pride",71,159.5,4064388,708,"AverageApproachDistancePar",2007
37,37,"Andrew Buckle",77,159.6,4286449,746,"AverageApproachDistancePar",2007
37,37,"Kevin Stadler",95,159.6,5048970,879,"AverageApproachDistancePar",2007
39,39,"Greg Owen",81,159.7,4468000,777,"AverageApproachDistancePar",2007
40,40,"JP Hayes",89,159.8,5120323,890,"AverageApproachDistancePar",2007
40,40,"Justin Leonard",95,159.8,5527083,961,"AverageApproachDistancePar",2007
40,40,"Jeff Maggert",79,159.8,5120480,890,"AverageApproachDistancePar",2007
43,43,"Geoff Ogilvy",84,159.9,4097975,712,"AverageApproachDistancePar",2007
44,44,"Ryan Palmer",91,160,5367101,932,"AverageApproachDistancePar",2007
44,44,"Kyle Reifers",71,160,4061480,705,"AverageApproachDistancePar",2007
46,46,"Brian Bateman",55,160.1,2859029,496,"AverageApproachDistancePar",2007
46,46,"Lee Janzen",66,160.1,3447300,598,"AverageApproachDistancePar",2007
46,46,"Joey Sindelar",75,160.1,4402535,764,"AverageApproachDistancePar",2007
49,49,"Tom Byrum",50,160.2,2784921,483,"AverageApproachDistancePar",2007
49,49,"Matt Hendrix",63,160.2,3540336,614,"AverageApproachDistancePar",2007
49,49,"Matt Kuchar",85,160.2,4943090,857,"AverageApproachDistancePar",2007
49,49,"Joe Ogilvie",102,160.2,5489526,952,"AverageApproachDistancePar",2007
49,49,"Paul Stankowski",52,160.2,2646541,459,"AverageApproachDistancePar",2007
49,49,"DJ Trahan",99,160.2,6061003,1051,"AverageApproachDistancePar",2007
55,55,"Duffy Waldorf",69,160.3,3947695,684,"AverageApproachDistancePar",2007
55,55,"Brett Wetterich",88,160.3,4242798,735,"AverageApproachDistancePar",2007
57,57,"Bo Van Pelt",104,160.4,6508221,1127,"AverageApproachDistancePar",2007
58,58,"Shaun Micheel",91,160.5,4730854,819,"AverageApproachDistancePar",2007
58,58,"Kirk Triplett",77,160.5,4525283,783,"AverageApproachDistancePar",2007
60,60,"Mark Hensby",81,160.6,4728812,818,"AverageApproachDistancePar",2007
61,61,"Brendon de Jonge",76,160.8,4023923,695,"AverageApproachDistancePar",2007
61,61,"Shigeki Maruyama",84,160.8,5256796,908,"AverageApproachDistancePar",2007
61,61,"Steve Wheatcroft",73,160.8,3914198,676,"AverageApproachDistancePar",2007
64,64,"David Branshaw",83,160.9,4951424,855,"AverageApproachDistancePar",2007
64,64,"Alex Cejka",80,160.9,5011370,865,"AverageApproachDistancePar",2007
66,66,"Brian Gay",107,161,6507111,1123,"AverageApproachDistancePar",2007
66,66,"Retief Goosen",50,161,2266307,391,"AverageApproachDistancePar",2007
66,66,"Bob Heintz",85,161,4666721,805,"AverageApproachDistancePar",2007
69,69,"Briny Baird",115,161.1,6973258,1202,"AverageApproachDistancePar",2007
69,69,"Paul Goydos",60,161.1,3039633,524,"AverageApproachDistancePar",2007
69,69,"Mathias Gronberg",95,161.1,5656149,975,"AverageApproachDistancePar",2007
69,69,"Scott Gutschewski",67,161.1,3619167,624,"AverageApproachDistancePar",2007
73,73,"Chad Campbell",96,161.2,4671867,805,"AverageApproachDistancePar",2007
73,73,"Fred Funk",65,161.2,3562267,614,"AverageApproachDistancePar",2007
73,73,"Hunter Mahan",91,161.2,4672064,805,"AverageApproachDistancePar",2007
76,76,"JJ Henry",86,161.3,4482499,772,"AverageApproachDistancePar",2007
77,77,"Rod Pampling",92,161.4,4945544,851,"AverageApproachDistancePar",2007
77,77,"Vijay Singh",102,161.4,5386763,927,"AverageApproachDistancePar",2007
79,79,"Kent Jones",97,161.5,5737312,987,"AverageApproachDistancePar",2007
79,79,"Rory Sabbatini",81,161.5,4214921,725,"AverageApproachDistancePar",2007
79,79,"Mark Wilson",87,161.5,4971451,855,"AverageApproachDistancePar",2007
82,82,"Craig Bowden",78,161.6,4507402,775,"AverageApproachDistancePar",2007
82,82,"Kenny Perry",83,161.6,4980569,856,"AverageApproachDistancePar",2007
84,84,"Ben Curtis",80,161.7,4214756,724,"AverageApproachDistancePar",2007
84,84,"Jeff Gove",103,161.7,6294137,1081,"AverageApproachDistancePar",2007
84,84,"Paul Gow",70,161.7,3806847,654,"AverageApproachDistancePar",2007
84,84,"Tim Herron",98,161.7,5513397,947,"AverageApproachDistancePar",2007
84,84,"Charles Howell III",89,161.7,4319829,742,"AverageApproachDistancePar",2007
84,84,"Frank Lickliter II",95,161.7,5425208,932,"AverageApproachDistancePar",2007
84,84,"Parker McLachlin",83,161.7,4767646,819,"AverageApproachDistancePar",2007
84,84,"George McNeill",95,161.7,5356799,920,"AverageApproachDistancePar",2007
84,84,"John Rollins",102,161.7,5670514,974,"AverageApproachDistancePar",2007
84,84,"Vaughn Taylor",91,161.7,4581850,787,"AverageApproachDistancePar",2007
94,94,"Aaron Baddeley",83,161.8,4274932,734,"AverageApproachDistancePar",2007
94,94,"Rich Barcelo",80,161.8,4489600,771,"AverageApproachDistancePar",2007
94,94,"DJ Brigman",67,161.8,3564784,612,"AverageApproachDistancePar",2007
94,94,"Charley Hoffman",97,161.8,5235413,899,"AverageApproachDistancePar",2007
