"FinalRoundScoringAverage_RANKTHISWEEK_2014","FinalRoundScoringAverage_RANKLASTWEEK_2014","FinalRoundScoringAverage_PLAYERNAME_2014","FinalRoundScoringAverage__2014","FinalRoundScoringAverage_AVG_2014","FinalRoundScoringAverage_TOTALSTROKES_2014","FinalRoundScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Charl Schwartzel",NA,68.57,960,14,"FinalRoundScoringAverage",2014
2,2,"David Toms",NA,68.82,757,11,"FinalRoundScoringAverage",2014
3,3,"Henrik Stenson",NA,68.92,896,13,"FinalRoundScoringAverage",2014
4,4,"Harris English",NA,69.05,1312,19,"FinalRoundScoringAverage",2014
5,5,"Sergio Garcia",NA,69.07,967,14,"FinalRoundScoringAverage",2014
6,6,"Graeme McDowell",NA,69.2,1038,15,"FinalRoundScoringAverage",2014
7,7,"Will Ma Kenzie",NA,69.21,969,14,"FinalRoundScoringAverage",2014
8,8,"Rickie Fowler",NA,69.29,1178,17,"FinalRoundScoringAverage",2014
9,9,"Johnson Wagner",NA,69.33,624,9,"FinalRoundScoringAverage",2014
10,10,"Webb Simpson",NA,69.44,1250,18,"FinalRoundScoringAverage",2014
11,11,"Jimmy Walker",NA,69.45,1528,22,"FinalRoundScoringAverage",2014
12,12,"Adam Scott",NA,69.47,1181,17,"FinalRoundScoringAverage",2014
13,13,"Brad Fritsch",NA,69.57,487,7,"FinalRoundScoringAverage",2014
14,14,"Brian Stuard",NA,69.6,1044,15,"FinalRoundScoringAverage",2014
15,15,"Dustin Johnson",NA,69.62,905,13,"FinalRoundScoringAverage",2014
15,15,"Matt Kuchar",NA,69.62,1462,21,"FinalRoundScoringAverage",2014
17,17,"Graham DeLaet",NA,69.63,1114,16,"FinalRoundScoringAverage",2014
17,17,"Rory McIlroy",NA,69.63,1114,16,"FinalRoundScoringAverage",2014
19,19,"Tim Clark",NA,69.64,766,11,"FinalRoundScoringAverage",2014
19,19,"Heath Slocum",NA,69.64,766,11,"FinalRoundScoringAverage",2014
21,21,"Kevin Na",NA,69.65,1393,20,"FinalRoundScoringAverage",2014
21,21,"Bubba Watson",NA,69.65,1184,17,"FinalRoundScoringAverage",2014
23,23,"William McGirt",NA,69.67,1254,18,"FinalRoundScoringAverage",2014
23,23,"Jeff Overton",NA,69.67,1045,15,"FinalRoundScoringAverage",2014
25,25,"Ernie Els",NA,69.69,1115,16,"FinalRoundScoringAverage",2014
25,25,"Ryo Ishikawa",NA,69.69,906,13,"FinalRoundScoringAverage",2014
27,27,"Jim Furyk",NA,69.7,1394,20,"FinalRoundScoringAverage",2014
28,28,"Brooks Koepka",NA,69.75,837,12,"FinalRoundScoringAverage",2014
29,29,"Camilo Villegas",NA,69.78,1256,18,"FinalRoundScoringAverage",2014
30,30,"Jason Day",NA,69.8,698,10,"FinalRoundScoringAverage",2014
30,30,"Russell Knox",NA,69.8,1396,20,"FinalRoundScoringAverage",2014
32,32,"Kevin Kisner",NA,69.88,1118,16,"FinalRoundScoringAverage",2014
33,33,"Angel Cabrera",NA,69.92,839,12,"FinalRoundScoringAverage",2014
34,34,"Stuart Appleby",NA,69.94,1189,17,"FinalRoundScoringAverage",2014
35,35,"Charlie Beljan",NA,70,770,11,"FinalRoundScoringAverage",2014
35,35,"Luke Guthrie",NA,70,1050,15,"FinalRoundScoringAverage",2014
35,35,"Marc Leishman",NA,70,1190,17,"FinalRoundScoringAverage",2014
35,35,"Carl Pettersson",NA,70,1190,17,"FinalRoundScoringAverage",2014
39,39,"Jerry Kelly",NA,70.06,1191,17,"FinalRoundScoringAverage",2014
39,39,"George McNeill",NA,70.06,1121,16,"FinalRoundScoringAverage",2014
39,39,"Chris Stroud",NA,70.06,1261,18,"FinalRoundScoringAverage",2014
42,42,"Jason Bohn",NA,70.07,1051,15,"FinalRoundScoringAverage",2014
43,43,"James Hahn",NA,70.08,911,13,"FinalRoundScoringAverage",2014
43,43,"Brendon Todd",NA,70.08,1752,25,"FinalRoundScoringAverage",2014
45,45,"Hudson Swafford",NA,70.1,701,10,"FinalRoundScoringAverage",2014
46,46,"Charles Howell III",NA,70.13,1683,24,"FinalRoundScoringAverage",2014
47,47,"Robert Allenby",NA,70.17,842,12,"FinalRoundScoringAverage",2014
48,48,"Roberto Castro",NA,70.18,772,11,"FinalRoundScoringAverage",2014
49,49,"Erik Compton",NA,70.19,1123,16,"FinalRoundScoringAverage",2014
49,49,"Charley Hoffman",NA,70.19,1474,21,"FinalRoundScoringAverage",2014
51,51,"Chad Campbell",NA,70.22,632,9,"FinalRoundScoringAverage",2014
52,52,"Brendan Steele",NA,70.25,1124,16,"FinalRoundScoringAverage",2014
53,53,"Charlie Wi",NA,70.3,703,10,"FinalRoundScoringAverage",2014
54,54,"Billy Hurley III",NA,70.31,1125,16,"FinalRoundScoringAverage",2014
55,55,"Phil Mickelson",NA,70.36,985,14,"FinalRoundScoringAverage",2014
56,56,"KJ Choi",NA,70.38,1126,16,"FinalRoundScoringAverage",2014
57,57,"Zach Johnson",NA,70.39,1619,23,"FinalRoundScoringAverage",2014
58,58,"Troy Merritt",NA,70.4,704,10,"FinalRoundScoringAverage",2014
59,59,"John Senden",NA,70.41,1549,22,"FinalRoundScoringAverage",2014
60,60,"Paul Casey",NA,70.42,845,12,"FinalRoundScoringAverage",2014
60,60,"Billy Horschel",NA,70.42,1338,19,"FinalRoundScoringAverage",2014
62,62,"Brian Harman",NA,70.43,1620,23,"FinalRoundScoringAverage",2014
62,62,"Jordan Spieth",NA,70.43,1620,23,"FinalRoundScoringAverage",2014
64,64,"John Huh",NA,70.46,916,13,"FinalRoundScoringAverage",2014
64,64,"Ben Martin",NA,70.46,916,13,"FinalRoundScoringAverage",2014
66,66,"Jonas Blixt",NA,70.5,705,10,"FinalRoundScoringAverage",2014
66,66,"Patrick Reed",NA,70.5,1269,18,"FinalRoundScoringAverage",2014
68,68,"Keegan Bradley",NA,70.53,1340,19,"FinalRoundScoringAverage",2014
69,69,"Sangmoon Bae",NA,70.54,917,13,"FinalRoundScoringAverage",2014
70,70,"Tyrone Van Aswegen",NA,70.57,988,14,"FinalRoundScoringAverage",2014
71,71,"Danny Lee",NA,70.58,847,12,"FinalRoundScoringAverage",2014
72,72,"Brian Davis",NA,70.61,1271,18,"FinalRoundScoringAverage",2014
73,73,"Kevin Chappell",NA,70.62,1483,21,"FinalRoundScoringAverage",2014
74,74,"Steven Bowditch",NA,70.63,1130,16,"FinalRoundScoringAverage",2014
75,75,"Chris Kirk",NA,70.64,1766,25,"FinalRoundScoringAverage",2014
75,75,"Lee Westwood",NA,70.64,777,11,"FinalRoundScoringAverage",2014
