"FirstTeeLateRound1ScoringAverage_RANKTHISWEEK_2013","FirstTeeLateRound1ScoringAverage_RANKLASTWEEK_2013","FirstTeeLateRound1ScoringAverage_PLAYERNAME_2013","FirstTeeLateRound1ScoringAverage__2013","FirstTeeLateRound1ScoringAverage_AVG_2013","FirstTeeLateRound1ScoringAverage_TOTALSTROKES_2013","FirstTeeLateRound1ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Peter Hanson",NA,67,134,2,"FirstTeeLateRound1ScoringAverage",2013
2,2,"John Rollins",NA,68.5,548,8,"FirstTeeLateRound1ScoringAverage",2013
3,3,"Bubba Watson",NA,68.57,480,7,"FirstTeeLateRound1ScoringAverage",2013
4,4,"Ryan Moore",NA,68.67,206,3,"FirstTeeLateRound1ScoringAverage",2013
5,5,"Richard Lee",NA,68.75,275,4,"FirstTeeLateRound1ScoringAverage",2013
5,5,"Justin Rose",NA,68.75,550,8,"FirstTeeLateRound1ScoringAverage",2013
5,5,"Shawn Stefani",NA,68.75,275,4,"FirstTeeLateRound1ScoringAverage",2013
8,8,"Scott Langley",NA,68.8,344,5,"FirstTeeLateRound1ScoringAverage",2013
9,9,"Lee Westwood",NA,68.83,413,6,"FirstTeeLateRound1ScoringAverage",2013
10,10,"Jason Bohn",NA,69,276,4,"FirstTeeLateRound1ScoringAverage",2013
10,10,"Brad Fritsch",NA,69,552,8,"FirstTeeLateRound1ScoringAverage",2013
10,10,"Sergio Garcia",NA,69,483,7,"FirstTeeLateRound1ScoringAverage",2013
10,10,"Robert Garrigus",NA,69,276,4,"FirstTeeLateRound1ScoringAverage",2013
10,10,"Charley Hoffman",NA,69,552,8,"FirstTeeLateRound1ScoringAverage",2013
15,15,"Dicky Pride",NA,69.2,346,5,"FirstTeeLateRound1ScoringAverage",2013
16,16,"Jeff Overton",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2013
16,16,"Kevin Streelman",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2013
16,16,"Josh Teater",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2013
19,19,"Zach Johnson",NA,69.44,625,9,"FirstTeeLateRound1ScoringAverage",2013
20,20,"Charlie Beljan",NA,69.5,417,6,"FirstTeeLateRound1ScoringAverage",2013
20,20,"Russell Henley",NA,69.5,278,4,"FirstTeeLateRound1ScoringAverage",2013
20,20,"Doug LaBelle II",NA,69.5,417,6,"FirstTeeLateRound1ScoringAverage",2013
20,20,"William McGirt",NA,69.5,278,4,"FirstTeeLateRound1ScoringAverage",2013
24,24,"Greg Chalmers",NA,69.6,348,5,"FirstTeeLateRound1ScoringAverage",2013
24,24,"Greg Owen",NA,69.6,348,5,"FirstTeeLateRound1ScoringAverage",2013
24,24,"Henrik Stenson",NA,69.6,348,5,"FirstTeeLateRound1ScoringAverage",2013
27,27,"Charles Howell III",NA,69.67,418,6,"FirstTeeLateRound1ScoringAverage",2013
28,28,"Graham DeLaet",NA,69.7,697,10,"FirstTeeLateRound1ScoringAverage",2013
28,28,"Adam Scott",NA,69.7,697,10,"FirstTeeLateRound1ScoringAverage",2013
30,30,"Jordan Spieth",NA,69.71,488,7,"FirstTeeLateRound1ScoringAverage",2013
31,31,"Matt Jones",NA,69.75,279,4,"FirstTeeLateRound1ScoringAverage",2013
32,32,"Keegan Bradley",NA,69.82,768,11,"FirstTeeLateRound1ScoringAverage",2013
33,33,"Dustin Johnson",NA,69.83,419,6,"FirstTeeLateRound1ScoringAverage",2013
34,34,"Harris English",NA,69.86,489,7,"FirstTeeLateRound1ScoringAverage",2013
34,34,"Chez Reavie",NA,69.86,489,7,"FirstTeeLateRound1ScoringAverage",2013
36,36,"Jason Day",NA,69.88,559,8,"FirstTeeLateRound1ScoringAverage",2013
36,36,"Gary Woodland",NA,69.88,559,8,"FirstTeeLateRound1ScoringAverage",2013
38,38,"Ernie Els",NA,69.89,629,9,"FirstTeeLateRound1ScoringAverage",2013
39,39,"Michael Bradley",NA,70,420,6,"FirstTeeLateRound1ScoringAverage",2013
