"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2008","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2008","AverageDistanceafterGoingforitShot_PLAYERNAME_2008","AverageDistanceafterGoingforitShot_ROUNDS_2008","AverageDistanceafterGoingforitShot_AVG_2008","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2008","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2008","stat_name","year"
1,1,"Scott Sterling",89,20.7,65562,88,"AverageDistanceafterGoingforitShot",2008
2,2,"Paul Casey",55,21,48495,64,"AverageDistanceafterGoingforitShot",2008
3,3,"Ernie Els",51,21.1,41072,54,"AverageDistanceafterGoingforitShot",2008
3,3,"Vijay Singh",82,21.1,109628,144,"AverageDistanceafterGoingforitShot",2008
5,5,"Hunter Mahan",87,21.6,103342,133,"AverageDistanceafterGoingforitShot",2008
6,6,"Gavin Coles",54,21.9,26836,34,"AverageDistanceafterGoingforitShot",2008
6,6,"Greg Kraft",63,21.9,37857,48,"AverageDistanceafterGoingforitShot",2008
8,8,"Kenny Perry",97,22,139445,176,"AverageDistanceafterGoingforitShot",2008
9,9,"JB Holmes",86,22.1,142178,179,"AverageDistanceafterGoingforitShot",2008
10,10,"Bubba Watson",97,22.2,170671,214,"AverageDistanceafterGoingforitShot",2008
11,11,"Martin Laird",98,22.3,155001,193,"AverageDistanceafterGoingforitShot",2008
11,11,"Davis Love III",78,22.3,108432,135,"AverageDistanceafterGoingforitShot",2008
11,11,"Camilo Villegas",79,22.3,103539,129,"AverageDistanceafterGoingforitShot",2008
14,14,"Brandt Jobe",52,22.4,69342,86,"AverageDistanceafterGoingforitShot",2008
15,15,"Richard Johnson",60,22.5,45453,56,"AverageDistanceafterGoingforitShot",2008
16,16,"Jim Furyk",95,22.6,87735,108,"AverageDistanceafterGoingforitShot",2008
16,16,"Andres Romero",69,22.6,88614,109,"AverageDistanceafterGoingforitShot",2008
18,18,"Stephen Ames",83,22.7,71147,87,"AverageDistanceafterGoingforitShot",2008
18,18,"Pat Perez",93,22.7,143122,175,"AverageDistanceafterGoingforitShot",2008
20,20,"Robert Garrigus",90,22.8,207910,253,"AverageDistanceafterGoingforitShot",2008
21,21,"Stewart Cink",87,22.9,111911,136,"AverageDistanceafterGoingforitShot",2008
21,21,"Tom Lehman",51,22.9,50298,61,"AverageDistanceafterGoingforitShot",2008
23,23,"Nick Flanagan",89,23,138804,168,"AverageDistanceafterGoingforitShot",2008
23,23,"Trevor Immelman",70,23,52212,63,"AverageDistanceafterGoingforitShot",2008
23,23,"George McNeill",97,23,149843,181,"AverageDistanceafterGoingforitShot",2008
26,26,"Jason Gore",94,23.2,146960,176,"AverageDistanceafterGoingforitShot",2008
26,26,"Anthony Kim",81,23.2,112584,135,"AverageDistanceafterGoingforitShot",2008
26,26,"John Riegger",73,23.2,92843,111,"AverageDistanceafterGoingforitShot",2008
26,26,"Adam Scott",51,23.2,70162,84,"AverageDistanceafterGoingforitShot",2008
26,26,"Ron Whittaker",54,23.2,32538,39,"AverageDistanceafterGoingforitShot",2008
31,31,"Fred Couples",60,23.3,96581,115,"AverageDistanceafterGoingforitShot",2008
31,31,"David Duval",51,23.3,56258,67,"AverageDistanceafterGoingforitShot",2008
31,31,"Craig Kanada",65,23.3,43562,52,"AverageDistanceafterGoingforitShot",2008
31,31,"Rory Sabbatini",77,23.3,101570,121,"AverageDistanceafterGoingforitShot",2008
35,35,"John Senden",93,23.4,120532,143,"AverageDistanceafterGoingforitShot",2008
36,36,"Brad Adamonis",87,23.6,126390,149,"AverageDistanceafterGoingforitShot",2008
36,36,"Tom Scherrer",56,23.6,58628,69,"AverageDistanceafterGoingforitShot",2008
36,36,"Kevin Streelman",114,23.6,172662,203,"AverageDistanceafterGoingforitShot",2008
36,36,"Bo Van Pelt",101,23.6,152752,180,"AverageDistanceafterGoingforitShot",2008
40,40,"Ryan Armour",87,23.7,95704,112,"AverageDistanceafterGoingforitShot",2008
40,40,"Bart Bryant",81,23.7,57133,67,"AverageDistanceafterGoingforitShot",2008
40,40,"Frank Lickliter II",107,23.7,152722,179,"AverageDistanceafterGoingforitShot",2008
40,40,"Brett Quigley",80,23.7,113325,133,"AverageDistanceafterGoingforitShot",2008
44,44,"Robert Allenby",108,23.8,155215,181,"AverageDistanceafterGoingforitShot",2008
44,44,"Jason Allred",63,23.8,89114,104,"AverageDistanceafterGoingforitShot",2008
44,44,"Bill Haas",99,23.8,173230,202,"AverageDistanceafterGoingforitShot",2008
44,44,"Joe Ogilvie",100,23.8,138719,162,"AverageDistanceafterGoingforitShot",2008
48,48,"Sean OHair",81,23.9,105948,123,"AverageDistanceafterGoingforitShot",2008
49,49,"Justin Bolli",87,24,93264,108,"AverageDistanceafterGoingforitShot",2008
49,49,"Brian Gay",102,24,61289,71,"AverageDistanceafterGoingforitShot",2008
49,49,"Todd Hamilton",92,24,88040,102,"AverageDistanceafterGoingforitShot",2008
52,52,"Marco Dawson",64,24.1,64260,74,"AverageDistanceafterGoingforitShot",2008
52,52,"Sergio Garcia",72,24.1,103083,119,"AverageDistanceafterGoingforitShot",2008
52,52,"Phil Mickelson",80,24.1,124721,144,"AverageDistanceafterGoingforitShot",2008
55,55,"Aaron Baddeley",76,24.2,115160,132,"AverageDistanceafterGoingforitShot",2008
55,55,"Alejandro Canizares",52,24.2,58314,67,"AverageDistanceafterGoingforitShot",2008
55,55,"Troy Matteson",94,24.2,167240,192,"AverageDistanceafterGoingforitShot",2008
55,55,"Brenden Pappas",66,24.2,95781,110,"AverageDistanceafterGoingforitShot",2008
55,55,"Bob Sowards",61,24.2,85233,98,"AverageDistanceafterGoingforitShot",2008
55,55,"Kevin Sutherland",98,24.2,148837,171,"AverageDistanceafterGoingforitShot",2008
55,55,"DJ Trahan",94,24.2,150575,173,"AverageDistanceafterGoingforitShot",2008
62,62,"YE Yang",89,24.3,133764,153,"AverageDistanceafterGoingforitShot",2008
63,63,"Ben Curtis",80,24.4,80879,92,"AverageDistanceafterGoingforitShot",2008
63,63,"Jim McGovern",75,24.4,59824,68,"AverageDistanceafterGoingforitShot",2008
65,65,"Kevin Stadler",90,24.5,133962,152,"AverageDistanceafterGoingforitShot",2008
65,65,"Nicholas Thompson",113,24.5,192615,218,"AverageDistanceafterGoingforitShot",2008
67,67,"Woody Austin",109,24.6,149865,169,"AverageDistanceafterGoingforitShot",2008
67,67,"Padraig Harrington",52,24.6,54857,62,"AverageDistanceafterGoingforitShot",2008
67,67,"Charles Howell III",101,24.6,170900,193,"AverageDistanceafterGoingforitShot",2008
70,70,"Tim Clark",90,24.7,65750,74,"AverageDistanceafterGoingforitShot",2008
70,70,"Kent Jones",68,24.7,79053,89,"AverageDistanceafterGoingforitShot",2008
70,70,"Ryan Palmer",69,24.7,103088,116,"AverageDistanceafterGoingforitShot",2008
70,70,"Brandt Snedeker",85,24.7,85350,96,"AverageDistanceafterGoingforitShot",2008
74,74,"Billy Andrade",71,24.8,69719,78,"AverageDistanceafterGoingforitShot",2008
74,74,"Briny Baird",113,24.8,121524,136,"AverageDistanceafterGoingforitShot",2008
74,74,"Charley Hoffman",94,24.8,176433,198,"AverageDistanceafterGoingforitShot",2008
74,74,"Michael Letzig",88,24.8,136626,153,"AverageDistanceafterGoingforitShot",2008
74,74,"John Merrick",98,24.8,132853,149,"AverageDistanceafterGoingforitShot",2008
79,79,"Chad Campbell",94,24.9,119007,133,"AverageDistanceafterGoingforitShot",2008
79,79,"Mathias Gronberg",87,24.9,159632,178,"AverageDistanceafterGoingforitShot",2008
81,81,"KJ Choi",74,25,79235,88,"AverageDistanceafterGoingforitShot",2008
81,81,"Jeff Gove",50,25,54988,61,"AverageDistanceafterGoingforitShot",2008
81,81,"Matt Kuchar",88,25,69386,77,"AverageDistanceafterGoingforitShot",2008
81,81,"Will Ma Kenzie",62,25,85469,95,"AverageDistanceafterGoingforitShot",2008
81,81,"Steve Stricker",75,25,71902,80,"AverageDistanceafterGoingforitShot",2008
86,86,"Tommy Armour III",77,25.1,64974,72,"AverageDistanceafterGoingforitShot",2008
86,86,"James Driscoll",85,25.1,156300,173,"AverageDistanceafterGoingforitShot",2008
86,86,"Freddie Jacobson",78,25.1,74976,83,"AverageDistanceafterGoingforitShot",2008
86,86,"David Toms",70,25.1,77592,86,"AverageDistanceafterGoingforitShot",2008
90,90,"Carlos Franco",73,25.2,104154,115,"AverageDistanceafterGoingforitShot",2008
90,90,"Lucas Glover",91,25.2,145976,161,"AverageDistanceafterGoingforitShot",2008
90,90,"John Rollins",94,25.2,133216,147,"AverageDistanceafterGoingforitShot",2008
93,93,"Brian Davis",108,25.3,132951,146,"AverageDistanceafterGoingforitShot",2008
93,93,"Dustin Johnson",92,25.3,181329,199,"AverageDistanceafterGoingforitShot",2008
93,93,"Steve Marino",119,25.3,175947,193,"AverageDistanceafterGoingforitShot",2008
93,93,"Patrick Sheehan",124,25.3,132903,146,"AverageDistanceafterGoingforitShot",2008
97,97,"Cliff Kresge",84,25.5,92615,101,"AverageDistanceafterGoingforitShot",2008
97,97,"Parker McLachlin",88,25.5,122109,133,"AverageDistanceafterGoingforitShot",2008
97,97,"Nick OHern",82,25.5,56962,62,"AverageDistanceafterGoingforitShot",2008
97,97,"Geoff Ogilvy",65,25.5,67099,73,"AverageDistanceafterGoingforitShot",2008
97,97,"Nick Watney",96,25.5,219268,239,"AverageDistanceafterGoingforitShot",2008
97,97,"Boo Weekley",86,25.5,116471,127,"AverageDistanceafterGoingforitShot",2008
103,103,"Harrison Frazar",73,25.6,126984,138,"AverageDistanceafterGoingforitShot",2008
104,104,"Todd Demsey",80,25.7,126985,137,"AverageDistanceafterGoingforitShot",2008
104,104,"Jeff Overton",103,25.7,187834,203,"AverageDistanceafterGoingforitShot",2008
104,104,"Jesper Parnevik",88,25.7,135984,147,"AverageDistanceafterGoingforitShot",2008
104,104,"Tim Wilkinson",95,25.7,102574,111,"AverageDistanceafterGoingforitShot",2008
108,108,"Glen Day",64,25.8,55712,60,"AverageDistanceafterGoingforitShot",2008
108,108,"Carl Pettersson",110,25.8,140426,151,"AverageDistanceafterGoingforitShot",2008
110,110,"Kenneth Ferrie",72,25.9,110001,118,"AverageDistanceafterGoingforitShot",2008
110,110,"Tag Ridings",88,25.9,182826,196,"AverageDistanceafterGoingforitShot",2008
110,110,"Heath Slocum",104,25.9,86861,93,"AverageDistanceafterGoingforitShot",2008
113,113,"Stuart Appleby",87,26,95491,102,"AverageDistanceafterGoingforitShot",2008
113,113,"Tim Petrovic",97,26,124564,133,"AverageDistanceafterGoingforitShot",2008
115,115,"Bob Estes",90,26.1,107107,114,"AverageDistanceafterGoingforitShot",2008
115,115,"Mathew Goggin",91,26.1,179312,191,"AverageDistanceafterGoingforitShot",2008
115,115,"Justin Leonard",101,26.1,77970,83,"AverageDistanceafterGoingforitShot",2008
118,118,"Nathan Green",95,26.2,164118,174,"AverageDistanceafterGoingforitShot",2008
118,118,"Jay Williamson",96,26.2,91420,97,"AverageDistanceafterGoingforitShot",2008
120,120,"Cameron Beckman",87,26.3,94749,100,"AverageDistanceafterGoingforitShot",2008
120,120,"Tommy Gainey",60,26.3,99489,105,"AverageDistanceafterGoingforitShot",2008
120,120,"Matt Jones",95,26.3,171619,181,"AverageDistanceafterGoingforitShot",2008
123,123,"Michael Allen",91,26.4,123718,130,"AverageDistanceafterGoingforitShot",2008
123,123,"Joe Durant",92,26.4,134938,142,"AverageDistanceafterGoingforitShot",2008
123,123,"Tim Herron",97,26.4,147538,155,"AverageDistanceafterGoingforitShot",2008
123,123,"Jerry Kelly",89,26.4,87543,92,"AverageDistanceafterGoingforitShot",2008
123,123,"Jeff Maggert",86,26.4,127262,134,"AverageDistanceafterGoingforitShot",2008
123,123,"Jeff Quinney",87,26.4,75058,79,"AverageDistanceafterGoingforitShot",2008
123,123,"Jimmy Walker",73,26.4,129289,136,"AverageDistanceafterGoingforitShot",2008
130,130,"Shane Bertsch",96,26.5,94361,99,"AverageDistanceafterGoingforitShot",2008
131,131,"Cody Freeman",66,26.6,81476,85,"AverageDistanceafterGoingforitShot",2008
131,131,"Paul Goydos",78,26.6,68048,71,"AverageDistanceafterGoingforitShot",2008
131,131,"Chris Stroud",81,26.6,105486,110,"AverageDistanceafterGoingforitShot",2008
131,131,"Dean Wilson",109,26.6,104527,109,"AverageDistanceafterGoingforitShot",2008
135,135,"Rocco Mediate",87,26.7,106862,111,"AverageDistanceafterGoingforitShot",2008
135,135,"Rod Pampling",83,26.7,130767,136,"AverageDistanceafterGoingforitShot",2008
137,137,"Bob Tway",70,26.8,79181,82,"AverageDistanceafterGoingforitShot",2008
137,137,"Mike Weir",88,26.8,103133,107,"AverageDistanceafterGoingforitShot",2008
139,139,"Mark Calcavecchia",67,26.9,92058,95,"AverageDistanceafterGoingforitShot",2008
139,139,"Tom Pernice Jr",104,26.9,130507,135,"AverageDistanceafterGoingforitShot",2008
141,141,"Jon Mills",95,27,140757,145,"AverageDistanceafterGoingforitShot",2008
141,141,"Marc Turnesa",87,27,104818,108,"AverageDistanceafterGoingforitShot",2008
143,143,"Ken Duke",116,27.1,169733,174,"AverageDistanceafterGoingforitShot",2008
143,143,"Ian Poulter",51,27.1,40018,41,"AverageDistanceafterGoingforitShot",2008
145,145,"John Huston",56,27.2,97831,100,"AverageDistanceafterGoingforitShot",2008
145,145,"Steve Lowery",74,27.2,127363,130,"AverageDistanceafterGoingforitShot",2008
145,145,"Ryan Moore",72,27.2,140036,143,"AverageDistanceafterGoingforitShot",2008
148,148,"Eric Axley",113,27.3,158257,161,"AverageDistanceafterGoingforitShot",2008
148,148,"Retief Goosen",59,27.3,67743,69,"AverageDistanceafterGoingforitShot",2008
148,148,"Charles Warren",79,27.3,185845,189,"AverageDistanceafterGoingforitShot",2008
148,148,"Mark Wilson",107,27.3,150358,153,"AverageDistanceafterGoingforitShot",2008
152,152,"Brad Elder",67,27.4,84962,86,"AverageDistanceafterGoingforitShot",2008
153,153,"Angel Cabrera",55,27.5,96168,97,"AverageDistanceafterGoingforitShot",2008
