"FirstTeeEarlyRound4ScoringAverage_RANKTHISWEEK_2010","FirstTeeEarlyRound4ScoringAverage_RANKLASTWEEK_2010","FirstTeeEarlyRound4ScoringAverage_PLAYERNAME_2010","FirstTeeEarlyRound4ScoringAverage__2010","FirstTeeEarlyRound4ScoringAverage_AVG_2010","FirstTeeEarlyRound4ScoringAverage_TOTALSTROKES_2010","FirstTeeEarlyRound4ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Ted Purdy",NA,67,67,1,"FirstTeeEarlyRound4ScoringAverage",2010
2,2,"James Driscoll",NA,67.6,338,5,"FirstTeeEarlyRound4ScoringAverage",2010
3,3,"John Rollins",NA,67.67,203,3,"FirstTeeEarlyRound4ScoringAverage",2010
4,4,"Chris Couch",NA,68,68,1,"FirstTeeEarlyRound4ScoringAverage",2010
4,4,"Webb Simpson",NA,68,408,6,"FirstTeeEarlyRound4ScoringAverage",2010
6,6,"Brian Gay",NA,68.13,545,8,"FirstTeeEarlyRound4ScoringAverage",2010
7,7,"Stewart Cink",NA,68.17,409,6,"FirstTeeEarlyRound4ScoringAverage",2010
8,8,"Jonathan Byrd",NA,68.25,273,4,"FirstTeeEarlyRound4ScoringAverage",2010
9,9,"Charley Hoffman",NA,68.29,478,7,"FirstTeeEarlyRound4ScoringAverage",2010
10,10,"Brett Wetterich",NA,68.33,205,3,"FirstTeeEarlyRound4ScoringAverage",2010
11,11,"Craig Bowden",NA,68.5,137,2,"FirstTeeEarlyRound4ScoringAverage",2010
11,11,"Paul Casey",NA,68.5,137,2,"FirstTeeEarlyRound4ScoringAverage",2010
11,11,"Ben Crane",NA,68.5,822,12,"FirstTeeEarlyRound4ScoringAverage",2010
11,11,"Dean Wilson",NA,68.5,411,6,"FirstTeeEarlyRound4ScoringAverage",2010
15,15,"Chad Collins",NA,68.71,481,7,"FirstTeeEarlyRound4ScoringAverage",2010
16,16,"Jerod Turner",NA,68.8,344,5,"FirstTeeEarlyRound4ScoringAverage",2010
17,17,"Joe Ogilvie",NA,68.86,482,7,"FirstTeeEarlyRound4ScoringAverage",2010
18,18,"Freddie Jacobson",NA,68.89,620,9,"FirstTeeEarlyRound4ScoringAverage",2010
19,19,"Billy Mayfair",NA,69,276,4,"FirstTeeEarlyRound4ScoringAverage",2010
19,19,"Bryce Molder",NA,69,483,7,"FirstTeeEarlyRound4ScoringAverage",2010
19,19,"Charles Warren",NA,69,414,6,"FirstTeeEarlyRound4ScoringAverage",2010
22,22,"Tom Gillis",NA,69.1,691,10,"FirstTeeEarlyRound4ScoringAverage",2010
