"VictoryLeaders_RANKTHISWEEK_2015","VictoryLeaders_RANKLASTWEEK_2015","VictoryLeaders_PLAYERNAME_2015","VictoryLeaders_EVENTS_2015","VictoryLeaders_VICTORIES_2015","stat_name","year"
1,1,"Jason Day",20,5,"VictoryLeaders",2015
1,1,"Jordan Spieth",25,5,"VictoryLeaders",2015
3,3,"Rickie Fowler",21,2,"VictoryLeaders",2015
3,3,"Rory McIlroy",12,2,"VictoryLeaders",2015
3,3,"Jimmy Walker",24,2,"VictoryLeaders",2015
3,3,"Bubba Watson",19,2,"VictoryLeaders",2015
7,7,"Sangmoon Bae",30,1,"VictoryLeaders",2015
7,7,"Steven Bowditch",32,1,"VictoryLeaders",2015
7,7,"Alex Cejka",30,1,"VictoryLeaders",2015
7,7,"Matt Every",26,1,"VictoryLeaders",2015
7,7,"Jim Furyk",19,1,"VictoryLeaders",2015
7,7,"Fabian Gomez",26,1,"VictoryLeaders",2015
7,7,"Bill Haas",25,1,"VictoryLeaders",2015
7,7,"James Hahn",28,1,"VictoryLeaders",2015
7,7,"Padraig Harrington",21,1,"VictoryLeaders",2015
7,7,"JJ Henry",30,1,"VictoryLeaders",2015
7,7,"Charley Hoffman",28,1,"VictoryLeaders",2015
7,7,"JB Holmes",25,1,"VictoryLeaders",2015
7,7,"Zach Johnson",25,1,"VictoryLeaders",2015
7,7,"Dustin Johnson",21,1,"VictoryLeaders",2015
7,7,"Chris Kirk",21,1,"VictoryLeaders",2015
7,7,"Brooks Koepka",23,1,"VictoryLeaders",2015
7,7,"Danny Lee",36,1,"VictoryLeaders",2015
7,7,"David Lingmerth",28,1,"VictoryLeaders",2015
7,7,"Davis Love III",18,1,"VictoryLeaders",2015
7,7,"Shane Lowry",13,1,"VictoryLeaders",2015
7,7,"Ben Martin",27,1,"VictoryLeaders",2015
7,7,"Troy Merritt",29,1,"VictoryLeaders",2015
7,7,"Ryan Moore",24,1,"VictoryLeaders",2015
7,7,"Scott Piercy",28,1,"VictoryLeaders",2015
7,7,"Patrick Reed",27,1,"VictoryLeaders",2015
7,7,"Justin Rose",20,1,"VictoryLeaders",2015
7,7,"Brandt Snedeker",27,1,"VictoryLeaders",2015
