"BirdieorBetterPercentageLess125_RANKTHISWEEK_2011","BirdieorBetterPercentageLess125_RANKLASTWEEK_2011","BirdieorBetterPercentageLess125_PLAYERNAME_2011","BirdieorBetterPercentageLess125_ROUNDS_2011","BirdieorBetterPercentageLess125_Pct_2011","BirdieorBetterPercentageLess125_TOTALBIRDIES_2011","BirdieorBetterPercentageLess125_TOTALHOLES_2011","stat_name","year"
1,1,"Luke Donald",73,33.53,57,170,"BirdieorBetterPercentageLess125",2011
2,2,"Hunter Mahan",92,30.04,85,283,"BirdieorBetterPercentageLess125",2011
3,3,"Bryce Molder",82,29.67,81,273,"BirdieorBetterPercentageLess125",2011
4,4,"Webb Simpson",98,29.61,98,331,"BirdieorBetterPercentageLess125",2011
5,5,"Brian Davis",105,29.24,100,342,"BirdieorBetterPercentageLess125",2011
6,6,"Steve Stricker",70,29.18,68,233,"BirdieorBetterPercentageLess125",2011
7,7,"Charley Hoffman",93,29.14,88,302,"BirdieorBetterPercentageLess125",2011
8,8,"KJ Choi",77,29.11,62,213,"BirdieorBetterPercentageLess125",2011
9,9,"Matt Kuchar",94,28.62,79,276,"BirdieorBetterPercentageLess125",2011
10,10,"Greg Chalmers",88,28.57,84,294,"BirdieorBetterPercentageLess125",2011
11,11,"Graeme McDowell",50,28.48,45,158,"BirdieorBetterPercentageLess125",2011
12,12,"Ben Martin",74,28.02,65,232,"BirdieorBetterPercentageLess125",2011
13,13,"Paul Goydos",81,27.95,90,322,"BirdieorBetterPercentageLess125",2011
14,14,"Robert Garrigus",83,27.74,81,292,"BirdieorBetterPercentageLess125",2011
15,15,"Zach Johnson",79,27.62,66,239,"BirdieorBetterPercentageLess125",2011
16,16,"Blake Adams",116,27.46,117,426,"BirdieorBetterPercentageLess125",2011
17,17,"Scott Piercy",78,27.35,67,245,"BirdieorBetterPercentageLess125",2011
18,18,"Kyle Stanley",98,27.24,82,301,"BirdieorBetterPercentageLess125",2011
19,19,"Camilo Villegas",69,26.88,50,186,"BirdieorBetterPercentageLess125",2011
20,20,"Woody Austin",59,26.87,54,201,"BirdieorBetterPercentageLess125",2011
21,21,"Aaron Baddeley",77,26.72,62,232,"BirdieorBetterPercentageLess125",2011
22,22,"Brandt Snedeker",85,26.69,63,236,"BirdieorBetterPercentageLess125",2011
23,23,"Boo Weekley",66,26.57,55,207,"BirdieorBetterPercentageLess125",2011
23,23,"Dean Wilson",62,26.57,55,207,"BirdieorBetterPercentageLess125",2011
25,25,"Geoff Ogilvy",69,26.5,53,200,"BirdieorBetterPercentageLess125",2011
26,26,"Pat Perez",76,26.37,72,273,"BirdieorBetterPercentageLess125",2011
27,27,"Freddie Jacobson",92,26.32,65,247,"BirdieorBetterPercentageLess125",2011
28,28,"Kent Jones",76,26.17,67,256,"BirdieorBetterPercentageLess125",2011
29,29,"Rory Sabbatini",85,26.16,62,237,"BirdieorBetterPercentageLess125",2011
30,30,"Jason Bohn",74,25.84,69,267,"BirdieorBetterPercentageLess125",2011
31,31,"Jimmy Walker",79,25.63,71,277,"BirdieorBetterPercentageLess125",2011
32,32,"David Toms",78,25.62,52,203,"BirdieorBetterPercentageLess125",2011
33,33,"Tommy Gainey",104,25.6,96,375,"BirdieorBetterPercentageLess125",2011
34,34,"Phil Mickelson",79,25.57,56,219,"BirdieorBetterPercentageLess125",2011
34,34,"Mark Wilson",89,25.57,67,262,"BirdieorBetterPercentageLess125",2011
36,36,"Carl Pettersson",95,25.48,92,361,"BirdieorBetterPercentageLess125",2011
37,37,"David Hearn",88,25.33,77,304,"BirdieorBetterPercentageLess125",2011
38,38,"Stewart Cink",72,25.25,50,198,"BirdieorBetterPercentageLess125",2011
39,39,"Spencer Levin",113,25.07,85,339,"BirdieorBetterPercentageLess125",2011
40,40,"Steve Flesch",88,25,73,292,"BirdieorBetterPercentageLess125",2011
40,40,"Jerry Kelly",85,25,55,220,"BirdieorBetterPercentageLess125",2011
40,40,"Bo Van Pelt",92,25,69,276,"BirdieorBetterPercentageLess125",2011
43,43,"Brendan Steele",89,24.91,66,265,"BirdieorBetterPercentageLess125",2011
44,44,"Shane Bertsch",62,24.88,53,213,"BirdieorBetterPercentageLess125",2011
45,45,"Brian Gay",90,24.68,78,316,"BirdieorBetterPercentageLess125",2011
46,46,"Justin Rose",79,24.64,51,207,"BirdieorBetterPercentageLess125",2011
47,47,"Nick Watney",80,24.61,63,256,"BirdieorBetterPercentageLess125",2011
48,48,"Robert Allenby",84,24.57,57,232,"BirdieorBetterPercentageLess125",2011
49,49,"Jason Dufner",78,24.49,60,245,"BirdieorBetterPercentageLess125",2011
50,50,"Ben Curtis",66,24.35,56,230,"BirdieorBetterPercentageLess125",2011
50,50,"Charles Howell III",108,24.35,84,345,"BirdieorBetterPercentageLess125",2011
52,52,"Nick OHern",89,24.26,74,305,"BirdieorBetterPercentageLess125",2011
53,53,"Garrett Willis",71,24.24,56,231,"BirdieorBetterPercentageLess125",2011
54,54,"Michael Bradley",74,24.12,62,257,"BirdieorBetterPercentageLess125",2011
55,55,"Chris Kirk",87,23.99,71,296,"BirdieorBetterPercentageLess125",2011
56,56,"Andres Romero",77,23.88,64,268,"BirdieorBetterPercentageLess125",2011
57,57,"Tom Gillis",55,23.86,47,197,"BirdieorBetterPercentageLess125",2011
58,58,"Rickie Fowler",84,23.68,63,266,"BirdieorBetterPercentageLess125",2011
59,59,"Marc Leishman",87,23.66,66,279,"BirdieorBetterPercentageLess125",2011
60,60,"Scott Stallings",84,23.6,76,322,"BirdieorBetterPercentageLess125",2011
61,61,"Ryan Moore",79,23.53,44,187,"BirdieorBetterPercentageLess125",2011
62,62,"Bill Lunde",92,23.49,74,315,"BirdieorBetterPercentageLess125",2011
63,63,"Ben Crane",76,23.48,54,230,"BirdieorBetterPercentageLess125",2011
64,64,"Steve Marino",76,23.46,61,260,"BirdieorBetterPercentageLess125",2011
65,65,"Kevin Streelman",90,23.43,67,286,"BirdieorBetterPercentageLess125",2011
65,65,"Bubba Watson",85,23.43,56,239,"BirdieorBetterPercentageLess125",2011
67,67,"James Driscoll",71,23.42,52,222,"BirdieorBetterPercentageLess125",2011
68,68,"JP Hayes",56,23.4,44,188,"BirdieorBetterPercentageLess125",2011
69,69,"Charlie Wi",83,23.39,69,295,"BirdieorBetterPercentageLess125",2011
70,70,"Bill Haas",93,23.33,63,270,"BirdieorBetterPercentageLess125",2011
70,70,"Jim Herman",69,23.33,56,240,"BirdieorBetterPercentageLess125",2011
72,72,"Briny Baird",60,23.24,43,185,"BirdieorBetterPercentageLess125",2011
72,72,"Johnson Wagner",81,23.24,56,241,"BirdieorBetterPercentageLess125",2011
74,74,"Billy Mayfair",94,23.21,68,293,"BirdieorBetterPercentageLess125",2011
75,75,"Aron Price",58,23.2,42,181,"BirdieorBetterPercentageLess125",2011
76,76,"Fabian Gomez",84,23.17,57,246,"BirdieorBetterPercentageLess125",2011
77,77,"George McNeill",69,23.11,49,212,"BirdieorBetterPercentageLess125",2011
78,78,"Ian Poulter",52,23.08,36,156,"BirdieorBetterPercentageLess125",2011
79,79,"Kris Blanks",92,23.03,73,317,"BirdieorBetterPercentageLess125",2011
80,80,"Cameron Beckman",71,23.02,64,278,"BirdieorBetterPercentageLess125",2011
81,81,"Jim Furyk",87,22.81,60,263,"BirdieorBetterPercentageLess125",2011
