"Total1Putts2025_RANKTHISWEEK_2016","Total1Putts2025_RANKLASTWEEK_2016","Total1Putts2025_PLAYERNAME_2016","Total1Putts2025_ROUNDS_2016","Total1Putts2025_TOTAL_2016","Total1Putts2025_TOTALFORALLDISTANCES_2016","Total1Putts2025_PCTOFALL1PUTTS_2016","stat_name","year"
1,1,"Charles Howell III",63,16,348,4.6,"Total1Putts2025",2016
2,1,"Spencer Levin",62,14,324,4.3,"Total1Putts2025",2016
3,3,"Mark Hubbard",73,12,428,2.8,"Total1Putts2025",2016
3,3,"Patton Kizzire",57,12,325,3.7,"Total1Putts2025",2016
3,3,"Andrew Loupe",50,12,316,3.8,"Total1Putts2025",2016
6,10,"Robert Allenby",35,11,165,6.7,"Total1Putts2025",2016
6,6,"Zac Blair",56,11,313,3.5,"Total1Putts2025",2016
6,17,"Jonas Blixt",46,11,292,3.8,"Total1Putts2025",2016
6,6,"Michael Kim",62,11,380,2.9,"Total1Putts2025",2016
6,17,"Jamie Lovemark",57,11,367,3,"Total1Putts2025",2016
6,6,"Sean OHair",45,11,297,3.7,"Total1Putts2025",2016
6,6,"Brett Stegmaier",57,11,317,3.5,"Total1Putts2025",2016
6,10,"Daniel Summerhays",55,11,321,3.4,"Total1Putts2025",2016
14,29,"Chesson Hadley",51,10,265,3.8,"Total1Putts2025",2016
14,10,"Freddie Jacobson",54,10,300,3.3,"Total1Putts2025",2016
14,17,"Colt Knost",56,10,314,3.2,"Total1Putts2025",2016
14,10,"Peter Malnati",53,10,315,3.2,"Total1Putts2025",2016
14,10,"Seung Yul Noh",54,10,317,3.2,"Total1Putts2025",2016
14,10,"Chris Stroud",52,10,288,3.5,"Total1Putts2025",2016
14,10,"Nick Taylor",57,10,314,3.2,"Total1Putts2025",2016
14,17,"Harold Varner III",58,10,350,2.9,"Total1Putts2025",2016
14,17,"Jhonattan Vegas",49,10,245,4.1,"Total1Putts2025",2016
14,17,"Johnson Wagner",44,10,232,4.3,"Total1Putts2025",2016
24,17,"Jon Curran",55,9,298,3,"Total1Putts2025",2016
24,29,"Tony Finau",49,9,261,3.4,"Total1Putts2025",2016
24,29,"Andres Gonzales",46,9,222,4.1,"Total1Putts2025",2016
24,17,"Brian Harman",60,9,366,2.5,"Total1Putts2025",2016
24,17,"Morgan Hoffmann",43,9,265,3.4,"Total1Putts2025",2016
24,17,"Matt Kuchar",46,9,226,4,"Total1Putts2025",2016
24,29,"Danny Lee",53,9,260,3.5,"Total1Putts2025",2016
24,17,"Ryan Palmer",46,9,295,3.1,"Total1Putts2025",2016
24,17,"Kyle Reifers",63,9,321,2.8,"Total1Putts2025",2016
33,29,"Angel Cabrera",42,8,237,3.4,"Total1Putts2025",2016
33,29,"Chad Campbell",54,8,287,2.8,"Total1Putts2025",2016
33,67,"Alex Cejka",47,8,215,3.7,"Total1Putts2025",2016
33,29,"Jason Dufner",53,8,238,3.4,"Total1Putts2025",2016
33,29,"Fabian Gomez",49,8,299,2.7,"Total1Putts2025",2016
33,29,"Retief Goosen",37,8,242,3.3,"Total1Putts2025",2016
33,29,"David Hearn",55,8,287,2.8,"Total1Putts2025",2016
33,29,"Russell Henley",42,8,264,3,"Total1Putts2025",2016
33,49,"Tom Hoge",47,8,273,2.9,"Total1Putts2025",2016
33,29,"Billy Horschel",45,8,250,3.2,"Total1Putts2025",2016
33,29,"Zach Johnson",42,8,237,3.4,"Total1Putts2025",2016
33,49,"Matt Jones",45,8,189,4.2,"Total1Putts2025",2016
33,29,"Luke List",51,8,288,2.8,"Total1Putts2025",2016
33,49,"Davis Love III",40,8,216,3.7,"Total1Putts2025",2016
33,29,"Troy Merritt",41,8,221,3.6,"Total1Putts2025",2016
33,29,"Ryan Moore",40,8,206,3.9,"Total1Putts2025",2016
33,49,"Jeff Overton",51,8,312,2.6,"Total1Putts2025",2016
33,49,"Patrick Rodgers",49,8,253,3.2,"Total1Putts2025",2016
33,29,"Kyle Stanley",57,8,322,2.5,"Total1Putts2025",2016
33,29,"Brendon Todd",43,8,272,2.9,"Total1Putts2025",2016
33,67,"Camilo Villegas",50,8,301,2.7,"Total1Putts2025",2016
33,29,"Will Wilcox",47,8,290,2.8,"Total1Putts2025",2016
33,29,"Gary Woodland",45,8,229,3.5,"Total1Putts2025",2016
56,49,"Aaron Baddeley",51,7,294,2.4,"Total1Putts2025",2016
56,49,"Scott Brown",59,7,292,2.4,"Total1Putts2025",2016
56,67,"Paul Casey",39,7,160,4.4,"Total1Putts2025",2016
56,49,"Erik Compton",45,7,230,3,"Total1Putts2025",2016
56,49,"Derek Fathauer",58,7,333,2.1,"Total1Putts2025",2016
56,49,"Rickie Fowler",42,7,231,3,"Total1Putts2025",2016
56,67,"Adam Hadwin",53,7,337,2.1,"Total1Putts2025",2016
56,49,"Justin Hicks",26,7,153,4.6,"Total1Putts2025",2016
56,49,"Hiroshi Iwata",51,7,256,2.7,"Total1Putts2025",2016
56,49,"Sung Kang",51,7,301,2.3,"Total1Putts2025",2016
56,49,"Chris Kirk",51,7,282,2.5,"Total1Putts2025",2016
56,49,"Jason Kokrak",52,7,266,2.6,"Total1Putts2025",2016
56,49,"David Lingmerth",54,7,259,2.7,"Total1Putts2025",2016
56,49,"George McNeill",33,7,207,3.4,"Total1Putts2025",2016
56,67,"Geoff Ogilvy",37,7,196,3.6,"Total1Putts2025",2016
56,49,"Scott Pinckney",53,7,244,2.9,"Total1Putts2025",2016
56,67,"Vijay Singh",42,7,273,2.6,"Total1Putts2025",2016
73,67,"Ricky Barnes",57,6,336,1.8,"Total1Putts2025",2016
73,67,"Jason Bohn",37,6,205,2.9,"Total1Putts2025",2016
