"PresidentsCupUnitedes_RANKTHISWEEK_2011","PresidentsCupUnitedes_RANKLASTWEEK_2011","PresidentsCupUnitedes_PLAYERNAME_2011","PresidentsCupUnitedes__2011","PresidentsCupUnitedes_POINTS_2011","stat_name","year"
1,1,"Matt Kuchar",NA,14530850,"PresidentsCupUnitedes",2011
2,2,"Steve Stricker",NA,13956355,"PresidentsCupUnitedes",2011
3,3,"Dustin Johnson",NA,13444489,"PresidentsCupUnitedes",2011
4,4,"Webb Simpson",NA,12716373,"PresidentsCupUnitedes",2011
5,5,"Nick Watney",NA,12402129,"PresidentsCupUnitedes",2011
6,6,"Phil Mickelson",NA,12358553,"PresidentsCupUnitedes",2011
7,7,"Bubba Watson",NA,10040726,"PresidentsCupUnitedes",2011
8,8,"David Toms",NA,9370295,"PresidentsCupUnitedes",2011
9,9,"Hunter Mahan",NA,9206692,"PresidentsCupUnitedes",2011
10,10,"Jim Furyk",NA,9122803,"PresidentsCupUnitedes",2011
11,11,"Brandt Snedeker",NA,9035152,"PresidentsCupUnitedes",2011
12,12,"Bill Haas",NA,8814497,"PresidentsCupUnitedes",2011
13,13,"Bo Van Pelt",NA,7958543,"PresidentsCupUnitedes",2011
14,14,"Jason Dufner",NA,7704208,"PresidentsCupUnitedes",2011
15,15,"Rickie Fowler",NA,7597561,"PresidentsCupUnitedes",2011
16,16,"Ryan Moore",NA,7485780,"PresidentsCupUnitedes",2011
17,17,"Zach Johnson",NA,7412780,"PresidentsCupUnitedes",2011
18,18,"Jonathan Byrd",NA,7388848,"PresidentsCupUnitedes",2011
19,19,"Mark Wilson",NA,7139753,"PresidentsCupUnitedes",2011
20,20,"Keegan Bradley",NA,7096399,"PresidentsCupUnitedes",2011
21,21,"Ryan Palmer",NA,6622274,"PresidentsCupUnitedes",2011
22,22,"Gary Woodland",NA,6421846,"PresidentsCupUnitedes",2011
23,23,"Charles Howell III",NA,6205917,"PresidentsCupUnitedes",2011
24,24,"Steve Marino",NA,6086392,"PresidentsCupUnitedes",2011
25,25,"Jeff Overton",NA,5953385,"PresidentsCupUnitedes",2011
26,26,"Sean OHair",NA,5793935,"PresidentsCupUnitedes",2011
27,27,"Charley Hoffman",NA,5724255,"PresidentsCupUnitedes",2011
28,28,"Kevin Na",NA,5530683,"PresidentsCupUnitedes",2011
29,29,"Tiger Woods",NA,5374491,"PresidentsCupUnitedes",2011
30,30,"DA Points",NA,5373860,"PresidentsCupUnitedes",2011
31,31,"Heath Slocum",NA,5326871,"PresidentsCupUnitedes",2011
32,32,"Lucas Glover",NA,5319029,"PresidentsCupUnitedes",2011
33,33,"Spencer Levin",NA,5266724,"PresidentsCupUnitedes",2011
34,34,"JB Holmes",NA,5253915,"PresidentsCupUnitedes",2011
35,35,"Scott Verplank",NA,5072796,"PresidentsCupUnitedes",2011
36,36,"Anthony Kim",NA,4860425,"PresidentsCupUnitedes",2011
37,37,"Ben Crane",NA,4828348,"PresidentsCupUnitedes",2011
38,38,"Chez Reavie",NA,4617518,"PresidentsCupUnitedes",2011
39,39,"Robert Garrigus",NA,4571666,"PresidentsCupUnitedes",2011
40,40,"Jerry Kelly",NA,4345499,"PresidentsCupUnitedes",2011
41,41,"George McNeill",NA,4307360,"PresidentsCupUnitedes",2011
42,42,"Brian Gay",NA,4148220,"PresidentsCupUnitedes",2011
43,43,"Jimmy Walker",NA,3921740,"PresidentsCupUnitedes",2011
44,44,"Kevin Streelman",NA,3877386,"PresidentsCupUnitedes",2011
45,45,"Scott Stallings",NA,3855730,"PresidentsCupUnitedes",2011
