"FirstTeeEarlyRound2ScoringAverage_RANKTHISWEEK_2015","FirstTeeEarlyRound2ScoringAverage_RANKLASTWEEK_2015","FirstTeeEarlyRound2ScoringAverage_PLAYERNAME_2015","FirstTeeEarlyRound2ScoringAverage__2015","FirstTeeEarlyRound2ScoringAverage_AVG_2015","FirstTeeEarlyRound2ScoringAverage_TOTALSTROKES_2015","FirstTeeEarlyRound2ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Hideki Matsuyama",NA,67,201,3,"FirstTeeEarlyRound2ScoringAverage",2015
1,1,"Adam Scott",NA,67,67,1,"FirstTeeEarlyRound2ScoringAverage",2015
3,3,"Matt Jones",NA,67.29,471,7,"FirstTeeEarlyRound2ScoringAverage",2015
4,4,"Chez Reavie",NA,67.67,203,3,"FirstTeeEarlyRound2ScoringAverage",2015
5,5,"Andrew Putnam",NA,68,340,5,"FirstTeeEarlyRound2ScoringAverage",2015
5,5,"Jonathan Randolph",NA,68,340,5,"FirstTeeEarlyRound2ScoringAverage",2015
5,5,"Patrick Rodgers",NA,68,136,2,"FirstTeeEarlyRound2ScoringAverage",2015
8,8,"James Hahn",NA,68.13,545,8,"FirstTeeEarlyRound2ScoringAverage",2015
9,9,"Tim Wilkinson",NA,68.33,410,6,"FirstTeeEarlyRound2ScoringAverage",2015
10,10,"Nick Watney",NA,68.38,547,8,"FirstTeeEarlyRound2ScoringAverage",2015
11,11,"Russell Henley",NA,68.43,479,7,"FirstTeeEarlyRound2ScoringAverage",2015
12,12,"Michael Putnam",NA,68.57,480,7,"FirstTeeEarlyRound2ScoringAverage",2015
13,13,"Zac Blair",NA,68.6,686,10,"FirstTeeEarlyRound2ScoringAverage",2015
14,14,"Keegan Bradley",NA,68.67,206,3,"FirstTeeEarlyRound2ScoringAverage",2015
14,14,"Cameron Percy",NA,68.67,206,3,"FirstTeeEarlyRound2ScoringAverage",2015
14,14,"Nick Taylor",NA,68.67,412,6,"FirstTeeEarlyRound2ScoringAverage",2015
17,17,"Brendon de Jonge",NA,68.71,481,7,"FirstTeeEarlyRound2ScoringAverage",2015
18,18,"Pat Perez",NA,68.8,344,5,"FirstTeeEarlyRound2ScoringAverage",2015
18,18,"Brendan Steele",NA,68.8,344,5,"FirstTeeEarlyRound2ScoringAverage",2015
20,20,"Justin Thomas",NA,68.88,551,8,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Mark Hubbard",NA,69,414,6,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Jerry Kelly",NA,69,621,9,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Sean OHair",NA,69,414,6,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Jeff Overton",NA,69,138,2,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Carl Pettersson",NA,69,414,6,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Justin Rose",NA,69,207,3,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Roger Sloan",NA,69,69,1,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Johnson Wagner",NA,69,207,3,"FirstTeeEarlyRound2ScoringAverage",2015
21,21,"Bubba Watson",NA,69,207,3,"FirstTeeEarlyRound2ScoringAverage",2015
30,30,"Troy Merritt",NA,69.14,484,7,"FirstTeeEarlyRound2ScoringAverage",2015
31,31,"Spencer Levin",NA,69.22,623,9,"FirstTeeEarlyRound2ScoringAverage",2015
32,32,"Tom Hoge",NA,69.25,554,8,"FirstTeeEarlyRound2ScoringAverage",2015
33,33,"Chad Collins",NA,69.33,624,9,"FirstTeeEarlyRound2ScoringAverage",2015
33,33,"Graham DeLaet",NA,69.33,208,3,"FirstTeeEarlyRound2ScoringAverage",2015
33,33,"Charles Howell III",NA,69.33,624,9,"FirstTeeEarlyRound2ScoringAverage",2015
36,36,"Kevin Na",NA,69.38,555,8,"FirstTeeEarlyRound2ScoringAverage",2015
37,37,"Jim Herman",NA,69.4,347,5,"FirstTeeEarlyRound2ScoringAverage",2015
37,37,"Charley Hoffman",NA,69.4,694,10,"FirstTeeEarlyRound2ScoringAverage",2015
37,37,"Jimmy Walker",NA,69.4,347,5,"FirstTeeEarlyRound2ScoringAverage",2015
40,40,"Sergio Garcia",NA,69.5,139,2,"FirstTeeEarlyRound2ScoringAverage",2015
40,40,"Brooks Koepka",NA,69.5,139,2,"FirstTeeEarlyRound2ScoringAverage",2015
42,42,"Whee Kim",NA,69.57,487,7,"FirstTeeEarlyRound2ScoringAverage",2015
43,43,"Geoff Ogilvy",NA,69.6,348,5,"FirstTeeEarlyRound2ScoringAverage",2015
43,43,"Louis Oosthuizen",NA,69.6,348,5,"FirstTeeEarlyRound2ScoringAverage",2015
45,45,"Brian Harman",NA,69.63,557,8,"FirstTeeEarlyRound2ScoringAverage",2015
45,45,"John Merrick",NA,69.63,557,8,"FirstTeeEarlyRound2ScoringAverage",2015
47,47,"Steven Bowditch",NA,69.64,766,11,"FirstTeeEarlyRound2ScoringAverage",2015
48,48,"JB Holmes",NA,69.67,209,3,"FirstTeeEarlyRound2ScoringAverage",2015
48,48,"Martin Laird",NA,69.67,418,6,"FirstTeeEarlyRound2ScoringAverage",2015
50,50,"Danny Lee",NA,69.75,558,8,"FirstTeeEarlyRound2ScoringAverage",2015
50,50,"Bill Lunde",NA,69.75,279,4,"FirstTeeEarlyRound2ScoringAverage",2015
50,50,"Kevin Streelman",NA,69.75,558,8,"FirstTeeEarlyRound2ScoringAverage",2015
53,53,"Jason Bohn",NA,69.83,419,6,"FirstTeeEarlyRound2ScoringAverage",2015
