"ConsecutivePar5Birdies_RANKTHISWEEK_2016","ConsecutivePar5Birdies_RANKLASTWEEK_2016","ConsecutivePar5Birdies_PLAYERNAME_2016","ConsecutivePar5Birdies_EVENTS_2016","ConsecutivePar5Birdies_NUMBEROFHOLES_2016","stat_name","year"
1,1,"Justin Rose",10,12,"ConsecutivePar5Birdies",2016
1,1,"Gary Woodland",12,12,"ConsecutivePar5Birdies",2016
3,3,"Jason Dufner",15,10,"ConsecutivePar5Birdies",2016
3,3,"Robert Garrigus",11,10,"ConsecutivePar5Birdies",2016
3,3,"Matt Kuchar",12,10,"ConsecutivePar5Birdies",2016
3,3,"Scott Piercy",12,10,"ConsecutivePar5Birdies",2016
7,7,"Tony Finau",15,9,"ConsecutivePar5Birdies",2016
7,7,"Kevin Kisner",14,9,"ConsecutivePar5Birdies",2016
7,7,"Andrew Loupe",16,9,"ConsecutivePar5Birdies",2016
7,7,"Jamie Lovemark",17,9,"ConsecutivePar5Birdies",2016
7,7,"Phil Mickelson",11,9,"ConsecutivePar5Birdies",2016
7,7,"Francesco Molinari",10,9,"ConsecutivePar5Birdies",2016
7,7,"Adam Scott",10,9,"ConsecutivePar5Birdies",2016
7,7,"Jordan Spieth",9,9,"ConsecutivePar5Birdies",2016
7,7,"Harold Varner III",18,9,"ConsecutivePar5Birdies",2016
7,7,"Jimmy Walker",12,9,"ConsecutivePar5Birdies",2016
17,17,"Jason Bohn",11,8,"ConsecutivePar5Birdies",2016
17,17,"Roberto Castro",16,8,"ConsecutivePar5Birdies",2016
17,17,"Harris English",15,8,"ConsecutivePar5Birdies",2016
17,17,"Rickie Fowler",12,8,"ConsecutivePar5Birdies",2016
17,17,"Mark Hubbard",20,8,"ConsecutivePar5Birdies",2016
17,17,"Dustin Johnson",9,8,"ConsecutivePar5Birdies",2016
17,17,"Smylie Kaufman",16,8,"ConsecutivePar5Birdies",2016
17,17,"Jerry Kelly",12,8,"ConsecutivePar5Birdies",2016
17,17,"Si Woo Kim",19,8,"ConsecutivePar5Birdies",2016
17,17,"Michael Kim",18,8,"ConsecutivePar5Birdies",2016
17,17,"Jason Kokrak",17,8,"ConsecutivePar5Birdies",2016
17,17,"Ben Martin",14,8,"ConsecutivePar5Birdies",2016
17,17,"Rory McIlroy",9,8,"ConsecutivePar5Birdies",2016
17,17,"Cameron Tringale",14,8,"ConsecutivePar5Birdies",2016
31,31,"Jonas Blixt",16,7,"ConsecutivePar5Birdies",2016
31,31,"Chad Campbell",18,7,"ConsecutivePar5Birdies",2016
31,31,"Brendon de Jonge",19,7,"ConsecutivePar5Birdies",2016
31,31,"Charles Howell III",17,7,"ConsecutivePar5Birdies",2016
31,31,"Martin Laird",13,7,"ConsecutivePar5Birdies",2016
31,31,"Luke List",17,7,"ConsecutivePar5Birdies",2016
31,31,"Peter Malnati",19,7,"ConsecutivePar5Birdies",2016
31,31,"Graeme McDowell",11,7,"ConsecutivePar5Birdies",2016
31,31,"Seung Yul Noh",17,7,"ConsecutivePar5Birdies",2016
31,31,"Henrik Norlander",13,7,"ConsecutivePar5Birdies",2016
31,31,"Jon Rahm",1,7,"ConsecutivePar5Birdies",2016
31,31,"Patrick Reed",14,7,"ConsecutivePar5Birdies",2016
31,31,"Kyle Reifers",19,7,"ConsecutivePar5Birdies",2016
31,31,"Hunter Stewart",7,7,"ConsecutivePar5Birdies",2016
31,31,"Robert Streb",16,7,"ConsecutivePar5Birdies",2016
31,31,"Daniel Summerhays",15,7,"ConsecutivePar5Birdies",2016
31,31,"Camilo Villegas",16,7,"ConsecutivePar5Birdies",2016
31,31,"Boo Weekley",17,7,"ConsecutivePar5Birdies",2016
31,31,"Tim Wilkinson",11,7,"ConsecutivePar5Birdies",2016
50,50,"Thomas Aiken",13,6,"ConsecutivePar5Birdies",2016
50,50,"Aaron Baddeley",15,6,"ConsecutivePar5Birdies",2016
50,50,"Blayne Barber",16,6,"ConsecutivePar5Birdies",2016
50,50,"Ricky Barnes",18,6,"ConsecutivePar5Birdies",2016
50,50,"Ryan Blaum",1,6,"ConsecutivePar5Birdies",2016
50,50,"Michael Bradley",5,6,"ConsecutivePar5Birdies",2016
50,50,"Scott Brown",17,6,"ConsecutivePar5Birdies",2016
50,50,"Bud Cauley",6,6,"ConsecutivePar5Birdies",2016
50,50,"Stewart Cink",14,6,"ConsecutivePar5Birdies",2016
50,50,"Tim Clark",7,6,"ConsecutivePar5Birdies",2016
50,50,"Ben Crane",17,6,"ConsecutivePar5Birdies",2016
50,50,"Jason Day",9,6,"ConsecutivePar5Birdies",2016
50,50,"Derek Fathauer",18,6,"ConsecutivePar5Birdies",2016
50,50,"Matthew Fitzpatrick",7,6,"ConsecutivePar5Birdies",2016
50,50,"Andres Gonzales",17,6,"ConsecutivePar5Birdies",2016
50,50,"Jason Gore",15,6,"ConsecutivePar5Birdies",2016
50,50,"Adam Hadwin",16,6,"ConsecutivePar5Birdies",2016
50,50,"Brian Harman",18,6,"ConsecutivePar5Birdies",2016
50,50,"Charley Hoffman",14,6,"ConsecutivePar5Birdies",2016
50,50,"Morgan Hoffmann",15,6,"ConsecutivePar5Birdies",2016
50,50,"Hiroshi Iwata",18,6,"ConsecutivePar5Birdies",2016
50,50,"Zach Johnson",12,6,"ConsecutivePar5Birdies",2016
50,50,"Matt Jones",15,6,"ConsecutivePar5Birdies",2016
50,50,"Chris Kirk",15,6,"ConsecutivePar5Birdies",2016
50,50,"Scott Langley",13,6,"ConsecutivePar5Birdies",2016
50,50,"Danny Lee",16,6,"ConsecutivePar5Birdies",2016
