"LatePar3ScoringAverage_RANKTHISWEEK_2005","LatePar3ScoringAverage_RANKLASTWEEK_2005","LatePar3ScoringAverage_PLAYERNAME_2005","LatePar3ScoringAverage_ROUNDS_2005","LatePar3ScoringAverage_AVG_2005","LatePar3ScoringAverage_TOTALSTROKES_2005","LatePar3ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Chad Campbell",95,2.94,529,180,"LatePar3ScoringAverage",2005
2,2,"Tom Byrum",83,2.97,463,156,"LatePar3ScoringAverage",2005
2,2,"Ben Crane",78,2.97,478,161,"LatePar3ScoringAverage",2005
2,2,"Brad Faxon",75,2.97,425,143,"LatePar3ScoringAverage",2005
2,2,"Jose Maria Olazabal",55,2.97,327,110,"LatePar3ScoringAverage",2005
6,6,"Stewart Cink",98,2.98,497,167,"LatePar3ScoringAverage",2005
6,6,"Jim Furyk",94,2.98,668,224,"LatePar3ScoringAverage",2005
6,6,"Brenden Pappas",51,2.98,274,92,"LatePar3ScoringAverage",2005
9,9,"Luke Donald",67,2.99,371,124,"LatePar3ScoringAverage",2005
9,9,"Fred Funk",102,2.99,545,182,"LatePar3ScoringAverage",2005
9,9,"Corey Pavin",77,2.99,457,153,"LatePar3ScoringAverage",2005
9,9,"Loren Roberts",54,2.99,353,118,"LatePar3ScoringAverage",2005
9,9,"Duffy Waldorf",86,2.99,446,149,"LatePar3ScoringAverage",2005
14,14,"Kenny Perry",82,3,613,204,"LatePar3ScoringAverage",2005
14,14,"Jay Williamson",53,3,318,106,"LatePar3ScoringAverage",2005
16,16,"Jeff Brehaut",71,3.01,446,148,"LatePar3ScoringAverage",2005
16,16,"Mark Brooks",72,3.01,367,122,"LatePar3ScoringAverage",2005
16,16,"Bill Glasson",54,3.01,280,93,"LatePar3ScoringAverage",2005
16,16,"Mathias Gronberg",60,3.01,376,125,"LatePar3ScoringAverage",2005
16,16,"Jerry Kelly",101,3.01,630,209,"LatePar3ScoringAverage",2005
16,16,"Stephen Leaney",89,3.01,547,182,"LatePar3ScoringAverage",2005
16,16,"Rocco Mediate",73,3.01,410,136,"LatePar3ScoringAverage",2005
16,16,"Pat Perez",89,3.01,578,192,"LatePar3ScoringAverage",2005
16,16,"Hidemichi Tanaka",106,3.01,547,182,"LatePar3ScoringAverage",2005
16,16,"Kirk Triplett",55,3.01,352,117,"LatePar3ScoringAverage",2005
26,26,"Jeff Hart",63,3.02,366,121,"LatePar3ScoringAverage",2005
26,26,"JJ Henry",102,3.02,556,184,"LatePar3ScoringAverage",2005
26,26,"Thomas Levet",54,3.02,293,97,"LatePar3ScoringAverage",2005
26,26,"Phillip Price",77,3.02,372,123,"LatePar3ScoringAverage",2005
30,30,"Stephen Ames",82,3.03,412,136,"LatePar3ScoringAverage",2005
30,30,"Woody Austin",100,3.03,599,198,"LatePar3ScoringAverage",2005
30,30,"Craig Barlow",81,3.03,458,151,"LatePar3ScoringAverage",2005
30,30,"Olin Browne",99,3.03,610,201,"LatePar3ScoringAverage",2005
30,30,"Lucas Glover",88,3.03,478,158,"LatePar3ScoringAverage",2005
30,30,"Dudley Hart",84,3.03,573,189,"LatePar3ScoringAverage",2005
30,30,"JL Lewis",98,3.03,581,192,"LatePar3ScoringAverage",2005
30,30,"Ryan Palmer",101,3.03,536,177,"LatePar3ScoringAverage",2005
30,30,"DA Points",94,3.03,539,178,"LatePar3ScoringAverage",2005
30,30,"Justin Rose",99,3.03,603,199,"LatePar3ScoringAverage",2005
30,30,"Bo Van Pelt",112,3.03,658,217,"LatePar3ScoringAverage",2005
41,41,"Aaron Baddeley",84,3.04,517,170,"LatePar3ScoringAverage",2005
41,41,"Jason Bohn",91,3.04,629,207,"LatePar3ScoringAverage",2005
41,41,"Mark Calcavecchia",92,3.04,483,159,"LatePar3ScoringAverage",2005
41,41,"Fred Couples",72,3.04,365,120,"LatePar3ScoringAverage",2005
41,41,"James Driscoll",73,3.04,441,145,"LatePar3ScoringAverage",2005
41,41,"Todd Fischer",99,3.04,593,195,"LatePar3ScoringAverage",2005
41,41,"Jonathan Kaye",77,3.04,417,137,"LatePar3ScoringAverage",2005
