"MissedFairwayPercentOther_RANKTHISWEEK_2006","MissedFairwayPercentOther_RANKLASTWEEK_2006","MissedFairwayPercentOther_PLAYERNAME_2006","MissedFairwayPercentOther_ROUNDS_2006","MissedFairwayPercentOther_Pct_2006","MissedFairwayPercentOther_TOTALMISSED_2006","MissedFairwayPercentOther_TOTALFWYS_2006","MissedFairwayPercentOther_RELATIVETOPAR_2006","stat_name","year"
1,1,"Fred Funk",106,1.5,19,1268,0.16,"MissedFairwayPercentOther",2006
2,2,"Zach Johnson",98,1.65,18,1088,0.17,"MissedFairwayPercentOther",2006
3,3,"David Toms",76,1.72,15,872,0.8,"MissedFairwayPercentOther",2006
4,4,"Ian Poulter",53,1.87,11,588,0.27,"MissedFairwayPercentOther",2006
5,5,"Jim Furyk",89,2.08,21,1011,0.38,"MissedFairwayPercentOther",2006
6,6,"Joe Durant",101,2.35,33,1405,0.15,"MissedFairwayPercentOther",2006
7,7,"Robert Allenby",79,2.46,21,852,0.62,"MissedFairwayPercentOther",2006
8,8,"Kenny Perry",73,2.53,22,868,0.36,"MissedFairwayPercentOther",2006
9,9,"Thomas Levet",53,2.62,18,686,0.11,"MissedFairwayPercentOther",2006
9,9,"Adam Scott",70,2.62,19,726,0.21,"MissedFairwayPercentOther",2006
11,11,"Bart Bryant",87,2.8,29,1036,0.52,"MissedFairwayPercentOther",2006
12,12,"Padraig Harrington",54,2.82,15,532,0.6,"MissedFairwayPercentOther",2006
13,13,"Scott Verplank",88,2.92,30,1027,0.13,"MissedFairwayPercentOther",2006
14,14,"Heath Slocum",96,3.14,39,1243,0.72,"MissedFairwayPercentOther",2006
15,15,"Retief Goosen",68,3.27,21,642,0.9,"MissedFairwayPercentOther",2006
16,16,"Peter Lonard",77,3.36,32,952,0.56,"MissedFairwayPercentOther",2006
17,17,"Steve Elkington",52,3.38,23,681,0.39,"MissedFairwayPercentOther",2006
18,18,"Olin Browne",108,3.5,46,1316,0.33,"MissedFairwayPercentOther",2006
19,19,"Brian Gay",107,3.56,53,1488,0.3,"MissedFairwayPercentOther",2006
20,20,"KJ Choi",93,3.58,41,1144,0.24,"MissedFairwayPercentOther",2006
20,20,"Kirk Triplett",58,3.58,27,754,0.59,"MissedFairwayPercentOther",2006
22,22,"Tjaart van der Walt",60,3.77,30,795,0.37,"MissedFairwayPercentOther",2006
23,23,"Mark Wilson",79,3.97,42,1059,0.29,"MissedFairwayPercentOther",2006
24,24,"Ben Curtis",86,3.98,40,1005,0.53,"MissedFairwayPercentOther",2006
25,25,"Charles Warren",93,4.01,48,1197,0.21,"MissedFairwayPercentOther",2006
26,26,"Jeff Maggert",81,4.02,42,1046,0.57,"MissedFairwayPercentOther",2006
26,26,"Omar Uresti",61,4.02,33,821,0.27,"MissedFairwayPercentOther",2006
28,28,"Arron Oberholser",82,4.06,38,937,0,"MissedFairwayPercentOther",2006
29,29,"Freddie Jacobson",56,4.09,32,783,0.66,"MissedFairwayPercentOther",2006
30,30,"Stuart Appleby",83,4.11,38,924,0.13,"MissedFairwayPercentOther",2006
31,31,"Steve Stricker",64,4.13,31,751,0,"MissedFairwayPercentOther",2006
32,32,"Richard Johnson",94,4.23,54,1278,0.22,"MissedFairwayPercentOther",2006
32,32,"Carl Pettersson",95,4.23,48,1135,0.35,"MissedFairwayPercentOther",2006
34,34,"Chris Riley",86,4.24,46,1085,0.28,"MissedFairwayPercentOther",2006
35,35,"Trevor Immelman",86,4.25,45,1060,0.36,"MissedFairwayPercentOther",2006
36,36,"Jerry Smith",94,4.29,55,1282,0.55,"MissedFairwayPercentOther",2006
37,37,"Paul Goydos",72,4.3,43,1000,0.51,"MissedFairwayPercentOther",2006
38,38,"Stephen Ames",63,4.32,29,671,0.03,"MissedFairwayPercentOther",2006
39,39,"Ernie Els",69,4.34,29,668,0.31,"MissedFairwayPercentOther",2006
40,40,"Mark Brooks",90,4.39,52,1184,0.44,"MissedFairwayPercentOther",2006
41,41,"Jeff Sluman",101,4.43,56,1264,0.34,"MissedFairwayPercentOther",2006
42,42,"Bob Estes",85,4.44,50,1125,0.5,"MissedFairwayPercentOther",2006
42,42,"Skip Kendall",72,4.44,42,947,0.24,"MissedFairwayPercentOther",2006
42,42,"Hunter Mahan",98,4.44,58,1307,0.52,"MissedFairwayPercentOther",2006
45,45,"Nathan Green",108,4.47,61,1366,0.38,"MissedFairwayPercentOther",2006
45,45,"Vijay Singh",103,4.47,55,1231,0.42,"MissedFairwayPercentOther",2006
47,47,"Tom Lehman",70,4.56,33,723,0,"MissedFairwayPercentOther",2006
47,47,"Duffy Waldorf",96,4.56,57,1250,0.26,"MissedFairwayPercentOther",2006
49,49,"Robert Gamez",94,4.6,59,1284,0.39,"MissedFairwayPercentOther",2006
49,49,"Steve Jones",83,4.6,50,1088,0.4,"MissedFairwayPercentOther",2006
49,49,"Billy Mayfair",94,4.6,54,1173,0.04,"MissedFairwayPercentOther",2006
52,52,"Briny Baird",81,4.66,50,1073,0.28,"MissedFairwayPercentOther",2006
53,53,"Stewart Cink",93,4.67,48,1028,0.31,"MissedFairwayPercentOther",2006
54,54,"Luke Donald",66,4.72,31,657,0.1,"MissedFairwayPercentOther",2006
54,54,"Daisuke Maruyama",83,4.72,52,1101,0.27,"MissedFairwayPercentOther",2006
56,56,"Larry Mize",53,4.75,31,653,0.39,"MissedFairwayPercentOther",2006
57,57,"Mike Weir",88,4.79,46,960,0.22,"MissedFairwayPercentOther",2006
58,58,"Aaron Baddeley",78,4.81,47,978,0.49,"MissedFairwayPercentOther",2006
59,59,"Vaughn Taylor",88,4.82,54,1120,0.52,"MissedFairwayPercentOther",2006
60,60,"Lucas Glover",105,4.87,62,1273,0.21,"MissedFairwayPercentOther",2006
61,61,"Chris DiMarco",83,4.88,45,923,0.42,"MissedFairwayPercentOther",2006
62,62,"Justin Leonard",83,4.93,49,993,0.29,"MissedFairwayPercentOther",2006
62,62,"Bo Van Pelt",102,4.93,66,1339,0.17,"MissedFairwayPercentOther",2006
62,62,"Dean Wilson",115,4.93,72,1460,0.38,"MissedFairwayPercentOther",2006
65,65,"Shane Bertsch",104,4.94,70,1418,0.4,"MissedFairwayPercentOther",2006
