"GoingfortheGreen_RANKTHISWEEK_2007","GoingfortheGreen_RANKLASTWEEK_2007","GoingfortheGreen_PLAYERNAME_2007","GoingfortheGreen_ROUNDS_2007","GoingfortheGreen_Pct_2007","GoingfortheGreen_ATTEMPTS_2007","GoingfortheGreen_NONATTEMPTS_2007","GoingfortheGreen_RTPGOINGFORTHEGREEN_2007","GoingfortheGreen_RTPNOTGOINGFORTHEGRN_2007","stat_name","year"
1,1,"JB Holmes",71,69.76,173,75,-92,9,"GoingfortheGreen",2007
2,2,"Phil Mickelson",73,68.39,132,61,-95,-5,"GoingfortheGreen",2007
3,3,"Tiger Woods",63,67.11,100,49,-61,-12,"GoingfortheGreen",2007
4,4,"John Daly",59,66.3,122,62,-79,11,"GoingfortheGreen",2007
5,5,"Brett Wetterich",88,66.26,161,82,-102,14,"GoingfortheGreen",2007
6,6,"Ernie Els",59,66.04,105,54,-65,-3,"GoingfortheGreen",2007
7,7,"Adam Scott",69,65.87,137,71,-86,0,"GoingfortheGreen",2007
8,8,"Bill Haas",93,65.71,207,108,-121,4,"GoingfortheGreen",2007
9,9,"Anthony Kim",93,65.6,185,97,-105,1,"GoingfortheGreen",2007
10,10,"Robert Garrigus",95,65.05,214,115,-102,11,"GoingfortheGreen",2007
11,11,"Steve Allan",63,64.97,128,69,-66,6,"GoingfortheGreen",2007
12,12,"Charles Warren",101,64.86,227,123,-119,0,"GoingfortheGreen",2007
13,13,"Vijay Singh",102,63.86,182,103,-120,-8,"GoingfortheGreen",2007
14,14,"Mathias Gronberg",95,63.66,212,121,-109,4,"GoingfortheGreen",2007
15,15,"Jeff Overton",60,63.55,129,74,-72,3,"GoingfortheGreen",2007
16,16,"Sergio Garcia",68,63.54,122,70,-68,-8,"GoingfortheGreen",2007
17,17,"Camilo Villegas",82,63.33,152,88,-86,9,"GoingfortheGreen",2007
18,18,"Sean OHair",98,63.25,191,111,-110,2,"GoingfortheGreen",2007
19,19,"Bubba Watson",80,63.24,160,93,-101,-2,"GoingfortheGreen",2007
20,20,"Robert Allenby",90,63.22,165,96,-94,0,"GoingfortheGreen",2007
21,21,"DJ Trahan",99,62.54,207,124,-103,1,"GoingfortheGreen",2007
22,22,"Aaron Baddeley",83,61.32,149,94,-92,-19,"GoingfortheGreen",2007
23,23,"Mathew Goggin",97,61.06,196,125,-102,-5,"GoingfortheGreen",2007
24,24,"Pat Perez",84,60.56,129,84,-68,-1,"GoingfortheGreen",2007
25,25,"Scott Gutschewski",67,60.37,131,86,-81,14,"GoingfortheGreen",2007
26,26,"Matt Hendrix",63,60.29,126,83,-45,1,"GoingfortheGreen",2007
27,27,"Troy Matteson",87,60.22,165,109,-94,0,"GoingfortheGreen",2007
28,28,"Rod Pampling",92,60,162,108,-101,-1,"GoingfortheGreen",2007
29,29,"Jonathan Byrd",73,59.57,137,93,-72,-20,"GoingfortheGreen",2007
30,30,"Nick Watney",87,59.04,160,111,-90,1,"GoingfortheGreen",2007
31,31,"Jason Gore",86,58.9,182,127,-98,5,"GoingfortheGreen",2007
32,32,"Rich Beem",89,58.85,153,107,-83,-12,"GoingfortheGreen",2007
33,33,"Mike Weir",82,58.59,133,94,-74,5,"GoingfortheGreen",2007
34,34,"Padraig Harrington",64,58.33,98,70,-56,15,"GoingfortheGreen",2007
35,35,"Steve Marino",106,58.31,200,143,-108,-18,"GoingfortheGreen",2007
36,36,"Michael Putnam",96,58.16,171,123,-91,5,"GoingfortheGreen",2007
37,37,"Mark Calcavecchia",93,57.92,150,109,-89,-20,"GoingfortheGreen",2007
38,38,"Tag Ridings",52,57.69,105,77,-57,8,"GoingfortheGreen",2007
39,39,"Johnson Wagner",97,57.23,186,139,-99,-11,"GoingfortheGreen",2007
40,40,"Lucas Glover",98,57.19,179,134,-102,-7,"GoingfortheGreen",2007
41,41,"Steve Wheatcroft",73,56.96,135,102,-61,-6,"GoingfortheGreen",2007
42,42,"Davis Love III",66,56.84,108,82,-55,8,"GoingfortheGreen",2007
43,43,"Bubba Dickerson",51,56.79,92,70,-42,5,"GoingfortheGreen",2007
44,44,"Boo Weekley",101,56.72,152,116,-68,9,"GoingfortheGreen",2007
45,45,"Chris Couch",76,56.6,150,115,-77,10,"GoingfortheGreen",2007
46,46,"Hunter Mahan",91,56.28,139,108,-80,-5,"GoingfortheGreen",2007
47,47,"JJ Henry",86,56.13,142,111,-90,-13,"GoingfortheGreen",2007
48,48,"Carl Pettersson",111,55.85,191,151,-122,-12,"GoingfortheGreen",2007
49,49,"Charles Howell III",89,55.65,138,110,-85,-3,"GoingfortheGreen",2007
50,50,"Harrison Frazar",88,55.6,149,119,-91,1,"GoingfortheGreen",2007
51,51,"Bo Van Pelt",104,55.56,190,152,-101,-16,"GoingfortheGreen",2007
52,52,"Jason Bohn",57,55.43,102,82,-66,-11,"GoingfortheGreen",2007
53,53,"Greg Owen",81,55.35,150,121,-63,1,"GoingfortheGreen",2007
54,54,"Henrik Stenson",52,55.32,78,63,-32,12,"GoingfortheGreen",2007
55,55,"Rory Sabbatini",81,55.17,128,104,-76,-10,"GoingfortheGreen",2007
56,56,"Kevin Stadler",95,55.13,172,140,-90,14,"GoingfortheGreen",2007
57,57,"Geoff Ogilvy",84,54.82,125,103,-63,-11,"GoingfortheGreen",2007
58,58,"Charley Hoffman",97,54.69,175,145,-98,-8,"GoingfortheGreen",2007
59,59,"Paul Stankowski",52,54.44,92,77,-50,5,"GoingfortheGreen",2007
60,60,"Ryan Moore",92,54.17,156,132,-84,-5,"GoingfortheGreen",2007
61,61,"John Senden",97,54.14,170,144,-97,-15,"GoingfortheGreen",2007
62,62,"John Rollins",102,53.48,169,147,-93,-4,"GoingfortheGreen",2007
63,63,"Brendon de Jonge",76,53.41,133,116,-66,-4,"GoingfortheGreen",2007
63,63,"Will Ma Kenzie",100,53.41,180,157,-109,-1,"GoingfortheGreen",2007
65,65,"Daisuke Maruyama",86,53.17,151,133,-72,-6,"GoingfortheGreen",2007
66,66,"Nathan Green",103,53.14,169,149,-92,-19,"GoingfortheGreen",2007
67,67,"Tim Herron",98,52.96,152,135,-75,0,"GoingfortheGreen",2007
68,68,"Kenny Perry",83,52.9,146,130,-77,-14,"GoingfortheGreen",2007
68,68,"Kevin Sutherland",85,52.9,146,130,-83,-9,"GoingfortheGreen",2007
70,70,"Kevin Na",84,52.79,161,144,-97,-2,"GoingfortheGreen",2007
71,71,"John Merrick",92,52.65,159,143,-80,-5,"GoingfortheGreen",2007
72,72,"George McNeill",95,52.56,164,148,-77,-14,"GoingfortheGreen",2007
73,73,"Andrew Buckle",77,52.54,124,112,-63,5,"GoingfortheGreen",2007
74,74,"Retief Goosen",50,52.38,66,60,-32,-1,"GoingfortheGreen",2007
75,75,"Jason Dufner",100,52.32,169,154,-79,-10,"GoingfortheGreen",2007
76,76,"Joe Ogilvie",102,52.31,170,155,-95,-8,"GoingfortheGreen",2007
77,77,"KJ Choi",87,52.24,128,117,-92,-8,"GoingfortheGreen",2007
78,78,"Frank Lickliter II",95,52.17,156,143,-72,-25,"GoingfortheGreen",2007
79,79,"Jeff Brehaut",59,52.06,101,93,-52,4,"GoingfortheGreen",2007
80,80,"Tim Petrovic",106,52.02,180,166,-105,-13,"GoingfortheGreen",2007
81,81,"Steve Lowery",74,51.87,139,129,-67,-2,"GoingfortheGreen",2007
82,82,"Daniel Chopra",106,51.8,187,174,-103,-4,"GoingfortheGreen",2007
83,83,"Jeff Gove",103,51.66,187,175,-101,-16,"GoingfortheGreen",2007
84,84,"Chris Tidland",59,51.56,99,93,-56,-4,"GoingfortheGreen",2007
85,85,"Ted Purdy",102,51.49,173,163,-92,-12,"GoingfortheGreen",2007
86,86,"Billy Mayfair",98,51.37,150,142,-81,-23,"GoingfortheGreen",2007
87,87,"Alex Cejka",80,51.25,144,137,-83,-29,"GoingfortheGreen",2007
88,88,"Ryan Palmer",91,51.01,152,146,-72,3,"GoingfortheGreen",2007
89,89,"Stuart Appleby",74,50.95,107,103,-58,-5,"GoingfortheGreen",2007
90,90,"Peter Lonard",85,50.93,137,132,-61,-8,"GoingfortheGreen",2007
91,91,"Jason Schultz",63,50.76,100,97,-53,-3,"GoingfortheGreen",2007
92,92,"Cameron Beckman",96,50.6,170,166,-90,-15,"GoingfortheGreen",2007
93,93,"Duffy Waldorf",69,50.44,115,113,-63,-3,"GoingfortheGreen",2007
94,94,"Brett Quigley",79,50.43,118,116,-62,-11,"GoingfortheGreen",2007
95,95,"Justin Rose",63,50.38,67,66,-39,-4,"GoingfortheGreen",2007
96,96,"Kyle Reifers",71,50.22,116,115,-60,-5,"GoingfortheGreen",2007
97,97,"Mark Hensby",81,50,132,132,-64,2,"GoingfortheGreen",2007
98,98,"Jaco Van Zyl",51,49.71,87,88,-31,1,"GoingfortheGreen",2007
99,99,"Joe Durant",88,49.63,135,137,-67,-6,"GoingfortheGreen",2007
100,100,"Tom Johnson",74,49.58,117,119,-52,2,"GoingfortheGreen",2007
101,101,"Jesper Parnevik",88,49.46,138,141,-84,-6,"GoingfortheGreen",2007
102,102,"Brian Bateman",55,49.08,80,83,-36,8,"GoingfortheGreen",2007
103,103,"Marco Dawson",73,48.96,118,123,-62,4,"GoingfortheGreen",2007
104,104,"Craig Barlow",52,48.81,82,86,-50,-1,"GoingfortheGreen",2007
105,105,"Vaughn Taylor",91,48.66,127,134,-82,1,"GoingfortheGreen",2007
106,106,"Ken Duke",112,48.62,176,186,-84,-11,"GoingfortheGreen",2007
107,107,"Jarrod Lyle",77,48.55,117,124,-66,-7,"GoingfortheGreen",2007
108,108,"Stewart Cink",91,48.46,126,134,-66,-11,"GoingfortheGreen",2007
109,109,"Eric Axley",107,47.84,166,181,-79,3,"GoingfortheGreen",2007
110,110,"Kent Jones",97,47.8,163,178,-97,-26,"GoingfortheGreen",2007
111,111,"Briny Baird",115,47.39,191,212,-103,-27,"GoingfortheGreen",2007
112,112,"Parker McLachlin",83,47.31,132,147,-69,-8,"GoingfortheGreen",2007
113,113,"Charlie Wi",90,47.27,147,164,-92,-18,"GoingfortheGreen",2007
114,114,"Billy Andrade",88,47.21,144,161,-75,-8,"GoingfortheGreen",2007
115,115,"Jay Williamson",50,47.03,87,98,-42,-2,"GoingfortheGreen",2007
116,116,"Steve Flesch",100,46.87,157,178,-76,-18,"GoingfortheGreen",2007
117,117,"David Branshaw",83,46.79,131,149,-67,22,"GoingfortheGreen",2007
118,118,"Bob Tway",103,46.75,158,180,-77,-1,"GoingfortheGreen",2007
119,119,"Michael Allen",74,46.64,111,127,-58,-11,"GoingfortheGreen",2007
120,120,"Scott Verplank",82,46.53,94,108,-41,-19,"GoingfortheGreen",2007
121,121,"Steve Elkington",87,46.47,125,144,-60,-22,"GoingfortheGreen",2007
122,122,"Cliff Kresge",107,46.42,162,187,-80,-9,"GoingfortheGreen",2007
123,123,"Jerry Kelly",101,46.06,117,137,-66,-15,"GoingfortheGreen",2007
124,124,"Anders Hansen",55,45.9,56,66,-35,3,"GoingfortheGreen",2007
125,125,"JP Hayes",89,45.81,142,168,-74,-17,"GoingfortheGreen",2007
126,126,"Tom Lehman",62,45.66,79,94,-46,-5,"GoingfortheGreen",2007
127,127,"Nick OHern",72,45.6,88,105,-43,-15,"GoingfortheGreen",2007
128,128,"Trevor Immelman",74,45.45,95,114,-49,-14,"GoingfortheGreen",2007
128,128,"Chris Stroud",66,45.45,95,114,-43,-10,"GoingfortheGreen",2007
130,130,"Rich Barcelo",80,45.38,118,142,-65,-18,"GoingfortheGreen",2007
131,131,"Chad Campbell",96,45.08,119,145,-55,5,"GoingfortheGreen",2007
132,132,"Tom Pernice Jr",104,44.9,141,173,-84,-20,"GoingfortheGreen",2007
133,133,"Ryan Armour",107,44.61,153,190,-67,-25,"GoingfortheGreen",2007
134,134,"Jeff Quinney",95,44.3,140,176,-77,4,"GoingfortheGreen",2007
135,135,"DJ Brigman",67,44.23,92,116,-48,1,"GoingfortheGreen",2007
136,136,"Paul Gow",70,43.98,95,121,-49,-9,"GoingfortheGreen",2007
137,137,"Stephen Ames",81,43.58,95,123,-49,-15,"GoingfortheGreen",2007
138,138,"Woody Austin",95,43.46,133,173,-57,-17,"GoingfortheGreen",2007
139,139,"Brian Davis",101,43.35,150,196,-83,-12,"GoingfortheGreen",2007
140,140,"Tripp Isenhour",86,43.11,122,161,-56,-17,"GoingfortheGreen",2007
141,141,"Chris DiMarco",79,42.98,101,134,-44,-5,"GoingfortheGreen",2007
142,142,"Arron Oberholser",69,42.93,82,109,-44,-16,"GoingfortheGreen",2007
143,143,"Bart Bryant",87,42.91,118,157,-61,-27,"GoingfortheGreen",2007
