"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2010","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2010","BirdieorBetterPercentageLeftRough_PLAYERNAME_2010","BirdieorBetterPercentageLeftRough_ROUNDS_2010","BirdieorBetterPercentageLeftRough_Pct_2010","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2010","BirdieorBetterPercentageLeftRough_TOTALHOLES_2010","stat_name","year"
1,1,"Bubba Watson",77,26.28,36,137,"BirdieorBetterPercentageLeftRough",2010
2,2,"Aaron Baddeley",94,25.17,38,151,"BirdieorBetterPercentageLeftRough",2010
3,3,"Luke Donald",71,24.44,22,90,"BirdieorBetterPercentageLeftRough",2010
4,4,"Rory McIlroy",54,24.29,17,70,"BirdieorBetterPercentageLeftRough",2010
5,5,"Sergio Garcia",58,23.08,15,65,"BirdieorBetterPercentageLeftRough",2010
6,6,"George McNeill",79,22.86,32,140,"BirdieorBetterPercentageLeftRough",2010
7,7,"Jonathan Byrd",85,22.6,33,146,"BirdieorBetterPercentageLeftRough",2010
8,8,"Greg Chalmers",93,21.77,27,124,"BirdieorBetterPercentageLeftRough",2010
9,9,"Nick Watney",91,21,21,100,"BirdieorBetterPercentageLeftRough",2010
10,10,"Charles Howell III",103,20.67,31,150,"BirdieorBetterPercentageLeftRough",2010
11,11,"Brandt Snedeker",89,20.66,25,121,"BirdieorBetterPercentageLeftRough",2010
12,12,"Vijay Singh",75,20.43,19,93,"BirdieorBetterPercentageLeftRough",2010
13,13,"Mark Calcavecchia",50,20.31,13,64,"BirdieorBetterPercentageLeftRough",2010
14,14,"Ben Crane",85,20.22,18,89,"BirdieorBetterPercentageLeftRough",2010
15,15,"JB Holmes",100,19.9,39,196,"BirdieorBetterPercentageLeftRough",2010
16,16,"Troy Merritt",86,19.85,26,131,"BirdieorBetterPercentageLeftRough",2010
17,17,"Stewart Cink",84,19.64,22,112,"BirdieorBetterPercentageLeftRough",2010
18,18,"Graham DeLaet",88,19.4,26,134,"BirdieorBetterPercentageLeftRough",2010
19,19,"Ernie Els",72,19.39,19,98,"BirdieorBetterPercentageLeftRough",2010
20,20,"Hunter Mahan",85,18.81,19,101,"BirdieorBetterPercentageLeftRough",2010
21,21,"Jason Bohn",84,18.7,23,123,"BirdieorBetterPercentageLeftRough",2010
22,22,"JJ Henry",92,18.66,25,134,"BirdieorBetterPercentageLeftRough",2010
22,22,"Dustin Johnson",83,18.66,25,134,"BirdieorBetterPercentageLeftRough",2010
24,24,"Robert Garrigus",71,18.52,20,108,"BirdieorBetterPercentageLeftRough",2010
24,24,"Davis Love III",79,18.52,20,108,"BirdieorBetterPercentageLeftRough",2010
26,26,"KJ Choi",82,18.28,17,93,"BirdieorBetterPercentageLeftRough",2010
27,27,"Paul Casey",64,18.18,16,88,"BirdieorBetterPercentageLeftRough",2010
27,27,"Nathan Green",86,18.18,26,143,"BirdieorBetterPercentageLeftRough",2010
